date,BR,BR_EPS,PE Ratio
2009-07-07,15.81,0.76,20.80263157894737
2009-07-08,15.82,0.76,20.815789473684212
2009-07-09,15.66,0.76,20.605263157894736
2009-07-10,15.47,0.76,20.355263157894736
2009-07-13,16.01,0.76,21.065789473684212
2009-07-14,15.96,0.76,21.0
2009-07-15,16.13,0.76,21.223684210526315
2009-07-16,16.46,0.76,21.657894736842106
2009-07-17,16.51,0.76,21.72368421052632
2009-07-20,16.54,0.76,21.763157894736842
2009-07-21,16.78,0.76,22.078947368421055
2009-07-22,16.72,0.76,22.0
2009-07-23,17.15,0.76,22.56578947368421
2009-07-24,17.25,0.76,22.69736842105263
2009-07-27,17.58,0.76,23.131578947368418
2009-07-28,17.7,0.76,23.289473684210524
2009-07-29,17.45,0.76,22.960526315789473
2009-07-30,17.44,0.76,22.947368421052634
2009-07-31,17.27,0.76,22.723684210526315
2009-08-03,17.4,0.76,22.89473684210526
2009-08-04,17.5,0.76,23.026315789473685
2009-08-05,17.43,0.76,22.934210526315788
2009-08-06,17.14,0.76,22.55263157894737
2009-08-07,17.84,0.76,23.473684210526315
2009-08-10,18.28,0.76,24.05263157894737
2009-08-11,19.16,1.6,11.975
2009-08-12,19.64,1.6,12.275
2009-08-13,19.83,1.6,12.393749999999999
2009-08-14,20.3,1.6,12.6875
2009-08-17,20.07,1.6,12.54375
2009-08-18,20.29,1.6,12.681249999999999
2009-08-19,20.23,1.6,12.643749999999999
2009-08-20,20.21,1.6,12.63125
2009-08-21,20.44,1.6,12.775
2009-08-24,20.47,1.6,12.79375
2009-08-25,20.61,1.6,12.88125
2009-08-26,20.21,1.6,12.63125
2009-08-27,20.58,1.6,12.862499999999999
2009-08-28,20.6,1.6,12.875
2009-08-31,20.82,1.6,13.0125
2009-09-01,20.76,1.6,12.975
2009-09-02,20.95,1.6,13.093749999999998
2009-09-03,21.27,1.6,13.29375
2009-09-04,21.47,1.6,13.41875
2009-09-08,21.5,1.6,13.4375
2009-09-09,21.81,1.6,13.631249999999998
2009-09-10,21.51,1.6,13.44375
2009-09-11,21.55,1.6,13.46875
2009-09-14,21.39,1.6,13.36875
2009-09-15,21.27,1.6,13.29375
2009-09-16,21.17,1.6,13.231250000000001
2009-09-17,21.11,1.6,13.19375
2009-09-18,20.23,1.6,12.643749999999999
2009-09-21,20.49,1.6,12.806249999999999
2009-09-22,20.55,1.6,12.84375
2009-09-23,20.56,1.6,12.849999999999998
2009-09-24,20.56,1.6,12.849999999999998
2009-09-25,20.22,1.6,12.6375
2009-09-28,20.29,1.6,12.681249999999999
2009-09-29,20.54,1.6,12.837499999999999
2009-09-30,20.1,1.6,12.5625
2009-10-01,19.98,1.6,12.487499999999999
2009-10-02,19.83,1.6,12.393749999999999
2009-10-05,20.14,1.6,12.5875
2009-10-06,20.28,1.6,12.675
2009-10-07,20.28,1.6,12.675
2009-10-08,20.43,1.6,12.768749999999999
2009-10-09,20.49,1.6,12.806249999999999
2009-10-12,20.72,1.6,12.95
2009-10-13,20.66,1.6,12.9125
2009-10-14,21.22,1.6,13.2625
2009-10-15,21.53,1.6,13.45625
2009-10-16,21.53,1.6,13.45625
2009-10-19,21.64,1.6,13.525
2009-10-20,21.82,1.6,13.6375
2009-10-21,21.49,1.6,13.431249999999999
2009-10-22,21.31,1.6,13.318749999999998
2009-10-23,21.35,1.6,13.34375
2009-10-26,21.39,1.6,13.36875
2009-10-27,21.27,1.6,13.29375
2009-10-28,20.98,1.6,13.112499999999999
2009-10-29,21.1,1.6,13.1875
2009-10-30,20.81,1.6,13.006249999999998
2009-11-02,20.83,1.6,13.018749999999999
2009-11-03,21.78,0.19,114.63157894736842
2009-11-04,21.63,0.19,113.84210526315789
2009-11-05,22.12,0.19,116.42105263157895
2009-11-06,22.55,0.19,118.6842105263158
2009-11-09,23.02,0.19,121.1578947368421
2009-11-10,22.8,0.19,120.0
2009-11-11,22.29,0.19,117.3157894736842
2009-11-12,22.12,0.19,116.42105263157895
2009-11-13,22.34,0.19,117.57894736842105
2009-11-16,22.93,0.19,120.68421052631578
2009-11-17,22.88,0.19,120.42105263157895
2009-11-18,22.49,0.19,118.36842105263158
