date,IR,IR_EPS,PE Ratio
1990-08-07,6.07,0.04,151.75
1990-08-08,6.09,0.04,152.25
1990-08-09,6.29,0.04,157.25
1990-08-10,6.19,0.04,154.75
1990-08-13,6.09,0.04,152.25
1990-08-14,6.07,0.04,151.75
1990-08-15,6.19,0.04,154.75
1990-08-16,6.04,0.04,151.0
1990-08-17,5.99,0.04,149.75
1990-08-20,5.92,0.04,148.0
1990-08-21,5.62,0.04,140.5
1990-08-22,5.51,0.04,137.75
1990-08-23,5.46,0.04,136.5
1990-08-24,5.62,0.04,140.5
1990-08-27,5.79,0.04,144.75
1990-08-28,5.72,0.04,143.0
1990-08-29,5.72,0.04,143.0
1990-08-30,5.67,0.04,141.75
1990-08-31,5.76,0.04,144.0
1990-09-04,5.79,0.04,144.75
1990-09-05,5.89,0.04,147.25
1990-09-06,5.74,0.04,143.5
1990-09-07,5.72,0.04,143.0
1990-09-10,5.66,0.04,141.5
1990-09-11,5.57,0.04,139.25
1990-09-12,5.64,0.04,141.0
1990-09-13,5.72,0.04,143.0
1990-09-14,5.67,0.04,141.75
1990-09-17,5.57,0.04,139.25
1990-09-18,5.59,0.04,139.75
1990-09-19,5.61,0.04,140.25
1990-09-20,5.49,0.04,137.25
1990-09-21,5.47,0.04,136.75
1990-09-24,5.36,0.04,134.0
1990-09-25,5.46,0.04,136.5
1990-09-26,5.44,0.04,136.0
1990-09-27,5.42,0.04,135.5
1990-09-28,5.39,0.04,134.75
1990-10-01,5.42,0.04,135.5
1990-10-02,5.36,0.04,134.0
1990-10-03,5.21,0.04,130.25
1990-10-04,4.43,0.04,110.74999999999999
1990-10-05,4.43,0.04,110.74999999999999
1990-10-08,4.44,0.04,111.00000000000001
1990-10-09,4.38,0.04,109.5
1990-10-10,4.38,0.04,109.5
1990-10-11,4.36,0.04,109.0
1990-10-12,4.34,0.04,108.5
1990-10-15,4.18,0.04,104.49999999999999
1990-10-16,3.99,0.04,99.75
1990-10-17,3.91,0.04,97.75
1990-10-18,4.04,0.04,101.0
1990-10-19,4.28,0.04,107.0
1990-10-22,4.29,0.04,107.25
1990-10-23,4.49,0.04,112.25
1990-10-24,4.36,0.04,109.0
1990-10-25,4.31,0.04,107.74999999999999
1990-10-26,4.01,0.04,100.24999999999999
1990-10-29,3.91,0.04,97.75
1990-10-30,3.88,0.04,97.0
1990-10-31,3.91,0.04,97.75
1990-11-01,3.94,0.04,98.5
1990-11-02,4.18,0.04,104.49999999999999
1990-11-05,4.24,0.04,106.0
1990-11-06,4.29,0.04,107.25
1990-11-07,4.14,0.04,103.49999999999999
1990-11-08,4.14,0.04,103.49999999999999
1990-11-09,4.26,0.04,106.49999999999999
1990-11-12,4.34,0.04,108.5
1990-11-13,4.64,0.04,115.99999999999999
1990-11-14,4.66,0.04,116.5
1990-11-15,4.53,0.04,113.25
1990-11-16,4.53,0.04,113.25
1990-11-19,4.46,0.04,111.5
1990-11-20,4.33,0.04,108.25
1990-11-21,4.33,0.04,108.25
1990-11-23,4.33,0.04,108.25
1990-11-26,4.36,0.04,109.0
1990-11-27,4.33,0.04,108.25
1990-11-28,4.36,0.04,109.0
1990-11-29,4.43,0.04,110.74999999999999
1990-11-30,4.49,0.04,112.25
1990-12-03,4.59,0.04,114.75
1990-12-04,4.61,0.04,115.25
1990-12-05,4.76,0.04,118.99999999999999
1990-12-06,4.89,0.04,122.24999999999999
1990-12-07,4.96,0.04,124.0
1990-12-10,4.98,0.04,124.50000000000001
1990-12-11,4.86,0.04,121.5
1990-12-12,4.96,0.04,124.0
1990-12-13,5.06,0.04,126.49999999999999
1990-12-14,5.06,0.04,126.49999999999999
1990-12-17,4.81,0.04,120.24999999999999
1990-12-18,4.83,0.04,120.75
1990-12-19,4.79,0.04,119.75
1990-12-20,4.86,0.04,121.5
1990-12-21,4.94,0.04,123.50000000000001
1990-12-24,4.91,0.04,122.75
1990-12-26,4.93,0.04,123.24999999999999
1990-12-27,4.93,0.04,123.24999999999999
1990-12-28,4.93,0.04,123.24999999999999
1990-12-31,4.96,0.04,124.0
1991-01-02,4.89,0.04,122.24999999999999
1991-01-03,4.93,0.04,123.24999999999999
1991-01-04,5.01,0.04,125.24999999999999
1991-01-07,4.89,0.04,122.24999999999999
1991-01-08,4.81,0.04,120.24999999999999
1991-01-09,4.74,0.04,118.5
1991-01-10,4.79,0.04,119.75
1991-01-11,4.79,0.04,119.75
1991-01-14,4.81,0.04,120.24999999999999
1991-01-15,4.76,0.04,118.99999999999999
1991-01-16,4.73,0.04,118.25000000000001
1991-01-17,5.06,0.04,126.49999999999999
1991-01-18,5.14,0.04,128.5
1991-01-21,5.06,0.04,126.49999999999999
1991-01-22,5.08,0.04,127.0
1991-01-23,5.14,0.04,128.5
1991-01-24,5.32,0.04,133.0
1991-01-25,5.41,0.04,135.25
1991-01-28,5.59,0.04,139.75
1991-01-29,5.81,0.04,145.25
1991-01-30,5.81,0.04,145.25
1991-01-31,5.76,0.04,144.0
1991-02-01,5.64,0.04,141.0
1991-02-04,5.72,0.04,143.0
1991-02-05,5.82,0.04,145.5
1991-02-06,5.81,0.04,145.25
1991-02-07,5.91,0.04,147.75
1991-02-08,5.92,0.04,148.0
1991-02-11,6.22,0.04,155.5
1991-02-12,5.99,0.04,149.75
1991-02-13,5.97,0.04,149.25
1991-02-14,5.94,0.04,148.5
1991-02-15,6.19,0.04,154.75
1991-02-19,6.34,0.04,158.5
1991-02-20,6.19,0.04,154.75
1991-02-21,6.32,0.04,158.0
1991-02-22,6.36,0.04,159.0
1991-02-25,6.41,0.04,160.25
1991-02-26,6.37,0.04,159.25
1991-02-27,6.89,0.04,172.25
1991-02-28,6.92,0.04,173.0
1991-03-01,6.89,0.04,172.25
1991-03-04,6.84,0.04,171.0
1991-03-05,6.97,0.04,174.25
1991-03-06,6.87,0.04,171.75
1991-03-07,6.91,0.04,172.75
1991-03-08,6.89,0.04,172.25
1991-03-11,6.82,0.04,170.5
1991-03-12,6.57,0.04,164.25
1991-03-13,6.42,0.04,160.5
1991-03-14,6.66,0.04,166.5
1991-03-15,6.51,0.04,162.75
1991-03-18,6.46,0.04,161.5
1991-03-19,6.32,0.04,158.0
1991-03-20,6.16,0.04,154.0
1991-03-21,5.89,0.04,147.25
1991-03-22,5.84,0.04,146.0
1991-03-25,6.01,0.04,150.25
1991-03-26,6.26,0.04,156.5
1991-03-27,6.31,0.04,157.75
1991-03-28,6.17,0.04,154.25
1991-04-01,6.17,0.04,154.25
1991-04-02,6.09,0.04,152.25
1991-04-03,6.12,0.04,153.0
1991-04-04,6.06,0.04,151.5
1991-04-05,5.92,0.04,148.0
1991-04-08,6.02,0.04,150.5
1991-04-09,5.92,0.04,148.0
1991-04-10,6.02,0.04,150.5
1991-04-11,6.17,0.04,154.25
1991-04-12,6.07,0.04,151.75
1991-04-15,6.16,0.04,154.0
1991-04-16,6.32,0.04,158.0
1991-04-17,6.52,0.04,163.0
1991-04-18,6.64,0.04,166.0
1991-04-19,6.52,0.04,163.0
1991-04-22,6.49,0.04,162.25
1991-04-23,6.56,0.04,164.0
1991-04-24,6.37,0.04,159.25
1991-04-25,6.22,0.04,155.5
1991-04-26,6.16,0.04,154.0
1991-04-29,5.91,0.04,147.75
1991-04-30,5.99,0.04,149.75
1991-05-01,6.02,0.04,150.5
1991-05-02,6.14,0.04,153.5
1991-05-03,6.26,0.04,156.5
1991-05-06,6.27,0.04,156.75
1991-05-07,6.29,0.04,157.25
1991-05-08,6.22,0.04,155.5
1991-05-09,6.27,0.04,156.75
1991-05-10,6.19,0.04,154.75
1991-05-13,6.09,0.04,152.25
1991-05-14,6.09,0.04,152.25
1991-05-15,6.11,0.04,152.75
1991-05-16,6.14,0.04,153.5
1991-05-17,6.24,0.04,156.0
1991-05-20,6.12,0.04,153.0
1991-05-21,6.16,0.04,154.0
1991-05-22,6.14,0.04,153.5
1991-05-23,6.12,0.04,153.0
1991-05-24,6.17,0.04,154.25
1991-05-28,6.46,0.04,161.5
1991-05-29,6.51,0.04,162.75
1991-05-30,6.76,0.04,169.0
1991-05-31,6.92,0.04,173.0
1991-06-03,7.16,0.04,179.0
1991-06-04,7.06,0.04,176.5
1991-06-05,6.87,0.04,171.75
1991-06-06,6.74,0.04,168.5
1991-06-07,6.81,0.04,170.25
1991-06-10,6.64,0.04,166.0
1991-06-11,6.66,0.04,166.5
1991-06-12,6.66,0.04,166.5
1991-06-13,6.77,0.04,169.25
1991-06-14,6.92,0.04,173.0
1991-06-17,6.97,0.04,174.25
1991-06-18,6.99,0.04,174.75
1991-06-19,6.87,0.04,171.75
1991-06-20,6.87,0.04,171.75
1991-06-21,7.02,0.04,175.49999999999997
1991-06-24,6.91,0.04,172.75
1991-06-25,6.81,0.04,170.25
1991-06-26,6.67,0.04,166.75
1991-06-27,6.71,0.04,167.75
1991-06-28,6.72,0.04,168.0
1991-07-01,6.91,0.04,172.75
1991-07-02,6.84,0.04,171.0
1991-07-03,6.77,0.04,169.25
1991-07-05,6.79,0.04,169.75
1991-07-08,6.77,0.04,169.25
1991-07-09,6.74,0.04,168.5
1991-07-10,6.79,0.04,169.75
1991-07-11,6.72,0.04,168.0
1991-07-12,6.82,0.04,170.5
1991-07-15,6.82,0.04,170.5
1991-07-16,6.91,0.04,172.75
1991-07-17,6.92,0.04,173.0
1991-07-18,6.91,0.04,172.75
1991-07-19,6.91,0.04,172.75
1991-07-22,6.82,0.04,170.5
1991-07-23,6.72,0.04,168.0
1991-07-24,6.76,0.04,169.0
1991-07-25,6.81,0.04,170.25
1991-07-26,6.76,0.04,169.0
1991-07-29,6.74,0.04,168.5
1991-07-30,6.82,0.04,170.5
1991-07-31,6.72,0.04,168.0
1991-08-01,6.74,0.04,168.5
1991-08-02,6.77,0.04,169.25
1991-08-05,6.74,0.04,168.5
1991-08-06,6.82,0.04,170.5
1991-08-07,6.77,0.04,169.25
1991-08-08,6.79,0.04,169.75
1991-08-09,6.71,0.04,167.75
1991-08-12,6.67,0.04,166.75
1991-08-13,6.69,0.04,167.25
1991-08-14,6.67,0.04,166.75
1991-08-15,6.31,0.04,157.75
1991-08-16,6.24,0.04,156.0
1991-08-19,6.04,0.04,151.0
1991-08-20,5.96,0.04,149.0
1991-08-21,6.11,0.04,152.75
1991-08-22,6.32,0.04,158.0
1991-08-23,6.51,0.04,162.75
1991-08-26,6.52,0.04,163.0
1991-08-27,6.52,0.04,163.0
1991-08-28,6.51,0.04,162.75
1991-08-29,6.51,0.04,162.75
1991-08-30,6.39,0.04,159.75
1991-09-03,6.32,0.04,158.0
1991-09-04,6.46,0.04,161.5
1991-09-05,6.61,0.04,165.25
1991-09-06,6.62,0.04,165.5
1991-09-09,6.57,0.04,164.25
1991-09-10,6.49,0.04,162.25
1991-09-11,6.44,0.04,161.0
1991-09-12,6.51,0.04,162.75
1991-09-13,6.44,0.04,161.0
1991-09-16,6.51,0.04,162.75
1991-09-17,6.39,0.04,159.75
1991-09-18,6.42,0.04,160.5
1991-09-19,6.41,0.04,160.25
1991-09-20,6.54,0.04,163.5
1991-09-23,6.56,0.04,164.0
1991-09-24,6.71,0.04,167.75
1991-09-25,6.77,0.04,169.25
1991-09-26,6.72,0.04,168.0
1991-09-27,6.61,0.04,165.25
1991-09-30,6.61,0.04,165.25
1991-10-01,6.42,0.04,160.5
1991-10-02,6.24,0.04,156.0
1991-10-03,6.31,0.04,157.75
1991-10-04,6.39,0.04,159.75
1991-10-07,6.41,0.04,160.25
1991-10-08,6.46,0.04,161.5
1991-10-09,6.37,0.04,159.25
1991-10-10,6.39,0.04,159.75
1991-10-11,6.36,0.04,159.0
1991-10-14,6.44,0.04,161.0
1991-10-15,6.42,0.04,160.5
1991-10-16,6.52,0.04,163.0
1991-10-17,6.69,0.04,167.25
1991-10-18,6.69,0.04,167.25
1991-10-21,6.62,0.04,165.5
1991-10-22,6.56,0.04,164.0
1991-10-23,6.62,0.04,165.5
1991-10-24,6.56,0.04,164.0
1991-10-25,6.54,0.04,163.5
1991-10-28,6.64,0.04,166.0
1991-10-29,6.82,0.04,170.5
1991-10-30,6.96,0.04,174.0
1991-10-31,6.77,0.04,169.25
1991-11-01,6.87,0.04,171.75
1991-11-04,6.96,0.04,174.0
1991-11-05,7.02,0.04,175.49999999999997
1991-11-06,6.96,0.04,174.0
1991-11-07,6.96,0.04,174.0
1991-11-08,6.99,0.04,174.75
1991-11-11,6.97,0.04,174.25
1991-11-12,7.04,0.04,176.0
1991-11-13,6.91,0.04,172.75
1991-11-14,6.89,0.04,172.25
1991-11-15,6.47,0.04,161.75
1991-11-18,6.47,0.04,161.75
1991-11-19,6.31,0.04,157.75
1991-11-20,6.31,0.04,157.75
1991-11-21,6.44,0.04,161.0
1991-11-22,6.39,0.04,159.75
1991-11-25,6.07,0.04,151.75
1991-11-26,6.01,0.04,150.25
1991-11-27,5.82,0.04,145.5
1991-11-29,5.99,0.04,149.75
1991-12-02,5.89,0.04,147.25
1991-12-03,5.87,0.04,146.75
1991-12-04,5.81,0.04,145.25
1991-12-05,5.74,0.04,143.5
1991-12-06,5.82,0.04,145.5
1991-12-09,5.74,0.04,143.5
1991-12-10,5.72,0.04,143.0
1991-12-11,5.64,0.04,141.0
1991-12-12,5.82,0.04,145.5
1991-12-13,5.89,0.04,147.25
1991-12-16,6.07,0.04,151.75
1991-12-17,5.86,0.04,146.5
1991-12-18,5.91,0.04,147.75
1991-12-19,6.01,0.04,150.25
1991-12-20,6.19,0.04,154.75
1991-12-23,6.52,0.04,163.0
1991-12-24,6.81,0.04,170.25
1991-12-26,6.79,0.04,169.75
1991-12-27,6.86,0.04,171.5
1991-12-30,7.16,0.04,179.0
1991-12-31,7.32,0.04,183.0
1992-01-02,7.27,0.04,181.74999999999997
1992-01-03,7.19,0.04,179.75
1992-01-06,7.22,0.04,180.5
1992-01-07,7.17,0.04,179.25
1992-01-08,7.21,0.04,180.25
1992-01-09,7.39,0.04,184.75
1992-01-10,7.22,0.04,180.5
1992-01-13,7.14,0.04,178.5
1992-01-14,7.09,0.04,177.25
1992-01-15,7.34,0.04,183.5
1992-01-16,7.77,0.04,194.24999999999997
1992-01-17,7.89,0.04,197.25
1992-01-20,7.79,0.04,194.75
1992-01-21,7.69,0.04,192.25
1992-01-22,7.8,0.04,195.0
1992-01-23,7.89,0.04,197.25
1992-01-24,7.92,0.04,198.0
1992-01-27,7.9,0.04,197.5
1992-01-28,7.75,0.04,193.75
1992-01-29,7.72,0.04,193.0
1992-01-30,7.92,0.04,198.0
1992-01-31,7.89,0.04,197.25
1992-02-03,7.7,0.04,192.5
1992-02-04,7.6,0.04,190.0
1992-02-05,7.64,0.04,191.0
1992-02-06,7.75,0.04,193.75
1992-02-07,7.72,0.04,193.0
1992-02-10,7.75,0.04,193.75
1992-02-11,7.99,0.04,199.75
1992-02-12,8.12,0.04,202.99999999999997
1992-02-13,8.05,0.04,201.25
1992-02-14,8.29,0.04,207.24999999999997
1992-02-18,8.62,0.04,215.49999999999997
1992-02-19,8.5,0.04,212.5
1992-02-20,8.6,0.04,215.0
1992-02-21,8.67,0.04,216.75
1992-02-24,8.64,0.04,216.0
1992-02-25,8.47,0.04,211.75
1992-02-26,8.64,0.04,216.0
1992-02-27,8.32,0.04,208.0
1992-02-28,8.2,0.04,204.99999999999997
1992-03-02,8.24,0.04,206.0
1992-03-03,8.44,0.04,210.99999999999997
1992-03-04,8.39,0.04,209.75
1992-03-05,8.3,0.04,207.5
1992-03-06,8.17,0.04,204.25
1992-03-09,8.2,0.04,204.99999999999997
1992-03-10,8.17,0.04,204.25
1992-03-11,7.97,0.04,199.25
1992-03-12,7.89,0.04,197.25
1992-03-13,8.09,0.04,202.25
1992-03-16,8.05,0.04,201.25
1992-03-17,8.25,0.04,206.25
1992-03-18,8.59,0.04,214.75
1992-03-19,8.64,0.04,216.0
1992-03-20,8.65,0.04,216.25
1992-03-23,8.6,0.04,215.0
1992-03-24,8.5,0.04,212.5
1992-03-25,8.39,0.04,209.75
1992-03-26,8.37,0.04,209.24999999999997
1992-03-27,8.3,0.04,207.5
1992-03-30,8.37,0.04,209.24999999999997
1992-03-31,8.29,0.04,207.24999999999997
1992-04-01,8.12,0.04,202.99999999999997
1992-04-02,8.02,0.04,200.49999999999997
1992-04-03,7.72,0.04,193.0
1992-04-06,7.8,0.04,195.0
1992-04-07,7.57,0.04,189.25
1992-04-08,7.49,0.04,187.25
1992-04-09,7.85,0.04,196.25
1992-04-10,8.05,0.04,201.25
1992-04-13,8.0,0.04,200.0
1992-04-14,8.05,0.04,201.25
1992-04-15,8.17,0.04,204.25
1992-04-16,8.25,0.04,206.25
1992-04-20,8.24,0.04,206.0
1992-04-21,8.27,0.04,206.74999999999997
1992-04-22,8.02,0.04,200.49999999999997
1992-04-23,8.25,0.04,206.25
1992-04-24,8.24,0.04,206.0
1992-04-27,8.1,0.04,202.5
1992-04-28,7.94,0.04,198.5
1992-04-29,8.09,0.04,202.25
1992-04-30,8.12,0.04,202.99999999999997
1992-05-01,8.07,0.04,201.75
1992-05-04,8.1,0.04,202.5
1992-05-05,8.2,0.04,204.99999999999997
1992-05-06,8.25,0.04,206.25
1992-05-07,8.29,0.04,207.24999999999997
1992-05-08,8.44,0.04,210.99999999999997
1992-05-11,8.57,0.04,214.25
1992-05-12,8.37,0.04,209.24999999999997
1992-05-13,8.15,0.04,203.75
1992-05-14,8.22,0.04,205.5
1992-05-15,8.19,0.04,204.74999999999997
1992-05-18,8.22,0.04,205.5
1992-05-19,8.34,0.04,208.5
1992-05-20,8.27,0.04,206.74999999999997
1992-05-21,8.14,0.04,203.5
1992-05-22,8.14,0.04,203.5
1992-05-26,7.99,0.04,199.75
1992-05-27,7.92,0.04,198.0
1992-05-28,8.04,0.04,200.99999999999997
1992-05-29,8.1,0.04,202.5
1992-06-01,8.07,0.04,201.75
1992-06-02,8.19,0.04,204.74999999999997
1992-06-03,8.15,0.04,203.75
1992-06-04,8.09,0.04,202.25
1992-06-05,8.19,0.04,204.74999999999997
1992-06-08,8.25,0.04,206.25
1992-06-09,8.12,0.04,202.99999999999997
1992-06-10,7.99,0.04,199.75
1992-06-11,7.99,0.04,199.75
1992-06-12,7.99,0.04,199.75
1992-06-15,8.12,0.04,202.99999999999997
1992-06-16,7.89,0.04,197.25
1992-06-17,7.26,0.04,181.5
1992-06-18,7.19,0.04,179.75
1992-06-19,7.16,0.04,179.0
1992-06-22,6.92,0.04,173.0
1992-06-23,7.02,0.04,175.49999999999997
1992-06-24,7.39,0.04,184.75
1992-06-25,7.16,0.04,179.0
1992-06-26,6.99,0.04,174.75
1992-06-29,7.26,0.04,181.5
1992-06-30,7.32,0.04,183.0
1992-07-01,7.52,0.04,187.99999999999997
1992-07-02,7.19,0.04,179.75
1992-07-06,6.92,0.04,173.0
1992-07-07,6.79,0.04,169.75
1992-07-08,6.89,0.04,172.25
1992-07-09,7.09,0.04,177.25
1992-07-10,7.19,0.04,179.75
1992-07-13,7.22,0.04,180.5
1992-07-14,7.09,0.04,177.25
1992-07-15,7.32,0.04,183.0
1992-07-16,7.55,0.04,188.75
1992-07-17,7.19,0.04,179.75
1992-07-20,7.12,0.04,178.0
1992-07-21,7.19,0.04,179.75
1992-07-22,7.16,0.04,179.0
