date,FOX,FOX_EPS,PE Ratio
2019-06-24,35.54,1.84,19.315217391304348
2019-06-25,35.19,1.84,19.124999999999996
2019-06-26,35.31,1.84,19.190217391304348
2019-06-27,35.75,1.84,19.429347826086957
2019-06-28,36.53,1.84,19.85326086956522
2019-07-01,35.96,1.84,19.543478260869566
2019-07-02,36.53,1.84,19.85326086956522
2019-07-03,36.35,1.84,19.755434782608695
2019-07-05,36.56,1.84,19.869565217391305
2019-07-08,36.13,1.84,19.63586956521739
2019-07-09,36.01,1.84,19.570652173913043
2019-07-10,36.14,1.84,19.641304347826086
2019-07-11,36.31,1.84,19.733695652173914
2019-07-12,36.96,1.84,20.08695652173913
2019-07-15,37.04,1.84,20.130434782608695
2019-07-16,36.69,1.84,19.940217391304344
2019-07-17,36.17,1.84,19.657608695652176
2019-07-18,36.61,1.84,19.89673913043478
2019-07-19,36.45,1.84,19.809782608695652
2019-07-22,36.32,1.84,19.73913043478261
2019-07-23,36.51,1.84,19.842391304347824
2019-07-24,36.89,1.84,20.04891304347826
2019-07-25,37.43,1.84,20.342391304347824
2019-07-26,37.49,1.84,20.375
2019-07-29,37.69,1.84,20.48369565217391
2019-07-30,37.85,1.84,20.570652173913043
2019-07-31,37.2,1.84,20.217391304347828
2019-08-01,36.84,1.84,20.021739130434785
2019-08-02,36.56,1.84,19.869565217391305
2019-08-05,36.0,1.84,19.565217391304348
2019-08-06,36.4,1.84,19.782608695652172
2019-08-07,36.79,1.84,19.994565217391305
2019-08-08,35.0,1.84,19.02173913043478
2019-08-09,35.37,0.73,48.45205479452054
2019-08-12,34.81,0.73,47.68493150684932
2019-08-13,35.0,0.73,47.945205479452056
2019-08-14,33.66,0.73,46.10958904109589
2019-08-15,32.81,0.73,44.945205479452056
2019-08-16,33.01,0.73,45.21917808219178
2019-08-19,33.6,0.73,46.02739726027398
2019-08-20,33.36,0.73,45.6986301369863
2019-08-21,33.15,0.73,45.41095890410959
2019-08-22,32.82,0.73,44.95890410958904
2019-08-23,31.44,0.73,43.06849315068494
2019-08-26,31.71,0.73,43.43835616438356
2019-08-27,31.62,0.73,43.31506849315069
2019-08-28,31.56,0.73,43.23287671232877
2019-08-29,32.45,0.73,44.452054794520556
2019-08-30,32.8,0.73,44.93150684931506
2019-09-03,32.43,0.73,44.42465753424658
2019-09-04,33.21,0.73,45.49315068493151
2019-09-05,33.91,0.73,46.45205479452054
2019-09-06,33.87,0.73,46.3972602739726
2019-09-09,33.99,0.73,46.561643835616444
2019-09-10,34.22,0.73,46.87671232876712
2019-09-11,33.97,0.73,46.534246575342465
2019-09-12,33.7,0.73,46.16438356164384
2019-09-13,33.71,0.73,46.178082191780824
2019-09-16,33.49,0.73,45.87671232876713
2019-09-17,32.82,0.73,44.95890410958904
2019-09-18,32.5,0.73,44.52054794520548
2019-09-19,31.97,0.73,43.794520547945204
2019-09-20,32.08,0.73,43.945205479452056
2019-09-23,32.18,0.73,44.082191780821915
2019-09-24,31.53,0.73,43.19178082191781
2019-09-25,32.0,0.73,43.83561643835616
2019-09-26,31.47,0.73,43.10958904109589
2019-09-27,31.48,0.73,43.12328767123288
2019-09-30,31.54,0.73,43.205479452054796
2019-10-01,31.18,0.73,42.71232876712329
2019-10-02,30.31,0.73,41.52054794520548
2019-10-03,30.39,0.73,41.63013698630137
2019-10-04,30.49,0.73,41.76712328767123
2019-10-07,30.49,0.73,41.76712328767123
2019-10-08,30.04,0.73,41.15068493150685
2019-10-09,30.26,0.73,41.45205479452055
2019-10-10,30.42,0.73,41.67123287671233
2019-10-11,31.16,0.73,42.68493150684932
2019-10-14,31.01,0.73,42.47945205479452
2019-10-15,31.44,0.73,43.06849315068494
2019-10-16,31.58,0.73,43.26027397260274
2019-10-17,31.49,0.73,43.13698630136986
2019-10-18,31.53,0.73,43.19178082191781
2019-10-21,32.09,0.73,43.95890410958905
2019-10-22,32.77,0.73,44.89041095890411
2019-10-23,32.61,0.73,44.67123287671233
2019-10-24,31.6,0.73,43.28767123287672
2019-10-25,31.7,0.73,43.42465753424658
2019-10-28,32.21,0.73,44.12328767123288
2019-10-29,32.05,0.73,43.90410958904109
2019-10-30,31.36,0.73,42.95890410958904
2019-10-31,31.24,0.73,42.794520547945204
2019-11-01,31.86,0.73,43.64383561643836
2019-11-04,31.9,0.73,43.6986301369863
2019-11-05,32.15,0.73,44.04109589041096
2019-11-06,32.33,0.8,40.412499999999994
2019-11-07,34.25,0.8,42.8125
2019-11-08,34.43,0.8,43.037499999999994
2019-11-11,34.22,0.8,42.775
2019-11-12,33.81,0.8,42.2625
2019-11-13,33.57,0.8,41.9625
2019-11-14,33.45,0.8,41.8125
2019-11-15,33.6,0.8,42.0
2019-11-18,34.46,0.8,43.074999999999996
2019-11-19,35.43,0.8,44.287499999999994
2019-11-20,34.99,0.8,43.7375
2019-11-21,34.78,0.8,43.475
2019-11-22,34.88,0.8,43.6
2019-11-25,34.85,0.8,43.5625
2019-11-26,35.19,0.8,43.9875
2019-11-27,35.03,0.8,43.7875
2019-11-29,34.98,0.8,43.724999999999994
2019-12-02,34.81,0.8,43.5125
2019-12-03,34.35,0.8,42.9375
2019-12-04,34.64,0.8,43.3
2019-12-05,34.63,0.8,43.2875
2019-12-06,34.6,0.8,43.25
2019-12-09,34.79,0.8,43.4875
2019-12-10,34.92,0.8,43.65
2019-12-11,35.29,0.8,44.1125
2019-12-12,35.96,0.8,44.949999999999996
2019-12-13,35.86,0.8,44.824999999999996
2019-12-16,35.89,0.8,44.8625
2019-12-17,36.24,0.8,45.3
2019-12-18,36.0,0.8,45.0
2019-12-19,36.05,0.8,45.06249999999999
2019-12-20,36.22,0.8,45.275
2019-12-23,36.63,0.8,45.7875
2019-12-24,36.5,0.8,45.625
2019-12-26,36.8,0.8,45.99999999999999
2019-12-27,36.72,0.8,45.9
2019-12-30,36.44,0.8,45.55
2019-12-31,36.4,0.8,45.49999999999999
2020-01-02,36.46,0.8,45.574999999999996
2020-01-03,36.1,0.8,45.125
2020-01-06,36.01,0.8,45.012499999999996
2020-01-07,36.47,0.8,45.5875
2020-01-08,36.42,0.8,45.525
2020-01-09,36.5,0.8,45.625
2020-01-10,36.08,0.8,45.099999999999994
2020-01-13,36.3,0.8,45.37499999999999
2020-01-14,36.54,0.8,45.675
2020-01-15,36.79,0.8,45.9875
2020-01-16,38.23,0.8,47.787499999999994
2020-01-17,38.58,0.8,48.224999999999994
2020-01-21,38.41,0.8,48.012499999999996
2020-01-22,38.4,0.8,47.99999999999999
2020-01-23,36.9,0.8,46.12499999999999
2020-01-24,36.04,0.8,45.05
2020-01-27,36.37,0.8,45.46249999999999
2020-01-28,36.62,0.8,45.77499999999999
2020-01-29,35.99,0.8,44.9875
2020-01-30,36.46,0.8,45.574999999999996
2020-01-31,36.33,0.8,45.412499999999994
2020-02-03,36.83,0.8,46.037499999999994
2020-02-04,37.4,0.8,46.74999999999999
2020-02-05,37.93,0.49,77.40816326530613
2020-02-06,36.5,0.49,74.48979591836735
2020-02-07,36.37,0.49,74.22448979591836
2020-02-10,36.78,0.49,75.06122448979592
2020-02-11,36.61,0.49,74.71428571428571
2020-02-12,37.16,0.49,75.83673469387755
2020-02-13,37.52,0.49,76.57142857142858
2020-02-14,37.31,0.49,76.14285714285715
2020-02-18,37.22,0.49,75.95918367346938
2020-02-19,37.53,0.49,76.59183673469389
2020-02-20,36.54,0.49,74.57142857142857
2020-02-21,35.5,0.49,72.44897959183673
2020-02-24,34.27,0.49,69.9387755102041
2020-02-25,32.83,0.49,67.0
2020-02-26,32.4,0.49,66.12244897959184
2020-02-27,30.99,0.49,63.244897959183675
2020-02-28,30.45,0.49,62.142857142857146
2020-03-02,31.79,0.49,64.87755102040816
2020-03-03,30.71,0.49,62.673469387755105
2020-03-04,30.67,0.49,62.591836734693885
2020-03-05,29.12,0.49,59.42857142857143
2020-03-06,28.52,0.49,58.204081632653065
2020-03-09,27.13,0.49,55.36734693877551
2020-03-10,28.76,0.49,58.693877551020414
2020-03-11,27.52,0.49,56.16326530612245
2020-03-12,25.56,0.49,52.16326530612245
2020-03-13,25.38,0.49,51.795918367346935
2020-03-16,23.19,0.49,47.3265306122449
2020-03-17,23.79,0.49,48.55102040816327
2020-03-18,21.41,0.49,43.69387755102041
2020-03-19,21.94,0.49,44.775510204081634
2020-03-20,20.05,0.49,40.91836734693878
2020-03-23,19.81,0.49,40.42857142857142
2020-03-24,21.65,0.49,44.183673469387756
2020-03-25,23.34,0.49,47.63265306122449
2020-03-26,24.6,0.49,50.204081632653065
2020-03-27,22.04,0.49,44.97959183673469
2020-03-30,23.77,0.49,48.51020408163265
2020-03-31,22.88,0.49,46.69387755102041
2020-04-01,21.57,0.49,44.02040816326531
2020-04-02,21.84,0.49,44.57142857142857
2020-04-03,21.59,0.49,44.06122448979592
2020-04-06,24.45,0.49,49.89795918367347
2020-04-07,24.97,0.49,50.95918367346938
2020-04-08,25.82,0.49,52.69387755102041
2020-04-09,25.64,0.49,52.3265306122449
2020-04-13,25.4,0.49,51.836734693877546
2020-04-14,26.01,0.49,53.08163265306123
2020-04-15,25.17,0.49,51.36734693877551
2020-04-16,25.13,0.49,51.285714285714285
2020-04-17,26.23,0.49,53.53061224489796
2020-04-20,25.69,0.49,52.42857142857143
2020-04-21,25.05,0.49,51.12244897959184
2020-04-22,24.59,0.49,50.183673469387756
2020-04-23,24.45,0.49,49.89795918367347
2020-04-24,24.52,0.49,50.04081632653061
2020-04-27,26.01,0.49,53.08163265306123
2020-04-28,26.97,0.49,55.04081632653061
2020-04-29,27.95,0.49,57.04081632653061
2020-04-30,25.56,0.49,52.16326530612245
2020-05-01,25.02,0.49,51.06122448979592
2020-05-04,24.63,0.49,50.265306122448976
2020-05-05,23.85,0.49,48.673469387755105
2020-05-06,24.61,0.49,50.224489795918366
2020-05-07,25.01,1.43,17.48951048951049
2020-05-08,25.73,1.43,17.993006993006993
2020-05-11,25.45,1.43,17.797202797202797
2020-05-12,24.89,1.43,17.405594405594407
2020-05-13,24.06,1.43,16.825174825174827
2020-05-14,25.12,1.43,17.566433566433567
2020-05-15,25.5,1.43,17.832167832167833
2020-05-18,26.86,1.43,18.783216783216783
2020-05-19,26.94,1.43,18.83916083916084
2020-05-20,27.37,1.43,19.13986013986014
2020-05-21,27.23,1.43,19.041958041958043
2020-05-22,27.37,1.43,19.13986013986014
2020-05-26,28.59,1.43,19.993006993006993
2020-05-27,29.3,1.43,20.48951048951049
2020-05-28,28.66,1.43,20.041958041958043
2020-05-29,28.78,1.43,20.125874125874127
2020-06-01,29.14,1.43,20.37762237762238
2020-06-02,28.87,1.43,20.18881118881119
2020-06-03,30.22,1.43,21.132867132867133
2020-06-04,29.95,1.43,20.944055944055943
2020-06-05,30.25,1.43,21.153846153846153
2020-06-08,31.68,1.43,22.153846153846153
2020-06-09,30.33,1.43,21.20979020979021
2020-06-10,29.73,1.43,20.79020979020979
2020-06-11,27.62,1.43,19.314685314685317
2020-06-12,27.95,1.43,19.545454545454547
2020-06-15,28.86,1.43,20.181818181818183
2020-06-16,28.02,1.43,19.594405594405593
2020-06-17,27.76,1.43,19.412587412587413
2020-06-18,28.66,1.43,20.041958041958043
2020-06-19,27.82,1.43,19.454545454545457
2020-06-22,27.6,1.43,19.300699300699304
2020-06-23,27.809999,1.43,19.44755174825175
2020-06-24,27.01,1.43,18.88811188811189
2020-06-25,26.75,1.43,18.706293706293707
2020-06-26,25.75,1.43,18.006993006993007
2020-06-29,26.790001,1.43,18.734266433566436
2020-06-30,26.84,1.43,18.76923076923077
2020-07-01,26.915001,1.43,18.821679020979023
2020-07-02,26.549999,1.43,18.566432867132868
2020-07-06,26.530001,1.43,18.552448251748253
2020-07-07,25.77,1.43,18.02097902097902
2020-07-08,25.389999,1.43,17.755244055944058
2020-07-09,24.451,1.43,17.0986013986014
2020-07-10,25.389999,1.43,17.755244055944058
2020-07-13,25.049999,1.43,17.517481818181817
2020-07-14,25.129999,1.43,17.573425874125874
2020-07-15,26.25,1.43,18.356643356643357
2020-07-16,26.395,1.43,18.45804195804196
2020-07-17,25.26,1.43,17.664335664335667
2020-07-20,24.82,1.43,17.356643356643357
2020-07-21,25.35,1.43,17.72727272727273
2020-07-22,25.870001,1.43,18.09090979020979
2020-07-23,26.129999,1.43,18.272726573426574
2020-07-24,26.49,1.43,18.524475524475523
2020-07-27,25.690001,1.43,17.965035664335666
2020-07-28,25.709999,1.43,17.97902027972028
2020-07-29,25.92,1.43,18.125874125874127
2020-07-30,25.879999,1.43,18.0979013986014
2020-07-31,25.77,1.43,18.02097902097902
2020-08-03,26.25,1.43,18.356643356643357
2020-08-04,26.709999,1.43,18.67832097902098
2020-08-05,24.85,1.43,17.37762237762238
2020-08-06,25.16,1.43,17.594405594405597
2020-08-07,24.889999,1.43,17.405593706293708
2020-08-10,24.68,1.43,17.25874125874126
2020-08-11,24.940001,1.43,17.44056013986014
2020-08-12,25.209999,1.43,17.62936993006993
2020-08-13,25.690001,1.43,17.965035664335666
2020-08-14,25.82,1.43,18.055944055944057
2020-08-17,25.709999,1.43,17.97902027972028
2020-08-18,25.735001,1.43,17.996504195804196
2020-08-19,25.92,1.43,18.125874125874127
2020-08-20,25.92,1.43,18.125874125874127
2020-08-21,26.01,1.43,18.18881118881119
