date,CHD,CHD_EPS,PE Ratio
1990-01-04,1.49,0.02,74.5
1990-01-05,1.46,0.02,73.0
1990-01-08,1.44,0.02,72.0
1990-01-09,1.42,0.02,71.0
1990-01-10,1.42,0.02,71.0
1990-01-11,1.42,0.02,71.0
1990-01-12,1.35,0.02,67.5
1990-01-15,1.33,0.02,66.5
1990-01-16,1.35,0.02,67.5
1990-01-17,1.34,0.02,67.0
1990-01-18,1.34,0.02,67.0
1990-01-19,1.33,0.02,66.5
1990-01-22,1.32,0.02,66.0
1990-01-23,1.3,0.02,65.0
1990-01-24,1.26,0.02,63.0
1990-01-25,1.3,0.02,65.0
1990-01-26,1.29,0.02,64.5
1990-01-29,1.26,0.02,63.0
1990-01-30,1.25,0.02,62.5
1990-01-31,1.26,0.02,63.0
1990-02-01,1.27,0.02,63.5
1990-02-02,1.3,0.02,65.0
1990-02-05,1.29,0.02,64.5
1990-02-06,1.3,0.02,65.0
1990-02-07,1.32,0.02,66.0
1990-02-08,1.36,0.02,68.0
1990-02-09,1.34,0.02,67.0
1990-02-12,1.35,0.02,67.5
1990-02-13,1.34,0.02,67.0
1990-02-14,1.33,0.02,66.5
1990-02-15,1.33,0.02,66.5
1990-02-16,1.35,0.02,67.5
1990-02-20,1.32,0.02,66.0
1990-02-21,1.33,0.02,66.5
1990-02-22,1.3,0.02,65.0
1990-02-23,1.29,0.02,64.5
1990-02-26,1.28,0.02,64.0
1990-02-27,1.27,0.02,63.5
1990-02-28,1.28,0.02,64.0
1990-03-01,1.29,0.02,64.5
1990-03-02,1.32,0.02,66.0
1990-03-05,1.29,0.02,64.5
1990-03-06,1.28,0.02,64.0
1990-03-07,1.29,0.02,64.5
1990-03-08,1.32,0.02,66.0
1990-03-09,1.29,0.02,64.5
1990-03-12,1.29,0.02,64.5
1990-03-13,1.32,0.02,66.0
1990-03-14,1.34,0.02,67.0
1990-03-15,1.33,0.02,66.5
1990-03-16,1.34,0.02,67.0
1990-03-19,1.35,0.02,67.5
1990-03-20,1.33,0.02,66.5
1990-03-21,1.32,0.02,66.0
1990-03-22,1.33,0.02,66.5
1990-03-23,1.34,0.02,67.0
1990-03-26,1.3,0.02,65.0
1990-03-27,1.32,0.02,66.0
1990-03-28,1.34,0.02,67.0
1990-03-29,1.33,0.02,66.5
1990-03-30,1.36,0.02,68.0
1990-04-02,1.35,0.02,67.5
1990-04-03,1.35,0.02,67.5
1990-04-04,1.35,0.02,67.5
1990-04-05,1.38,0.02,69.0
1990-04-06,1.35,0.02,67.5
1990-04-09,1.42,0.02,71.0
1990-04-10,1.42,0.02,71.0
1990-04-11,1.42,0.02,71.0
1990-04-12,1.43,0.02,71.5
1990-04-16,1.43,0.02,71.5
1990-04-17,1.41,0.02,70.5
1990-04-18,1.36,0.02,68.0
1990-04-19,1.35,0.02,67.5
1990-04-20,1.36,0.02,68.0
1990-04-23,1.36,0.02,68.0
1990-04-24,1.35,0.02,67.5
1990-04-25,1.33,0.02,66.5
1990-04-26,1.43,0.02,71.5
1990-04-27,1.44,0.02,72.0
1990-04-30,1.45,0.02,72.5
1990-05-01,1.45,0.02,72.5
1990-05-02,1.41,0.02,70.5
1990-05-03,1.41,0.02,70.5
1990-05-04,1.43,0.02,71.5
1990-05-07,1.46,0.02,73.0
1990-05-08,1.48,0.02,74.0
1990-05-09,1.51,0.02,75.5
1990-05-10,1.49,0.02,74.5
1990-05-11,1.53,0.02,76.5
1990-05-14,1.51,0.02,75.5
1990-05-15,1.52,0.02,76.0
1990-05-16,1.5,0.02,75.0
1990-05-17,1.52,0.02,76.0
1990-05-18,1.51,0.02,75.5
1990-05-21,1.53,0.02,76.5
1990-05-22,1.57,0.02,78.5
1990-05-23,1.56,0.02,78.0
1990-05-24,1.58,0.02,79.0
1990-05-25,1.57,0.02,78.5
1990-05-29,1.57,0.02,78.5
1990-05-30,1.57,0.02,78.5
1990-05-31,1.53,0.02,76.5
1990-06-01,1.6,0.02,80.0
1990-06-04,1.67,0.02,83.5
1990-06-05,1.66,0.02,83.0
1990-06-06,1.64,0.02,82.0
1990-06-07,1.65,0.02,82.5
1990-06-08,1.64,0.02,82.0
1990-06-11,1.72,0.02,86.0
1990-06-12,1.69,0.02,84.5
1990-06-13,1.68,0.02,84.0
1990-06-14,1.67,0.02,83.5
1990-06-15,1.67,0.02,83.5
1990-06-18,1.54,0.02,77.0
1990-06-19,1.61,0.02,80.5
1990-06-20,1.64,0.02,82.0
1990-06-21,1.66,0.02,83.0
1990-06-22,1.63,0.02,81.5
1990-06-25,1.65,0.02,82.5
1990-06-26,1.64,0.02,82.0
1990-06-27,1.64,0.02,82.0
1990-06-28,1.64,0.02,82.0
1990-06-29,1.6,0.02,80.0
1990-07-02,1.61,0.02,80.5
1990-07-03,1.6,0.02,80.0
1990-07-05,1.58,0.02,79.0
1990-07-06,1.55,0.02,77.5
1990-07-09,1.57,0.02,78.5
1990-07-10,1.59,0.02,79.5
1990-07-11,1.63,0.02,81.5
1990-07-12,1.58,0.02,79.0
1990-07-13,1.55,0.02,77.5
1990-07-16,1.54,0.02,77.0
1990-07-17,1.5,0.02,75.0
1990-07-18,1.44,0.02,72.0
1990-07-19,1.44,0.02,72.0
1990-07-20,1.46,0.02,73.0
1990-07-23,1.47,0.02,73.5
1990-07-24,1.51,0.02,75.5
1990-07-25,1.53,0.02,76.5
1990-07-26,1.54,0.02,77.0
1990-07-27,1.55,0.02,77.5
1990-07-30,1.53,0.02,76.5
1990-07-31,1.56,0.02,78.0
1990-08-01,1.65,0.02,82.5
1990-08-02,1.58,0.02,79.0
1990-08-03,1.54,0.02,77.0
1990-08-06,1.5,0.02,75.0
1990-08-07,1.46,0.02,73.0
1990-08-08,1.5,0.02,75.0
1990-08-09,1.52,0.02,76.0
1990-08-10,1.5,0.02,75.0
1990-08-13,1.51,0.02,75.5
1990-08-14,1.54,0.02,77.0
1990-08-15,1.54,0.02,77.0
1990-08-16,1.5,0.02,75.0
1990-08-17,1.49,0.02,74.5
1990-08-20,1.48,0.02,74.0
1990-08-21,1.46,0.02,73.0
1990-08-22,1.45,0.02,72.5
1990-08-23,1.4,0.02,70.0
1990-08-24,1.44,0.02,72.0
1990-08-27,1.49,0.02,74.5
1990-08-28,1.49,0.02,74.5
1990-08-29,1.56,0.02,78.0
1990-08-30,1.54,0.02,77.0
1990-08-31,1.54,0.02,77.0
1990-09-04,1.52,0.02,76.0
1990-09-05,1.52,0.02,76.0
1990-09-06,1.49,0.02,74.5
1990-09-07,1.5,0.02,75.0
1990-09-10,1.51,0.02,75.5
1990-09-11,1.51,0.02,75.5
1990-09-12,1.52,0.02,76.0
1990-09-13,1.52,0.02,76.0
1990-09-14,1.5,0.02,75.0
1990-09-17,1.49,0.02,74.5
1990-09-18,1.52,0.02,76.0
1990-09-19,1.47,0.02,73.5
1990-09-20,1.48,0.02,74.0
1990-09-21,1.47,0.02,73.5
1990-09-24,1.45,0.02,72.5
1990-09-25,1.45,0.02,72.5
1990-09-26,1.44,0.02,72.0
1990-09-27,1.48,0.02,74.0
1990-09-28,1.45,0.02,72.5
1990-10-01,1.42,0.02,71.0
1990-10-02,1.43,0.02,71.5
1990-10-03,1.43,0.02,71.5
1990-10-04,1.42,0.02,71.0
1990-10-05,1.42,0.02,71.0
1990-10-08,1.42,0.02,71.0
1990-10-09,1.38,0.02,69.0
1990-10-10,1.38,0.02,69.0
1990-10-11,1.29,0.02,64.5
1990-10-12,1.26,0.02,63.0
1990-10-15,1.27,0.02,63.5
1990-10-16,1.25,0.02,62.5
1990-10-17,1.29,0.02,64.5
1990-10-18,1.31,0.02,65.5
1990-10-19,1.38,0.02,69.0
1990-10-22,1.35,0.02,67.5
1990-10-23,1.32,0.02,66.0
1990-10-24,1.2,0.02,60.0
1990-10-25,1.21,0.02,60.5
1990-10-26,1.25,0.02,62.5
1990-10-29,1.24,0.02,62.0
1990-10-30,1.24,0.02,62.0
1990-10-31,1.24,0.02,62.0
1990-11-01,1.24,0.02,62.0
1990-11-02,1.29,0.02,64.5
1990-11-05,1.27,0.02,63.5
1990-11-06,1.28,0.02,64.0
1990-11-07,1.28,0.02,64.0
1990-11-08,1.29,0.02,64.5
1990-11-09,1.29,0.02,64.5
1990-11-12,1.29,0.02,64.5
1990-11-13,1.32,0.02,66.0
1990-11-14,1.32,0.02,66.0
1990-11-15,1.3,0.02,65.0
1990-11-16,1.31,0.02,65.5
1990-11-19,1.3,0.02,65.0
1990-11-20,1.29,0.02,64.5
1990-11-21,1.29,0.02,64.5
1990-11-23,1.31,0.02,65.5
1990-11-26,1.32,0.02,66.0
1990-11-27,1.38,0.02,69.0
1990-11-28,1.38,0.02,69.0
1990-11-29,1.4,0.02,70.0
1990-11-30,1.41,0.02,70.5
1990-12-03,1.33,0.02,66.5
1990-12-04,1.33,0.02,66.5
1990-12-05,1.41,0.02,70.5
1990-12-06,1.44,0.02,72.0
1990-12-07,1.41,0.02,70.5
1990-12-10,1.42,0.02,71.0
1990-12-11,1.42,0.02,71.0
1990-12-12,1.42,0.02,71.0
1990-12-13,1.45,0.02,72.5
1990-12-14,1.43,0.02,71.5
1990-12-17,1.44,0.02,72.0
1990-12-18,1.42,0.02,71.0
1990-12-19,1.46,0.02,73.0
1990-12-20,1.44,0.02,72.0
1990-12-21,1.44,0.02,72.0
1990-12-24,1.42,0.02,71.0
1990-12-26,1.45,0.02,72.5
1990-12-27,1.5,0.02,75.0
1990-12-28,1.51,0.02,75.5
1990-12-31,1.47,0.02,73.5
1991-01-02,1.44,0.02,72.0
1991-01-03,1.42,0.02,71.0
1991-01-04,1.42,0.02,71.0
1991-01-07,1.4,0.02,70.0
1991-01-08,1.36,0.02,68.0
1991-01-09,1.41,0.02,70.5
1991-01-10,1.41,0.02,70.5
1991-01-11,1.41,0.02,70.5
1991-01-14,1.42,0.02,71.0
1991-01-15,1.42,0.02,71.0
1991-01-16,1.42,0.02,71.0
1991-01-17,1.44,0.02,72.0
1991-01-18,1.43,0.02,71.5
1991-01-21,1.44,0.02,72.0
1991-01-22,1.5,0.02,75.0
1991-01-23,1.57,0.02,78.5
1991-01-24,1.56,0.02,78.0
1991-01-25,1.53,0.02,76.5
1991-01-28,1.54,0.02,77.0
1991-01-29,1.56,0.02,78.0
1991-01-30,1.63,0.02,81.5
1991-01-31,1.63,0.02,81.5
1991-02-01,1.67,0.02,83.5
1991-02-04,1.71,0.02,85.5
1991-02-05,1.73,0.02,86.5
1991-02-06,1.74,0.02,87.0
1991-02-07,1.75,0.02,87.5
1991-02-08,1.75,0.02,87.5
1991-02-11,1.75,0.02,87.5
1991-02-12,1.74,0.02,87.0
1991-02-13,1.78,0.02,89.0
1991-02-14,1.81,0.02,90.5
1991-02-15,1.86,0.02,93.0
1991-02-19,1.81,0.02,90.5
1991-02-20,1.81,0.02,90.5
1991-02-21,1.83,0.02,91.5
1991-02-22,1.86,0.02,93.0
1991-02-25,1.84,0.02,92.0
1991-02-26,1.77,0.02,88.5
1991-02-27,1.76,0.02,88.0
1991-02-28,1.73,0.02,86.5
1991-03-01,1.74,0.02,87.0
1991-03-04,1.75,0.02,87.5
1991-03-05,1.73,0.02,86.5
1991-03-06,1.82,0.02,91.0
1991-03-07,1.88,0.02,93.99999999999999
1991-03-08,1.93,0.02,96.5
1991-03-11,1.96,0.02,98.0
1991-03-12,1.92,0.02,96.0
1991-03-13,1.98,0.02,99.0
1991-03-14,1.98,0.02,99.0
1991-03-15,1.93,0.02,96.5
1991-03-18,1.92,0.02,96.0
1991-03-19,1.86,0.02,93.0
1991-03-20,1.9,0.02,95.0
1991-03-21,1.92,0.02,96.0
1991-03-22,1.9,0.02,95.0
1991-03-25,1.97,0.02,98.5
1991-03-26,2.01,0.02,100.49999999999999
1991-03-27,1.94,0.02,97.0
1991-03-28,1.99,0.02,99.5
1991-04-01,2.0,0.02,100.0
1991-04-02,2.06,0.02,103.0
1991-04-03,2.15,0.02,107.5
1991-04-04,2.13,0.02,106.49999999999999
1991-04-05,2.06,0.02,103.0
1991-04-08,2.05,0.02,102.49999999999999
1991-04-09,2.06,0.02,103.0
1991-04-10,2.05,0.02,102.49999999999999
1991-04-11,2.13,0.02,106.49999999999999
1991-04-12,2.09,0.02,104.49999999999999
1991-04-15,2.05,0.02,102.49999999999999
1991-04-16,2.08,0.02,104.0
1991-04-17,2.13,0.02,106.49999999999999
1991-04-18,2.13,0.02,106.49999999999999
1991-04-19,2.14,0.02,107.0
1991-04-22,2.1,0.02,105.0
1991-04-23,2.13,0.02,106.49999999999999
1991-04-24,2.17,0.02,108.5
1991-04-25,2.27,0.02,113.5
1991-04-26,2.42,0.02,121.0
1991-04-29,2.31,0.02,115.5
1991-04-30,2.23,0.02,111.5
1991-05-01,2.22,0.02,111.00000000000001
1991-05-02,2.25,0.02,112.5
1991-05-03,2.25,0.02,112.5
1991-05-06,2.2,0.02,110.0
1991-05-07,2.24,0.02,112.00000000000001
1991-05-08,2.24,0.02,112.00000000000001
1991-05-09,2.28,0.02,113.99999999999999
1991-05-10,2.29,0.02,114.5
1991-05-13,2.3,0.02,114.99999999999999
1991-05-14,2.33,0.02,116.5
1991-05-15,2.33,0.02,116.5
1991-05-16,2.39,0.02,119.5
1991-05-17,2.43,0.02,121.5
1991-05-20,2.41,0.02,120.5
1991-05-21,2.42,0.02,121.0
1991-05-22,2.42,0.02,121.0
1991-05-23,2.43,0.02,121.5
1991-05-24,2.43,0.02,121.5
1991-05-28,2.5,0.02,125.0
1991-05-29,2.44,0.02,122.0
1991-05-30,2.48,0.02,124.0
1991-05-31,2.4,0.02,120.0
1991-06-03,2.42,0.02,121.0
1991-06-04,2.41,0.02,120.5
1991-06-05,2.4,0.02,120.0
1991-06-06,2.41,0.02,120.5
1991-06-07,2.38,0.02,118.99999999999999
1991-06-10,2.35,0.02,117.5
1991-06-11,2.32,0.02,115.99999999999999
1991-06-12,2.24,0.02,112.00000000000001
1991-06-13,2.29,0.02,114.5
1991-06-14,2.27,0.02,113.5
1991-06-17,2.26,0.02,112.99999999999999
1991-06-18,2.26,0.02,112.99999999999999
1991-06-19,2.24,0.02,112.00000000000001
1991-06-20,2.23,0.02,111.5
1991-06-21,2.26,0.02,112.99999999999999
1991-06-24,2.24,0.02,112.00000000000001
1991-06-25,2.2,0.02,110.0
1991-06-26,2.19,0.02,109.5
1991-06-27,2.23,0.02,111.5
1991-06-28,2.29,0.02,114.5
1991-07-01,2.33,0.02,116.5
1991-07-02,2.35,0.02,117.5
1991-07-03,2.38,0.02,118.99999999999999
1991-07-05,2.39,0.02,119.5
1991-07-08,2.45,0.02,122.5
1991-07-09,2.44,0.02,122.0
1991-07-10,2.45,0.02,122.5
1991-07-11,2.41,0.02,120.5
1991-07-12,2.44,0.02,122.0
1991-07-15,2.4,0.02,120.0
1991-07-16,2.42,0.02,121.0
1991-07-17,2.44,0.02,122.0
1991-07-18,2.44,0.02,122.0
1991-07-19,2.42,0.02,121.0
1991-07-22,2.42,0.02,121.0
1991-07-23,2.4,0.02,120.0
1991-07-24,2.38,0.02,118.99999999999999
1991-07-25,2.36,0.02,117.99999999999999
1991-07-26,2.36,0.02,117.99999999999999
1991-07-29,2.34,0.02,116.99999999999999
1991-07-30,2.34,0.02,116.99999999999999
1991-07-31,2.4,0.02,120.0
1991-08-01,2.44,0.02,122.0
1991-08-02,2.46,0.02,123.0
1991-08-05,2.46,0.02,123.0
1991-08-06,2.45,0.02,122.5
1991-08-07,2.49,0.02,124.50000000000001
1991-08-08,2.49,0.02,124.50000000000001
1991-08-09,2.45,0.02,122.5
1991-08-12,2.51,0.02,125.49999999999999
1991-08-13,2.63,0.02,131.5
1991-08-14,2.69,0.02,134.5
1991-08-15,2.67,0.02,133.5
1991-08-16,2.66,0.02,133.0
1991-08-19,2.54,0.02,127.0
1991-08-20,2.6,0.02,130.0
1991-08-21,2.66,0.02,133.0
1991-08-22,2.66,0.02,133.0
1991-08-23,2.68,0.02,134.0
1991-08-26,2.7,0.02,135.0
1991-08-27,2.65,0.02,132.5
1991-08-28,2.67,0.02,133.5
1991-08-29,2.68,0.02,134.0
1991-08-30,2.68,0.02,134.0
1991-09-03,2.66,0.02,133.0
1991-09-04,2.66,0.02,133.0
1991-09-05,2.5,0.02,125.0
1991-09-06,2.52,0.02,126.0
1991-09-09,2.53,0.02,126.49999999999999
1991-09-10,2.48,0.02,124.0
1991-09-11,2.48,0.02,124.0
1991-09-12,2.51,0.02,125.49999999999999
1991-09-13,2.54,0.02,127.0
1991-09-16,2.53,0.02,126.49999999999999
1991-09-17,2.53,0.02,126.49999999999999
1991-09-18,2.56,0.02,128.0
1991-09-19,2.58,0.02,129.0
1991-09-20,2.66,0.02,133.0
1991-09-23,2.65,0.02,132.5
1991-09-24,2.64,0.02,132.0
1991-09-25,2.66,0.02,133.0
1991-09-26,2.64,0.02,132.0
1991-09-27,2.64,0.02,132.0
1991-09-30,2.7,0.02,135.0
1991-10-01,2.68,0.02,134.0
1991-10-02,2.59,0.02,129.5
1991-10-03,2.5,0.02,125.0
1991-10-04,2.52,0.02,126.0
1991-10-07,2.47,0.02,123.50000000000001
1991-10-08,2.46,0.02,123.0
1991-10-09,2.44,0.02,122.0
1991-10-10,2.45,0.02,122.5
1991-10-11,2.45,0.02,122.5
1991-10-14,2.44,0.02,122.0
1991-10-15,2.48,0.02,124.0
1991-10-16,2.45,0.02,122.5
1991-10-17,2.48,0.02,124.0
1991-10-18,2.48,0.02,124.0
1991-10-21,2.48,0.02,124.0
1991-10-22,2.47,0.02,123.50000000000001
1991-10-23,2.51,0.02,125.49999999999999
1991-10-24,2.5,0.02,125.0
1991-10-25,2.57,0.02,128.5
1991-10-28,2.5,0.02,125.0
1991-10-29,2.42,0.02,121.0
1991-10-30,2.41,0.02,120.5
1991-10-31,2.44,0.02,122.0
1991-11-01,2.39,0.02,119.5
1991-11-04,2.39,0.02,119.5
1991-11-05,2.38,0.02,118.99999999999999
1991-11-06,2.4,0.02,120.0
1991-11-07,2.46,0.02,123.0
1991-11-08,2.47,0.02,123.50000000000001
1991-11-11,2.49,0.02,124.50000000000001
1991-11-12,2.5,0.02,125.0
1991-11-13,2.49,0.02,124.50000000000001
1991-11-14,2.44,0.02,122.0
1991-11-15,2.41,0.02,120.5
1991-11-18,2.45,0.02,122.5
1991-11-19,2.43,0.02,121.5
1991-11-20,2.43,0.02,121.5
1991-11-21,2.42,0.02,121.0
1991-11-22,2.41,0.02,120.5
1991-11-25,2.39,0.02,119.5
1991-11-26,2.35,0.02,117.5
1991-11-27,2.3,0.02,114.99999999999999
1991-11-29,2.31,0.02,115.5
1991-12-02,2.32,0.02,115.99999999999999
1991-12-03,2.33,0.02,116.5
1991-12-04,2.38,0.02,118.99999999999999
1991-12-05,2.38,0.02,118.99999999999999
1991-12-06,2.34,0.02,116.99999999999999
1991-12-09,2.35,0.02,117.5
1991-12-10,2.38,0.02,118.99999999999999
1991-12-11,2.38,0.02,118.99999999999999
1991-12-12,2.45,0.02,122.5
1991-12-13,2.5,0.02,125.0
1991-12-16,2.45,0.02,122.5
1991-12-17,2.42,0.02,121.0
1991-12-18,2.41,0.02,120.5
1991-12-19,2.38,0.02,118.99999999999999
1991-12-20,2.46,0.02,123.0
1991-12-23,2.47,0.02,123.50000000000001
1991-12-24,2.53,0.02,126.49999999999999
1991-12-26,2.53,0.02,126.49999999999999
1991-12-27,2.56,0.02,128.0
1991-12-30,2.54,0.02,127.0
1991-12-31,2.49,0.02,124.50000000000001
1992-01-02,2.49,0.02,124.50000000000001
1992-01-03,2.46,0.02,123.0
1992-01-06,2.41,0.02,120.5
1992-01-07,2.32,0.02,115.99999999999999
1992-01-08,2.36,0.02,117.99999999999999
1992-01-09,2.41,0.02,120.5
1992-01-10,2.35,0.02,117.5
1992-01-13,2.31,0.02,115.5
1992-01-14,2.25,0.02,112.5
1992-01-15,2.27,0.02,113.5
1992-01-16,2.21,0.02,110.5
1992-01-17,2.15,0.02,107.5
1992-01-20,2.07,0.02,103.49999999999999
1992-01-21,2.16,0.02,108.0
1992-01-22,2.24,0.02,112.00000000000001
1992-01-23,2.28,0.02,113.99999999999999
1992-01-24,2.47,0.02,123.50000000000001
1992-01-27,2.38,0.02,118.99999999999999
1992-01-28,2.35,0.02,117.5
1992-01-29,2.31,0.02,115.5
1992-01-30,2.25,0.02,112.5
1992-01-31,2.23,0.02,111.5
1992-02-03,2.28,0.02,113.99999999999999
1992-02-04,2.35,0.02,117.5
1992-02-05,2.42,0.02,121.0
1992-02-06,2.45,0.02,122.5
1992-02-07,2.46,0.02,123.0
1992-02-10,2.43,0.02,121.5
1992-02-11,2.41,0.02,120.5
1992-02-12,2.39,0.02,119.5
1992-02-13,2.33,0.02,116.5
1992-02-14,2.28,0.02,113.99999999999999
1992-02-18,2.31,0.02,115.5
1992-02-19,2.33,0.02,116.5
1992-02-20,2.34,0.02,116.99999999999999
1992-02-21,2.34,0.02,116.99999999999999
1992-02-24,2.32,0.02,115.99999999999999
1992-02-25,2.34,0.02,116.99999999999999
1992-02-26,2.35,0.02,117.5
1992-02-27,2.44,0.02,122.0
1992-02-28,2.43,0.02,121.5
1992-03-02,2.4,0.02,120.0
1992-03-03,2.38,0.02,118.99999999999999
1992-03-04,2.31,0.02,115.5
1992-03-05,2.29,0.02,114.5
1992-03-06,2.34,0.02,116.99999999999999
1992-03-09,2.38,0.02,118.99999999999999
1992-03-10,2.43,0.02,121.5
1992-03-11,2.4,0.02,120.0
1992-03-12,2.34,0.02,116.99999999999999
1992-03-13,2.33,0.02,116.5
1992-03-16,2.26,0.02,112.99999999999999
1992-03-17,2.25,0.02,112.5
1992-03-18,2.25,0.02,112.5
1992-03-19,2.24,0.02,112.00000000000001
1992-03-20,2.09,0.02,104.49999999999999
1992-03-23,2.17,0.02,108.5
1992-03-24,2.13,0.02,106.49999999999999
1992-03-25,2.15,0.02,107.5
1992-03-26,2.14,0.02,107.0
1992-03-27,2.13,0.02,106.49999999999999
1992-03-30,2.17,0.02,108.5
1992-03-31,2.14,0.02,107.0
1992-04-01,2.17,0.02,108.5
1992-04-02,2.13,0.02,106.49999999999999
1992-04-03,2.09,0.02,104.49999999999999
1992-04-06,2.13,0.02,106.49999999999999
1992-04-07,2.08,0.02,104.0
1992-04-08,2.07,0.02,103.49999999999999
1992-04-09,2.1,0.02,105.0
1992-04-10,2.09,0.02,104.49999999999999
1992-04-13,2.09,0.02,104.49999999999999
1992-04-14,2.09,0.02,104.49999999999999
1992-04-15,2.09,0.02,104.49999999999999
1992-04-16,2.1,0.02,105.0
1992-04-20,2.03,0.02,101.49999999999999
1992-04-21,2.06,0.02,103.0
1992-04-22,2.09,0.02,104.49999999999999
1992-04-23,2.06,0.02,103.0
1992-04-24,2.08,0.02,104.0
1992-04-27,2.09,0.02,104.49999999999999
1992-04-28,2.08,0.02,104.0
1992-04-29,2.07,0.02,103.49999999999999
1992-04-30,2.05,0.02,102.49999999999999
1992-05-01,2.06,0.02,103.0
1992-05-04,2.1,0.02,105.0
1992-05-05,2.18,0.02,109.0
1992-05-06,2.2,0.02,110.0
1992-05-07,2.22,0.02,111.00000000000001
1992-05-08,2.19,0.02,109.5
1992-05-11,2.19,0.02,109.5
1992-05-12,2.22,0.02,111.00000000000001
1992-05-13,2.25,0.02,112.5
1992-05-14,2.17,0.02,108.5
1992-05-15,2.16,0.02,108.0
1992-05-18,2.19,0.02,109.5
1992-05-19,2.17,0.02,108.5
1992-05-20,2.14,0.02,107.0
1992-05-21,2.13,0.02,106.49999999999999
1992-05-22,2.11,0.02,105.49999999999999
1992-05-26,2.1,0.02,105.0
1992-05-27,2.1,0.02,105.0
1992-05-28,2.07,0.02,103.49999999999999
1992-05-29,2.09,0.02,104.49999999999999
1992-06-01,2.08,0.02,104.0
1992-06-02,2.08,0.02,104.0
1992-06-03,2.16,0.02,108.0
1992-06-04,2.16,0.02,108.0
1992-06-05,2.16,0.02,108.0
1992-06-08,2.14,0.02,107.0
1992-06-09,2.16,0.02,108.0
1992-06-10,2.16,0.02,108.0
1992-06-11,2.18,0.02,109.0
1992-06-12,2.2,0.02,110.0
1992-06-15,2.22,0.02,111.00000000000001
1992-06-16,2.24,0.02,112.00000000000001
1992-06-17,2.23,0.02,111.5
1992-06-18,2.25,0.02,112.5
1992-06-19,2.26,0.02,112.99999999999999
1992-06-22,2.27,0.02,113.5
1992-06-23,2.29,0.02,114.5
1992-06-24,2.28,0.02,113.99999999999999
1992-06-25,2.25,0.02,112.5
1992-06-26,2.24,0.02,112.00000000000001
1992-06-29,2.26,0.02,112.99999999999999
1992-06-30,2.22,0.02,111.00000000000001
1992-07-01,2.22,0.02,111.00000000000001
1992-07-02,2.22,0.02,111.00000000000001
1992-07-06,2.18,0.02,109.0
1992-07-07,2.19,0.02,109.5
1992-07-08,2.19,0.02,109.5
1992-07-09,2.24,0.02,112.00000000000001
