date,FB,FB_EPS,PE Ratio
2014-01-14,57.74,0.17,339.6470588235294
2014-01-15,57.6,0.17,338.8235294117647
2014-01-16,57.19,0.17,336.4117647058823
2014-01-17,56.3,0.17,331.17647058823525
2014-01-21,58.51,0.17,344.17647058823525
2014-01-22,57.51,0.17,338.2941176470588
2014-01-23,56.63,0.17,333.11764705882354
2014-01-24,54.45,0.17,320.29411764705884
2014-01-27,53.55,0.17,314.99999999999994
2014-01-28,55.14,0.17,324.35294117647055
2014-01-29,53.53,0.17,314.88235294117646
2014-01-30,61.08,0.17,359.2941176470588
2014-01-31,62.57,0.2,312.84999999999997
2014-02-03,61.48,0.2,307.4
2014-02-04,62.75,0.2,313.75
2014-02-05,62.19,0.2,310.95
2014-02-06,62.16,0.2,310.79999999999995
2014-02-07,64.32,0.2,321.59999999999997
2014-02-10,63.55,0.2,317.74999999999994
2014-02-11,64.85,0.2,324.24999999999994
2014-02-12,64.45,0.2,322.25
2014-02-13,67.33,0.2,336.65
2014-02-14,67.09,0.2,335.45
2014-02-18,67.3,0.2,336.49999999999994
2014-02-19,68.06,0.2,340.3
2014-02-20,69.63,0.2,348.15
2014-02-21,68.59,0.2,342.95
2014-02-24,70.78,0.2,353.9
2014-02-25,69.85,0.2,349.24999999999994
2014-02-26,69.26,0.2,346.3
2014-02-27,68.94,0.2,344.7
2014-02-28,68.46,0.2,342.29999999999995
2014-03-03,67.41,0.2,337.04999999999995
2014-03-04,68.8,0.2,343.99999999999994
2014-03-05,71.57,0.2,357.84999999999997
2014-03-06,70.84,0.2,354.2
2014-03-07,69.8,0.2,348.99999999999994
2014-03-10,72.03,0.2,360.15
2014-03-11,70.1,0.2,350.49999999999994
2014-03-12,70.88,0.2,354.4
2014-03-13,68.83,0.2,344.15
2014-03-14,67.72,0.2,338.59999999999997
2014-03-17,68.74,0.2,343.69999999999993
2014-03-18,69.19,0.2,345.95
2014-03-19,68.24,0.2,341.19999999999993
2014-03-20,66.97,0.2,334.84999999999997
2014-03-21,67.24,0.2,336.19999999999993
2014-03-24,64.1,0.2,320.49999999999994
2014-03-25,64.89,0.2,324.45
2014-03-26,60.39,0.2,301.95
2014-03-27,60.97,0.2,304.84999999999997
2014-03-28,60.01,0.2,300.04999999999995
2014-03-31,60.24,0.2,301.2
2014-04-01,62.62,0.2,313.09999999999997
2014-04-02,62.72,0.2,313.59999999999997
2014-04-03,59.49,0.2,297.45
2014-04-04,56.75,0.2,283.75
2014-04-07,56.95,0.2,284.75
2014-04-08,58.19,0.2,290.95
2014-04-09,62.41,0.2,312.04999999999995
2014-04-10,59.16,0.2,295.79999999999995
2014-04-11,58.53,0.2,292.65
2014-04-14,58.89,0.2,294.45
2014-04-15,59.09,0.2,295.45
2014-04-16,59.72,0.2,298.59999999999997
2014-04-17,58.94,0.2,294.7
2014-04-21,61.24,0.2,306.2
2014-04-22,63.03,0.2,315.15
2014-04-23,61.36,0.2,306.79999999999995
2014-04-24,60.87,0.2,304.34999999999997
2014-04-25,57.71,0.25,230.84
2014-04-28,56.14,0.25,224.56
2014-04-29,58.15,0.25,232.6
2014-04-30,59.78,0.25,239.12
2014-05-01,61.15,0.25,244.6
2014-05-02,60.46,0.25,241.84
2014-05-05,61.22,0.25,244.88
2014-05-06,58.53,0.25,234.12
2014-05-07,57.39,0.25,229.56
2014-05-08,56.76,0.25,227.04
2014-05-09,57.24,0.25,228.96
2014-05-12,59.83,0.25,239.32
2014-05-13,59.83,0.25,239.32
2014-05-14,59.23,0.25,236.92
2014-05-15,57.92,0.25,231.68
2014-05-16,58.02,0.25,232.08
2014-05-19,59.21,0.25,236.84
2014-05-20,58.56,0.25,234.24
2014-05-21,60.49,0.25,241.96
2014-05-22,60.52,0.25,242.08
2014-05-23,61.35,0.25,245.4
2014-05-27,63.48,0.25,253.92
2014-05-28,63.51,0.25,254.04
2014-05-29,63.83,0.25,255.32
2014-05-30,63.3,0.25,253.2
2014-06-02,63.08,0.25,252.32
2014-06-03,62.87,0.25,251.48
2014-06-04,63.34,0.25,253.36
2014-06-05,63.19,0.25,252.76
2014-06-06,62.5,0.25,250.0
2014-06-09,62.88,0.25,251.52
2014-06-10,65.77,0.25,263.08
2014-06-11,65.78,0.25,263.12
2014-06-12,64.29,0.25,257.16
2014-06-13,64.5,0.25,258.0
