date,CPRT,CPRT_EPS,PE Ratio
1995-03-08,0.78,0.45,1.7333333333333334
1995-03-09,0.79,0.45,1.7555555555555555
1995-03-10,0.79,0.45,1.7555555555555555
1995-03-13,0.77,0.45,1.711111111111111
1995-03-14,0.77,0.45,1.711111111111111
1995-03-15,0.79,0.45,1.7555555555555555
1995-03-16,0.79,0.45,1.7555555555555555
1995-03-17,0.77,0.45,1.711111111111111
1995-03-20,0.77,0.45,1.711111111111111
1995-03-21,0.79,0.45,1.7555555555555555
1995-03-22,0.78,0.45,1.7333333333333334
1995-03-23,0.79,0.45,1.7555555555555555
1995-03-24,0.8,0.45,1.777777777777778
1995-03-27,0.79,0.45,1.7555555555555555
1995-03-28,0.8,0.45,1.777777777777778
1995-03-29,0.78,0.45,1.7333333333333334
1995-03-30,0.78,0.45,1.7333333333333334
1995-03-31,0.79,0.45,1.7555555555555555
1995-04-03,0.79,0.45,1.7555555555555555
1995-04-04,0.8,0.45,1.777777777777778
1995-04-05,0.8,0.45,1.777777777777778
1995-04-06,0.79,0.45,1.7555555555555555
1995-04-07,0.79,0.45,1.7555555555555555
1995-04-10,0.77,0.45,1.711111111111111
1995-04-11,0.8,0.45,1.777777777777778
1995-04-12,0.81,0.45,1.8
1995-04-13,0.82,0.45,1.822222222222222
1995-04-17,0.82,0.45,1.822222222222222
1995-04-18,0.81,0.45,1.8
1995-04-19,0.79,0.45,1.7555555555555555
1995-04-20,0.8,0.45,1.777777777777778
1995-04-21,0.79,0.45,1.7555555555555555
1995-04-24,0.8,0.45,1.777777777777778
1995-04-25,0.8,0.45,1.777777777777778
1995-04-26,0.79,0.45,1.7555555555555555
1995-04-27,0.8,0.45,1.777777777777778
1995-04-28,0.85,0.45,1.8888888888888888
1995-05-01,0.87,0.45,1.9333333333333333
1995-05-02,0.88,0.45,1.9555555555555555
1995-05-03,0.86,0.45,1.911111111111111
1995-05-04,0.86,0.45,1.911111111111111
1995-05-05,0.89,0.45,1.9777777777777779
1995-05-08,0.92,0.45,2.0444444444444443
1995-05-09,0.93,0.45,2.066666666666667
1995-05-10,0.91,0.45,2.022222222222222
1995-05-11,0.91,0.45,2.022222222222222
1995-05-12,0.86,0.45,1.911111111111111
1995-05-15,0.84,0.45,1.8666666666666665
1995-05-16,0.82,0.45,1.822222222222222
1995-05-17,0.8,0.45,1.777777777777778
1995-05-18,0.84,0.45,1.8666666666666665
1995-05-19,0.84,0.45,1.8666666666666665
1995-05-22,0.87,0.45,1.9333333333333333
1995-05-23,0.86,0.45,1.911111111111111
1995-05-24,0.84,0.45,1.8666666666666665
1995-05-25,0.83,0.45,1.8444444444444443
1995-05-26,0.84,0.45,1.8666666666666665
1995-05-30,0.84,0.45,1.8666666666666665
1995-05-31,0.88,0.45,1.9555555555555555
1995-06-01,0.88,0.45,1.9555555555555555
1995-06-02,0.9,0.45,2.0
1995-06-05,0.91,0.45,2.022222222222222
1995-06-06,0.93,0.45,2.066666666666667
1995-06-07,0.92,0.45,2.0444444444444443
1995-06-08,0.91,0.45,2.022222222222222
1995-06-09,0.91,0.45,2.022222222222222
1995-06-12,0.94,0.45,2.0888888888888886
1995-06-13,0.97,0.45,2.1555555555555554
1995-06-14,0.93,0.45,2.066666666666667
1995-06-15,0.93,0.45,2.066666666666667
1995-06-16,0.93,0.45,2.066666666666667
1995-06-19,0.9,0.45,2.0
1995-06-20,0.91,0.45,2.022222222222222
1995-06-21,0.92,0.45,2.0444444444444443
1995-06-22,0.91,0.45,2.022222222222222
1995-06-23,0.93,0.45,2.066666666666667
1995-06-26,0.94,0.45,2.0888888888888886
1995-06-27,0.93,0.45,2.066666666666667
1995-06-28,0.94,0.45,2.0888888888888886
1995-06-29,0.92,0.45,2.0444444444444443
1995-06-30,0.95,0.45,2.111111111111111
1995-07-03,0.95,0.45,2.111111111111111
1995-07-05,0.95,0.45,2.111111111111111
1995-07-06,0.94,0.45,2.0888888888888886
1995-07-07,0.94,0.45,2.0888888888888886
1995-07-10,0.95,0.45,2.111111111111111
1995-07-11,0.97,0.45,2.1555555555555554
1995-07-12,0.97,0.45,2.1555555555555554
1995-07-13,0.96,0.45,2.1333333333333333
1995-07-14,0.96,0.45,2.1333333333333333
1995-07-17,0.95,0.45,2.111111111111111
1995-07-18,0.94,0.45,2.0888888888888886
1995-07-19,0.93,0.45,2.066666666666667
1995-07-20,0.94,0.45,2.0888888888888886
1995-07-21,0.93,0.45,2.066666666666667
1995-07-24,0.94,0.45,2.0888888888888886
1995-07-25,0.93,0.45,2.066666666666667
1995-07-26,0.94,0.45,2.0888888888888886
1995-07-27,0.94,0.45,2.0888888888888886
1995-07-28,0.93,0.45,2.066666666666667
1995-07-31,0.86,0.45,1.911111111111111
1995-08-01,0.88,0.45,1.9555555555555555
1995-08-02,0.93,0.45,2.066666666666667
1995-08-03,0.97,0.45,2.1555555555555554
1995-08-04,0.97,0.45,2.1555555555555554
1995-08-07,0.97,0.45,2.1555555555555554
1995-08-08,0.96,0.45,2.1333333333333333
1995-08-09,0.95,0.45,2.111111111111111
1995-08-10,0.94,0.45,2.0888888888888886
1995-08-11,0.93,0.45,2.066666666666667
1995-08-14,0.92,0.45,2.0444444444444443
1995-08-15,0.92,0.45,2.0444444444444443
1995-08-16,0.92,0.45,2.0444444444444443
1995-08-17,0.92,0.45,2.0444444444444443
1995-08-18,0.91,0.45,2.022222222222222
1995-08-21,0.93,0.45,2.066666666666667
1995-08-22,0.91,0.45,2.022222222222222
1995-08-23,0.9,0.45,2.0
1995-08-24,0.88,0.45,1.9555555555555555
1995-08-25,0.89,0.45,1.9777777777777779
1995-08-28,0.89,0.45,1.9777777777777779
1995-08-29,0.88,0.45,1.9555555555555555
1995-08-30,0.89,0.45,1.9777777777777779
1995-08-31,0.92,0.45,2.0444444444444443
1995-09-01,0.91,0.45,2.022222222222222
1995-09-05,0.92,0.45,2.0444444444444443
1995-09-06,0.91,0.45,2.022222222222222
1995-09-07,0.91,0.45,2.022222222222222
1995-09-08,0.9,0.45,2.0
1995-09-11,0.9,0.45,2.0
1995-09-12,0.91,0.45,2.022222222222222
1995-09-13,0.92,0.45,2.0444444444444443
1995-09-14,0.92,0.45,2.0444444444444443
1995-09-15,0.92,0.45,2.0444444444444443
1995-09-18,0.92,0.45,2.0444444444444443
1995-09-19,0.91,0.45,2.022222222222222
1995-09-20,0.92,0.45,2.0444444444444443
1995-09-21,0.95,0.45,2.111111111111111
1995-09-22,0.99,0.45,2.1999999999999997
1995-09-25,0.98,0.45,2.1777777777777776
1995-09-26,0.99,0.45,2.1999999999999997
1995-09-27,0.99,0.45,2.1999999999999997
1995-09-28,0.97,0.45,2.1555555555555554
1995-09-29,0.95,0.45,2.111111111111111
1995-10-02,0.96,0.45,2.1333333333333333
1995-10-03,0.97,0.45,2.1555555555555554
1995-10-04,0.97,0.45,2.1555555555555554
