date,RE,RE_EPS,PE Ratio
1996-04-23,22.38,,
1996-04-24,22.5,,
1996-04-25,22.38,,
1996-04-26,22.38,,
1996-04-29,22.0,,
1996-04-30,22.75,,
1996-05-01,22.75,,
1996-05-02,22.13,,
1996-05-03,22.0,,
1996-05-06,22.0,,
1996-05-07,23.13,,
1996-05-08,23.13,,
1996-05-09,23.13,,
1996-05-10,23.13,,
1996-05-13,23.38,,
1996-05-14,23.88,,
1996-05-15,24.38,,
1996-05-16,23.75,,
1996-05-17,24.0,,
1996-05-20,23.75,,
1996-05-21,23.88,,
1996-05-22,23.88,,
1996-05-23,23.5,,
1996-05-24,24.0,,
1996-05-28,23.75,,
1996-05-29,23.25,,
1996-05-30,23.5,,
1996-05-31,23.38,,
1996-06-03,23.63,,
1996-06-04,23.63,,
1996-06-05,24.13,,
1996-06-06,24.75,,
1996-06-07,24.5,,
1996-06-10,24.5,,
1996-06-11,25.75,,
1996-06-12,25.75,,
1996-06-13,25.5,,
1996-06-14,25.63,,
1996-06-17,26.0,,
1996-06-18,25.88,,
1996-06-19,25.25,,
1996-06-20,24.88,,
1996-06-21,24.75,,
1996-06-24,24.25,,
1996-06-25,24.63,,
1996-06-26,25.0,,
1996-06-27,24.88,,
1996-06-28,25.88,,
1996-07-01,25.63,,
1996-07-02,25.38,,
1996-07-03,25.0,,
1996-07-05,24.63,,
1996-07-08,24.13,,
1996-07-09,24.13,,
1996-07-10,24.75,,
1996-07-11,24.5,,
1996-07-12,24.5,,
1996-07-15,23.13,,
1996-07-16,22.63,,
1996-07-17,23.75,,
1996-07-18,24.13,,
1996-07-19,24.13,,
1996-07-22,24.38,,
1996-07-23,23.88,,
1996-07-24,22.88,,
1996-07-25,23.5,,
1996-07-26,23.88,,
1996-07-29,24.5,,
1996-07-30,24.0,,
1996-07-31,24.13,,
1996-08-01,25.0,,
1996-08-02,25.13,,
1996-08-05,24.5,,
1996-08-06,24.75,,
1996-08-07,24.75,,
1996-08-08,24.75,,
1996-08-09,24.63,,
1996-08-12,24.63,,
1996-08-13,24.25,,
1996-08-14,24.88,,
1996-08-15,26.25,,
1996-08-16,26.0,,
1996-08-19,25.88,,
1996-08-20,25.75,,
1996-08-21,25.5,,
1996-08-22,25.13,,
1996-08-23,24.5,,
1996-08-26,24.5,,
1996-08-27,24.63,,
1996-08-28,25.0,,
1996-08-29,24.88,,
1996-08-30,24.38,,
1996-09-03,24.13,,
1996-09-04,24.38,,
1996-09-05,24.88,,
1996-09-06,24.88,,
1996-09-09,25.0,,
1996-09-10,25.0,,
1996-09-11,25.38,,
1996-09-12,25.38,,
1996-09-13,25.25,,
1996-09-16,25.5,,
1996-09-17,25.13,,
1996-09-18,24.88,,
1996-09-19,24.75,,
1996-09-20,24.88,,
1996-09-23,24.88,,
1996-09-24,24.38,,
1996-09-25,24.25,,
1996-09-26,23.88,,
1996-09-27,24.75,,
1996-09-30,24.75,,
1996-10-01,24.38,,
1996-10-02,24.38,,
1996-10-03,24.38,,
1996-10-04,25.63,,
1996-10-07,27.13,,
1996-10-08,28.0,,
1996-10-09,26.5,,
1996-10-10,25.63,,
1996-10-11,25.75,,
1996-10-14,25.38,,
1996-10-15,25.63,,
1996-10-16,27.0,,
1996-10-17,26.0,,
1996-10-18,27.0,,
1996-10-21,26.5,,
1996-10-22,26.25,,
1996-10-23,25.88,,
1996-10-24,25.75,,
1996-10-25,25.13,,
1996-10-28,24.88,,
1996-10-29,25.75,,
1996-10-30,25.5,,
1996-10-31,25.5,,
1996-11-01,24.88,,
1996-11-04,25.5,,
1996-11-05,26.25,,
1996-11-06,26.38,,
1996-11-07,26.13,,
1996-11-08,26.13,,
1996-11-11,26.63,,
1996-11-12,26.5,,
1996-11-13,26.88,,
1996-11-14,26.88,,
1996-11-15,26.88,,
1996-11-18,26.63,,
1996-11-19,26.63,,
1996-11-20,26.88,,
1996-11-21,27.25,,
1996-11-22,28.13,,
1996-11-25,29.25,,
1996-11-26,28.5,,
1996-11-27,28.63,,
1996-11-29,28.13,,
1996-12-02,28.13,,
1996-12-03,27.13,,
1996-12-04,26.38,,
1996-12-05,27.13,,
1996-12-06,26.13,,
1996-12-09,27.0,,
1996-12-10,26.5,,
1996-12-11,26.75,,
1996-12-12,27.63,,
1996-12-13,27.25,,
1996-12-16,26.38,,
1996-12-17,25.88,,
1996-12-18,25.63,,
1996-12-19,26.0,,
1996-12-20,26.38,,
1996-12-23,26.5,,
1996-12-24,26.0,,
1996-12-26,26.38,,
1996-12-27,27.5,,
1996-12-30,27.5,,
1996-12-31,28.75,,
1997-01-02,27.38,,
1997-01-03,28.13,,
1997-01-06,27.63,,
1997-01-07,26.88,,
1997-01-08,26.63,,
1997-01-09,27.25,,
1997-01-10,27.38,,
1997-01-13,26.25,,
1997-01-14,27.25,,
1997-01-15,26.5,,
1997-01-16,26.5,,
1997-01-17,26.88,,
1997-01-20,28.0,,
1997-01-21,28.25,,
1997-01-22,27.5,,
1997-01-23,28.13,,
1997-01-24,27.88,,
1997-01-27,27.88,,
1997-01-28,27.5,,
1997-01-29,26.63,,
1997-01-30,27.25,,
1997-01-31,27.5,,
1997-02-03,28.0,,
1997-02-04,28.0,,
1997-02-05,27.88,,
1997-02-06,27.88,,
1997-02-07,28.0,,
1997-02-10,28.13,,
1997-02-11,27.88,,
1997-02-12,28.0,,
1997-02-13,28.25,,
1997-02-14,29.0,,
1997-02-18,29.38,,
1997-02-19,30.38,,
1997-02-20,30.25,,
1997-02-21,30.13,,
1997-02-24,30.25,,
1997-02-25,30.75,,
1997-02-26,32.25,,
1997-02-27,31.75,,
1997-02-28,31.5,,
1997-03-03,31.75,,
1997-03-04,31.5,,
1997-03-05,31.5,,
1997-03-06,31.38,,
1997-03-07,31.63,,
1997-03-10,31.63,,
1997-03-11,31.5,,
1997-03-12,32.38,,
1997-03-13,31.88,,
1997-03-14,31.5,,
1997-03-17,30.5,,
1997-03-18,30.38,,
1997-03-19,30.5,,
1997-03-20,30.38,,
1997-03-21,30.25,,
1997-03-24,30.0,,
1997-03-25,29.75,,
1997-03-26,29.5,,
1997-03-27,29.5,,
1997-03-31,29.38,,
1997-04-01,29.38,,
1997-04-02,29.0,,
1997-04-03,27.88,,
1997-04-04,27.5,,
1997-04-07,27.5,,
1997-04-08,27.63,,
1997-04-09,27.63,,
1997-04-10,27.38,,
1997-04-11,26.88,,
1997-04-14,27.0,,
1997-04-15,27.13,,
1997-04-16,26.88,,
1997-04-17,27.63,,
1997-04-18,28.38,,
1997-04-21,28.25,,
1997-04-22,28.5,,
1997-04-23,28.5,,
1997-04-24,28.25,,
1997-04-25,28.38,,
1997-04-28,28.88,,
1997-04-29,29.63,,
1997-04-30,28.75,,
1997-05-01,30.0,,
1997-05-02,30.0,,
1997-05-05,30.5,,
1997-05-06,31.63,,
1997-05-07,31.63,,
1997-05-08,32.63,,
1997-05-09,32.88,,
1997-05-12,33.25,,
1997-05-13,33.0,,
1997-05-14,33.0,,
1997-05-15,32.25,,
1997-05-16,32.63,,
1997-05-19,32.25,,
1997-05-20,32.13,,
1997-05-21,33.0,,
1997-05-22,32.88,,
1997-05-23,32.75,,
1997-05-27,33.75,,
1997-05-28,34.63,,
1997-05-29,34.63,,
1997-05-30,34.0,,
1997-06-02,34.0,,
1997-06-03,33.75,,
1997-06-04,33.88,,
1997-06-05,34.0,,
1997-06-06,33.88,,
1997-06-09,34.13,,
1997-06-10,33.88,,
1997-06-11,34.63,,
1997-06-12,35.13,,
1997-06-13,34.75,,
1997-06-16,35.13,,
1997-06-17,35.5,,
1997-06-18,35.88,,
1997-06-19,36.25,,
1997-06-20,35.75,,
1997-06-23,35.13,,
1997-06-24,36.0,,
1997-06-25,36.75,,
1997-06-26,37.0,,
1997-06-27,37.88,,
1997-06-30,39.63,,
1997-07-01,38.38,,
1997-07-02,38.0,,
1997-07-03,38.0,,
1997-07-07,37.75,,
1997-07-08,37.5,,
1997-07-09,37.63,,
1997-07-10,37.25,,
1997-07-11,37.25,,
1997-07-14,37.31,,
1997-07-15,37.13,,
1997-07-16,36.88,,
1997-07-17,36.69,,
1997-07-18,36.25,,
1997-07-21,35.5,,
1997-07-22,34.75,,
1997-07-23,36.06,,
1997-07-24,35.63,,
1997-07-25,35.69,,
1997-07-28,35.63,,
1997-07-29,37.5,,
1997-07-30,37.69,,
1997-07-31,38.75,,
1997-08-01,39.56,,
1997-08-04,40.13,,
1997-08-05,39.44,,
1997-08-06,39.69,,
1997-08-07,39.13,,
1997-08-08,38.06,,
1997-08-11,37.5,,
1997-08-12,38.19,,
1997-08-13,38.5,,
1997-08-14,38.38,,
1997-08-15,38.19,,
1997-08-18,37.69,,
1997-08-19,37.75,,
1997-08-20,37.63,,
1997-08-21,37.56,,
1997-08-22,37.19,,
1997-08-25,36.81,,
1997-08-26,36.31,,
1997-08-27,36.63,,
1997-08-28,36.5,,
1997-08-29,36.19,,
1997-09-02,37.94,,
1997-09-03,39.13,,
1997-09-04,39.0,,
1997-09-05,38.5,,
1997-09-08,38.19,,
1997-09-09,38.19,,
1997-09-10,37.94,,
1997-09-11,37.63,,
1997-09-12,38.0,,
1997-09-15,37.56,,
1997-09-16,37.94,,
1997-09-17,38.88,,
1997-09-18,39.06,,
1997-09-19,39.25,,
1997-09-22,39.06,,
1997-09-23,39.13,,
1997-09-24,39.5,,
1997-09-25,39.38,,
1997-09-26,39.0,,
1997-09-29,39.38,,
1997-09-30,41.0,,
1997-10-01,42.25,,
1997-10-02,41.81,,
1997-10-03,42.5,,
1997-10-06,41.88,,
1997-10-07,41.5,,
1997-10-08,40.94,,
1997-10-09,41.06,,
1997-10-10,42.25,,
1997-10-13,42.81,,
1997-10-14,42.5,,
1997-10-15,42.38,,
1997-10-16,40.5,,
1997-10-17,40.0,,
1997-10-20,39.63,,
1997-10-21,39.63,,
1997-10-22,38.81,,
1997-10-23,37.0,,
1997-10-24,37.31,,
1997-10-27,33.0,,
1997-10-28,36.63,,
1997-10-29,37.56,,
1997-10-30,37.69,,
1997-10-31,37.63,,
1997-11-03,38.0,,
1997-11-04,39.63,,
1997-11-05,40.69,,
1997-11-06,40.06,,
1997-11-07,39.13,,
1997-11-10,39.38,,
1997-11-11,39.25,,
1997-11-12,38.0,,
1997-11-13,37.88,,
1997-11-14,39.44,,
1997-11-17,39.69,,
1997-11-18,39.56,,
1997-11-19,39.0,,
1997-11-20,38.81,,
1997-11-21,39.44,,
1997-11-24,38.44,,
1997-11-25,38.25,,
1997-11-26,37.69,,
1997-11-28,37.94,,
1997-12-01,38.5,,
1997-12-02,39.0,,
1997-12-03,39.56,,
1997-12-04,41.13,,
1997-12-05,40.5,,
1997-12-08,40.94,,
1997-12-09,40.63,,
1997-12-10,39.31,,
1997-12-11,37.94,,
1997-12-12,37.88,,
1997-12-15,37.5,,
1997-12-16,37.38,,
1997-12-17,38.06,,
1997-12-18,37.75,,
1997-12-19,38.0,,
1997-12-22,39.0,,
1997-12-23,39.0,,
1997-12-24,38.25,,
1997-12-26,37.88,,
1997-12-29,40.25,,
1997-12-30,40.75,,
1997-12-31,41.25,,
1998-01-02,40.5,,
1998-01-05,40.63,,
1998-01-06,40.13,,
1998-01-07,38.88,,
1998-01-08,37.13,,
1998-01-09,36.56,,
1998-01-12,37.38,,
1998-01-13,38.0,,
1998-01-14,38.0,,
1998-01-15,38.19,,
1998-01-16,37.38,,
1998-01-20,37.19,,
1998-01-21,37.31,,
1998-01-22,37.44,,
1998-01-23,36.88,,
1998-01-26,35.5,,
1998-01-27,36.88,,
1998-01-28,38.25,,
1998-01-29,37.38,,
1998-01-30,37.88,,
1998-02-02,39.38,,
1998-02-03,38.44,,
1998-02-04,37.94,,
1998-02-05,37.56,,
1998-02-06,37.38,,
1998-02-09,37.38,,
1998-02-10,37.88,,
1998-02-11,38.0,,
1998-02-12,38.0,,
1998-02-13,38.13,,
1998-02-17,38.06,,
1998-02-18,38.25,,
1998-02-19,38.38,,
1998-02-20,38.19,,
1998-02-23,37.75,,
1998-02-24,38.38,,
1998-02-25,37.81,,
1998-02-26,37.75,,
1998-02-27,36.88,,
1998-03-02,36.94,,
1998-03-03,36.94,,
1998-03-04,36.75,,
1998-03-05,37.44,,
1998-03-06,37.56,,
1998-03-09,37.5,,
1998-03-10,37.56,,
1998-03-11,37.69,,
1998-03-12,37.81,,
1998-03-13,37.88,,
1998-03-16,39.19,,
1998-03-17,39.63,,
1998-03-18,40.31,,
1998-03-19,40.31,,
1998-03-20,40.44,,
1998-03-23,40.81,,
1998-03-24,40.88,,
1998-03-25,41.56,,
1998-03-26,40.5,,
1998-03-27,40.25,,
1998-03-30,39.81,,
1998-03-31,41.13,,
1998-04-01,42.19,,
1998-04-02,42.75,,
1998-04-03,44.06,,
1998-04-06,42.44,,
1998-04-07,42.63,,
1998-04-08,43.56,,
1998-04-09,44.69,,
1998-04-13,44.25,,
1998-04-14,44.25,,
1998-04-15,44.63,,
1998-04-16,44.5,,
1998-04-17,44.31,,
1998-04-20,44.13,,
1998-04-21,43.63,,
1998-04-22,43.44,,
1998-04-23,43.13,,
1998-04-24,42.0,,
1998-04-27,40.75,,
1998-04-28,41.81,,
1998-04-29,40.88,,
1998-04-30,41.25,,
1998-05-01,41.63,,
1998-05-04,40.63,,
1998-05-05,40.19,,
1998-05-06,40.38,,
1998-05-07,40.19,,
1998-05-08,39.31,,
1998-05-11,39.44,,
1998-05-12,39.25,,
1998-05-13,39.31,,
1998-05-14,40.0,,
1998-05-15,39.88,,
1998-05-18,38.31,,
1998-05-19,39.56,,
1998-05-20,39.19,,
1998-05-21,39.38,,
1998-05-22,39.81,,
1998-05-26,38.63,,
1998-05-27,38.63,,
1998-05-28,38.94,,
1998-05-29,38.88,,
1998-06-01,38.63,,
1998-06-02,38.44,,
1998-06-03,38.69,,
1998-06-04,39.31,,
1998-06-05,40.38,,
1998-06-08,39.69,,
1998-06-09,39.06,,
1998-06-10,38.69,,
1998-06-11,38.0,,
1998-06-12,37.63,,
1998-06-15,37.56,,
1998-06-16,37.19,,
1998-06-17,37.13,,
1998-06-18,36.5,,
1998-06-19,36.5,,
1998-06-22,38.0,,
1998-06-23,39.0,,
1998-06-24,37.81,,
1998-06-25,38.5,,
1998-06-26,38.88,,
1998-06-29,38.75,,
1998-06-30,38.44,,
1998-07-01,39.31,,
1998-07-02,39.69,,
1998-07-06,39.31,,
1998-07-07,39.0,,
1998-07-08,38.5,,
1998-07-09,39.06,,
1998-07-10,38.94,,
1998-07-13,38.63,,
1998-07-14,37.5,,
1998-07-15,37.69,,
1998-07-16,38.25,,
1998-07-17,38.19,,
1998-07-20,38.44,,
1998-07-21,38.0,,
1998-07-22,38.13,,
1998-07-23,37.75,,
1998-07-24,37.5,,
1998-07-27,37.44,,
1998-07-28,37.88,,
1998-07-29,38.19,,
1998-07-30,38.56,,
1998-07-31,38.44,,
1998-08-03,40.19,,
1998-08-04,39.75,,
1998-08-05,38.63,,
1998-08-06,40.0,,
1998-08-07,40.75,,
1998-08-10,39.88,,
1998-08-11,38.31,,
1998-08-12,40.56,,
1998-08-13,39.75,,
1998-08-14,38.88,,
1998-08-17,41.56,,
1998-08-18,41.75,,
1998-08-19,43.0,,
1998-08-20,43.44,,
1998-08-21,42.94,,
1998-08-24,41.0,,
1998-08-25,40.88,,
1998-08-26,39.5,,
1998-08-27,39.0,,
1998-08-28,37.56,,
1998-08-31,35.0,,
1998-09-01,37.0,,
1998-09-02,37.13,,
1998-09-03,37.0,,
1998-09-04,36.44,,
1998-09-08,38.19,,
1998-09-09,38.13,,
1998-09-10,36.75,,
1998-09-11,36.88,,
1998-09-14,37.56,,
1998-09-15,38.5,,
1998-09-16,37.63,,
1998-09-17,37.19,,
1998-09-18,38.56,,
1998-09-21,37.63,,
1998-09-22,37.63,,
1998-09-23,38.63,,
1998-09-24,37.44,,
1998-09-25,37.69,,
1998-09-28,36.94,,
1998-09-29,37.06,,
1998-09-30,37.25,,
1998-10-01,34.38,,
1998-10-02,35.25,,
1998-10-05,33.75,,
1998-10-06,32.25,,
1998-10-07,31.0,,
1998-10-08,29.44,,
1998-10-09,30.56,,
1998-10-12,32.13,,
1998-10-13,31.63,,
1998-10-14,31.5,,
1998-10-15,33.06,,
1998-10-16,32.44,,
1998-10-19,31.81,,
1998-10-20,33.63,,
1998-10-21,34.56,,
1998-10-22,34.88,,
1998-10-23,34.19,,
1998-10-26,34.13,,
1998-10-27,33.06,,
1998-10-28,31.5,,
1998-10-29,33.0,,
1998-10-30,34.44,,
1998-11-02,35.5,,
1998-11-03,35.5,,
1998-11-04,36.69,,
1998-11-05,35.5,,
1998-11-06,36.31,,
1998-11-09,35.88,,
1998-11-10,35.0,,
1998-11-11,34.88,,
1998-11-12,34.44,,
1998-11-13,33.63,,
1998-11-16,33.06,,
1998-11-17,33.75,,
1998-11-18,35.69,,
1998-11-19,37.0,,
1998-11-20,37.88,,
1998-11-23,36.75,,
1998-11-24,37.25,,
1998-11-25,37.06,,
1998-11-27,37.38,,
1998-11-30,37.56,,
1998-12-01,37.75,,
1998-12-02,37.06,,
1998-12-03,35.88,,
1998-12-04,36.0,,
1998-12-07,36.81,,
1998-12-08,36.69,,
1998-12-09,36.0,,
1998-12-10,34.75,,
1998-12-11,33.94,,
1998-12-14,33.5,,
1998-12-15,34.56,,
1998-12-16,35.25,,
1998-12-17,34.88,,
1998-12-18,35.75,,
1998-12-21,35.38,,
1998-12-22,34.63,,
1998-12-23,36.06,,
1998-12-24,35.88,,
1998-12-28,36.5,,
1998-12-29,36.25,,
1998-12-30,36.69,,
1998-12-31,38.94,,
1999-01-04,37.13,,
1999-01-05,37.38,,
1999-01-06,37.63,,
1999-01-07,37.63,,
1999-01-08,37.63,,
1999-01-11,38.06,,
1999-01-12,38.13,,
1999-01-13,36.63,,
1999-01-14,35.75,,
1999-01-15,35.44,,
1999-01-19,35.94,,
1999-01-20,35.06,,
1999-01-21,34.13,,
1999-01-22,33.63,,
1999-01-25,33.75,,
1999-01-26,33.5,,
1999-01-27,33.19,,
1999-01-28,33.5,,
1999-01-29,33.63,,
1999-02-01,33.44,,
1999-02-02,33.25,,
1999-02-03,32.38,,
1999-02-04,32.38,,
1999-02-05,32.19,,
1999-02-08,32.44,,
1999-02-09,31.19,,
1999-02-10,30.56,,
1999-02-11,31.0,,
1999-02-12,30.81,,
1999-02-16,30.44,,
1999-02-17,31.38,,
1999-02-18,32.0,,
1999-02-19,31.88,,
1999-02-22,32.13,,
1999-02-23,32.31,,
1999-02-24,32.63,,
1999-02-25,33.19,,
1999-02-26,33.19,,
1999-03-01,33.38,,
1999-03-02,34.63,,
1999-03-03,34.19,,
1999-03-04,34.06,,
1999-03-05,34.94,,
1999-03-08,35.38,,
1999-03-09,34.38,,
1999-03-10,34.25,,
1999-03-11,34.13,,
1999-03-12,34.63,,
1999-03-15,35.25,,
1999-03-16,35.5,,
1999-03-17,35.81,,
1999-03-18,34.5,,
1999-03-19,33.69,,
1999-03-22,32.44,,
1999-03-23,30.94,,
1999-03-24,31.5,,
1999-03-25,31.13,,
1999-03-26,30.63,,
1999-03-29,30.88,,
1999-03-30,30.88,,
1999-03-31,31.19,,
1999-04-01,30.5,,
1999-04-05,30.56,,
1999-04-06,30.63,,
1999-04-07,31.5,,
1999-04-08,31.31,,
1999-04-09,31.44,,
1999-04-12,31.75,,
1999-04-13,30.31,,
1999-04-14,30.31,,
1999-04-15,30.56,,
1999-04-16,29.63,,
1999-04-19,30.63,,
1999-04-20,31.13,,
1999-04-21,32.19,,
1999-04-22,32.13,,
1999-04-23,32.19,,
1999-04-26,31.94,,
1999-04-27,30.81,,
1999-04-28,31.25,,
1999-04-29,30.44,,
1999-04-30,30.31,,
1999-05-03,31.19,,
1999-05-04,30.75,,
1999-05-05,31.44,,
1999-05-06,31.19,,
1999-05-07,31.19,,
1999-05-10,31.44,,
1999-05-11,32.63,,
1999-05-12,34.19,,
1999-05-13,34.13,,
1999-05-14,33.0,,
1999-05-17,32.38,,
1999-05-18,31.88,,
1999-05-19,33.0,,
1999-05-20,33.25,,
1999-05-21,33.63,,
1999-05-24,32.5,,
1999-05-25,32.88,,
1999-05-26,33.0,,
1999-05-27,32.25,,
1999-05-28,32.88,,
1999-06-01,31.81,,
1999-06-02,31.63,,
1999-06-03,32.75,,
1999-06-04,32.5,,
1999-06-07,32.31,,
1999-06-08,31.78,,
1999-06-09,31.81,,
1999-06-10,31.88,,
1999-06-11,31.75,,
1999-06-14,32.19,,
1999-06-15,32.44,,
1999-06-16,33.06,,
1999-06-17,33.06,,
1999-06-18,32.81,,
1999-06-21,32.25,,
1999-06-22,32.44,,
1999-06-23,31.44,,
1999-06-24,31.0,,
1999-06-25,31.31,,
1999-06-28,30.75,,
1999-06-29,32.88,,
1999-06-30,32.63,,
1999-07-01,33.25,,
1999-07-02,33.19,,
1999-07-06,32.63,,
1999-07-07,32.63,,
1999-07-08,33.5,,
1999-07-09,32.0,,
1999-07-12,32.44,,
1999-07-13,32.75,,
1999-07-14,32.5,,
1999-07-15,32.31,,
1999-07-16,34.44,,
1999-07-19,35.0,,
1999-07-20,34.69,,
1999-07-21,34.88,,
1999-07-22,33.94,,
1999-07-23,32.75,,
1999-07-26,33.06,,
1999-07-27,33.94,,
1999-07-28,33.0,,
1999-07-29,32.25,,
1999-07-30,31.25,,
1999-08-02,32.19,,
1999-08-03,31.94,,
1999-08-04,31.38,,
1999-08-05,30.56,,
1999-08-06,30.5,,
1999-08-09,30.25,,
1999-08-10,30.06,,
1999-08-11,30.44,,
1999-08-12,30.19,,
1999-08-13,30.0,,
1999-08-16,29.81,,
1999-08-17,30.0,,
1999-08-18,29.94,,
1999-08-19,29.69,,
1999-08-20,29.31,,
1999-08-23,29.56,,
1999-08-24,29.0,,
1999-08-25,28.94,,
1999-08-26,29.13,,
1999-08-27,28.5,,
1999-08-30,27.94,,
1999-08-31,27.75,,
1999-09-01,27.81,,
1999-09-02,28.0,,
1999-09-03,28.5,,
1999-09-07,28.56,,
1999-09-08,28.44,,
1999-09-09,28.25,,
1999-09-10,28.06,,
1999-09-13,27.19,,
1999-09-14,27.0,,
1999-09-15,26.94,,
1999-09-16,27.13,,
1999-09-17,26.94,,
1999-09-20,26.25,,
1999-09-21,25.44,,
1999-09-22,24.63,,
1999-09-23,23.38,,
1999-09-24,23.56,,
1999-09-27,23.75,,
1999-09-28,23.56,,
1999-09-29,22.25,,
1999-09-30,23.81,,
1999-10-01,23.25,,
1999-10-04,23.5,,
1999-10-05,23.19,,
1999-10-06,22.56,,
1999-10-07,22.56,,
1999-10-08,23.0,,
1999-10-11,23.19,,
1999-10-12,22.94,,
1999-10-13,22.25,,
1999-10-14,21.69,,
1999-10-15,21.5,,
1999-10-18,20.81,,
1999-10-19,21.75,,
1999-10-20,21.63,,
1999-10-21,22.38,,
1999-10-22,23.5,,
1999-10-25,24.5,,
1999-10-26,24.38,,
1999-10-27,24.44,,
1999-10-28,25.69,,
1999-10-29,25.75,,
1999-11-01,25.31,,
1999-11-02,25.0,,
1999-11-03,24.94,,
1999-11-04,25.31,,
1999-11-05,27.06,,
1999-11-08,26.06,,
1999-11-09,25.56,,
1999-11-10,25.38,,
1999-11-11,24.63,,
1999-11-12,25.0,,
1999-11-15,24.94,,
1999-11-16,25.81,,
1999-11-17,25.06,,
1999-11-18,24.38,,
1999-11-19,24.56,,
1999-11-22,24.13,,
1999-11-23,24.0,,
1999-11-24,23.31,,
1999-11-26,23.19,,
1999-11-29,23.69,,
1999-11-30,23.75,,
1999-12-01,24.13,,
1999-12-02,24.13,,
1999-12-03,23.75,,
1999-12-06,23.81,,
1999-12-07,24.0,,
1999-12-08,23.44,,
1999-12-09,22.63,,
1999-12-10,23.25,,
1999-12-13,23.44,,
1999-12-14,22.94,,
1999-12-15,23.25,,
1999-12-16,22.75,,
1999-12-17,22.75,,
1999-12-20,22.56,,
1999-12-21,23.0,,
1999-12-22,22.81,,
1999-12-23,22.56,,
1999-12-27,22.44,,
1999-12-28,22.88,,
1999-12-29,22.5,,
1999-12-30,22.06,,
1999-12-31,22.31,,
2000-01-03,21.88,,
