date,SYY,SYY_EPS,PE Ratio
1989-12-15,3.75,0.04,93.75
1989-12-18,3.73,0.04,93.25
1989-12-19,3.72,0.04,93.0
1989-12-20,3.69,0.04,92.25
1989-12-21,3.88,0.04,97.0
1989-12-22,3.88,0.04,97.0
1989-12-26,3.88,0.04,97.0
1989-12-27,3.95,0.04,98.75
1989-12-28,3.97,0.04,99.25
1989-12-29,3.95,0.04,98.75
1990-01-02,4.09,0.04,102.25
1990-01-03,3.98,0.04,99.5
1990-01-04,3.91,0.04,97.75
1990-01-05,3.91,0.04,97.75
1990-01-08,3.88,0.04,97.0
1990-01-09,3.83,0.04,95.75
1990-01-10,3.81,0.04,95.25
1990-01-11,3.81,0.04,95.25
1990-01-12,3.72,0.04,93.0
1990-01-15,3.66,0.04,91.5
1990-01-16,3.63,0.04,90.75
1990-01-17,3.59,0.04,89.75
1990-01-18,3.59,0.04,89.75
1990-01-19,3.63,0.04,90.75
1990-01-22,3.63,0.04,90.75
1990-01-23,3.64,0.04,91.0
1990-01-24,3.59,0.04,89.75
1990-01-25,3.55,0.04,88.75
1990-01-26,3.61,0.04,90.25
1990-01-29,3.66,0.04,91.5
1990-01-30,3.53,0.04,88.25
1990-01-31,3.59,0.04,89.75
1990-02-01,3.58,0.04,89.5
1990-02-02,3.55,0.04,88.75
1990-02-05,3.53,0.04,88.25
1990-02-06,3.52,0.04,88.0
1990-02-07,3.52,0.04,88.0
1990-02-08,3.5,0.04,87.5
1990-02-09,3.53,0.04,88.25
1990-02-12,3.47,0.04,86.75
1990-02-13,3.44,0.04,86.0
1990-02-14,3.52,0.04,88.0
1990-02-15,3.44,0.04,86.0
1990-02-16,3.47,0.04,86.75
1990-02-20,3.42,0.04,85.5
1990-02-21,3.39,0.04,84.75
1990-02-22,3.36,0.04,84.0
1990-02-23,3.25,0.04,81.25
1990-02-26,3.33,0.04,83.25
1990-02-27,3.36,0.04,84.0
1990-02-28,3.38,0.04,84.5
1990-03-01,3.39,0.04,84.75
1990-03-02,3.42,0.04,85.5
1990-03-05,3.34,0.04,83.5
1990-03-06,3.33,0.04,83.25
1990-03-07,3.34,0.04,83.5
1990-03-08,3.38,0.04,84.5
1990-03-09,3.44,0.04,86.0
1990-03-12,3.47,0.04,86.75
1990-03-13,3.47,0.04,86.75
1990-03-14,3.44,0.04,86.0
1990-03-15,3.41,0.04,85.25
1990-03-16,3.52,0.04,88.0
1990-03-19,3.58,0.04,89.5
1990-03-20,3.52,0.04,88.0
1990-03-21,3.52,0.04,88.0
1990-03-22,3.5,0.04,87.5
1990-03-23,3.55,0.04,88.75
1990-03-26,3.63,0.04,90.75
1990-03-27,3.64,0.04,91.0
1990-03-28,3.63,0.04,90.75
1990-03-29,3.64,0.04,91.0
1990-03-30,3.7,0.04,92.5
1990-04-02,3.66,0.04,91.5
1990-04-03,3.72,0.04,93.0
1990-04-04,3.77,0.04,94.25
1990-04-05,3.83,0.04,95.75
1990-04-06,3.88,0.04,97.0
1990-04-09,3.89,0.04,97.25
1990-04-10,3.92,0.04,98.0
1990-04-11,3.98,0.04,99.5
1990-04-12,4.0,0.04,100.0
1990-04-16,4.02,0.04,100.49999999999999
1990-04-17,3.98,0.04,99.5
1990-04-18,4.0,0.04,100.0
1990-04-19,3.88,0.04,97.0
1990-04-20,3.78,0.04,94.5
1990-04-23,3.67,0.04,91.75
1990-04-24,3.67,0.04,91.75
1990-04-25,3.67,0.04,91.75
1990-04-26,3.7,0.04,92.5
1990-04-27,3.69,0.04,92.25
1990-04-30,3.8,0.04,95.0
1990-05-01,3.75,0.04,93.75
1990-05-02,3.84,0.04,96.0
1990-05-03,3.95,0.04,98.75
1990-05-04,3.98,0.04,99.5
1990-05-07,4.02,0.04,100.49999999999999
1990-05-08,4.06,0.04,101.49999999999999
1990-05-09,4.09,0.04,102.25
1990-05-10,4.09,0.04,102.25
1990-05-11,4.2,0.04,105.0
1990-05-14,4.23,0.04,105.75000000000001
1990-05-15,4.33,0.04,108.25
1990-05-16,4.31,0.04,107.74999999999999
1990-05-17,4.28,0.04,107.0
1990-05-18,4.22,0.04,105.49999999999999
1990-05-21,4.34,0.04,108.5
1990-05-22,4.27,0.04,106.74999999999999
1990-05-23,4.3,0.04,107.5
1990-05-24,4.33,0.04,108.25
1990-05-25,4.34,0.04,108.5
1990-05-29,4.38,0.04,109.5
1990-05-30,4.34,0.04,108.5
1990-05-31,4.3,0.04,107.5
1990-06-01,4.34,0.04,108.5
1990-06-04,4.34,0.04,108.5
1990-06-05,4.34,0.04,108.5
1990-06-06,4.36,0.04,109.0
1990-06-07,4.34,0.04,108.5
1990-06-08,4.25,0.04,106.25
1990-06-11,4.27,0.04,106.74999999999999
1990-06-12,4.38,0.04,109.5
1990-06-13,4.3,0.04,107.5
1990-06-14,4.3,0.04,107.5
1990-06-15,4.25,0.04,106.25
1990-06-18,4.25,0.04,106.25
1990-06-19,4.22,0.04,105.49999999999999
1990-06-20,4.22,0.04,105.49999999999999
1990-06-21,4.23,0.04,105.75000000000001
1990-06-22,4.22,0.04,105.49999999999999
1990-06-25,4.02,0.04,100.49999999999999
1990-06-26,4.2,0.04,105.0
1990-06-27,4.38,0.04,109.5
1990-06-28,4.31,0.04,107.74999999999999
1990-06-29,4.28,0.04,107.0
1990-07-02,4.34,0.04,108.5
1990-07-03,4.38,0.04,109.5
1990-07-05,4.39,0.04,109.74999999999999
1990-07-06,4.48,0.04,112.00000000000001
1990-07-09,4.61,0.04,115.25
1990-07-10,4.53,0.04,113.25
1990-07-11,4.58,0.04,114.5
1990-07-12,4.75,0.04,118.75
1990-07-13,4.72,0.04,117.99999999999999
1990-07-16,4.77,0.04,119.24999999999999
1990-07-17,4.75,0.04,118.75
1990-07-18,4.73,0.04,118.25000000000001
1990-07-19,4.64,0.04,115.99999999999999
1990-07-20,4.48,0.04,112.00000000000001
1990-07-23,4.42,0.04,110.5
1990-07-24,4.42,0.04,110.5
1990-07-25,4.48,0.04,112.00000000000001
1990-07-26,4.44,0.04,111.00000000000001
1990-07-27,4.36,0.04,109.0
1990-07-30,4.3,0.04,107.5
1990-07-31,4.27,0.04,106.74999999999999
1990-08-01,4.27,0.04,106.74999999999999
1990-08-02,4.28,0.04,107.0
1990-08-03,4.17,0.04,104.25
1990-08-06,3.95,0.04,98.75
1990-08-07,4.03,0.04,100.75
1990-08-08,4.02,0.04,100.49999999999999
1990-08-09,4.14,0.04,103.49999999999999
1990-08-10,4.19,0.04,104.75000000000001
1990-08-13,4.11,0.04,102.75
1990-08-14,4.06,0.04,101.49999999999999
1990-08-15,4.14,0.04,103.49999999999999
1990-08-16,3.94,0.04,98.5
1990-08-17,3.88,0.04,97.0
1990-08-20,3.91,0.04,97.75
1990-08-21,3.83,0.04,95.75
1990-08-22,3.75,0.04,93.75
1990-08-23,3.55,0.04,88.75
1990-08-24,3.67,0.04,91.75
1990-08-27,3.91,0.04,97.75
1990-08-28,3.84,0.04,96.0
1990-08-29,3.97,0.04,99.25
1990-08-30,3.89,0.04,97.25
1990-08-31,4.0,0.04,100.0
1990-09-04,3.98,0.04,99.5
1990-09-05,3.92,0.04,98.0
1990-09-06,3.83,0.04,95.75
1990-09-07,3.88,0.04,97.0
1990-09-10,3.94,0.04,98.5
1990-09-11,4.0,0.04,100.0
1990-09-12,4.02,0.04,100.49999999999999
1990-09-13,3.89,0.04,97.25
1990-09-14,3.89,0.04,97.25
1990-09-17,3.88,0.04,97.0
1990-09-18,3.95,0.04,98.75
1990-09-19,4.0,0.04,100.0
1990-09-20,3.94,0.04,98.5
1990-09-21,3.88,0.04,97.0
1990-09-24,3.75,0.04,93.75
1990-09-25,3.88,0.04,97.0
1990-09-26,3.75,0.04,93.75
1990-09-27,3.77,0.04,94.25
1990-09-28,3.92,0.04,98.0
1990-10-01,4.09,0.04,102.25
1990-10-02,4.16,0.04,104.0
1990-10-03,4.13,0.04,103.25
1990-10-04,4.08,0.04,102.0
1990-10-05,4.06,0.04,101.49999999999999
1990-10-08,4.06,0.04,101.49999999999999
1990-10-09,3.97,0.04,99.25
1990-10-10,3.88,0.04,97.0
1990-10-11,3.89,0.04,97.25
1990-10-12,4.03,0.04,100.75
1990-10-15,4.13,0.04,103.25
1990-10-16,4.02,0.04,100.49999999999999
1990-10-17,4.0,0.04,100.0
1990-10-18,4.25,0.04,106.25
1990-10-19,4.31,0.04,107.74999999999999
1990-10-22,4.38,0.04,109.5
1990-10-23,4.28,0.04,107.0
1990-10-24,4.31,0.04,107.74999999999999
1990-10-25,4.13,0.04,103.25
1990-10-26,4.11,0.04,102.75
1990-10-29,4.13,0.04,103.25
1990-10-30,4.08,0.04,102.0
1990-10-31,4.02,0.04,100.49999999999999
1990-11-01,3.78,0.04,94.5
1990-11-02,3.83,0.04,95.75
1990-11-05,3.91,0.04,97.75
1990-11-06,3.84,0.04,96.0
1990-11-07,3.7,0.04,92.5
1990-11-08,3.75,0.04,93.75
1990-11-09,3.78,0.04,94.5
1990-11-12,3.91,0.04,97.75
1990-11-13,3.89,0.04,97.25
1990-11-14,3.86,0.04,96.5
1990-11-15,3.86,0.04,96.5
1990-11-16,3.88,0.04,97.0
1990-11-19,3.89,0.04,97.25
1990-11-20,3.89,0.04,97.25
1990-11-21,3.89,0.04,97.25
1990-11-23,3.83,0.04,95.75
1990-11-26,3.81,0.04,95.25
1990-11-27,3.89,0.04,97.25
1990-11-28,3.89,0.04,97.25
1990-11-29,3.84,0.04,96.0
1990-11-30,3.94,0.04,98.5
1990-12-03,4.02,0.04,100.49999999999999
1990-12-04,4.11,0.04,102.75
1990-12-05,4.14,0.04,103.49999999999999
1990-12-06,4.16,0.04,104.0
1990-12-07,4.05,0.04,101.25
1990-12-10,4.06,0.04,101.49999999999999
1990-12-11,4.06,0.04,101.49999999999999
1990-12-12,4.23,0.04,105.75000000000001
1990-12-13,4.22,0.04,105.49999999999999
1990-12-14,4.19,0.04,104.75000000000001
1990-12-17,4.02,0.04,100.49999999999999
1990-12-18,4.11,0.04,102.75
1990-12-19,4.11,0.04,102.75
1990-12-20,4.06,0.04,101.49999999999999
1990-12-21,4.11,0.04,102.75
1990-12-24,4.11,0.04,102.75
1990-12-26,4.09,0.04,102.25
1990-12-27,4.05,0.04,101.25
1990-12-28,4.11,0.04,102.75
1990-12-31,4.2,0.04,105.0
1991-01-02,4.08,0.04,102.0
1991-01-03,3.97,0.04,99.25
1991-01-04,3.91,0.04,97.75
1991-01-07,3.8,0.04,95.0
1991-01-08,3.78,0.04,94.5
1991-01-09,3.83,0.04,95.75
1991-01-10,3.89,0.04,97.25
1991-01-11,3.94,0.04,98.5
1991-01-14,3.8,0.04,95.0
1991-01-15,3.75,0.04,93.75
1991-01-16,3.84,0.04,96.0
1991-01-17,4.03,0.04,100.75
1991-01-18,4.14,0.04,103.49999999999999
1991-01-21,4.08,0.04,102.0
1991-01-22,4.03,0.04,100.75
1991-01-23,4.09,0.04,102.25
1991-01-24,4.25,0.04,106.25
1991-01-25,4.25,0.04,106.25
1991-01-28,4.23,0.04,105.75000000000001
1991-01-29,4.27,0.04,106.74999999999999
1991-01-30,4.45,0.04,111.25
1991-01-31,4.39,0.04,109.74999999999999
1991-02-01,4.27,0.04,106.74999999999999
1991-02-04,4.44,0.04,111.00000000000001
1991-02-05,4.47,0.04,111.74999999999999
1991-02-06,4.59,0.04,114.75
1991-02-07,4.58,0.04,114.5
1991-02-08,4.61,0.04,115.25
1991-02-11,4.66,0.04,116.5
1991-02-12,4.67,0.04,116.75
1991-02-13,4.56,0.04,113.99999999999999
1991-02-14,4.53,0.04,113.25
1991-02-15,4.73,0.04,118.25000000000001
1991-02-19,4.7,0.04,117.5
1991-02-20,4.59,0.04,114.75
1991-02-21,4.72,0.04,117.99999999999999
1991-02-22,4.63,0.04,115.75
1991-02-25,4.63,0.04,115.75
1991-02-26,4.53,0.04,113.25
1991-02-27,4.59,0.04,114.75
1991-02-28,4.63,0.04,115.75
1991-03-01,4.66,0.04,116.5
1991-03-04,4.7,0.04,117.5
1991-03-05,4.88,0.04,122.0
1991-03-06,4.89,0.04,122.24999999999999
1991-03-07,4.89,0.04,122.24999999999999
1991-03-08,4.95,0.04,123.75
1991-03-11,4.92,0.04,123.0
1991-03-12,4.63,0.04,115.75
1991-03-13,4.52,0.04,112.99999999999999
1991-03-14,4.47,0.04,111.74999999999999
1991-03-15,4.42,0.04,110.5
1991-03-18,4.42,0.04,110.5
1991-03-19,4.25,0.04,106.25
1991-03-20,4.34,0.04,108.5
1991-03-21,4.38,0.04,109.5
1991-03-22,4.41,0.04,110.25
1991-03-25,4.5,0.04,112.5
1991-03-26,4.59,0.04,114.75
1991-03-27,4.61,0.04,115.25
1991-03-28,4.48,0.04,112.00000000000001
1991-04-01,4.42,0.04,110.5
1991-04-02,4.53,0.04,113.25
1991-04-03,4.59,0.04,114.75
1991-04-04,4.61,0.04,115.25
1991-04-05,4.67,0.04,116.75
1991-04-08,4.61,0.04,115.25
1991-04-09,4.55,0.04,113.75
1991-04-10,4.52,0.04,112.99999999999999
1991-04-11,4.53,0.04,113.25
1991-04-12,4.56,0.04,113.99999999999999
1991-04-15,4.67,0.04,116.75
1991-04-16,4.84,0.04,121.0
1991-04-17,4.73,0.04,118.25000000000001
1991-04-18,4.86,0.04,121.5
1991-04-19,4.78,0.04,119.5
1991-04-22,4.64,0.04,115.99999999999999
1991-04-23,4.8,0.04,120.0
1991-04-24,4.81,0.04,120.24999999999999
1991-04-25,4.73,0.04,118.25000000000001
1991-04-26,4.84,0.04,121.0
1991-04-29,4.86,0.04,121.5
1991-04-30,4.92,0.04,123.0
1991-05-01,4.97,0.04,124.24999999999999
1991-05-02,5.03,0.04,125.75
1991-05-03,4.97,0.04,124.24999999999999
1991-05-06,5.02,0.04,125.49999999999999
1991-05-07,4.95,0.04,123.75
1991-05-08,5.03,0.04,125.75
1991-05-09,5.06,0.04,126.49999999999999
1991-05-10,4.92,0.04,123.0
1991-05-13,4.98,0.04,124.50000000000001
1991-05-14,4.92,0.04,123.0
1991-05-15,4.86,0.04,121.5
1991-05-16,4.94,0.04,123.50000000000001
1991-05-17,4.95,0.04,123.75
1991-05-20,4.94,0.04,123.50000000000001
1991-05-21,5.03,0.04,125.75
1991-05-22,5.03,0.04,125.75
1991-05-23,5.2,0.04,130.0
1991-05-24,5.25,0.04,131.25
1991-05-28,5.36,0.04,134.0
1991-05-29,5.42,0.04,135.5
1991-05-30,5.41,0.04,135.25
1991-05-31,5.38,0.04,134.5
1991-06-03,5.19,0.04,129.75
1991-06-04,5.28,0.04,132.0
1991-06-05,5.31,0.04,132.75
1991-06-06,5.28,0.04,132.0
1991-06-07,5.17,0.04,129.25
1991-06-10,5.25,0.04,131.25
1991-06-11,5.22,0.04,130.5
1991-06-12,5.14,0.04,128.5
1991-06-13,5.16,0.04,129.0
1991-06-14,5.28,0.04,132.0
1991-06-17,5.25,0.04,131.25
1991-06-18,5.27,0.04,131.75
1991-06-19,5.25,0.04,131.25
1991-06-20,5.22,0.04,130.5
1991-06-21,5.22,0.04,130.5
1991-06-24,5.17,0.04,129.25
1991-06-25,5.13,0.04,128.25
1991-06-26,5.13,0.04,128.25
1991-06-27,5.13,0.04,128.25
1991-06-28,5.13,0.04,128.25
1991-07-01,5.31,0.04,132.75
1991-07-02,5.33,0.04,133.25
1991-07-03,5.25,0.04,131.25
1991-07-05,5.2,0.04,130.0
1991-07-08,5.28,0.04,132.0
1991-07-09,5.27,0.04,131.75
1991-07-10,5.23,0.04,130.75
1991-07-11,5.2,0.04,130.0
1991-07-12,5.31,0.04,132.75
1991-07-15,5.44,0.04,136.0
1991-07-16,5.44,0.04,136.0
1991-07-17,5.42,0.04,135.5
1991-07-18,5.44,0.04,136.0
1991-07-19,5.47,0.04,136.75
1991-07-22,5.47,0.04,136.75
1991-07-23,5.39,0.04,134.75
1991-07-24,5.45,0.04,136.25
1991-07-25,5.55,0.04,138.75
1991-07-26,5.56,0.04,139.0
1991-07-29,5.61,0.04,140.25
1991-07-30,5.73,0.04,143.25
1991-07-31,5.73,0.04,143.25
1991-08-01,5.72,0.04,143.0
1991-08-02,5.83,0.04,145.75
1991-08-05,5.7,0.04,142.5
1991-08-06,5.78,0.04,144.5
1991-08-07,5.66,0.04,141.5
1991-08-08,5.48,0.04,137.0
1991-08-09,5.5,0.04,137.5
1991-08-12,5.5,0.04,137.5
1991-08-13,5.56,0.04,139.0
1991-08-14,5.5,0.04,137.5
1991-08-15,5.55,0.04,138.75
1991-08-16,5.52,0.04,138.0
1991-08-19,5.33,0.04,133.25
1991-08-20,5.36,0.04,134.0
1991-08-21,5.56,0.04,139.0
1991-08-22,5.7,0.04,142.5
1991-08-23,5.75,0.04,143.75
1991-08-26,5.7,0.04,142.5
1991-08-27,5.73,0.04,143.25
1991-08-28,5.77,0.04,144.25
1991-08-29,5.92,0.04,148.0
1991-08-30,5.78,0.04,144.5
1991-09-03,5.63,0.04,140.75
1991-09-04,5.52,0.04,138.0
1991-09-05,5.56,0.04,139.0
1991-09-06,5.53,0.04,138.25
1991-09-09,5.48,0.04,137.0
1991-09-10,5.5,0.04,137.5
1991-09-11,5.53,0.04,138.25
1991-09-12,5.48,0.04,137.0
1991-09-13,5.42,0.04,135.5
1991-09-16,5.38,0.04,134.5
1991-09-17,5.3,0.04,132.5
1991-09-18,5.47,0.04,136.75
1991-09-19,5.53,0.04,138.25
1991-09-20,5.47,0.04,136.75
1991-09-23,5.39,0.04,134.75
1991-09-24,5.42,0.04,135.5
1991-09-25,5.31,0.04,132.75
1991-09-26,5.31,0.04,132.75
1991-09-27,5.22,0.04,130.5
1991-09-30,5.03,0.04,125.75
1991-10-01,4.8,0.04,120.0
1991-10-02,4.86,0.04,121.5
1991-10-03,4.86,0.04,121.5
1991-10-04,4.86,0.04,121.5
1991-10-07,4.92,0.04,123.0
1991-10-08,5.06,0.04,126.49999999999999
1991-10-09,5.05,0.04,126.25
1991-10-10,5.03,0.04,125.75
1991-10-11,5.09,0.04,127.25
1991-10-14,5.16,0.04,129.0
1991-10-15,5.25,0.04,131.25
1991-10-16,5.34,0.04,133.5
1991-10-17,5.28,0.04,132.0
1991-10-18,5.14,0.04,128.5
1991-10-21,5.16,0.04,129.0
1991-10-22,5.19,0.04,129.75
1991-10-23,5.17,0.04,129.25
1991-10-24,5.09,0.04,127.25
1991-10-25,5.0,0.04,125.0
1991-10-28,5.11,0.04,127.75
1991-10-29,5.23,0.04,130.75
1991-10-30,5.25,0.04,131.25
1991-10-31,5.22,0.04,130.5
1991-11-01,5.23,0.04,130.75
1991-11-04,5.2,0.04,130.0
1991-11-05,5.11,0.04,127.75
1991-11-06,5.13,0.04,128.25
1991-11-07,5.2,0.04,130.0
1991-11-08,5.23,0.04,130.75
1991-11-11,5.2,0.04,130.0
1991-11-12,5.34,0.04,133.5
1991-11-13,5.23,0.04,130.75
1991-11-14,5.25,0.04,131.25
1991-11-15,5.13,0.04,128.25
1991-11-18,5.13,0.04,128.25
1991-11-19,5.08,0.04,127.0
1991-11-20,5.16,0.04,129.0
1991-11-21,5.22,0.04,130.5
1991-11-22,5.16,0.04,129.0
1991-11-25,5.13,0.04,128.25
1991-11-26,5.16,0.04,129.0
1991-11-27,5.11,0.04,127.75
1991-11-29,5.05,0.04,126.25
1991-12-02,5.22,0.04,130.5
1991-12-03,5.3,0.04,132.5
1991-12-04,5.3,0.04,132.5
1991-12-05,5.19,0.04,129.75
1991-12-06,5.22,0.04,130.5
1991-12-09,5.17,0.04,129.25
1991-12-10,5.11,0.04,127.75
1991-12-11,5.16,0.04,129.0
1991-12-12,5.2,0.04,130.0
1991-12-13,5.33,0.04,133.25
1991-12-16,5.3,0.04,132.5
1991-12-17,5.33,0.04,133.25
1991-12-18,5.36,0.04,134.0
1991-12-19,5.45,0.04,136.25
1991-12-20,5.36,0.04,134.0
1991-12-23,5.42,0.04,135.5
1991-12-24,5.56,0.04,139.0
1991-12-26,5.59,0.04,139.75
1991-12-27,5.61,0.04,140.25
1991-12-30,5.73,0.04,143.25
1991-12-31,5.83,0.04,145.75
1992-01-02,5.97,0.04,149.25
1992-01-03,5.91,0.04,147.75
1992-01-06,5.7,0.04,142.5
1992-01-07,5.67,0.04,141.75
1992-01-08,5.75,0.04,143.75
1992-01-09,5.75,0.04,143.75
1992-01-10,5.5,0.04,137.5
1992-01-13,5.33,0.04,133.25
1992-01-14,5.44,0.04,136.0
1992-01-15,5.61,0.04,140.25
1992-01-16,5.55,0.04,138.75
1992-01-17,5.53,0.04,138.25
1992-01-20,5.53,0.04,138.25
1992-01-21,5.53,0.04,138.25
1992-01-22,5.59,0.04,139.75
1992-01-23,5.41,0.04,135.25
1992-01-24,5.39,0.04,134.75
1992-01-27,5.44,0.04,136.0
1992-01-28,5.47,0.04,136.75
1992-01-29,5.42,0.04,135.5
1992-01-30,5.39,0.04,134.75
1992-01-31,5.25,0.04,131.25
1992-02-03,5.34,0.04,133.5
1992-02-04,5.25,0.04,131.25
1992-02-05,5.31,0.04,132.75
1992-02-06,5.45,0.04,136.25
1992-02-07,5.33,0.04,133.25
1992-02-10,5.44,0.04,136.0
1992-02-11,5.47,0.04,136.75
1992-02-12,5.42,0.04,135.5
1992-02-13,5.31,0.04,132.75
1992-02-14,5.27,0.04,131.75
1992-02-18,5.16,0.04,129.0
1992-02-19,5.3,0.04,132.5
1992-02-20,5.52,0.04,138.0
1992-02-21,5.52,0.04,138.0
1992-02-24,5.59,0.04,139.75
1992-02-25,5.61,0.04,140.25
1992-02-26,5.55,0.04,138.75
1992-02-27,5.56,0.04,139.0
1992-02-28,5.63,0.04,140.75
1992-03-02,5.66,0.04,141.5
1992-03-03,5.58,0.04,139.5
1992-03-04,5.56,0.04,139.0
1992-03-05,5.56,0.04,139.0
1992-03-06,5.55,0.04,138.75
1992-03-09,5.47,0.04,136.75
1992-03-10,5.58,0.04,139.5
1992-03-11,5.61,0.04,140.25
1992-03-12,5.48,0.04,137.0
1992-03-13,5.56,0.04,139.0
1992-03-16,5.61,0.04,140.25
1992-03-17,5.75,0.04,143.75
1992-03-18,5.73,0.04,143.25
1992-03-19,5.64,0.04,141.0
1992-03-20,5.69,0.04,142.25
1992-03-23,5.73,0.04,143.25
1992-03-24,5.73,0.04,143.25
1992-03-25,5.84,0.04,146.0
1992-03-26,5.86,0.04,146.5
1992-03-27,5.77,0.04,144.25
1992-03-30,5.86,0.04,146.5
1992-03-31,5.83,0.04,145.75
1992-04-01,5.73,0.04,143.25
1992-04-02,5.8,0.04,145.0
1992-04-03,5.84,0.04,146.0
1992-04-06,5.97,0.04,149.25
1992-04-07,5.81,0.04,145.25
1992-04-08,5.7,0.04,142.5
1992-04-09,5.77,0.04,144.25
1992-04-10,5.97,0.04,149.25
1992-04-13,5.91,0.04,147.75
1992-04-14,6.14,0.04,153.5
1992-04-15,6.5,0.04,162.5
1992-04-16,6.5,0.04,162.5
1992-04-20,6.38,0.04,159.5
1992-04-21,6.23,0.04,155.75
1992-04-22,6.13,0.04,153.25
1992-04-23,6.16,0.04,154.0
1992-04-24,6.22,0.04,155.5
1992-04-27,6.22,0.04,155.5
1992-04-28,6.2,0.04,155.0
1992-04-29,6.09,0.04,152.25
1992-04-30,6.11,0.04,152.75
1992-05-01,6.06,0.04,151.5
1992-05-04,6.03,0.04,150.75
1992-05-05,6.05,0.04,151.25
1992-05-06,6.08,0.04,152.0
1992-05-07,6.16,0.04,154.0
1992-05-08,6.09,0.04,152.25
1992-05-11,6.23,0.04,155.75
1992-05-12,6.17,0.04,154.25
1992-05-13,6.16,0.04,154.0
1992-05-14,5.94,0.04,148.5
1992-05-15,5.91,0.04,147.75
1992-05-18,6.11,0.04,152.75
1992-05-19,6.22,0.04,155.5
1992-05-20,6.22,0.04,155.5
1992-05-21,6.25,0.04,156.25
1992-05-22,6.31,0.04,157.75
1992-05-26,6.16,0.04,154.0
1992-05-27,6.17,0.04,154.25
1992-05-28,6.27,0.04,156.75
1992-05-29,6.28,0.04,157.0
1992-06-01,6.23,0.04,155.75
1992-06-02,6.13,0.04,153.25
1992-06-03,6.16,0.04,154.0
1992-06-04,6.16,0.04,154.0
1992-06-05,6.14,0.04,153.5
1992-06-08,6.19,0.04,154.75
1992-06-09,6.17,0.04,154.25
1992-06-10,6.13,0.04,153.25
1992-06-11,6.06,0.04,151.5
1992-06-12,6.06,0.04,151.5
1992-06-15,6.14,0.04,153.5
1992-06-16,6.11,0.04,152.75
1992-06-17,6.11,0.04,152.75
1992-06-18,6.06,0.04,151.5
1992-06-19,6.13,0.04,153.25
1992-06-22,6.25,0.04,156.25
1992-06-23,6.22,0.04,155.5
1992-06-24,6.06,0.04,151.5
1992-06-25,5.97,0.04,149.25
1992-06-26,5.97,0.04,149.25
1992-06-29,6.16,0.04,154.0
1992-06-30,6.19,0.04,154.75
1992-07-01,6.16,0.04,154.0
1992-07-02,6.06,0.04,151.5
1992-07-06,6.25,0.04,156.25
1992-07-07,6.03,0.04,150.75
1992-07-08,6.03,0.04,150.75
1992-07-09,6.22,0.04,155.5
1992-07-10,6.41,0.04,160.25
1992-07-13,6.28,0.04,157.0
1992-07-14,6.44,0.04,161.0
1992-07-15,6.63,0.04,165.75
1992-07-16,6.38,0.04,159.5
1992-07-17,6.38,0.04,159.5
1992-07-20,6.28,0.04,157.0
1992-07-21,6.31,0.04,157.75
