date,UAA,UAA_EPS,PE Ratio
2006-03-27,4.28,0.04,107.0
2006-03-28,4.11,0.04,102.75
2006-03-29,4.25,0.04,106.25
2006-03-30,4.11,0.04,102.75
2006-03-31,4.05,0.04,101.25
2006-04-03,4.07,0.04,101.75
2006-04-04,4.11,0.04,102.75
2006-04-05,4.12,0.04,103.0
2006-04-06,4.09,0.04,102.25
2006-04-07,4.05,0.04,101.25
2006-04-10,3.98,0.04,99.5
2006-04-11,3.9,0.04,97.5
2006-04-12,3.89,0.04,97.25
2006-04-13,3.94,0.04,98.5
2006-04-17,4.03,0.04,100.75
2006-04-18,4.05,0.04,101.25
2006-04-19,4.13,0.04,103.25
2006-04-20,4.12,0.04,103.0
2006-04-21,4.11,0.04,102.75
2006-04-24,4.17,0.04,104.25
2006-04-25,4.09,0.04,102.25
2006-04-26,4.63,0.04,115.75
2006-04-27,4.73,0.04,118.25000000000001
2006-04-28,4.6,0.04,114.99999999999999
2006-05-01,4.59,0.04,114.75
2006-05-02,4.51,0.04,112.74999999999999
2006-05-03,4.46,0.04,111.5
2006-05-04,4.58,0.04,114.5
2006-05-05,4.6,0.04,114.99999999999999
2006-05-08,4.53,0.04,113.25
2006-05-09,4.69,0.04,117.25000000000001
2006-05-10,4.61,0.05,92.2
2006-05-11,4.6,0.05,91.99999999999999
2006-05-12,4.42,0.05,88.39999999999999
2006-05-15,4.45,0.05,89.0
2006-05-16,4.48,0.05,89.60000000000001
2006-05-17,4.4,0.05,88.0
2006-05-18,4.13,0.05,82.6
2006-05-19,4.3,0.05,85.99999999999999
2006-05-22,4.33,0.05,86.6
2006-05-23,4.41,0.05,88.2
2006-05-24,4.41,0.05,88.2
2006-05-25,4.27,0.05,85.39999999999999
2006-05-26,4.3,0.05,85.99999999999999
2006-05-30,4.31,0.05,86.19999999999999
2006-05-31,4.46,0.05,89.19999999999999
2006-06-01,4.66,0.05,93.2
2006-06-02,4.64,0.05,92.79999999999998
2006-06-05,4.55,0.05,90.99999999999999
2006-06-06,4.49,0.05,89.8
2006-06-07,4.38,0.05,87.6
2006-06-08,4.33,0.05,86.6
2006-06-09,4.41,0.05,88.2
2006-06-12,4.37,0.05,87.39999999999999
2006-06-13,4.47,0.05,89.39999999999999
2006-06-14,4.63,0.05,92.6
2006-06-15,4.64,0.05,92.79999999999998
2006-06-16,4.83,0.05,96.6
2006-06-19,4.93,0.05,98.6
2006-06-20,4.7,0.05,94.0
2006-06-21,4.72,0.05,94.39999999999999
2006-06-22,4.62,0.05,92.39999999999999
2006-06-23,4.69,0.05,93.8
2006-06-26,4.67,0.05,93.39999999999999
2006-06-27,4.61,0.05,92.2
2006-06-28,4.8,0.05,95.99999999999999
2006-06-29,5.09,0.05,101.8
2006-06-30,5.33,0.05,106.6
2006-07-03,5.35,0.05,106.99999999999999
2006-07-05,5.36,0.05,107.2
2006-07-06,5.32,0.05,106.4
2006-07-07,4.84,0.05,96.8
2006-07-10,4.91,0.05,98.2
2006-07-11,5.12,0.05,102.39999999999999
2006-07-12,5.05,0.05,100.99999999999999
2006-07-13,4.95,0.05,99.0
2006-07-14,4.89,0.05,97.79999999999998
2006-07-17,4.9,0.05,98.0
2006-07-18,4.81,0.05,96.19999999999999
2006-07-19,5.14,0.05,102.79999999999998
2006-07-20,5.25,0.05,105.0
2006-07-21,5.08,0.05,101.6
2006-07-24,5.32,0.05,106.4
2006-07-25,5.18,0.05,103.6
2006-07-26,5.08,0.05,101.6
2006-07-27,4.96,0.05,99.19999999999999
2006-07-28,5.1,0.05,101.99999999999999
2006-07-31,5.02,0.05,100.39999999999999
2006-08-01,4.88,0.05,97.6
2006-08-02,4.62,0.05,92.39999999999999
2006-08-03,4.68,0.01,467.99999999999994
2006-08-04,4.66,0.01,466.0
2006-08-07,4.56,0.01,455.99999999999994
2006-08-08,4.4,0.01,440.0
2006-08-09,4.18,0.01,417.99999999999994
2006-08-10,4.25,0.01,425.0
2006-08-11,4.06,0.01,405.99999999999994
2006-08-14,4.06,0.01,405.99999999999994
2006-08-15,4.34,0.01,434.0
2006-08-16,4.4,0.01,440.0
2006-08-17,4.38,0.01,438.0
2006-08-18,4.41,0.01,441.0
2006-08-21,4.37,0.01,437.0
2006-08-22,4.44,0.01,444.00000000000006
2006-08-23,4.36,0.01,436.0
2006-08-24,4.32,0.01,432.0
2006-08-25,4.36,0.01,436.0
2006-08-28,4.48,0.01,448.00000000000006
2006-08-29,4.4,0.01,440.0
2006-08-30,4.36,0.01,436.0
2006-08-31,4.31,0.01,430.99999999999994
2006-09-01,4.24,0.01,424.0
2006-09-05,4.35,0.01,434.99999999999994
2006-09-06,4.2,0.01,420.0
2006-09-07,4.08,0.01,408.0
2006-09-08,4.19,0.01,419.00000000000006
2006-09-11,4.51,0.01,450.99999999999994
2006-09-12,4.8,0.01,480.0
2006-09-13,4.78,0.01,478.0
2006-09-14,4.9,0.01,490.0
2006-09-15,4.95,0.01,495.0
2006-09-18,5.0,0.01,500.0
2006-09-19,5.02,0.01,501.99999999999994
2006-09-20,5.03,0.01,503.0
2006-09-21,5.11,0.01,511.0
2006-09-22,5.16,0.01,516.0
2006-09-25,5.11,0.01,511.0
2006-09-26,5.04,0.01,504.0
2006-09-27,5.12,0.01,512.0
2006-09-28,5.03,0.01,503.0
2006-09-29,5.0,0.01,500.0
2006-10-02,4.97,0.01,496.99999999999994
2006-10-03,4.99,0.01,499.0
2006-10-04,5.26,0.01,526.0
2006-10-05,5.31,0.01,531.0
2006-10-06,5.36,0.01,536.0
2006-10-09,5.37,0.01,537.0
2006-10-10,5.69,0.01,569.0
2006-10-11,5.57,0.01,557.0
2006-10-12,5.81,0.01,581.0
2006-10-13,5.99,0.01,599.0
2006-10-16,6.08,0.01,608.0
2006-10-17,5.83,0.01,583.0
2006-10-18,5.83,0.01,583.0
2006-10-19,5.8,0.01,580.0
2006-10-20,5.73,0.01,573.0
2006-10-23,5.87,0.01,587.0
2006-10-24,5.81,0.01,581.0
2006-10-25,5.89,0.01,589.0
2006-10-26,5.97,0.01,597.0
2006-10-27,5.83,0.01,583.0
2006-10-30,5.84,0.01,584.0
2006-10-31,5.79,0.01,579.0
2006-11-01,5.84,0.01,584.0
2006-11-02,5.44,0.01,544.0
2006-11-03,5.65,0.01,565.0
2006-11-06,5.65,0.01,565.0
2006-11-07,5.73,0.01,573.0
2006-11-08,5.72,0.08,71.5
2006-11-09,5.61,0.08,70.125
2006-11-10,5.71,0.08,71.375
2006-11-13,5.55,0.08,69.375
2006-11-14,5.66,0.08,70.75
2006-11-15,5.86,0.08,73.25
2006-11-16,5.78,0.08,72.25
2006-11-17,5.82,0.08,72.75
2006-11-20,5.95,0.08,74.375
2006-11-21,5.99,0.08,74.875
2006-11-22,5.96,0.08,74.5
2006-11-24,5.95,0.08,74.375
2006-11-27,6.04,0.08,75.5
2006-11-28,5.83,0.08,72.875
2006-11-29,5.77,0.08,72.125
2006-11-30,5.87,0.08,73.375
2006-12-01,5.8,0.08,72.5
2006-12-04,5.84,0.08,73.0
2006-12-05,6.2,0.08,77.5
2006-12-06,6.37,0.08,79.625
2006-12-07,6.3,0.08,78.75
2006-12-08,6.36,0.08,79.5
2006-12-11,6.39,0.08,79.875
2006-12-12,6.19,0.08,77.375
2006-12-13,6.13,0.08,76.625
2006-12-14,6.22,0.08,77.75
2006-12-15,6.33,0.08,79.125
2006-12-18,6.31,0.08,78.875
2006-12-19,6.3,0.08,78.75
2006-12-20,6.35,0.08,79.375
2006-12-21,6.42,0.08,80.25
2006-12-22,6.25,0.08,78.125
2006-12-26,6.28,0.08,78.5
2006-12-27,6.35,0.08,79.375
2006-12-28,6.4,0.08,80.0
2006-12-29,6.31,0.08,78.875
2007-01-03,6.19,0.08,77.375
2007-01-04,6.15,0.08,76.875
2007-01-05,6.05,0.08,75.625
2007-01-08,6.12,0.08,76.5
2007-01-09,6.11,0.08,76.375
2007-01-10,6.25,0.08,78.125
2007-01-11,6.26,0.08,78.25
2007-01-12,6.2,0.08,77.5
2007-01-16,6.35,0.08,79.375
2007-01-17,6.36,0.08,79.5
2007-01-18,6.34,0.08,79.25
2007-01-19,6.38,0.08,79.75
2007-01-22,5.89,0.08,73.625
2007-01-23,6.18,0.08,77.25
2007-01-24,6.34,0.08,79.25
2007-01-25,6.23,0.08,77.875
2007-01-26,6.26,0.08,78.25
2007-01-29,6.43,0.08,80.375
2007-01-30,6.54,0.08,81.75
2007-01-31,6.35,0.08,79.375
2007-02-01,5.9,0.08,73.75
2007-02-02,5.73,0.08,71.625
2007-02-05,5.66,0.08,70.75
2007-02-06,5.77,0.08,72.125
2007-02-07,5.99,0.08,74.875
2007-02-08,6.11,0.08,76.375
2007-02-09,6.01,0.08,75.125
2007-02-12,5.9,0.08,73.75
2007-02-13,5.86,0.08,73.25
2007-02-14,5.94,0.08,74.25
2007-02-15,5.95,0.08,74.375
2007-02-16,5.99,0.08,74.875
2007-02-20,6.1,0.08,76.25
2007-02-21,5.98,0.08,74.75
2007-02-22,5.98,0.08,74.75
2007-02-23,5.96,0.08,74.5
2007-02-26,5.95,0.08,74.375
2007-02-27,5.69,0.08,71.125
2007-02-28,5.74,0.06,95.66666666666667
2007-03-01,5.74,0.06,95.66666666666667
2007-03-02,5.6,0.06,93.33333333333333
2007-03-05,5.46,0.06,91.0
2007-03-06,5.75,0.06,95.83333333333334
2007-03-07,5.64,0.06,94.0
2007-03-08,5.77,0.06,96.16666666666666
2007-03-09,5.81,0.06,96.83333333333333
2007-03-12,5.84,0.06,97.33333333333333
2007-03-13,5.67,0.06,94.5
2007-03-14,5.83,0.06,97.16666666666667
2007-03-15,5.89,0.06,98.16666666666667
2007-03-16,5.85,0.06,97.5
2007-03-19,6.09,0.06,101.5
2007-03-20,6.12,0.06,102.0
2007-03-21,6.24,0.06,104.00000000000001
2007-03-22,6.25,0.06,104.16666666666667
2007-03-23,6.4,0.06,106.66666666666667
2007-03-26,6.38,0.06,106.33333333333333
2007-03-27,6.21,0.06,103.5
2007-03-28,6.18,0.06,103.0
2007-03-29,6.34,0.06,105.66666666666667
2007-03-30,6.41,0.06,106.83333333333334
2007-04-02,6.4,0.06,106.66666666666667
2007-04-03,6.54,0.06,109.0
2007-04-04,6.42,0.06,107.0
2007-04-05,6.52,0.06,108.66666666666666
2007-04-09,6.6,0.06,110.0
2007-04-10,6.63,0.06,110.5
2007-04-11,6.58,0.06,109.66666666666667
2007-04-12,6.58,0.06,109.66666666666667
2007-04-13,6.49,0.06,108.16666666666667
2007-04-16,6.56,0.06,109.33333333333333
2007-04-17,6.49,0.06,108.16666666666667
2007-04-18,6.34,0.06,105.66666666666667
2007-04-19,6.38,0.06,106.33333333333333
2007-04-20,6.44,0.06,107.33333333333334
2007-04-23,6.35,0.06,105.83333333333333
2007-04-24,6.26,0.06,104.33333333333333
2007-04-25,6.38,0.06,106.33333333333333
2007-04-26,6.2,0.06,103.33333333333334
2007-04-27,6.16,0.06,102.66666666666667
2007-04-30,6.31,0.06,105.16666666666666
2007-05-01,5.76,0.06,96.0
2007-05-02,5.74,0.06,95.66666666666667
2007-05-03,5.56,0.06,92.66666666666666
2007-05-04,5.65,0.06,94.16666666666667
2007-05-07,5.61,0.06,93.50000000000001
2007-05-08,5.64,0.05,112.79999999999998
2007-05-09,5.61,0.05,112.2
2007-05-10,5.47,0.05,109.39999999999999
2007-05-11,5.57,0.05,111.4
2007-05-14,5.48,0.05,109.60000000000001
2007-05-15,5.35,0.05,106.99999999999999
2007-05-16,5.43,0.05,108.6
2007-05-17,5.61,0.05,112.2
2007-05-18,5.81,0.05,116.19999999999999
2007-05-21,6.01,0.05,120.19999999999999
2007-05-22,6.03,0.05,120.6
2007-05-23,5.88,0.05,117.6
2007-05-24,5.79,0.05,115.8
2007-05-25,5.92,0.05,118.39999999999999
2007-05-29,5.86,0.05,117.2
2007-05-30,5.94,0.05,118.8
2007-05-31,5.98,0.05,119.60000000000001
2007-06-01,6.01,0.05,120.19999999999999
2007-06-04,5.99,0.05,119.8
2007-06-05,5.91,0.05,118.2
2007-06-06,5.83,0.05,116.6
2007-06-07,5.75,0.05,115.0
2007-06-08,5.84,0.05,116.8
2007-06-11,5.65,0.05,113.0
2007-06-12,5.55,0.05,110.99999999999999
2007-06-13,5.59,0.05,111.8
2007-06-14,5.56,0.05,111.19999999999999
2007-06-15,5.65,0.05,113.0
2007-06-18,5.76,0.05,115.19999999999999
2007-06-19,5.73,0.05,114.60000000000001
2007-06-20,5.79,0.05,115.8
2007-06-21,5.77,0.05,115.39999999999999
2007-06-22,5.78,0.05,115.6
2007-06-25,5.75,0.05,115.0
2007-06-26,5.73,0.05,114.60000000000001
2007-06-27,5.83,0.05,116.6
2007-06-28,5.79,0.05,115.8
2007-06-29,5.71,0.05,114.19999999999999
2007-07-02,5.89,0.05,117.79999999999998
2007-07-03,6.14,0.05,122.79999999999998
2007-07-05,6.79,0.05,135.79999999999998
2007-07-06,6.78,0.05,135.6
2007-07-09,6.78,0.05,135.6
2007-07-10,6.54,0.05,130.79999999999998
2007-07-11,6.49,0.05,129.79999999999998
2007-07-12,6.66,0.05,133.2
2007-07-13,6.75,0.05,135.0
2007-07-16,6.77,0.05,135.39999999999998
2007-07-17,6.86,0.05,137.2
2007-07-18,7.09,0.05,141.79999999999998
2007-07-19,7.17,0.05,143.39999999999998
2007-07-20,6.89,0.05,137.79999999999998
2007-07-23,6.77,0.05,135.39999999999998
2007-07-24,6.61,0.05,132.2
2007-07-25,6.48,0.05,129.6
2007-07-26,6.31,0.05,126.19999999999999
2007-07-27,6.45,0.05,129.0
2007-07-30,6.9,0.05,138.0
2007-07-31,7.68,0.05,153.6
2007-08-01,8.02,0.05,160.39999999999998
2007-08-02,7.75,0.05,155.0
2007-08-03,8.09,0.05,161.79999999999998
2007-08-06,7.88,0.05,157.6
2007-08-07,8.01,0.05,160.2
2007-08-08,8.34,0.03,278.0
2007-08-09,8.39,0.03,279.6666666666667
2007-08-10,8.31,0.03,277.0
2007-08-13,7.91,0.03,263.6666666666667
2007-08-14,7.68,0.03,256.0
2007-08-15,7.39,0.03,246.33333333333334
2007-08-16,7.55,0.03,251.66666666666666
2007-08-17,7.99,0.03,266.33333333333337
2007-08-20,8.06,0.03,268.6666666666667
2007-08-21,8.36,0.03,278.6666666666667
2007-08-22,8.36,0.03,278.6666666666667
2007-08-23,8.12,0.03,270.66666666666663
2007-08-24,8.19,0.03,273.0
2007-08-27,7.89,0.03,263.0
2007-08-28,7.78,0.03,259.33333333333337
2007-08-29,8.09,0.03,269.6666666666667
2007-08-30,7.99,0.03,266.33333333333337
2007-08-31,8.13,0.03,271.00000000000006
2007-09-04,8.17,0.03,272.3333333333333
2007-09-05,8.06,0.03,268.6666666666667
2007-09-06,7.92,0.03,264.0
2007-09-07,7.98,0.03,266.0
2007-09-10,7.8,0.03,260.0
2007-09-11,7.77,0.03,259.0
2007-09-12,7.98,0.03,266.0
2007-09-13,7.85,0.03,261.6666666666667
2007-09-14,7.78,0.03,259.33333333333337
2007-09-17,7.68,0.03,256.0
2007-09-18,8.22,0.03,274.00000000000006
2007-09-19,8.15,0.03,271.6666666666667
2007-09-20,7.85,0.03,261.6666666666667
2007-09-21,7.89,0.03,263.0
2007-09-24,8.09,0.03,269.6666666666667
2007-09-25,8.01,0.03,267.0
2007-09-26,7.51,0.03,250.33333333333334
2007-09-27,7.35,0.03,245.0
2007-09-28,7.48,0.03,249.33333333333334
2007-10-01,7.59,0.03,253.0
2007-10-02,7.55,0.03,251.66666666666666
2007-10-03,7.32,0.03,244.00000000000003
2007-10-04,7.24,0.03,241.33333333333334
2007-10-05,7.32,0.03,244.00000000000003
2007-10-08,7.33,0.03,244.33333333333334
2007-10-09,7.48,0.03,249.33333333333334
2007-10-10,7.58,0.03,252.66666666666669
2007-10-11,7.67,0.03,255.66666666666669
2007-10-12,7.59,0.03,253.0
2007-10-15,7.52,0.03,250.66666666666666
2007-10-16,7.39,0.03,246.33333333333334
2007-10-17,7.13,0.03,237.66666666666669
2007-10-18,7.0,0.03,233.33333333333334
2007-10-19,6.73,0.03,224.33333333333334
2007-10-22,6.83,0.03,227.66666666666669
2007-10-23,7.15,0.03,238.33333333333334
2007-10-24,6.95,0.03,231.66666666666669
2007-10-25,7.11,0.03,237.00000000000003
2007-10-26,7.45,0.03,248.33333333333334
2007-10-29,7.34,0.03,244.66666666666666
2007-10-30,7.96,0.03,265.3333333333333
2007-10-31,7.78,0.03,259.33333333333337
2007-11-01,7.29,0.03,243.0
2007-11-02,7.01,0.03,233.66666666666666
2007-11-05,6.42,0.03,214.0
2007-11-06,6.19,0.03,206.33333333333334
2007-11-07,6.21,0.1,62.099999999999994
2007-11-08,6.08,0.1,60.8
2007-11-09,5.83,0.1,58.3
2007-11-12,5.69,0.1,56.9
2007-11-13,6.03,0.1,60.3
2007-11-14,6.38,0.1,63.8
2007-11-15,6.3,0.1,62.99999999999999
2007-11-16,6.45,0.1,64.5
2007-11-19,5.98,0.1,59.800000000000004
2007-11-20,5.99,0.1,59.9
2007-11-21,5.85,0.1,58.49999999999999
2007-11-23,6.02,0.1,60.199999999999996
2007-11-26,5.82,0.1,58.2
2007-11-27,6.01,0.1,60.099999999999994
2007-11-28,6.05,0.1,60.49999999999999
2007-11-29,6.01,0.1,60.099999999999994
2007-11-30,6.21,0.1,62.099999999999994
2007-12-03,6.14,0.1,61.39999999999999
2007-12-04,5.98,0.1,59.800000000000004
2007-12-05,6.15,0.1,61.5
2007-12-06,5.96,0.1,59.599999999999994
2007-12-07,6.06,0.1,60.599999999999994
2007-12-10,6.18,0.1,61.8
2007-12-11,6.04,0.1,60.4
2007-12-12,6.03,0.1,60.3
2007-12-13,5.94,0.1,59.4
2007-12-14,5.66,0.1,56.6
2007-12-17,5.37,0.1,53.699999999999996
2007-12-18,5.53,0.1,55.3
2007-12-19,5.78,0.1,57.8
2007-12-20,5.49,0.1,54.9
2007-12-21,5.59,0.1,55.9
2007-12-24,5.44,0.1,54.4
2007-12-26,5.29,0.1,52.9
2007-12-27,5.38,0.1,53.8
2007-12-28,5.31,0.1,53.099999999999994
2007-12-31,5.46,0.1,54.599999999999994
2008-01-02,5.72,0.1,57.199999999999996
2008-01-03,5.51,0.1,55.099999999999994
2008-01-04,5.23,0.1,52.300000000000004
2008-01-07,5.37,0.1,53.699999999999996
2008-01-08,5.35,0.1,53.49999999999999
2008-01-09,5.42,0.1,54.199999999999996
2008-01-10,5.54,0.1,55.4
2008-01-11,5.33,0.1,53.3
2008-01-14,5.65,0.1,56.5
2008-01-15,5.18,0.1,51.8
2008-01-16,5.36,0.1,53.6
2008-01-17,4.63,0.1,46.3
2008-01-18,3.5,0.1,35.0
2008-01-22,3.91,0.1,39.1
2008-01-23,4.37,0.1,43.699999999999996
2008-01-24,4.46,0.1,44.599999999999994
2008-01-25,4.36,0.1,43.6
2008-01-28,4.37,0.1,43.699999999999996
2008-01-29,4.55,0.1,45.49999999999999
2008-01-30,4.7,0.1,47.0
2008-01-31,5.03,0.1,50.3
2008-02-01,5.35,0.1,53.49999999999999
2008-02-04,5.04,0.1,50.4
2008-02-05,4.96,0.1,49.599999999999994
2008-02-06,5.11,0.1,51.1
2008-02-07,5.3,0.1,52.99999999999999
2008-02-08,5.59,0.1,55.9
2008-02-11,5.62,0.1,56.199999999999996
2008-02-12,5.62,0.1,56.199999999999996
2008-02-13,5.63,0.1,56.3
2008-02-14,5.43,0.1,54.3
2008-02-15,5.33,0.1,53.3
2008-02-19,5.4,0.1,54.0
2008-02-20,5.35,0.1,53.49999999999999
2008-02-21,5.46,0.1,54.599999999999994
2008-02-22,5.12,0.09,56.88888888888889
2008-02-25,5.01,0.09,55.666666666666664
2008-02-26,5.15,0.09,57.22222222222223
2008-02-27,4.83,0.09,53.66666666666667
2008-02-28,4.64,0.09,51.55555555555556
2008-02-29,4.6,0.09,51.11111111111111
2008-03-03,4.64,0.09,51.55555555555556
2008-03-04,4.54,0.09,50.44444444444445
2008-03-05,4.59,0.09,51.0
2008-03-06,4.41,0.09,49.0
2008-03-07,4.3,0.09,47.77777777777778
2008-03-10,4.13,0.09,45.88888888888889
2008-03-11,4.24,0.09,47.111111111111114
2008-03-12,4.26,0.09,47.333333333333336
2008-03-13,4.42,0.09,49.111111111111114
2008-03-14,4.25,0.09,47.22222222222222
2008-03-17,4.27,0.09,47.44444444444444
2008-03-18,4.44,0.09,49.33333333333334
2008-03-19,4.52,0.09,50.22222222222222
2008-03-20,4.67,0.09,51.88888888888889
2008-03-24,4.91,0.09,54.55555555555556
2008-03-25,4.88,0.09,54.22222222222222
2008-03-26,4.77,0.09,53.0
2008-03-27,4.71,0.09,52.333333333333336
2008-03-28,4.59,0.09,51.0
2008-03-31,4.58,0.09,50.88888888888889
2008-04-01,4.63,0.09,51.44444444444444
2008-04-02,4.54,0.09,50.44444444444445
2008-04-03,4.53,0.09,50.333333333333336
2008-04-04,4.41,0.09,49.0
2008-04-07,4.54,0.09,50.44444444444445
2008-04-08,4.6,0.09,51.11111111111111
2008-04-09,4.45,0.09,49.44444444444445
2008-04-10,4.5,0.09,50.0
2008-04-11,4.44,0.09,49.33333333333334
2008-04-14,4.36,0.09,48.44444444444445
2008-04-15,4.19,0.09,46.555555555555564
2008-04-16,4.05,0.09,45.0
2008-04-17,4.18,0.09,46.44444444444444
2008-04-18,4.29,0.09,47.66666666666667
2008-04-21,4.51,0.09,50.11111111111111
2008-04-22,4.48,0.09,49.777777777777786
2008-04-23,4.23,0.09,47.00000000000001
2008-04-24,4.42,0.09,49.111111111111114
2008-04-25,4.62,0.09,51.333333333333336
2008-04-28,4.82,0.09,53.555555555555564
2008-04-29,4.33,0.09,48.111111111111114
2008-04-30,4.17,0.09,46.333333333333336
2008-05-01,4.34,0.09,48.22222222222222
2008-05-02,4.32,0.09,48.00000000000001
2008-05-05,4.22,0.09,46.888888888888886
2008-05-06,4.38,0.09,48.666666666666664
2008-05-07,4.34,0.01,434.0
2008-05-08,4.31,0.01,430.99999999999994
2008-05-09,4.28,0.01,428.0
2008-05-12,4.28,0.01,428.0
2008-05-13,4.12,0.01,412.0
2008-05-14,4.33,0.01,433.0
2008-05-15,4.55,0.01,455.0
2008-05-16,4.56,0.01,455.99999999999994
2008-05-19,4.59,0.01,459.0
2008-05-20,4.71,0.01,471.0
2008-05-21,4.6,0.01,459.99999999999994
2008-05-22,4.21,0.01,421.0
2008-05-23,4.27,0.01,426.99999999999994
2008-05-27,4.22,0.01,421.99999999999994
2008-05-28,4.28,0.01,428.0
2008-05-29,4.37,0.01,437.0
2008-05-30,4.48,0.01,448.00000000000006
2008-06-02,4.35,0.01,434.99999999999994
2008-06-03,4.3,0.01,430.0
2008-06-04,4.29,0.01,429.0
2008-06-05,4.26,0.01,425.99999999999994
2008-06-06,4.14,0.01,413.99999999999994
2008-06-09,4.17,0.01,417.0
2008-06-10,4.29,0.01,429.0
2008-06-11,4.07,0.01,407.0
2008-06-12,3.99,0.01,399.0
2008-06-13,3.97,0.01,397.0
2008-06-16,4.06,0.01,405.99999999999994
2008-06-17,4.02,0.01,401.99999999999994
2008-06-18,3.81,0.01,381.0
2008-06-19,3.66,0.01,366.0
2008-06-20,3.52,0.01,352.0
2008-06-23,3.48,0.01,348.0
2008-06-24,3.39,0.01,339.0
2008-06-25,3.5,0.01,350.0
2008-06-26,3.35,0.01,335.0
2008-06-27,3.26,0.01,326.0
2008-06-30,3.21,0.01,321.0
2008-07-01,3.22,0.01,322.0
2008-07-02,3.23,0.01,323.0
2008-07-03,3.13,0.01,313.0
2008-07-07,3.12,0.01,312.0
2008-07-08,3.49,0.01,349.0
2008-07-09,3.47,0.01,347.0
2008-07-10,3.22,0.01,322.0
2008-07-11,3.18,0.01,318.0
2008-07-14,3.15,0.01,315.0
2008-07-15,3.17,0.01,317.0
2008-07-16,3.38,0.01,338.0
2008-07-17,3.54,0.01,354.0
2008-07-18,3.51,0.01,350.99999999999994
2008-07-21,3.42,0.01,342.0
2008-07-22,3.78,0.01,378.0
2008-07-23,3.82,0.01,382.0
2008-07-24,3.62,0.01,362.0
2008-07-25,3.51,0.01,350.99999999999994
2008-07-28,3.33,0.01,333.0
2008-07-29,3.55,0.01,355.0
2008-07-30,3.79,0.01,379.0
2008-07-31,3.64,0.01,364.0
2008-08-01,3.8,0.01,380.0
2008-08-04,3.91,0.01,391.0
