date,NBL,NBL_EPS,PE Ratio
1980-10-29,5.62,,
1980-10-30,5.51,,
1980-10-31,5.47,,
1980-11-03,5.85,,
1980-11-05,6.03,,
1980-11-06,5.96,,
1980-11-07,5.81,,
1980-11-10,6.03,,
1980-11-11,6.16,,
1980-11-12,6.18,,
1980-11-13,6.41,,
1980-11-14,6.66,,
1980-11-17,6.65,,
1980-11-18,6.74,,
1980-11-19,6.62,,
1980-11-20,6.72,,
1980-11-21,6.83,,
1980-11-24,6.81,,
1980-11-25,7.14,,
1980-11-26,7.16,,
1980-11-28,6.95,,
1980-12-01,6.93,,
1980-12-02,6.81,,
1980-12-03,6.73,,
1980-12-04,6.74,,
1980-12-05,6.46,,
1980-12-08,6.27,,
1980-12-09,5.96,,
1980-12-10,5.85,,
1980-12-11,5.68,,
1980-12-12,5.99,,
1980-12-15,6.13,,
1980-12-16,6.04,,
1980-12-17,6.27,,
1980-12-18,6.25,,
1980-12-19,6.28,,
1980-12-22,6.44,,
1980-12-23,6.17,,
1980-12-24,6.21,,
1980-12-26,6.27,,
1980-12-29,6.25,,
1980-12-30,6.18,,
1980-12-31,6.02,,
1981-01-02,6.23,,
1981-01-05,6.27,,
1981-01-06,6.14,,
1981-01-07,6.24,,
1981-01-08,6.07,,
1981-01-09,6.16,,
1981-01-12,6.07,,
1981-01-13,5.9,,
1981-01-14,6.06,,
1981-01-15,6.21,,
1981-01-16,6.49,,
1981-01-19,6.39,,
1981-01-20,6.16,,
1981-01-21,5.96,,
1981-01-22,5.97,,
1981-01-23,5.9,,
1981-01-26,5.82,,
1981-01-27,5.93,,
1981-01-28,5.83,,
1981-01-29,5.78,,
1981-01-30,5.48,,
1981-02-02,5.37,,
1981-02-03,5.32,,
1981-02-04,5.26,,
1981-02-05,5.37,,
1981-02-06,5.6,,
1981-02-09,5.57,,
1981-02-10,5.43,,
1981-02-11,5.48,,
1981-02-12,5.39,,
1981-02-13,5.32,,
1981-02-17,5.36,,
1981-02-18,5.53,,
1981-02-19,5.32,,
1981-02-20,5.43,,
1981-02-23,5.6,,
1981-02-24,5.61,,
1981-02-25,5.74,,
1981-02-26,5.79,,
1981-02-27,5.9,,
1981-03-02,5.85,,
1981-03-03,5.71,,
1981-03-04,5.62,,
1981-03-05,5.62,,
1981-03-06,5.53,,
1981-03-09,5.57,,
1981-03-10,5.37,,
1981-03-11,5.22,,
1981-03-12,5.34,,
1981-03-13,5.34,,
1981-03-16,5.36,,
1981-03-17,5.33,,
1981-03-18,5.29,,
1981-03-19,5.12,,
1981-03-20,5.08,,
1981-03-23,5.27,,
1981-03-24,5.29,,
1981-03-25,5.29,,
1981-03-26,5.29,,
1981-03-27,5.19,,
1981-03-30,5.18,,
1981-03-31,5.34,,
1981-04-01,5.41,,
1981-04-02,5.54,,
1981-04-03,5.88,,
1981-04-06,5.74,,
1981-04-07,5.57,,
1981-04-08,5.58,,
1981-04-09,5.57,,
1981-04-10,5.5,,
1981-04-13,5.46,,
1981-04-14,5.37,,
1981-04-15,5.36,,
1981-04-16,5.22,,
1981-04-20,5.11,,
1981-04-21,4.76,,
1981-04-22,4.8,,
1981-04-23,4.81,,
1981-04-24,4.83,,
1981-04-27,4.74,,
1981-04-28,4.76,,
1981-04-29,5.01,,
1981-04-30,5.12,,
1981-05-01,5.04,,
1981-05-04,4.92,,
1981-05-05,4.92,,
1981-05-06,5.04,,
1981-05-07,4.97,,
1981-05-08,5.2,,
1981-05-11,5.04,,
1981-05-12,4.95,,
1981-05-13,4.98,,
1981-05-14,4.98,,
1981-05-15,5.09,,
1981-05-18,5.23,,
1981-05-19,5.2,,
1981-05-20,5.12,,
1981-05-21,5.2,,
1981-05-22,5.26,,
1981-05-26,5.32,,
1981-05-27,5.37,,
1981-05-28,4.87,,
1981-05-29,4.73,,
1981-06-01,4.51,,
1981-06-02,4.39,,
1981-06-03,4.31,,
1981-06-04,4.45,,
1981-06-05,4.56,,
1981-06-08,4.48,,
1981-06-09,4.42,,
1981-06-10,4.2,,
1981-06-11,4.09,,
1981-06-12,4.23,,
1981-06-15,4.09,,
1981-06-16,3.86,,
1981-06-17,4.11,,
1981-06-18,4.06,,
1981-06-19,4.2,,
1981-06-22,4.11,,
1981-06-23,4.14,,
1981-06-24,4.25,,
1981-06-25,4.39,,
1981-06-26,4.45,,
1981-06-29,4.51,,
1981-06-30,4.48,,
1981-07-01,4.37,,
1981-07-02,4.25,,
1981-07-06,4.09,,
1981-07-07,4.0,,
1981-07-08,4.03,,
1981-07-09,4.09,,
1981-07-10,4.14,,
1981-07-13,4.25,,
1981-07-14,4.25,,
1981-07-15,4.53,,
1981-07-16,4.73,,
1981-07-17,4.62,,
1981-07-20,4.51,,
1981-07-21,4.51,,
1981-07-22,4.48,,
1981-07-23,4.48,,
1981-07-24,4.51,,
1981-07-27,4.62,,
1981-07-28,4.39,,
1981-07-29,4.62,,
1981-07-30,4.76,,
1981-07-31,4.92,,
1981-08-03,4.9,,
1981-08-04,4.87,,
1981-08-05,4.9,,
1981-08-06,5.18,,
1981-08-07,5.32,,
1981-08-10,5.09,,
1981-08-11,5.09,,
1981-08-12,5.09,,
1981-08-13,5.15,,
1981-08-14,5.06,,
1981-08-17,5.04,,
1981-08-18,4.9,,
1981-08-19,4.95,,
1981-08-20,5.12,,
1981-08-21,5.01,,
1981-08-24,4.7,,
1981-08-25,4.64,,
1981-08-26,4.76,,
1981-08-27,4.56,,
1981-08-28,4.53,,
1981-08-31,4.45,,
1981-09-01,4.48,,
1981-09-02,4.48,,
1981-09-03,4.37,,
1981-09-04,4.2,,
1981-09-08,3.95,,
1981-09-09,3.72,,
1981-09-10,4.09,,
1981-09-11,4.14,,
1981-09-14,4.06,,
1981-09-15,4.09,,
1981-09-16,3.89,,
1981-09-17,3.58,,
1981-09-18,3.58,,
1981-09-21,3.55,,
1981-09-22,3.58,,
1981-09-23,3.53,,
1981-09-24,3.58,,
1981-09-25,3.36,,
1981-09-28,3.92,,
1981-09-29,3.95,,
1981-09-30,3.86,,
1981-10-01,3.78,,
1981-10-02,4.0,,
1981-10-05,4.0,,
1981-10-06,4.23,,
1981-10-07,4.34,,
1981-10-08,4.37,,
1981-10-09,4.25,,
1981-10-12,4.11,,
1981-10-13,4.14,,
1981-10-14,4.03,,
1981-10-15,3.97,,
1981-10-16,3.81,,
1981-10-19,3.81,,
1981-10-20,3.75,,
1981-10-21,4.14,,
1981-10-22,4.06,,
1981-10-23,4.14,,
1981-10-26,4.14,,
1981-10-27,4.37,,
1981-10-28,4.39,,
1981-10-29,4.37,,
1981-10-30,4.34,,
1981-11-02,4.25,,
1981-11-03,4.37,,
1981-11-04,4.45,,
1981-11-05,4.45,,
1981-11-06,4.39,,
1981-11-09,4.59,,
1981-11-10,4.59,,
1981-11-11,4.48,,
1981-11-12,4.48,,
1981-11-13,4.42,,
1981-11-16,4.34,,
1981-11-17,4.17,,
1981-11-18,4.11,,
1981-11-19,3.83,,
1981-11-20,4.0,,
1981-11-23,4.14,,
1981-11-24,4.14,,
1981-11-25,4.37,,
1981-11-27,4.45,,
1981-11-30,4.42,,
1981-12-01,4.34,,
1981-12-02,4.23,,
1981-12-03,4.2,,
1981-12-04,4.25,,
1981-12-07,4.0,,
1981-12-08,3.97,,
1981-12-09,4.03,,
1981-12-10,4.09,,
1981-12-11,4.14,,
1981-12-14,4.03,,
1981-12-15,4.09,,
1981-12-16,4.17,,
1981-12-17,4.11,,
1981-12-18,3.97,,
1981-12-21,3.95,,
1981-12-22,3.89,,
1981-12-23,3.81,,
1981-12-24,3.81,,
1981-12-28,3.81,,
1981-12-29,3.75,,
1981-12-30,3.64,,
1981-12-31,3.75,,
1982-01-04,3.83,,
1982-01-05,3.75,,
1982-01-06,3.55,,
1982-01-07,3.41,,
1982-01-08,3.44,,
1982-01-11,3.33,,
1982-01-12,3.33,,
1982-01-13,3.11,,
1982-01-14,3.19,,
1982-01-15,3.13,,
1982-01-18,3.22,,
1982-01-19,3.08,,
1982-01-20,2.94,,
1982-01-21,2.91,,
1982-01-22,2.91,,
1982-01-25,2.94,,
1982-01-26,3.11,,
1982-01-27,3.16,,
1982-01-28,3.55,,
1982-01-29,3.69,,
1982-02-01,3.47,,
1982-02-02,3.44,,
1982-02-03,3.22,,
1982-02-04,3.13,,
1982-02-05,3.22,,
1982-02-08,3.19,,
1982-02-09,3.11,,
1982-02-10,3.16,,
1982-02-11,3.13,,
1982-02-12,3.22,,
1982-02-16,3.16,,
1982-02-17,3.19,,
1982-02-18,3.19,,
1982-02-19,3.13,,
1982-02-22,3.02,,
1982-02-23,2.97,,
1982-02-24,3.13,,
1982-02-25,3.11,,
1982-02-26,3.11,,
1982-03-01,3.02,,
1982-03-02,2.97,,
1982-03-03,2.71,,
1982-03-04,2.71,,
1982-03-05,2.57,,
1982-03-08,2.57,,
1982-03-09,2.66,,
1982-03-10,2.66,,
1982-03-11,2.41,,
1982-03-12,2.57,,
1982-03-15,2.57,,
1982-03-16,2.71,,
1982-03-17,2.74,,
1982-03-18,2.85,,
1982-03-19,3.19,,
1982-03-22,3.13,,
1982-03-23,3.11,,
1982-03-24,2.88,,
1982-03-25,2.91,,
1982-03-26,2.99,,
1982-03-29,2.91,,
1982-03-30,2.91,,
1982-03-31,2.85,,
1982-04-01,2.91,,
1982-04-02,3.16,,
1982-04-05,3.05,,
1982-04-06,2.99,,
1982-04-07,2.97,,
1982-04-08,2.94,,
1982-04-12,2.99,,
1982-04-13,3.05,,
1982-04-14,3.08,,
1982-04-15,3.22,,
1982-04-16,3.13,,
1982-04-19,3.08,,
1982-04-20,3.05,,
1982-04-21,3.05,,
1982-04-22,3.11,,
1982-04-23,3.05,,
1982-04-26,2.97,,
1982-04-27,3.08,,
1982-04-28,2.99,,
1982-04-29,2.99,,
1982-04-30,2.99,,
1982-05-03,2.88,,
1982-05-04,2.88,,
1982-05-05,2.91,,
1982-05-06,2.94,,
1982-05-07,3.13,,
1982-05-10,3.27,,
1982-05-11,3.25,,
1982-05-12,3.36,,
1982-05-13,3.3,,
1982-05-14,3.33,,
1982-05-17,3.22,,
1982-05-18,3.13,,
1982-05-19,2.91,,
1982-05-20,2.97,,
1982-05-21,2.91,,
1982-05-24,2.97,,
1982-05-25,2.8,,
1982-05-26,2.77,,
1982-05-27,2.91,,
1982-05-28,2.91,,
1982-06-01,2.88,,
1982-06-02,2.94,,
1982-06-03,2.91,,
1982-06-04,2.77,,
1982-06-07,2.69,,
1982-06-08,2.63,,
1982-06-09,2.57,,
1982-06-10,2.66,,
1982-06-11,2.8,,
1982-06-14,2.83,,
1982-06-15,2.69,,
1982-06-16,2.6,,
1982-06-17,2.46,,
1982-06-18,2.52,,
1982-06-21,2.46,,
1982-06-22,2.57,,
1982-06-23,2.8,,
1982-06-24,2.77,,
1982-06-25,2.77,,
1982-06-28,2.8,,
1982-06-29,2.63,,
1982-06-30,2.6,,
1982-07-01,2.46,,
1982-07-02,2.43,,
1982-07-06,2.49,,
1982-07-07,2.38,,
1982-07-08,2.43,,
1982-07-09,2.38,,
1982-07-12,2.24,,
1982-07-13,2.21,,
1982-07-14,2.24,,
1982-07-15,2.24,,
1982-07-16,2.24,,
1982-07-19,2.18,,
1982-07-20,2.18,,
1982-07-21,2.21,,
1982-07-22,2.24,,
1982-07-23,2.27,,
1982-07-26,2.21,,
1982-07-27,2.27,,
1982-07-28,2.24,,
1982-07-29,2.24,,
1982-07-30,2.27,,
1982-08-02,2.27,,
1982-08-03,2.27,,
1982-08-04,2.18,,
1982-08-05,2.18,,
1982-08-06,2.21,,
1982-08-09,2.15,,
1982-08-10,2.15,,
1982-08-11,2.07,,
1982-08-12,2.01,,
1982-08-13,1.96,,
1982-08-16,1.96,,
1982-08-17,2.07,,
1982-08-18,2.21,,
1982-08-19,2.04,,
1982-08-20,2.1,,
1982-08-23,2.1,,
1982-08-24,2.13,,
1982-08-25,2.35,,
1982-08-26,2.41,,
1982-08-27,2.41,,
1982-08-30,2.38,,
1982-08-31,2.29,,
1982-09-01,2.24,,
1982-09-02,2.35,,
1982-09-03,2.52,,
1982-09-07,2.46,,
1982-09-08,2.46,,
1982-09-09,2.43,,
1982-09-10,2.32,,
1982-09-13,2.27,,
1982-09-14,2.43,,
1982-09-15,2.66,,
1982-09-16,2.57,,
1982-09-17,2.52,,
1982-09-20,2.43,,
1982-09-21,2.46,,
1982-09-22,2.46,,
1982-09-23,2.38,,
1982-09-24,2.41,,
1982-09-27,2.35,,
1982-09-28,2.29,,
1982-09-29,2.18,,
1982-09-30,2.24,,
1982-10-01,2.24,,
1982-10-04,2.18,,
1982-10-05,2.24,,
1982-10-06,2.21,,
1982-10-07,2.29,,
1982-10-08,2.32,,
1982-10-11,2.38,,
1982-10-12,2.49,,
1982-10-13,3.02,,
1982-10-14,3.05,,
1982-10-15,2.97,,
1982-10-18,2.99,,
1982-10-19,2.97,,
1982-10-20,3.05,,
1982-10-21,2.94,,
1982-10-22,2.85,,
1982-10-25,2.74,,
1982-10-26,2.71,,
1982-10-27,2.88,,
1982-10-28,2.71,,
1982-10-29,2.69,,
1982-11-01,2.66,,
1982-11-02,2.63,,
1982-11-03,2.88,,
1982-11-04,2.91,,
1982-11-05,3.08,,
1982-11-08,3.11,,
1982-11-09,3.08,,
1982-11-10,2.97,,
1982-11-11,3.3,,
1982-11-12,3.16,,
1982-11-15,3.08,,
1982-11-16,3.02,,
1982-11-17,3.16,,
1982-11-18,3.3,,
1982-11-19,3.25,,
1982-11-22,3.11,,
1982-11-23,2.97,,
1982-11-24,3.02,,
1982-11-26,2.99,,
1982-11-29,2.97,,
1982-11-30,2.99,,
1982-12-01,2.97,,
1982-12-02,2.91,,
1982-12-03,2.97,,
1982-12-06,3.02,,
1982-12-07,2.99,,
1982-12-08,3.02,,
1982-12-09,3.25,,
1982-12-10,3.25,,
1982-12-13,3.36,,
1982-12-14,3.13,,
1982-12-15,2.97,,
1982-12-16,3.05,,
1982-12-17,3.19,,
1982-12-20,3.22,,
1982-12-21,3.3,,
1982-12-22,3.25,,
1982-12-23,3.27,,
1982-12-27,3.27,,
1982-12-28,3.16,,
1982-12-29,3.19,,
1982-12-30,3.13,,
1982-12-31,3.19,,
1983-01-03,3.13,,
1983-01-04,3.36,,
1983-01-05,3.53,,
1983-01-06,3.75,,
1983-01-07,3.69,,
1983-01-10,3.64,,
1983-01-11,3.69,,
1983-01-12,3.75,,
1983-01-13,3.61,,
1983-01-14,3.53,,
1983-01-17,3.5,,
1983-01-18,3.53,,
1983-01-19,3.44,,
1983-01-20,3.69,,
1983-01-21,3.69,,
1983-01-24,3.41,,
1983-01-25,3.36,,
1983-01-26,3.41,,
1983-01-27,3.44,,
1983-01-28,3.47,,
1983-01-31,3.36,,
1983-02-01,3.19,,
1983-02-02,3.22,,
1983-02-03,3.33,,
1983-02-04,3.27,,
1983-02-07,3.25,,
1983-02-08,3.16,,
1983-02-09,3.25,,
1983-02-10,3.33,,
1983-02-11,3.3,,
1983-02-14,3.27,,
1983-02-15,3.3,,
1983-02-16,3.19,,
1983-02-17,3.22,,
1983-02-18,3.16,,
1983-02-22,2.85,,
1983-02-23,2.88,,
1983-02-24,3.11,,
1983-02-25,3.05,,
1983-02-28,2.85,,
1983-03-01,2.94,,
1983-03-02,2.91,,
1983-03-03,2.91,,
1983-03-04,2.94,,
1983-03-07,2.99,,
1983-03-08,2.91,,
1983-03-09,3.08,,
1983-03-10,3.13,,
1983-03-11,3.08,,
1983-03-14,3.05,,
1983-03-15,3.05,,
1983-03-16,2.83,,
1983-03-17,2.85,,
1983-03-18,2.91,,
1983-03-21,2.91,,
1983-03-22,2.77,,
1983-03-23,2.77,,
1983-03-24,2.8,,
1983-03-25,2.85,,
1983-03-28,2.74,,
1983-03-29,2.69,,
1983-03-30,2.8,,
1983-03-31,3.08,,
1983-04-04,3.08,,
1983-04-05,3.08,,
1983-04-06,3.05,,
1983-04-07,3.02,,
1983-04-08,3.08,,
1983-04-11,3.25,,
1983-04-12,3.36,,
1983-04-13,3.39,,
1983-04-14,3.41,,
1983-04-15,3.44,,
1983-04-18,3.33,,
1983-04-19,3.3,,
1983-04-20,3.13,,
1983-04-21,3.19,,
1983-04-22,3.13,,
1983-04-25,3.22,,
1983-04-26,3.3,,
1983-04-27,3.41,,
1983-04-28,3.39,,
1983-04-29,3.39,,
1983-05-02,3.3,,
1983-05-03,3.3,,
1983-05-04,3.25,,
1983-05-05,3.19,,
1983-05-06,3.3,,
1983-05-09,3.22,,
1983-05-10,3.27,,
1983-05-11,3.33,,
1983-05-12,3.36,,
1983-05-13,3.39,,
1983-05-16,3.36,,
1983-05-17,3.55,,
1983-05-18,3.47,,
1983-05-19,3.39,,
1983-05-20,3.41,,
1983-05-23,3.69,,
1983-05-24,3.69,,
1983-05-25,3.69,,
1983-05-26,3.78,,
1983-05-27,4.0,,
1983-05-31,3.81,,
1983-06-01,3.92,,
1983-06-02,3.97,,
1983-06-03,3.97,,
1983-06-06,3.92,,
1983-06-07,3.61,,
1983-06-08,3.67,,
1983-06-09,3.69,,
1983-06-10,3.81,,
1983-06-13,3.78,,
1983-06-14,3.81,,
1983-06-15,3.75,,
1983-06-16,3.81,,
1983-06-17,3.78,,
1983-06-20,3.86,,
1983-06-21,3.95,,
1983-06-22,4.06,,
1983-06-23,4.09,,
1983-06-24,4.09,,
1983-06-27,4.0,,
1983-06-28,3.95,,
1983-06-29,4.03,,
1983-06-30,4.0,,
1983-07-01,4.0,,
1983-07-05,4.06,,
1983-07-06,4.25,,
1983-07-07,4.25,,
1983-07-08,4.39,,
1983-07-11,4.34,,
1983-07-12,4.17,,
1983-07-13,4.17,,
1983-07-14,4.2,,
1983-07-15,4.17,,
1983-07-18,4.2,,
1983-07-19,4.14,,
1983-07-20,4.31,,
1983-07-21,4.34,,
1983-07-22,4.28,,
1983-07-25,4.34,,
1983-07-26,4.39,,
1983-07-27,4.25,,
1983-07-28,4.14,,
1983-07-29,4.0,,
1983-08-01,3.89,,
1983-08-02,3.86,,
1983-08-03,3.92,,
1983-08-04,3.95,,
1983-08-05,4.09,,
1983-08-08,4.0,,
1983-08-09,4.23,,
1983-08-10,4.14,,
1983-08-11,4.14,,
1983-08-12,4.11,,
1983-08-15,4.31,,
1983-08-16,4.28,,
1983-08-17,4.48,,
1983-08-18,4.48,,
1983-08-19,4.45,,
1983-08-22,4.51,,
1983-08-23,4.45,,
1983-08-24,4.42,,
1983-08-25,4.25,,
1983-08-26,4.28,,
1983-08-29,4.28,,
1983-08-30,4.34,,
1983-08-31,4.34,,
1983-09-01,4.34,,
1983-09-02,4.42,,
1983-09-06,4.51,,
1983-09-07,4.48,,
1983-09-08,4.45,,
1983-09-09,4.34,,
1983-09-12,4.37,,
1983-09-13,4.31,,
1983-09-14,4.37,,
1983-09-15,4.31,,
1983-09-16,4.42,,
1983-09-19,4.64,,
1983-09-20,4.56,,
1983-09-21,4.48,,
1983-09-22,4.48,,
1983-09-23,4.42,,
1983-09-26,4.37,,
1983-09-27,4.25,,
1983-09-28,4.25,,
1983-09-29,4.42,,
1983-09-30,4.25,,
1983-10-03,4.25,,
1983-10-04,4.09,,
1983-10-05,3.89,,
1983-10-06,3.75,,
1983-10-07,3.75,,
1983-10-10,3.89,,
1983-10-11,3.81,,
1983-10-12,3.75,,
1983-10-13,4.03,,
1983-10-14,3.83,,
1983-10-17,3.81,,
1983-10-18,3.58,,
1983-10-19,3.75,,
1983-10-20,3.86,,
1983-10-21,3.75,,
1983-10-24,3.72,,
1983-10-25,3.72,,
1983-10-26,3.75,,
1983-10-27,3.75,,
1983-10-28,3.75,,
1983-10-31,3.83,,
1983-11-01,3.81,,
1983-11-02,3.75,,
1983-11-03,3.78,,
1983-11-04,3.75,,
1983-11-07,3.78,,
1983-11-08,3.69,,
1983-11-09,3.75,,
1983-11-10,3.69,,
1983-11-11,3.81,,
1983-11-14,3.69,,
1983-11-15,3.67,,
1983-11-16,3.75,,
1983-11-17,3.81,,
1983-11-18,3.75,,
1983-11-21,3.72,,
1983-11-22,3.67,,
1983-11-23,3.61,,
1983-11-25,3.58,,
1983-11-28,3.44,,
1983-11-29,3.44,,
1983-11-30,3.47,,
1983-12-01,3.41,,
1983-12-02,3.39,,
1983-12-05,3.36,,
1983-12-06,3.41,,
1983-12-07,3.44,,
1983-12-08,3.33,,
1983-12-09,3.47,,
1983-12-12,3.53,,
1983-12-13,3.47,,
1983-12-14,3.36,,
1983-12-15,3.25,,
1983-12-16,3.3,,
1983-12-19,3.25,,
1983-12-20,3.13,,
1983-12-21,3.3,,
1983-12-22,3.36,,
1983-12-23,3.41,,
1983-12-27,3.44,,
1983-12-28,3.61,,
1983-12-29,3.75,,
1983-12-30,3.75,,
1984-01-03,3.78,,
1984-01-04,3.86,,
1984-01-05,3.83,,
1984-01-06,3.86,,
1984-01-09,3.75,,
1984-01-10,3.75,,
1984-01-11,3.67,,
1984-01-12,3.72,,
1984-01-13,3.69,,
1984-01-16,3.64,,
1984-01-17,3.55,,
1984-01-18,3.61,,
1984-01-19,3.58,,
1984-01-20,3.67,,
1984-01-23,3.69,,
1984-01-24,3.95,,
1984-01-25,4.0,,
1984-01-26,4.0,,
1984-01-27,4.03,,
1984-01-30,4.06,,
1984-01-31,3.97,,
1984-02-01,4.06,,
1984-02-02,3.86,,
1984-02-03,3.58,,
1984-02-06,3.5,,
1984-02-07,3.53,,
1984-02-08,3.61,,
1984-02-09,3.64,,
1984-02-10,3.44,,
1984-02-13,3.44,,
1984-02-14,3.41,,
1984-02-15,3.61,,
1984-02-16,3.39,,
1984-02-17,3.53,,
1984-02-21,3.53,,
1984-02-22,3.55,,
1984-02-23,3.58,,
1984-02-24,3.67,,
1984-02-27,3.72,,
1984-02-28,3.64,,
1984-02-29,3.58,,
1984-03-01,3.69,,
1984-03-02,3.83,,
1984-03-05,3.72,,
1984-03-06,3.75,,
1984-03-07,3.67,,
1984-03-08,3.75,,
1984-03-09,3.89,,
1984-03-12,3.86,,
1984-03-13,3.92,,
1984-03-14,3.78,,
1984-03-15,3.75,,
1984-03-16,3.75,,
1984-03-19,3.69,,
1984-03-20,3.78,,
1984-03-21,3.83,,
1984-03-22,3.81,,
1984-03-23,3.92,,
1984-03-26,3.92,,
1984-03-27,3.92,,
1984-03-28,3.95,,
1984-03-29,3.83,,
1984-03-30,4.0,,
1984-04-02,3.86,,
1984-04-03,3.89,,
1984-04-04,4.14,,
1984-04-05,4.14,,
1984-04-06,4.09,,
1984-04-09,4.06,,
1984-04-10,4.03,,
1984-04-11,3.89,,
1984-04-12,4.03,,
1984-04-13,4.03,,
1984-04-16,4.03,,
1984-04-17,4.06,,
1984-04-18,4.09,,
1984-04-19,4.06,,
1984-04-23,3.97,,
1984-04-24,4.0,,
1984-04-25,4.11,,
1984-04-26,4.17,,
1984-04-27,4.14,,
1984-04-30,4.11,,
1984-05-01,4.11,,
1984-05-02,4.09,,
1984-05-03,4.2,,
1984-05-04,4.09,,
1984-05-07,4.0,,
1984-05-08,3.97,,
1984-05-09,3.89,,
1984-05-10,3.89,,
1984-05-11,3.97,,
1984-05-14,4.06,,
1984-05-15,4.06,,
1984-05-16,4.17,,
1984-05-17,4.14,,
1984-05-18,4.14,,
1984-05-21,4.09,,
1984-05-22,3.97,,
1984-05-23,3.86,,
1984-05-24,3.86,,
1984-05-25,3.78,,
1984-05-29,3.78,,
1984-05-30,3.86,,
1984-05-31,3.81,,
1984-06-01,3.83,,
1984-06-04,3.92,,
1984-06-05,3.81,,
1984-06-06,3.86,,
1984-06-07,3.97,,
1984-06-08,3.92,,
1984-06-11,3.92,,
1984-06-12,3.92,,
