date,ANTM,ANTM_EPS,PE Ratio
2002-01-29,26.6,0.34,78.23529411764706
2002-01-30,26.26,0.34,77.23529411764706
2002-01-31,26.6,0.34,78.23529411764706
2002-02-01,26.58,0.34,78.17647058823529
2002-02-04,26.1,0.34,76.76470588235294
2002-02-05,27.12,0.34,79.76470588235294
2002-02-06,28.25,0.34,83.08823529411764
2002-02-07,28.8,0.34,84.70588235294117
2002-02-08,28.85,0.34,84.85294117647058
2002-02-11,28.78,0.34,84.6470588235294
2002-02-12,28.45,0.34,83.67647058823529
2002-02-13,28.03,0.34,82.44117647058823
2002-02-14,28.21,0.34,82.97058823529412
2002-02-15,28.05,0.34,82.5
2002-02-19,27.18,0.34,79.94117647058823
2002-02-20,27.0,0.34,79.41176470588235
2002-02-21,27.78,0.34,81.70588235294117
2002-02-22,28.17,0.34,82.8529411764706
2002-02-25,28.53,0.34,83.91176470588235
2002-02-26,29.13,0.34,85.67647058823529
2002-02-27,28.99,0.34,85.26470588235293
2002-02-28,29.05,0.34,85.44117647058823
2002-03-01,29.03,0.34,85.38235294117646
2002-03-04,27.75,0.34,81.61764705882352
2002-03-05,27.33,0.34,80.38235294117646
2002-03-06,28.17,0.34,82.8529411764706
2002-03-07,28.13,0.34,82.73529411764704
2002-03-08,28.13,0.34,82.73529411764704
2002-03-11,28.3,0.34,83.23529411764706
2002-03-12,28.25,0.34,83.08823529411764
2002-03-13,28.28,0.34,83.17647058823529
2002-03-14,28.25,0.34,83.08823529411764
2002-03-15,28.45,0.34,83.67647058823529
2002-03-18,29.15,0.34,85.73529411764704
2002-03-19,28.2,0.34,82.94117647058823
2002-03-20,28.2,0.34,82.94117647058823
2002-03-21,28.65,0.34,84.26470588235293
2002-03-22,28.4,0.34,83.52941176470587
2002-03-25,28.3,0.34,83.23529411764706
2002-03-26,27.99,0.34,82.3235294117647
2002-03-27,29.0,0.34,85.29411764705881
2002-03-28,28.79,0.34,84.67647058823529
2002-04-01,29.13,0.34,85.67647058823529
2002-04-02,30.0,0.34,88.23529411764706
2002-04-03,29.67,0.34,87.26470588235294
2002-04-04,30.38,0.34,89.35294117647058
2002-04-05,30.96,0.34,91.05882352941175
2002-04-08,30.68,0.34,90.23529411764706
2002-04-09,30.42,0.34,89.47058823529412
2002-04-10,30.6,0.34,90.0
2002-04-11,30.42,0.34,89.47058823529412
2002-04-12,30.32,0.34,89.17647058823529
2002-04-15,30.48,0.34,89.6470588235294
2002-04-16,31.11,0.34,91.49999999999999
2002-04-17,32.33,0.34,95.08823529411764
2002-04-18,34.13,0.34,100.38235294117646
2002-04-19,34.18,0.34,100.52941176470587
2002-04-22,33.67,0.34,99.02941176470588
2002-04-23,32.97,0.34,96.9705882352941
2002-04-24,33.88,0.34,99.6470588235294
2002-04-25,35.6,0.34,104.70588235294117
2002-04-26,35.35,0.34,103.97058823529412
2002-04-29,33.33,0.34,98.02941176470587
2002-04-30,34.1,0.34,100.29411764705883
2002-05-01,35.38,0.34,104.05882352941177
2002-05-02,35.55,0.34,104.55882352941175
2002-05-03,35.93,0.34,105.67647058823529
2002-05-06,34.75,0.34,102.20588235294117
2002-05-07,33.79,0.34,99.38235294117646
2002-05-08,34.25,0.34,100.73529411764706
2002-05-09,34.08,0.34,100.23529411764704
2002-05-10,34.08,0.48,71.0
2002-05-13,33.0,0.48,68.75
2002-05-14,32.47,0.48,67.64583333333333
2002-05-15,32.21,0.48,67.10416666666667
2002-05-16,33.67,0.48,70.14583333333334
2002-05-17,34.95,0.48,72.81250000000001
2002-05-20,33.24,0.48,69.25
