date,ABBV,ABBV_EPS,PE Ratio
2013-09-18,47.92,0.73,65.64383561643837
2013-09-19,47.4,0.73,64.93150684931507
2013-09-20,47.84,0.73,65.53424657534248
2013-09-23,47.1,0.73,64.52054794520548
2013-09-24,45.98,0.73,62.986301369863014
2013-09-25,45.33,0.73,62.0958904109589
2013-09-26,45.0,0.73,61.64383561643836
2013-09-27,44.33,0.73,60.726027397260275
2013-09-30,44.73,0.73,61.273972602739725
2013-10-01,45.8,0.73,62.73972602739726
2013-10-02,45.95,0.73,62.94520547945206
2013-10-03,46.01,0.73,63.02739726027397
2013-10-04,46.8,0.73,64.10958904109589
2013-10-07,46.09,0.73,63.136986301369866
2013-10-08,44.52,0.73,60.98630136986302
2013-10-09,44.81,0.73,61.38356164383562
2013-10-10,45.68,0.73,62.57534246575342
2013-10-11,45.65,0.73,62.534246575342465
2013-10-14,46.33,0.73,63.465753424657535
2013-10-15,46.08,0.73,63.12328767123287
2013-10-16,47.06,0.73,64.46575342465754
2013-10-17,48.17,0.73,65.98630136986301
2013-10-18,48.33,0.73,66.20547945205479
2013-10-21,48.35,0.73,66.23287671232877
2013-10-22,49.0,0.73,67.12328767123287
2013-10-23,48.33,0.73,66.20547945205479
2013-10-24,47.93,0.73,65.65753424657534
2013-10-25,49.3,0.73,67.53424657534246
2013-10-28,49.42,0.73,67.69863013698631
2013-10-29,49.79,0.73,68.20547945205479
2013-10-30,48.8,0.73,66.84931506849315
2013-10-31,48.45,0.73,66.36986301369863
2013-11-01,48.96,0.73,67.06849315068493
2013-11-04,48.76,0.73,66.79452054794521
2013-11-05,48.17,0.73,65.98630136986301
2013-11-06,48.05,0.73,65.82191780821917
2013-11-07,47.24,0.73,64.7123287671233
2013-11-08,48.03,0.73,65.79452054794521
2013-11-11,48.57,0.73,66.53424657534246
2013-11-12,47.48,0.74,64.16216216216216
2013-11-13,47.85,0.74,64.66216216216216
2013-11-14,48.04,0.74,64.91891891891892
2013-11-15,48.44,0.74,65.45945945945945
2013-11-18,48.87,0.74,66.04054054054053
2013-11-19,48.46,0.74,65.48648648648648
2013-11-20,47.95,0.74,64.7972972972973
2013-11-21,48.57,0.74,65.63513513513513
2013-11-22,48.94,0.74,66.13513513513513
2013-11-25,48.41,0.74,65.41891891891892
2013-11-26,48.6,0.74,65.67567567567568
2013-11-27,48.25,0.74,65.20270270270271
2013-11-29,48.45,0.74,65.47297297297298
2013-12-02,48.39,0.74,65.39189189189189
2013-12-03,49.97,0.74,67.52702702702703
2013-12-04,49.67,0.74,67.12162162162163
2013-12-05,49.76,0.74,67.24324324324324
2013-12-06,51.35,0.74,69.39189189189189
2013-12-09,51.21,0.74,69.20270270270271
2013-12-10,52.14,0.74,70.45945945945947
2013-12-11,52.67,0.74,71.17567567567568
2013-12-12,52.39,0.74,70.7972972972973
2013-12-13,52.37,0.74,70.77027027027027
2013-12-16,53.37,0.74,72.12162162162161
2013-12-17,53.63,0.74,72.47297297297298
2013-12-18,54.32,0.74,73.4054054054054
2013-12-19,52.63,0.74,71.12162162162163
2013-12-20,52.59,0.74,71.06756756756758
2013-12-23,52.58,0.74,71.05405405405405
2013-12-24,52.36,0.74,70.75675675675676
2013-12-26,52.99,0.74,71.60810810810811
2013-12-27,52.55,0.74,71.01351351351352
2013-12-30,53.01,0.74,71.63513513513513
2013-12-31,52.81,0.74,71.36486486486487
2014-01-02,51.98,0.74,70.24324324324324
2014-01-03,52.3,0.74,70.67567567567568
2014-01-06,50.39,0.74,68.0945945945946
2014-01-07,50.49,0.74,68.22972972972973
2014-01-08,50.36,0.74,68.05405405405405
2014-01-09,51.22,0.74,69.21621621621621
2014-01-10,50.9,0.74,68.78378378378379
2014-01-13,49.83,0.74,67.33783783783784
2014-01-14,50.6,0.74,68.37837837837839
2014-01-15,50.11,0.74,67.71621621621621
2014-01-16,50.5,0.74,68.24324324324324
2014-01-17,50.06,0.74,67.64864864864865
2014-01-21,50.0,0.74,67.56756756756756
2014-01-22,49.08,0.74,66.32432432432432
2014-01-23,48.87,0.74,66.04054054054053
2014-01-24,47.79,0.74,64.58108108108108
2014-01-27,46.83,0.74,63.28378378378378
2014-01-28,47.69,0.74,64.44594594594594
2014-01-29,47.61,0.74,64.33783783783784
2014-01-30,48.31,0.74,65.28378378378379
2014-01-31,49.23,0.74,66.52702702702702
2014-02-03,47.35,0.74,63.98648648648649
2014-02-04,47.95,0.74,64.7972972972973
2014-02-05,47.73,0.74,64.5
2014-02-06,47.93,0.74,64.77027027027027
2014-02-07,48.89,0.74,66.06756756756756
2014-02-10,49.55,0.74,66.95945945945945
2014-02-11,49.66,0.74,67.1081081081081
2014-02-12,50.56,0.74,68.32432432432432
2014-02-13,50.35,0.74,68.04054054054055
2014-02-14,50.73,0.74,68.55405405405405
2014-02-18,51.46,0.74,69.54054054054055
2014-02-19,51.19,0.74,69.17567567567568
2014-02-20,51.86,0.74,70.08108108108108
2014-02-21,51.04,0.71,71.88732394366197
2014-02-24,50.85,0.71,71.61971830985917
2014-02-25,50.72,0.71,71.43661971830986
2014-02-26,50.74,0.71,71.46478873239437
2014-02-27,50.91,0.71,71.70422535211267
2014-02-28,50.91,0.71,71.70422535211267
2014-03-03,50.09,0.71,70.5492957746479
2014-03-04,51.59,0.71,72.66197183098592
2014-03-05,51.7,0.71,72.81690140845072
2014-03-06,52.04,0.71,73.29577464788733
2014-03-07,51.46,0.71,72.47887323943662
2014-03-10,51.66,0.71,72.7605633802817
2014-03-11,51.75,0.71,72.88732394366197
2014-03-12,51.64,0.71,72.73239436619718
2014-03-13,51.32,0.71,72.28169014084507
2014-03-14,51.21,0.71,72.12676056338029
2014-03-17,51.98,0.71,73.21126760563381
2014-03-18,53.1,0.71,74.7887323943662
2014-03-19,53.11,0.71,74.80281690140845
2014-03-20,53.68,0.71,75.60563380281691
2014-03-21,53.46,0.71,75.29577464788733
2014-03-24,51.36,0.71,72.33802816901408
2014-03-25,51.69,0.71,72.80281690140845
2014-03-26,51.5,0.71,72.53521126760563
2014-03-27,51.66,0.71,72.7605633802817
2014-03-28,50.98,0.71,71.80281690140845
2014-03-31,51.4,0.71,72.3943661971831
2014-04-01,52.1,0.71,73.38028169014085
2014-04-02,53.34,0.71,75.12676056338029
2014-04-03,53.5,0.71,75.35211267605634
2014-04-04,52.2,0.71,73.52112676056339
2014-04-07,50.62,0.71,71.29577464788733
2014-04-08,49.1,0.71,69.1549295774648
2014-04-09,50.63,0.71,71.30985915492958
2014-04-10,47.35,0.71,66.69014084507043
2014-04-11,46.46,0.71,65.43661971830987
2014-04-14,46.83,0.71,65.95774647887325
2014-04-15,47.86,0.71,67.40845070422536
2014-04-16,48.12,0.71,67.77464788732394
2014-04-17,48.55,0.71,68.38028169014085
2014-04-21,49.43,0.71,69.61971830985915
2014-04-22,50.01,0.71,70.43661971830986
2014-04-23,50.14,0.71,70.61971830985915
2014-04-24,49.32,0.71,69.46478873239437
2014-04-25,49.14,0.71,69.21126760563381
2014-04-28,50.87,0.71,71.64788732394366
2014-04-29,51.37,0.71,72.35211267605634
2014-04-30,52.08,0.71,73.35211267605634
2014-05-01,51.61,0.71,72.69014084507043
2014-05-02,51.18,0.71,72.08450704225352
2014-05-05,51.36,0.71,72.33802816901408
2014-05-06,50.91,0.71,71.70422535211267
2014-05-07,52.79,0.71,74.35211267605634
2014-05-08,52.15,0.71,73.45070422535211
2014-05-09,52.26,0.61,85.67213114754098
2014-05-12,52.37,0.61,85.85245901639344
2014-05-13,52.2,0.61,85.57377049180329
2014-05-14,52.87,0.61,86.67213114754098
2014-05-15,52.69,0.61,86.37704918032787
2014-05-16,52.93,0.61,86.77049180327869
2014-05-19,54.11,0.61,88.70491803278689
2014-05-20,53.54,0.61,87.77049180327869
2014-05-21,53.27,0.61,87.32786885245902
2014-05-22,53.63,0.61,87.91803278688525
2014-05-23,53.95,0.61,88.44262295081968
2014-05-27,53.99,0.61,88.50819672131148
2014-05-28,54.07,0.61,88.63934426229508
2014-05-29,54.03,0.61,88.57377049180329
2014-05-30,54.33,0.61,89.0655737704918
2014-06-02,54.15,0.61,88.77049180327869
2014-06-03,54.37,0.61,89.1311475409836
2014-06-04,54.58,0.61,89.47540983606557
2014-06-05,55.3,0.61,90.65573770491802
2014-06-06,55.1,0.61,90.32786885245902
2014-06-09,53.84,0.61,88.26229508196722
2014-06-10,53.97,0.61,88.47540983606558
2014-06-11,54.23,0.61,88.90163934426229
2014-06-12,53.66,0.61,87.96721311475409
2014-06-13,54.16,0.61,88.78688524590163
2014-06-16,54.0,0.61,88.52459016393443
2014-06-17,54.3,0.61,89.01639344262294
2014-06-18,54.57,0.61,89.45901639344262
2014-06-19,54.19,0.61,88.83606557377048
2014-06-20,53.3,0.61,87.37704918032787
2014-06-23,53.75,0.61,88.11475409836066
2014-06-24,53.59,0.61,87.85245901639345
2014-06-25,55.0,0.61,90.16393442622952
2014-06-26,56.51,0.61,92.63934426229508
2014-06-27,56.79,0.61,93.09836065573771
2014-06-30,56.44,0.61,92.52459016393442
2014-07-01,56.89,0.61,93.26229508196721
2014-07-02,58.11,0.61,95.26229508196721
2014-07-03,58.22,0.61,95.44262295081967
2014-07-07,57.4,0.61,94.09836065573771
2014-07-08,55.69,0.61,91.29508196721311
2014-07-09,55.01,0.61,90.18032786885246
2014-07-10,55.79,0.61,91.45901639344262
2014-07-11,54.96,0.61,90.09836065573771
