date,C,C_EPS,PE Ratio
1991-11-21,29.36,,
1991-11-22,28.74,,
1991-11-25,28.01,,
1991-11-26,28.22,,
1991-11-27,27.39,,
1991-11-29,27.08,,
1991-12-02,27.39,,
1991-12-03,27.6,,
1991-12-04,27.29,,
1991-12-05,26.98,,
1991-12-06,27.18,,
1991-12-09,27.18,,
1991-12-10,26.98,,
1991-12-11,27.08,,
1991-12-12,27.08,,
1991-12-13,27.39,,
1991-12-16,27.81,,
1991-12-17,27.81,,
1991-12-18,27.7,,
1991-12-19,27.6,,
1991-12-20,28.12,,
1991-12-23,29.88,,
1991-12-24,30.5,,
1991-12-26,31.54,,
1991-12-27,32.68,,
1991-12-30,32.58,,
1991-12-31,32.68,,
1992-01-02,32.68,,
1992-01-03,32.68,,
1992-01-06,32.58,,
1992-01-07,32.37,,
1992-01-08,32.16,,
1992-01-09,32.47,,
1992-01-10,32.16,,
1992-01-13,32.06,,
1992-01-14,33.82,,
1992-01-15,33.41,,
1992-01-16,33.3,,
1992-01-17,34.03,,
1992-01-20,34.34,,
1992-01-21,34.34,,
1992-01-22,34.96,,
1992-01-23,35.07,,
1992-01-24,34.76,,
1992-01-27,34.24,,
1992-01-28,34.96,,
1992-01-29,33.51,,
1992-01-30,34.24,,
1992-01-31,34.45,,
1992-02-03,33.51,,
1992-02-04,33.72,,
1992-02-05,34.03,,
1992-02-06,34.03,,
1992-02-07,33.62,,
1992-02-10,34.34,,
1992-02-11,33.82,,
1992-02-12,34.03,,
1992-02-13,33.72,,
1992-02-14,33.2,,
1992-02-18,32.89,,
1992-02-19,33.1,,
1992-02-20,33.41,,
1992-02-21,33.51,,
1992-02-24,32.37,,
1992-02-25,32.79,,
1992-02-26,34.24,,
1992-02-27,34.45,,
1992-02-28,34.45,,
1992-03-02,34.03,,
1992-03-03,34.65,,
1992-03-04,34.86,,
1992-03-05,34.45,,
1992-03-06,33.41,,
1992-03-09,33.2,,
1992-03-10,33.2,,
1992-03-11,32.99,,
1992-03-12,32.79,,
1992-03-13,32.99,,
1992-03-16,32.99,,
1992-03-17,32.79,,
1992-03-18,32.99,,
1992-03-19,32.89,,
1992-03-20,32.68,,
1992-03-23,32.58,,
1992-03-24,33.2,,
1992-03-25,34.03,,
1992-03-26,34.55,,
1992-03-27,33.51,,
1992-03-30,34.13,,
1992-03-31,33.41,,
1992-04-01,33.1,,
1992-04-02,31.85,,
1992-04-03,31.96,,
1992-04-06,32.58,,
1992-04-07,31.44,,
1992-04-08,30.71,,
1992-04-09,31.33,,
1992-04-10,32.06,,
1992-04-13,32.79,,
1992-04-14,33.1,,
1992-04-15,32.27,,
1992-04-16,32.89,,
1992-04-20,32.06,,
1992-04-21,31.75,,
1992-04-22,31.85,,
1992-04-23,31.96,,
1992-04-24,31.85,,
1992-04-27,32.06,,
1992-04-28,32.06,,
1992-04-29,32.99,,
1992-04-30,33.72,,
1992-05-01,34.65,,
1992-05-04,34.13,,
1992-05-05,33.82,,
1992-05-06,33.82,,
1992-05-07,33.2,,
1992-05-08,33.2,,
1992-05-11,33.1,,
1992-05-12,32.89,,
1992-05-13,32.58,,
1992-05-14,32.68,,
1992-05-15,32.27,,
1992-05-18,32.16,,
1992-05-19,32.16,,
1992-05-20,32.06,,
1992-05-21,31.96,,
1992-05-22,32.06,,
1992-05-26,31.96,,
1992-05-27,31.96,,
1992-05-28,31.96,,
1992-05-29,31.85,,
1992-06-01,31.96,,
1992-06-02,31.64,,
1992-06-03,31.44,,
1992-06-04,30.92,,
1992-06-05,31.13,,
1992-06-08,32.27,,
1992-06-09,30.92,,
1992-06-10,30.61,,
1992-06-11,31.02,,
1992-06-12,31.54,,
1992-06-15,32.06,,
1992-06-16,31.96,,
1992-06-17,31.02,,
1992-06-18,30.92,,
1992-06-19,31.02,,
1992-06-22,31.54,,
1992-06-23,31.44,,
1992-06-24,31.02,,
1992-06-25,30.92,,
1992-06-26,31.23,,
1992-06-29,32.47,,
1992-06-30,31.85,,
1992-07-01,32.79,,
1992-07-02,32.47,,
1992-07-06,33.1,,
1992-07-07,31.96,,
1992-07-08,32.16,,
1992-07-09,32.68,,
1992-07-10,32.89,,
1992-07-13,32.47,,
1992-07-14,33.93,,
1992-07-15,34.24,,
1992-07-16,34.24,,
1992-07-17,33.72,,
1992-07-20,33.72,,
1992-07-21,34.55,,
1992-07-22,34.45,,
1992-07-23,34.55,,
1992-07-24,34.24,,
1992-07-27,34.13,,
1992-07-28,34.86,,
1992-07-29,35.69,,
1992-07-30,35.9,,
1992-07-31,36.52,,
1992-08-03,36.42,,
1992-08-04,36.31,,
1992-08-05,36.31,,
1992-08-06,36.52,,
1992-08-07,35.59,,
1992-08-10,35.69,,
1992-08-11,35.9,,
1992-08-12,35.28,,
1992-08-13,35.07,,
1992-08-14,35.38,,
1992-08-17,35.79,,
1992-08-18,35.69,,
1992-08-19,35.28,,
1992-08-20,34.96,,
1992-08-21,34.45,,
1992-08-24,33.62,,
1992-08-25,33.82,,
1992-08-26,33.72,,
1992-08-27,34.24,,
1992-08-28,33.82,,
1992-08-31,32.99,,
1992-09-01,33.93,,
1992-09-02,33.93,,
1992-09-03,33.82,,
1992-09-04,33.62,,
1992-09-08,33.3,,
1992-09-09,33.1,,
1992-09-10,34.45,,
1992-09-11,33.72,,
1992-09-14,35.28,,
1992-09-15,34.24,,
1992-09-16,33.82,,
1992-09-17,34.13,,
1992-09-18,33.93,,
1992-09-21,34.13,,
1992-09-22,35.69,,
1992-09-23,35.48,,
1992-09-24,36.83,,
1992-09-25,35.69,,
1992-09-28,35.48,,
1992-09-29,35.07,,
1992-09-30,36.31,,
1992-10-01,36.73,,
1992-10-02,36.11,,
1992-10-05,36.11,,
1992-10-06,36.11,,
1992-10-07,35.38,,
1992-10-08,36.21,,
1992-10-09,35.9,,
1992-10-12,35.28,,
1992-10-13,35.07,,
1992-10-14,35.28,,
1992-10-15,34.86,,
1992-10-16,35.28,,
1992-10-19,35.59,,
1992-10-20,35.59,,
1992-10-21,35.38,,
1992-10-22,35.48,,
1992-10-23,35.17,,
1992-10-26,35.69,,
1992-10-27,35.69,,
1992-10-28,35.9,,
1992-10-29,35.69,,
1992-10-30,35.48,,
1992-11-02,35.9,,
1992-11-03,35.28,,
1992-11-04,35.28,,
