date,CMI,CMI_EPS,PE Ratio
1976-05-07,4.75,,
1976-05-10,4.72,,
1976-05-11,4.75,,
1976-05-12,4.72,,
1976-05-13,4.69,,
1976-05-14,4.53,,
1976-05-17,4.52,,
1976-05-18,4.52,,
1976-05-19,4.45,,
1976-05-20,4.39,,
1976-05-21,4.38,,
1976-05-24,4.36,,
1976-05-25,4.33,,
1976-05-26,4.34,,
1976-05-27,4.36,,
1976-05-28,4.5,,
1976-06-01,4.52,,
1976-06-02,4.52,,
1976-06-03,4.64,,
1976-06-04,4.39,,
1976-06-07,4.38,,
1976-06-08,4.53,,
1976-06-09,4.5,,
1976-06-10,4.5,,
1976-06-11,4.55,,
1976-06-14,4.66,,
1976-06-15,4.63,,
1976-06-16,4.67,,
1976-06-17,4.78,,
1976-06-18,4.84,,
1976-06-21,4.86,,
1976-06-22,4.92,,
1976-06-23,4.88,,
1976-06-24,4.88,,
1976-06-25,4.88,,
1976-06-28,4.84,,
1976-06-29,4.86,,
1976-06-30,4.92,,
1976-07-01,4.81,,
1976-07-02,4.86,,
1976-07-06,4.89,,
1976-07-07,4.81,,
1976-07-08,4.83,,
1976-07-09,4.94,,
1976-07-12,5.05,,
1976-07-13,5.06,,
1976-07-14,5.03,,
1976-07-15,5.0,,
1976-07-16,4.92,,
1976-07-19,4.81,,
1976-07-20,4.77,,
1976-07-21,4.78,,
1976-07-22,4.75,,
1976-07-23,4.81,,
1976-07-26,4.78,,
1976-07-27,4.98,,
1976-07-28,4.94,,
1976-07-29,4.98,,
1976-07-30,4.95,,
1976-08-02,5.09,,
1976-08-03,5.19,,
1976-08-04,5.13,,
1976-08-05,5.13,,
1976-08-06,5.17,,
1976-08-09,5.17,,
1976-08-10,5.17,,
1976-08-11,5.09,,
1976-08-12,5.03,,
1976-08-13,4.97,,
1976-08-16,4.98,,
1976-08-17,5.03,,
1976-08-18,5.03,,
1976-08-19,4.94,,
1976-08-20,4.88,,
1976-08-23,4.78,,
1976-08-24,4.88,,
1976-08-25,4.88,,
1976-08-26,4.81,,
1976-08-27,4.78,,
1976-08-30,4.91,,
1976-08-31,5.11,,
1976-09-01,5.13,,
1976-09-02,5.09,,
1976-09-03,5.09,,
1976-09-07,5.2,,
1976-09-08,5.27,,
1976-09-09,5.27,,
1976-09-10,5.23,,
1976-09-13,5.23,,
1976-09-14,5.22,,
1976-09-15,5.2,,
1976-09-16,5.14,,
1976-09-17,5.25,,
1976-09-20,5.44,,
1976-09-21,5.78,,
1976-09-22,5.81,,
1976-09-23,5.77,,
1976-09-24,5.63,,
1976-09-27,5.75,,
1976-09-28,5.59,,
1976-09-29,5.66,,
1976-09-30,5.69,,
1976-10-01,5.56,,
1976-10-04,5.58,,
1976-10-05,5.47,,
1976-10-06,5.28,,
1976-10-07,5.36,,
1976-10-08,5.28,,
1976-10-11,5.2,,
1976-10-12,5.2,,
1976-10-13,5.22,,
1976-10-14,5.16,,
1976-10-15,5.05,,
1976-10-18,5.09,,
1976-10-19,5.06,,
1976-10-20,5.08,,
1976-10-21,5.06,,
1976-10-22,5.06,,
1976-10-25,5.23,,
1976-10-26,5.25,,
1976-10-27,5.19,,
1976-10-28,5.17,,
1976-10-29,5.17,,
1976-11-01,5.16,,
1976-11-03,5.09,,
1976-11-04,5.17,,
1976-11-05,5.08,,
1976-11-08,5.02,,
1976-11-09,5.09,,
1976-11-10,5.09,,
1976-11-11,5.16,,
1976-11-12,5.09,,
1976-11-15,5.16,,
1976-11-16,5.22,,
1976-11-17,5.25,,
1976-11-18,5.3,,
1976-11-19,5.34,,
1976-11-22,5.34,,
1976-11-23,5.38,,
1976-11-24,5.41,,
1976-11-26,5.53,,
1976-11-29,5.48,,
1976-11-30,5.42,,
1976-12-01,5.48,,
1976-12-02,5.5,,
1976-12-03,5.53,,
1976-12-06,5.67,,
1976-12-07,5.75,,
1976-12-08,5.72,,
1976-12-09,5.69,,
1976-12-10,5.78,,
1976-12-13,5.72,,
1976-12-14,5.67,,
1976-12-15,5.56,,
1976-12-16,5.52,,
1976-12-17,5.56,,
1976-12-20,5.5,,
1976-12-21,5.53,,
1976-12-22,5.56,,
1976-12-23,5.64,,
1976-12-27,5.78,,
1976-12-28,5.86,,
1976-12-29,5.89,,
1976-12-30,6.08,,
1976-12-31,6.06,,
1977-01-03,6.03,,
1977-01-04,5.94,,
1977-01-05,5.98,,
1977-01-06,5.98,,
1977-01-07,5.94,,
1977-01-10,6.19,,
1977-01-11,6.16,,
1977-01-12,5.97,,
1977-01-13,6.03,,
1977-01-14,5.98,,
1977-01-17,5.94,,
1977-01-18,5.91,,
1977-01-19,6.11,,
1977-01-20,6.13,,
1977-01-21,6.09,,
1977-01-24,6.17,,
1977-01-25,6.2,,
1977-01-26,6.11,,
1977-01-27,5.95,,
1977-01-28,5.92,,
1977-01-31,5.72,,
1977-02-01,5.75,,
1977-02-02,5.78,,
1977-02-03,5.84,,
1977-02-04,5.94,,
1977-02-07,6.13,,
1977-02-08,6.08,,
1977-02-09,6.02,,
1977-02-10,6.14,,
1977-02-11,6.05,,
1977-02-14,6.06,,
1977-02-15,6.2,,
1977-02-16,6.19,,
1977-02-17,6.06,,
1977-02-18,6.05,,
1977-02-22,6.02,,
1977-02-23,5.92,,
1977-02-24,5.84,,
1977-02-25,5.88,,
1977-02-28,5.89,,
1977-03-01,5.92,,
1977-03-02,5.95,,
1977-03-03,5.88,,
1977-03-04,6.0,,
1977-03-07,6.05,,
1977-03-08,6.06,,
1977-03-09,6.0,,
1977-03-10,5.94,,
1977-03-11,6.02,,
1977-03-14,6.19,,
1977-03-15,6.42,,
1977-03-16,6.47,,
1977-03-17,6.25,,
1977-03-18,6.13,,
1977-03-21,6.2,,
1977-03-22,6.2,,
1977-03-23,6.2,,
1977-03-24,6.14,,
1977-03-25,6.23,,
1977-03-28,6.22,,
1977-03-29,6.25,,
1977-03-30,6.06,,
1977-03-31,6.03,,
1977-04-01,6.06,,
1977-04-04,6.03,,
1977-04-05,5.94,,
1977-04-06,5.94,,
1977-04-07,6.0,,
1977-04-11,6.13,,
1977-04-12,6.3,,
1977-04-13,6.25,,
1977-04-14,6.38,,
1977-04-15,6.48,,
1977-04-18,6.44,,
1977-04-19,6.55,,
1977-04-20,6.7,,
1977-04-21,6.63,,
1977-04-22,6.59,,
1977-04-25,6.45,,
1977-04-26,6.55,,
1977-04-27,6.56,,
1977-04-28,6.56,,
1977-04-29,6.5,,
1977-05-02,6.73,,
1977-05-03,6.73,,
1977-05-04,6.88,,
1977-05-05,7.0,,
1977-05-06,7.03,,
1977-05-09,7.0,,
1977-05-10,6.98,,
1977-05-11,6.88,,
1977-05-12,6.94,,
1977-05-13,6.95,,
1977-05-16,7.0,,
1977-05-17,6.95,,
