date,TFC,TFC_EPS,PE Ratio
1982-09-30,2.07,,
1982-10-01,2.07,,
1982-10-04,2.09,,
1982-10-05,2.07,,
1982-10-06,2.07,,
1982-10-07,2.07,,
1982-10-08,2.07,,
1982-10-11,2.07,,
1982-10-12,2.07,,
1982-10-13,2.04,,
1982-10-14,2.04,,
1982-10-15,2.04,,
1982-10-18,2.04,,
1982-10-19,2.04,,
1982-10-20,2.07,,
1982-10-21,2.07,,
1982-10-22,2.07,,
1982-10-25,2.07,,
1982-10-26,2.07,,
1982-10-27,2.07,,
1982-10-28,2.07,,
1982-10-29,2.07,,
1982-11-01,2.07,,
1982-11-02,2.07,,
1982-11-03,2.07,,
1982-11-04,2.07,,
1982-11-05,2.07,,
1982-11-08,2.07,,
1982-11-09,2.09,,
1982-11-10,2.11,,
1982-11-11,2.11,,
1982-11-12,2.11,,
1982-11-15,2.11,,
1982-11-16,2.11,,
1982-11-17,2.11,,
1982-11-18,2.11,,
1982-11-19,2.11,,
1982-11-22,2.11,,
1982-11-23,2.11,,
1982-11-24,2.11,,
1982-11-26,2.13,,
1982-11-29,2.13,,
1982-11-30,2.16,,
1982-12-01,2.18,,
1982-12-02,2.18,,
1982-12-03,2.18,,
1982-12-06,2.18,,
1982-12-07,2.18,,
1982-12-08,2.18,,
1982-12-09,2.16,,
1982-12-10,2.16,,
1982-12-13,2.16,,
1982-12-14,2.16,,
1982-12-15,2.13,,
1982-12-16,2.13,,
1982-12-17,2.13,,
1982-12-20,2.13,,
1982-12-21,2.13,,
1982-12-22,2.13,,
1982-12-23,2.13,,
1982-12-27,2.13,,
1982-12-28,2.13,,
1982-12-29,2.16,,
1982-12-30,2.16,,
1982-12-31,2.16,,
1983-01-03,2.16,,
1983-01-04,2.16,,
1983-01-05,2.18,,
1983-01-06,2.18,,
1983-01-07,2.18,,
1983-01-10,2.16,,
1983-01-11,2.16,,
1983-01-12,2.16,,
1983-01-13,2.16,,
1983-01-14,2.16,,
1983-01-17,2.16,,
1983-01-18,2.16,,
1983-01-19,2.16,,
1983-01-20,2.16,,
1983-01-21,2.16,,
1983-01-24,2.16,,
1983-01-25,2.16,,
1983-01-26,2.16,,
1983-01-27,2.16,,
1983-01-28,2.18,,
1983-01-31,2.18,,
1983-02-01,2.18,,
1983-02-02,2.18,,
1983-02-03,2.18,,
1983-02-04,2.18,,
1983-02-07,2.18,,
1983-02-08,2.18,,
1983-02-09,2.18,,
1983-02-10,2.18,,
1983-02-11,2.18,,
1983-02-14,2.18,,
1983-02-15,2.18,,
1983-02-16,2.18,,
1983-02-17,2.18,,
1983-02-18,2.18,,
1983-02-22,2.18,,
1983-02-23,2.18,,
1983-02-24,2.18,,
1983-02-25,2.18,,
1983-02-28,2.18,,
1983-03-01,2.18,,
1983-03-02,2.18,,
1983-03-03,2.18,,
1983-03-04,2.18,,
1983-03-07,2.18,,
1983-03-08,2.18,,
1983-03-09,2.18,,
1983-03-10,2.2,,
1983-03-11,2.2,,
1983-03-14,2.2,,
1983-03-15,2.2,,
1983-03-16,2.22,,
1983-03-17,2.2,,
1983-03-18,2.22,,
1983-03-21,2.38,,
1983-03-22,2.42,,
1983-03-23,2.53,,
1983-03-24,2.67,,
1983-03-25,2.73,,
1983-03-28,2.76,,
1983-03-29,2.76,,
1983-03-30,2.76,,
1983-03-31,2.76,,
1983-04-04,2.76,,
1983-04-05,2.78,,
1983-04-06,2.84,,
1983-04-07,2.87,,
1983-04-08,2.98,,
1983-04-11,3.0,,
1983-04-12,3.0,,
1983-04-13,3.02,,
1983-04-14,3.02,,
1983-04-15,3.09,,
1983-04-18,3.11,,
1983-04-19,3.11,,
1983-04-20,3.2,,
1983-04-21,3.29,,
1983-04-22,3.31,,
1983-04-25,3.31,,
1983-04-26,3.31,,
1983-04-27,3.31,,
1983-04-28,3.31,,
1983-04-29,3.31,,
1983-05-02,3.16,,
1983-05-03,3.16,,
1983-05-04,3.16,,
1983-05-05,3.16,,
1983-05-06,3.16,,
1983-05-09,3.16,,
1983-05-10,3.16,,
1983-05-11,3.13,,
1983-05-12,3.13,,
1983-05-13,3.13,,
1983-05-16,3.13,,
1983-05-17,3.13,,
1983-05-18,3.13,,
1983-05-19,3.2,,
1983-05-20,3.2,,
1983-05-23,3.2,,
1983-05-24,3.2,,
1983-05-25,3.2,,
1983-05-26,3.2,,
1983-05-27,3.22,,
1983-05-31,3.22,,
1983-06-01,3.22,,
1983-06-02,3.22,,
1983-06-03,3.24,,
1983-06-06,3.24,,
1983-06-07,3.24,,
1983-06-08,3.22,,
1983-06-09,3.22,,
1983-06-10,3.24,,
1983-06-13,3.27,,
1983-06-14,3.29,,
1983-06-15,3.29,,
1983-06-16,3.29,,
1983-06-17,3.29,,
1983-06-20,3.29,,
1983-06-21,3.29,,
1983-06-22,3.29,,
1983-06-23,3.29,,
1983-06-24,3.29,,
1983-06-27,3.29,,
1983-06-28,3.29,,
1983-06-29,3.27,,
1983-06-30,3.31,,
1983-07-01,3.33,,
1983-07-05,3.33,,
1983-07-06,3.33,,
1983-07-07,3.33,,
1983-07-08,3.31,,
1983-07-11,3.31,,
1983-07-12,3.28,,
1983-07-13,3.25,,
1983-07-14,3.25,,
1983-07-15,3.25,,
1983-07-18,3.22,,
1983-07-19,3.19,,
1983-07-20,3.19,,
1983-07-21,3.19,,
1983-07-22,3.19,,
1983-07-25,3.19,,
1983-07-26,3.19,,
1983-07-27,3.19,,
1983-07-28,3.19,,
1983-07-29,3.19,,
1983-08-01,3.19,,
1983-08-02,3.19,,
1983-08-03,3.19,,
1983-08-04,3.19,,
1983-08-05,3.19,,
1983-08-08,3.19,,
1983-08-09,3.17,,
1983-08-10,3.14,,
1983-08-11,3.14,,
1983-08-12,3.14,,
1983-08-15,3.14,,
1983-08-16,3.14,,
1983-08-17,3.11,,
1983-08-18,3.11,,
1983-08-19,3.11,,
1983-08-22,3.06,,
1983-08-23,3.06,,
1983-08-24,3.03,,
1983-08-25,3.03,,
1983-08-26,3.0,,
1983-08-29,3.03,,
1983-08-30,3.03,,
1983-08-31,3.03,,
1983-09-01,3.03,,
1983-09-02,3.03,,
1983-09-06,3.06,,
1983-09-07,3.06,,
1983-09-08,3.06,,
1983-09-09,3.06,,
1983-09-12,3.06,,
1983-09-13,3.06,,
1983-09-14,3.06,,
1983-09-15,3.06,,
