date,K,K_EPS,PE Ratio
1973-11-30,1.78,,
1973-12-03,1.84,,
1973-12-04,1.89,,
1973-12-05,1.84,,
1973-12-06,1.84,,
1973-12-07,1.86,,
1973-12-10,1.91,,
1973-12-11,1.88,,
1973-12-12,1.89,,
1973-12-13,1.88,,
1973-12-14,1.89,,
1973-12-17,1.89,,
1973-12-18,1.86,,
1973-12-19,1.92,,
1973-12-20,1.88,,
1973-12-21,1.89,,
1973-12-24,1.88,,
1973-12-26,1.89,,
1973-12-27,1.91,,
1973-12-28,1.97,,
1973-12-31,1.94,,
1974-01-02,1.89,,
1974-01-03,2.0,,
1974-01-04,1.97,,
1974-01-07,1.95,,
1974-01-08,1.95,,
1974-01-09,1.94,,
1974-01-10,1.92,,
1974-01-11,1.94,,
1974-01-14,1.95,,
1974-01-15,1.98,,
1974-01-16,1.98,,
1974-01-17,2.03,,
1974-01-18,2.03,,
1974-01-21,2.09,,
1974-01-22,2.06,,
1974-01-23,2.09,,
1974-01-24,2.11,,
1974-01-25,2.11,,
1974-01-28,2.2,,
1974-01-29,2.17,,
1974-01-30,2.23,,
1974-01-31,2.2,,
1974-02-01,2.16,,
1974-02-04,2.09,,
1974-02-05,2.11,,
1974-02-06,2.17,,
1974-02-07,2.16,,
1974-02-08,2.19,,
1974-02-11,2.17,,
1974-02-12,2.14,,
1974-02-13,2.13,,
1974-02-14,2.11,,
1974-02-15,2.08,,
1974-02-19,2.03,,
1974-02-20,2.13,,
1974-02-21,2.13,,
1974-02-22,2.11,,
1974-02-25,2.06,,
1974-02-26,2.03,,
1974-02-27,2.05,,
1974-02-28,2.08,,
1974-03-01,2.09,,
1974-03-04,2.13,,
1974-03-05,2.19,,
1974-03-06,2.2,,
1974-03-07,2.17,,
1974-03-08,2.19,,
1974-03-11,2.19,,
1974-03-12,2.17,,
1974-03-13,2.13,,
1974-03-14,2.11,,
1974-03-15,2.14,,
1974-03-18,2.09,,
1974-03-19,2.09,,
1974-03-20,2.11,,
1974-03-21,2.13,,
1974-03-22,2.09,,
1974-03-25,2.08,,
1974-03-26,2.09,,
1974-03-27,2.05,,
1974-03-28,2.02,,
1974-03-29,2.02,,
1974-04-01,2.06,,
1974-04-02,2.03,,
1974-04-03,2.05,,
1974-04-04,2.06,,
1974-04-05,2.11,,
1974-04-08,2.09,,
1974-04-09,2.11,,
1974-04-10,2.16,,
1974-04-11,2.13,,
1974-04-15,2.11,,
1974-04-16,2.11,,
1974-04-17,2.09,,
1974-04-18,2.14,,
1974-04-19,2.13,,
1974-04-22,2.17,,
1974-04-23,2.16,,
1974-04-24,2.11,,
1974-04-25,2.08,,
1974-04-26,2.11,,
1974-04-29,2.06,,
1974-04-30,2.08,,
1974-05-01,2.11,,
1974-05-02,2.11,,
1974-05-03,2.08,,
1974-05-06,2.09,,
1974-05-07,2.08,,
1974-05-08,2.02,,
1974-05-09,2.06,,
1974-05-10,2.03,,
1974-05-13,2.02,,
1974-05-14,2.0,,
1974-05-15,2.0,,
1974-05-16,2.03,,
1974-05-17,2.0,,
1974-05-20,1.97,,
1974-05-21,1.91,,
1974-05-22,1.86,,
1974-05-23,1.95,,
1974-05-24,2.02,,
1974-05-28,1.98,,
1974-05-29,1.98,,
1974-05-30,1.97,,
1974-05-31,1.97,,
1974-06-03,1.88,,
1974-06-04,1.84,,
1974-06-05,1.92,,
1974-06-06,1.94,,
1974-06-07,1.83,,
1974-06-10,1.89,,
1974-06-11,1.89,,
1974-06-12,1.91,,
1974-06-13,1.88,,
1974-06-14,1.88,,
1974-06-17,1.88,,
1974-06-18,1.86,,
1974-06-19,1.86,,
1974-06-20,1.86,,
1974-06-21,1.86,,
1974-06-24,1.83,,
1974-06-25,1.81,,
1974-06-26,1.81,,
1974-06-27,1.78,,
1974-06-28,1.84,,
1974-07-01,1.8,,
1974-07-02,1.77,,
1974-07-03,1.78,,
1974-07-05,1.77,,
1974-07-08,1.73,,
1974-07-09,1.66,,
1974-07-10,1.63,,
1974-07-11,1.66,,
1974-07-12,1.73,,
1974-07-15,1.75,,
1974-07-16,1.78,,
1974-07-17,1.84,,
1974-07-18,1.81,,
1974-07-19,1.78,,
1974-07-22,1.67,,
1974-07-23,1.7,,
1974-07-24,1.69,,
1974-07-25,1.73,,
1974-07-26,1.67,,
1974-07-29,1.66,,
1974-07-30,1.63,,
1974-07-31,1.63,,
1974-08-01,1.64,,
1974-08-02,1.63,,
1974-08-05,1.66,,
1974-08-06,1.63,,
1974-08-07,1.63,,
1974-08-08,1.61,,
1974-08-09,1.63,,
1974-08-12,1.63,,
1974-08-13,1.59,,
1974-08-14,1.53,,
1974-08-15,1.59,,
1974-08-16,1.63,,
1974-08-19,1.63,,
1974-08-20,1.64,,
1974-08-21,1.58,,
1974-08-22,1.56,,
1974-08-23,1.48,,
1974-08-26,1.42,,
1974-08-27,1.36,,
1974-08-28,1.28,,
1974-08-29,1.36,,
1974-08-30,1.41,,
1974-09-03,1.41,,
1974-09-04,1.33,,
1974-09-05,1.38,,
1974-09-06,1.47,,
1974-09-09,1.48,,
1974-09-10,1.42,,
1974-09-11,1.45,,
1974-09-12,1.41,,
1974-09-13,1.44,,
1974-09-16,1.42,,
1974-09-17,1.55,,
1974-09-18,1.59,,
1974-09-19,1.66,,
1974-09-20,1.69,,
1974-09-23,1.69,,
1974-09-24,1.63,,
1974-09-25,1.69,,
1974-09-26,1.56,,
1974-09-27,1.48,,
1974-09-30,1.47,,
1974-10-01,1.5,,
1974-10-02,1.5,,
1974-10-03,1.5,,
1974-10-04,1.53,,
1974-10-07,1.59,,
1974-10-08,1.58,,
1974-10-09,1.67,,
1974-10-10,1.77,,
1974-10-11,1.73,,
1974-10-14,1.81,,
1974-10-15,1.77,,
1974-10-16,1.73,,
1974-10-17,1.73,,
1974-10-18,1.77,,
1974-10-21,1.78,,
1974-10-22,1.81,,
1974-10-23,1.78,,
1974-10-24,1.73,,
1974-10-25,1.75,,
1974-10-28,1.75,,
1974-10-29,1.84,,
1974-10-30,1.81,,
1974-10-31,1.81,,
1974-11-01,1.8,,
1974-11-04,1.72,,
1974-11-05,1.75,,
1974-11-06,1.78,,
1974-11-07,1.86,,
1974-11-08,1.84,,
1974-11-11,1.91,,
1974-11-12,1.86,,
1974-11-13,1.84,,
1974-11-14,1.83,,
1974-11-15,1.77,,
1974-11-18,1.75,,
1974-11-19,1.69,,
1974-11-20,1.72,,
1974-11-21,1.75,,
1974-11-22,1.7,,
1974-11-25,1.67,,
1974-11-26,1.69,,
1974-11-27,1.73,,
1974-11-29,1.66,,
1974-12-02,1.67,,
1974-12-03,1.67,,
1974-12-04,1.69,,
1974-12-05,1.7,,
1974-12-06,1.73,,
1974-12-09,1.77,,
1974-12-10,1.8,,
1974-12-11,1.78,,
1974-12-12,1.81,,
1974-12-13,1.86,,
1974-12-16,1.81,,
1974-12-17,1.81,,
1974-12-18,1.83,,
1974-12-19,1.84,,
1974-12-20,1.84,,
1974-12-23,1.86,,
1974-12-24,1.81,,
1974-12-26,1.81,,
1974-12-27,1.84,,
1974-12-30,1.88,,
1974-12-31,1.91,,
1975-01-02,1.94,,
1975-01-03,1.91,,
1975-01-06,1.92,,
1975-01-07,1.89,,
1975-01-08,1.84,,
1975-01-09,1.8,,
1975-01-10,1.84,,
1975-01-13,1.92,,
1975-01-14,1.84,,
1975-01-15,1.81,,
1975-01-16,1.88,,
1975-01-17,1.88,,
1975-01-20,1.84,,
1975-01-21,1.89,,
1975-01-22,1.84,,
1975-01-23,1.88,,
1975-01-24,1.84,,
1975-01-27,1.97,,
1975-01-28,1.94,,
1975-01-29,1.94,,
1975-01-30,1.98,,
1975-01-31,1.94,,
1975-02-03,2.0,,
1975-02-04,1.98,,
1975-02-05,1.98,,
1975-02-06,2.0,,
1975-02-07,2.03,,
1975-02-10,2.03,,
1975-02-11,1.98,,
1975-02-12,2.02,,
1975-02-13,2.0,,
1975-02-14,1.97,,
1975-02-18,1.98,,
1975-02-19,1.97,,
1975-02-20,1.97,,
1975-02-21,2.05,,
1975-02-24,2.0,,
1975-02-25,1.97,,
1975-02-26,2.0,,
1975-02-27,2.0,,
1975-02-28,2.0,,
1975-03-03,2.0,,
1975-03-04,2.03,,
1975-03-05,2.03,,
1975-03-06,2.06,,
1975-03-07,2.08,,
1975-03-10,2.11,,
1975-03-11,2.08,,
1975-03-12,2.08,,
1975-03-13,2.09,,
1975-03-14,2.03,,
1975-03-17,2.08,,
1975-03-18,2.11,,
1975-03-19,2.17,,
1975-03-20,2.17,,
1975-03-21,2.14,,
1975-03-24,2.06,,
1975-03-25,2.06,,
1975-03-26,2.09,,
1975-03-27,2.14,,
1975-03-31,2.14,,
1975-04-01,2.13,,
1975-04-02,2.13,,
1975-04-03,2.08,,
1975-04-04,2.03,,
1975-04-07,2.0,,
1975-04-08,2.03,,
1975-04-09,2.09,,
1975-04-10,2.08,,
1975-04-11,2.08,,
1975-04-14,2.11,,
1975-04-15,2.08,,
1975-04-16,2.09,,
1975-04-17,2.16,,
1975-04-18,2.11,,
1975-04-21,2.14,,
1975-04-22,2.11,,
1975-04-23,2.11,,
1975-04-24,2.13,,
1975-04-25,2.11,,
1975-04-28,2.13,,
1975-04-29,2.06,,
1975-04-30,2.11,,
1975-05-01,2.06,,
1975-05-02,2.05,,
1975-05-05,2.09,,
1975-05-06,2.11,,
1975-05-07,2.13,,
1975-05-08,2.13,,
1975-05-09,2.16,,
1975-05-12,2.14,,
1975-05-13,2.14,,
1975-05-14,2.13,,
1975-05-15,2.13,,
1975-05-16,2.14,,
1975-05-19,2.16,,
1975-05-20,2.16,,
1975-05-21,2.17,,
1975-05-22,2.13,,
1975-05-23,2.11,,
1975-05-27,2.14,,
1975-05-28,2.13,,
1975-05-29,2.13,,
1975-05-30,2.16,,
1975-06-02,2.16,,
1975-06-03,2.14,,
1975-06-04,2.13,,
1975-06-05,2.08,,
1975-06-06,2.14,,
1975-06-09,2.13,,
1975-06-10,2.16,,
1975-06-11,2.2,,
1975-06-12,2.28,,
1975-06-13,2.28,,
1975-06-16,2.33,,
1975-06-17,2.42,,
1975-06-18,2.41,,
1975-06-19,2.38,,
1975-06-20,2.44,,
1975-06-23,2.44,,
1975-06-24,2.44,,
1975-06-25,2.38,,
1975-06-26,2.44,,
1975-06-27,2.44,,
1975-06-30,2.56,,
1975-07-01,2.5,,
1975-07-02,2.48,,
1975-07-03,2.47,,
1975-07-07,2.47,,
1975-07-08,2.42,,
1975-07-09,2.47,,
1975-07-10,2.48,,
1975-07-11,2.47,,
1975-07-14,2.45,,
1975-07-15,2.41,,
1975-07-16,2.39,,
1975-07-17,2.39,,
1975-07-18,2.42,,
1975-07-21,2.39,,
1975-07-22,2.42,,
1975-07-23,2.39,,
1975-07-24,2.41,,
1975-07-25,2.41,,
1975-07-28,2.38,,
1975-07-29,2.33,,
1975-07-30,2.3,,
1975-07-31,2.27,,
1975-08-01,2.19,,
1975-08-04,2.25,,
1975-08-05,2.23,,
1975-08-06,2.22,,
1975-08-07,2.22,,
1975-08-08,2.25,,
1975-08-11,2.27,,
1975-08-12,2.25,,
1975-08-13,2.23,,
1975-08-14,2.25,,
1975-08-15,2.28,,
1975-08-18,2.34,,
1975-08-19,2.28,,
1975-08-20,2.28,,
1975-08-21,2.2,,
1975-08-22,2.27,,
1975-08-25,2.33,,
1975-08-26,2.38,,
1975-08-27,2.36,,
1975-08-28,2.38,,
1975-08-29,2.44,,
1975-09-02,2.41,,
1975-09-03,2.39,,
1975-09-04,2.38,,
1975-09-05,2.39,,
1975-09-08,2.41,,
1975-09-09,2.38,,
1975-09-10,2.31,,
1975-09-11,2.27,,
1975-09-12,2.28,,
1975-09-15,2.27,,
1975-09-16,2.25,,
1975-09-17,2.23,,
1975-09-18,2.3,,
1975-09-19,2.39,,
1975-09-22,2.41,,
1975-09-23,2.38,,
1975-09-24,2.39,,
1975-09-25,2.44,,
1975-09-26,2.44,,
1975-09-29,2.41,,
1975-09-30,2.38,,
1975-10-01,2.25,,
1975-10-02,2.27,,
1975-10-03,2.36,,
1975-10-06,2.34,,
1975-10-07,2.34,,
1975-10-08,2.33,,
1975-10-09,2.36,,
1975-10-10,2.36,,
1975-10-13,2.36,,
1975-10-14,2.38,,
1975-10-15,2.42,,
1975-10-16,2.47,,
1975-10-17,2.41,,
1975-10-20,2.48,,
1975-10-21,2.5,,
1975-10-22,2.59,,
1975-10-23,2.58,,
1975-10-24,2.5,,
1975-10-27,2.47,,
1975-10-28,2.53,,
1975-10-29,2.63,,
1975-10-30,2.61,,
1975-10-31,2.59,,
1975-11-03,2.59,,
1975-11-04,2.56,,
1975-11-05,2.64,,
1975-11-06,2.73,,
1975-11-07,2.72,,
1975-11-10,2.7,,
1975-11-11,2.75,,
1975-11-12,2.77,,
1975-11-13,2.75,,
1975-11-14,2.75,,
1975-11-17,2.8,,
1975-11-18,2.84,,
1975-11-19,2.81,,
1975-11-20,2.88,,
1975-11-21,2.81,,
1975-11-24,2.83,,
1975-11-25,2.86,,
1975-11-26,2.88,,
1975-11-28,2.88,,
1975-12-01,2.77,,
1975-12-02,2.59,,
1975-12-03,2.72,,
1975-12-04,2.67,,
1975-12-05,2.56,,
1975-12-08,2.59,,
1975-12-09,2.55,,
1975-12-10,2.63,,
1975-12-11,2.61,,
1975-12-12,2.59,,
1975-12-15,2.59,,
1975-12-16,2.59,,
1975-12-17,2.64,,
1975-12-18,2.66,,
1975-12-19,2.64,,
1975-12-22,2.59,,
1975-12-23,2.59,,
1975-12-24,2.63,,
1975-12-26,2.67,,
1975-12-29,2.69,,
1975-12-30,2.67,,
1975-12-31,2.69,,
1976-01-02,2.66,,
1976-01-05,2.69,,
1976-01-06,2.8,,
1976-01-07,2.83,,
1976-01-08,2.81,,
1976-01-09,2.8,,
1976-01-12,2.81,,
1976-01-13,2.83,,
1976-01-14,2.94,,
1976-01-15,2.98,,
1976-01-16,2.94,,
1976-01-19,2.91,,
1976-01-20,2.91,,
1976-01-21,2.89,,
1976-01-22,2.81,,
1976-01-23,2.8,,
1976-01-26,2.84,,
1976-01-27,2.88,,
1976-01-28,2.92,,
1976-01-29,2.89,,
1976-01-30,2.95,,
1976-02-02,2.97,,
1976-02-03,2.98,,
1976-02-04,2.97,,
1976-02-05,2.89,,
1976-02-06,2.83,,
1976-02-09,2.73,,
1976-02-10,2.83,,
1976-02-11,2.8,,
1976-02-12,2.83,,
1976-02-13,2.77,,
1976-02-17,2.75,,
1976-02-18,2.75,,
1976-02-19,2.83,,
1976-02-20,2.8,,
1976-02-23,2.73,,
1976-02-24,2.75,,
1976-02-25,2.72,,
1976-02-26,2.7,,
1976-02-27,2.67,,
1976-03-01,2.64,,
1976-03-02,2.7,,
1976-03-03,2.69,,
1976-03-04,2.7,,
1976-03-05,2.72,,
1976-03-08,2.7,,
1976-03-09,2.7,,
1976-03-10,2.69,,
1976-03-11,2.69,,
1976-03-12,2.66,,
1976-03-15,2.66,,
1976-03-16,2.67,,
1976-03-17,2.67,,
1976-03-18,2.7,,
1976-03-19,2.7,,
1976-03-22,2.69,,
1976-03-23,2.69,,
1976-03-24,2.66,,
1976-03-25,2.64,,
1976-03-26,2.63,,
1976-03-29,2.59,,
1976-03-30,2.53,,
1976-03-31,2.53,,
1976-04-01,2.52,,
1976-04-02,2.63,,
1976-04-05,2.66,,
1976-04-06,2.7,,
1976-04-07,2.64,,
1976-04-08,2.53,,
1976-04-09,2.66,,
1976-04-12,2.59,,
1976-04-13,2.58,,
1976-04-14,2.61,,
1976-04-15,2.59,,
1976-04-19,2.61,,
1976-04-20,2.69,,
1976-04-21,2.66,,
1976-04-22,2.7,,
1976-04-23,2.64,,
1976-04-26,2.66,,
1976-04-27,2.69,,
1976-04-28,2.72,,
1976-04-29,2.77,,
1976-04-30,2.72,,
1976-05-03,2.75,,
1976-05-04,2.78,,
1976-05-05,2.77,,
1976-05-06,2.81,,
1976-05-07,2.86,,
1976-05-10,2.84,,
1976-05-11,2.83,,
1976-05-12,2.8,,
1976-05-13,2.83,,
1976-05-14,2.81,,
1976-05-17,2.81,,
1976-05-18,2.84,,
1976-05-19,2.81,,
1976-05-20,2.8,,
1976-05-21,2.78,,
1976-05-24,2.7,,
1976-05-25,2.69,,
1976-05-26,2.69,,
1976-05-27,2.67,,
1976-05-28,2.67,,
1976-06-01,2.67,,
1976-06-02,2.66,,
1976-06-03,2.66,,
1976-06-04,2.64,,
1976-06-07,2.67,,
1976-06-08,2.67,,
1976-06-09,2.78,,
1976-06-10,2.98,,
1976-06-11,2.95,,
1976-06-14,2.97,,
1976-06-15,3.05,,
1976-06-16,3.09,,
1976-06-17,3.05,,
1976-06-18,3.09,,
1976-06-21,3.09,,
1976-06-22,3.06,,
1976-06-23,3.06,,
1976-06-24,3.09,,
1976-06-25,3.09,,
1976-06-28,3.13,,
1976-06-29,3.14,,
1976-06-30,3.2,,
1976-07-01,3.17,,
1976-07-02,3.14,,
1976-07-06,3.2,,
1976-07-07,3.28,,
1976-07-08,3.31,,
1976-07-09,3.25,,
1976-07-12,3.25,,
1976-07-13,3.17,,
1976-07-14,3.22,,
1976-07-15,3.19,,
1976-07-16,3.27,,
1976-07-19,3.27,,
1976-07-20,3.25,,
1976-07-21,3.22,,
1976-07-22,3.2,,
1976-07-23,3.19,,
1976-07-26,3.17,,
1976-07-27,3.14,,
1976-07-28,3.09,,
1976-07-29,3.09,,
1976-07-30,3.14,,
1976-08-02,3.17,,
1976-08-03,3.19,,
1976-08-04,3.19,,
1976-08-05,3.19,,
1976-08-06,3.16,,
1976-08-09,3.2,,
1976-08-10,3.27,,
1976-08-11,3.3,,
1976-08-12,3.38,,
1976-08-13,3.45,,
1976-08-16,3.42,,
1976-08-17,3.44,,
1976-08-18,3.42,,
1976-08-19,3.38,,
1976-08-20,3.3,,
1976-08-23,3.17,,
1976-08-24,3.11,,
1976-08-25,3.19,,
1976-08-26,3.17,,
1976-08-27,3.16,,
1976-08-30,3.13,,
1976-08-31,3.17,,
1976-09-01,3.2,,
1976-09-02,3.11,,
1976-09-03,3.17,,
1976-09-07,3.22,,
1976-09-08,3.28,,
1976-09-09,3.31,,
1976-09-10,3.31,,
1976-09-13,3.3,,
1976-09-14,3.3,,
1976-09-15,3.3,,
1976-09-16,3.34,,
1976-09-17,3.38,,
1976-09-20,3.33,,
1976-09-21,3.31,,
1976-09-22,3.34,,
1976-09-23,3.33,,
1976-09-24,3.36,,
1976-09-27,3.36,,
1976-09-28,3.36,,
1976-09-29,3.33,,
1976-09-30,3.36,,
1976-10-01,3.36,,
1976-10-04,3.36,,
1976-10-05,3.33,,
1976-10-06,3.31,,
1976-10-07,3.31,,
1976-10-08,3.34,,
1976-10-11,3.28,,
1976-10-12,3.19,,
1976-10-13,3.27,,
1976-10-14,3.28,,
1976-10-15,3.28,,
1976-10-18,3.27,,
1976-10-19,3.3,,
1976-10-20,3.3,,
1976-10-21,3.28,,
1976-10-22,3.3,,
1976-10-25,3.31,,
1976-10-26,3.34,,
1976-10-27,3.36,,
1976-10-28,3.34,,
1976-10-29,3.41,,
1976-11-01,3.38,,
1976-11-03,3.36,,
1976-11-04,3.34,,
1976-11-05,3.34,,
1976-11-08,3.31,,
1976-11-09,3.3,,
1976-11-10,3.31,,
1976-11-11,3.3,,
1976-11-12,3.28,,
1976-11-15,3.25,,
1976-11-16,3.17,,
1976-11-17,3.16,,
1976-11-18,3.17,,
1976-11-19,3.19,,
1976-11-22,3.22,,
1976-11-23,3.22,,
1976-11-24,3.2,,
1976-11-26,3.22,,
1976-11-29,3.31,,
1976-11-30,3.31,,
1976-12-01,3.34,,
1976-12-02,3.34,,
1976-12-03,3.36,,
1976-12-06,3.31,,
1976-12-07,3.38,,
1976-12-08,3.41,,
1976-12-09,3.39,,
1976-12-10,3.44,,
1976-12-13,3.48,,
1976-12-14,3.42,,
1976-12-15,3.44,,
1976-12-16,3.34,,
1976-12-17,3.36,,
1976-12-20,3.33,,
1976-12-21,3.31,,
1976-12-22,3.38,,
1976-12-23,3.41,,
1976-12-27,3.42,,
1976-12-28,3.48,,
1976-12-29,3.48,,
1976-12-30,3.38,,
1976-12-31,3.45,,
1977-01-03,3.44,,
1977-01-04,3.42,,
1977-01-05,3.39,,
1977-01-06,3.39,,
1977-01-07,3.38,,
1977-01-10,3.38,,
1977-01-11,3.39,,
1977-01-12,3.39,,
1977-01-13,3.41,,
1977-01-14,3.41,,
1977-01-17,3.41,,
1977-01-18,3.36,,
1977-01-19,3.38,,
1977-01-20,3.38,,
1977-01-21,3.34,,
1977-01-24,3.36,,
1977-01-25,3.34,,
1977-01-26,3.31,,
1977-01-27,3.27,,
1977-01-28,3.22,,
1977-01-31,3.23,,
1977-02-01,3.25,,
1977-02-02,3.22,,
1977-02-03,3.25,,
1977-02-04,3.22,,
1977-02-07,3.19,,
1977-02-08,3.19,,
1977-02-09,3.23,,
1977-02-10,3.27,,
1977-02-11,3.22,,
1977-02-14,3.2,,
1977-02-15,3.14,,
1977-02-16,3.14,,
1977-02-17,3.13,,
1977-02-18,3.14,,
1977-02-22,3.16,,
1977-02-23,3.16,,
1977-02-24,3.14,,
1977-02-25,3.0,,
1977-02-28,3.03,,
1977-03-01,3.06,,
1977-03-02,3.03,,
1977-03-03,3.03,,
1977-03-04,3.08,,
1977-03-07,3.08,,
1977-03-08,3.11,,
1977-03-09,3.03,,
1977-03-10,3.0,,
1977-03-11,3.06,,
1977-03-14,3.08,,
1977-03-15,3.09,,
1977-03-16,3.11,,
1977-03-17,3.06,,
1977-03-18,3.06,,
1977-03-21,3.06,,
1977-03-22,3.03,,
1977-03-23,3.0,,
1977-03-24,2.97,,
1977-03-25,2.89,,
1977-03-28,2.91,,
1977-03-29,2.95,,
1977-03-30,2.97,,
1977-03-31,2.98,,
1977-04-01,3.03,,
1977-04-04,3.05,,
1977-04-05,3.03,,
1977-04-06,3.03,,
1977-04-07,3.03,,
1977-04-11,3.05,,
1977-04-12,3.08,,
1977-04-13,3.11,,
1977-04-14,3.19,,
1977-04-15,3.17,,
1977-04-18,3.2,,
1977-04-19,3.17,,
1977-04-20,3.27,,
1977-04-21,3.28,,
1977-04-22,3.27,,
1977-04-25,3.28,,
1977-04-26,3.25,,
1977-04-27,3.25,,
1977-04-28,3.27,,
1977-04-29,3.28,,
1977-05-02,3.28,,
1977-05-03,3.27,,
1977-05-04,3.27,,
1977-05-05,3.27,,
1977-05-06,3.28,,
1977-05-09,3.27,,
1977-05-10,3.28,,
1977-05-11,3.28,,
1977-05-12,3.3,,
1977-05-13,3.33,,
1977-05-16,3.3,,
1977-05-17,3.33,,
1977-05-18,3.31,,
1977-05-19,3.28,,
