date,JBHT,JBHT_EPS,PE Ratio
1984-05-02,1.5,0.04,37.5
1984-05-03,1.5,0.04,37.5
1984-05-04,1.5,0.04,37.5
1984-05-07,1.5,0.04,37.5
1984-05-08,1.48,0.04,37.0
1984-05-09,1.5,0.04,37.5
1984-05-10,1.5,0.04,37.5
1984-05-11,1.5,0.04,37.5
1984-05-14,1.5,0.04,37.5
1984-05-15,1.48,0.04,37.0
1984-05-16,1.5,0.04,37.5
1984-05-17,1.48,0.04,37.0
1984-05-18,1.48,0.04,37.0
1984-05-21,1.48,0.04,37.0
1984-05-22,1.48,0.04,37.0
1984-05-23,1.48,0.04,37.0
1984-05-24,1.48,0.04,37.0
1984-05-25,1.46,0.04,36.5
1984-05-29,1.44,0.04,36.0
1984-05-30,1.44,0.04,36.0
1984-05-31,1.44,0.04,36.0
1984-06-01,1.44,0.04,36.0
1984-06-04,1.44,0.04,36.0
1984-06-05,1.44,0.04,36.0
1984-06-06,1.44,0.04,36.0
1984-06-07,1.44,0.04,36.0
1984-06-08,1.44,0.04,36.0
1984-06-11,1.44,0.04,36.0
1984-06-12,1.44,0.04,36.0
1984-06-13,1.44,0.04,36.0
1984-06-14,1.42,0.04,35.5
1984-06-15,1.42,0.04,35.5
1984-06-18,1.42,0.04,35.5
1984-06-19,1.42,0.04,35.5
1984-06-20,1.42,0.04,35.5
1984-06-21,1.42,0.04,35.5
1984-06-22,1.4,0.04,35.0
1984-06-25,1.4,0.04,35.0
1984-06-26,1.42,0.04,35.5
1984-06-27,1.42,0.04,35.5
1984-06-28,1.4,0.04,35.0
1984-06-29,1.42,0.04,35.5
1984-07-02,1.42,0.04,35.5
1984-07-03,1.42,0.04,35.5
1984-07-05,1.42,0.04,35.5
1984-07-06,1.42,0.04,35.5
1984-07-09,1.42,0.04,35.5
1984-07-10,1.42,0.04,35.5
1984-07-11,1.42,0.04,35.5
1984-07-12,1.42,0.04,35.5
1984-07-13,1.42,0.04,35.5
1984-07-16,1.5,0.04,37.5
1984-07-17,1.5,0.04,37.5
1984-07-18,1.5,0.04,37.5
1984-07-19,1.5,0.04,37.5
1984-07-20,1.42,0.04,35.5
1984-07-23,1.42,0.04,35.5
1984-07-24,1.42,0.04,35.5
1984-07-25,1.42,0.04,35.5
1984-07-26,1.39,0.04,34.75
1984-07-27,1.43,0.04,35.75
1984-07-30,1.46,0.04,36.5
1984-07-31,1.46,0.04,36.5
1984-08-01,1.42,0.04,35.5
1984-08-02,1.4,0.04,35.0
1984-08-03,1.46,0.04,36.5
1984-08-06,1.42,0.04,35.5
1984-08-07,1.48,0.04,37.0
1984-08-08,1.5,0.04,37.5
1984-08-09,1.48,0.04,37.0
1984-08-10,1.54,0.04,38.5
1984-08-13,1.53,0.04,38.25
1984-08-14,1.52,0.04,38.0
1984-08-15,1.58,0.04,39.5
1984-08-16,1.54,0.04,38.5
1984-08-17,1.52,0.04,38.0
1984-08-20,1.58,0.04,39.5
1984-08-21,1.52,0.04,38.0
1984-08-22,1.58,0.04,39.5
1984-08-23,1.58,0.04,39.5
1984-08-24,1.54,0.04,38.5
1984-08-27,1.6,0.04,40.0
1984-08-28,1.6,0.04,40.0
1984-08-29,1.6,0.04,40.0
1984-08-30,1.54,0.04,38.5
1984-08-31,1.57,0.04,39.25
1984-09-04,1.54,0.04,38.5
1984-09-05,1.56,0.04,39.0
1984-09-06,1.56,0.04,39.0
1984-09-07,1.54,0.04,38.5
1984-09-10,1.57,0.04,39.25
1984-09-11,1.57,0.04,39.25
1984-09-12,1.6,0.04,40.0
1984-09-13,1.54,0.04,38.5
1984-09-14,1.58,0.04,39.5
1984-09-17,1.61,0.04,40.25
1984-09-18,1.73,0.04,43.25
1984-09-19,1.75,0.04,43.75
1984-09-20,1.67,0.04,41.75
1984-09-21,1.68,0.04,42.0
1984-09-24,1.73,0.04,43.25
1984-09-25,1.69,0.04,42.25
1984-09-26,1.69,0.04,42.25
1984-09-27,1.69,0.04,42.25
1984-09-28,1.67,0.04,41.75
1984-10-01,1.56,0.04,39.0
1984-10-02,1.65,0.04,41.25
1984-10-03,1.56,0.04,39.0
1984-10-04,1.56,0.04,39.0
1984-10-05,1.56,0.04,39.0
1984-10-08,1.56,0.04,39.0
1984-10-09,1.58,0.04,39.5
1984-10-10,1.58,0.04,39.5
1984-10-11,1.56,0.04,39.0
1984-10-12,1.52,0.04,38.0
1984-10-15,1.6,0.04,40.0
1984-10-16,1.6,0.04,40.0
1984-10-17,1.63,0.04,40.75
1984-10-18,1.63,0.04,40.75
1984-10-19,1.64,0.04,41.0
1984-10-22,1.64,0.04,41.0
1984-10-23,1.69,0.04,42.25
1984-10-24,1.63,0.04,40.75
1984-10-25,1.63,0.04,40.75
1984-10-26,1.63,0.04,40.75
1984-10-29,1.69,0.04,42.25
1984-10-30,1.71,0.04,42.75
1984-10-31,1.67,0.04,41.75
1984-11-01,1.71,0.04,42.75
1984-11-02,1.65,0.04,41.25
1984-11-05,1.71,0.04,42.75
1984-11-06,1.65,0.04,41.25
1984-11-07,1.71,0.04,42.75
1984-11-08,1.65,0.04,41.25
1984-11-09,1.73,0.04,43.25
1984-11-12,1.68,0.04,42.0
1984-11-13,1.68,0.04,42.0
1984-11-14,1.68,0.04,42.0
1984-11-15,1.73,0.04,43.25
1984-11-16,1.73,0.04,43.25
1984-11-19,1.71,0.04,42.75
1984-11-20,1.69,0.04,42.25
1984-11-21,1.67,0.04,41.75
1984-11-23,1.71,0.04,42.75
1984-11-26,1.69,0.04,42.25
1984-11-27,1.71,0.04,42.75
1984-11-28,1.67,0.04,41.75
1984-11-29,1.67,0.04,41.75
1984-11-30,1.67,0.04,41.75
1984-12-03,1.67,0.04,41.75
1984-12-04,1.69,0.04,42.25
1984-12-05,1.67,0.04,41.75
1984-12-06,1.67,0.04,41.75
1984-12-07,1.67,0.04,41.75
1984-12-10,1.69,0.04,42.25
1984-12-11,1.69,0.04,42.25
1984-12-12,1.69,0.04,42.25
1984-12-13,1.69,0.04,42.25
1984-12-14,1.69,0.04,42.25
1984-12-17,1.67,0.04,41.75
1984-12-18,1.69,0.04,42.25
1984-12-19,1.71,0.04,42.75
1984-12-20,1.71,0.04,42.75
1984-12-21,1.69,0.04,42.25
1984-12-24,1.67,0.04,41.75
1984-12-26,1.67,0.04,41.75
1984-12-27,1.71,0.04,42.75
1984-12-28,1.67,0.04,41.75
1984-12-31,1.69,0.04,42.25
1985-01-02,1.71,0.04,42.75
1985-01-03,1.71,0.04,42.75
1985-01-04,1.71,0.04,42.75
1985-01-07,1.67,0.04,41.75
1985-01-08,1.69,0.04,42.25
1985-01-09,1.73,0.04,43.25
1985-01-10,1.69,0.04,42.25
1985-01-11,1.75,0.04,43.75
1985-01-14,1.71,0.04,42.75
1985-01-15,1.72,0.04,43.0
1985-01-16,1.75,0.04,43.75
1985-01-17,1.75,0.04,43.75
1985-01-18,1.77,0.04,44.25
1985-01-21,1.81,0.04,45.25
1985-01-22,1.85,0.04,46.25
1985-01-23,1.98,0.04,49.5
1985-01-24,2.13,0.04,53.24999999999999
1985-01-25,2.17,0.04,54.25
1985-01-28,2.1,0.04,52.5
1985-01-29,2.08,0.04,52.0
1985-01-30,2.13,0.04,53.24999999999999
1985-01-31,2.13,0.04,53.24999999999999
1985-02-01,2.04,0.04,51.0
1985-02-04,2.04,0.04,51.0
1985-02-05,2.06,0.04,51.5
1985-02-06,2.08,0.04,52.0
1985-02-07,2.04,0.04,51.0
1985-02-08,2.1,0.04,52.5
1985-02-11,2.13,0.04,53.24999999999999
1985-02-12,2.1,0.04,52.5
1985-02-13,2.1,0.04,52.5
1985-02-14,2.23,0.04,55.75
1985-02-15,2.23,0.04,55.75
1985-02-19,2.21,0.04,55.25
1985-02-20,2.25,0.04,56.25
1985-02-21,2.23,0.04,55.75
1985-02-22,2.29,0.04,57.25
1985-02-25,2.29,0.04,57.25
1985-02-26,2.29,0.04,57.25
1985-02-27,2.27,0.04,56.75
1985-02-28,2.27,0.04,56.75
1985-03-01,2.31,0.04,57.75
1985-03-04,2.35,0.04,58.75
1985-03-05,2.35,0.04,58.75
1985-03-06,2.29,0.04,57.25
1985-03-07,2.29,0.04,57.25
1985-03-08,2.33,0.04,58.25
1985-03-11,2.29,0.04,57.25
1985-03-12,2.27,0.04,56.75
1985-03-13,2.26,0.04,56.49999999999999
1985-03-14,2.27,0.04,56.75
1985-03-15,2.31,0.04,57.75
1985-03-18,2.27,0.04,56.75
1985-03-19,2.23,0.04,55.75
1985-03-20,2.26,0.04,56.49999999999999
1985-03-21,2.29,0.04,57.25
1985-03-22,2.29,0.04,57.25
1985-03-25,2.29,0.04,57.25
1985-03-26,2.29,0.04,57.25
1985-03-27,2.25,0.04,56.25
1985-03-28,2.25,0.04,56.25
1985-03-29,2.26,0.04,56.49999999999999
1985-04-01,2.29,0.04,57.25
1985-04-02,2.25,0.04,56.25
1985-04-03,2.29,0.04,57.25
1985-04-04,2.23,0.04,55.75
1985-04-08,2.29,0.04,57.25
1985-04-09,2.29,0.04,57.25
1985-04-10,2.29,0.04,57.25
1985-04-11,2.31,0.04,57.75
1985-04-12,2.29,0.04,57.25
1985-04-15,2.33,0.04,58.25
1985-04-16,2.23,0.04,55.75
1985-04-17,2.29,0.04,57.25
1985-04-18,2.27,0.04,56.75
1985-04-19,2.25,0.04,56.25
1985-04-22,2.24,0.04,56.00000000000001
1985-04-23,2.25,0.04,56.25
1985-04-24,2.21,0.04,55.25
1985-04-25,2.25,0.04,56.25
1985-04-26,2.19,0.04,54.75
1985-04-29,2.19,0.04,54.75
1985-04-30,2.19,0.04,54.75
1985-05-01,2.19,0.04,54.75
1985-05-02,2.19,0.04,54.75
1985-05-03,2.23,0.04,55.75
1985-05-06,2.25,0.04,56.25
1985-05-07,2.19,0.04,54.75
1985-05-08,2.19,0.04,54.75
1985-05-09,2.19,0.04,54.75
1985-05-10,2.19,0.04,54.75
1985-05-13,2.25,0.04,56.25
1985-05-14,2.21,0.04,55.25
1985-05-15,2.19,0.04,54.75
1985-05-16,2.25,0.04,56.25
1985-05-17,2.24,0.04,56.00000000000001
1985-05-20,2.21,0.04,55.25
1985-05-21,2.19,0.04,54.75
1985-05-22,2.17,0.04,54.25
1985-05-23,2.17,0.04,54.25
1985-05-24,2.21,0.04,55.25
1985-05-28,2.17,0.04,54.25
1985-05-29,2.15,0.04,53.75
1985-05-30,2.1,0.04,52.5
1985-05-31,2.07,0.04,51.74999999999999
1985-06-03,2.04,0.04,51.0
1985-06-04,2.1,0.04,52.5
1985-06-05,2.06,0.04,51.5
1985-06-06,2.04,0.04,51.0
1985-06-07,2.02,0.04,50.5
1985-06-10,2.06,0.04,51.5
1985-06-11,1.98,0.04,49.5
1985-06-12,2.0,0.04,50.0
1985-06-13,2.0,0.04,50.0
1985-06-14,2.06,0.04,51.5
1985-06-17,1.98,0.04,49.5
1985-06-18,1.99,0.04,49.75
1985-06-19,2.0,0.04,50.0
1985-06-20,1.92,0.04,48.0
1985-06-21,2.0,0.04,50.0
1985-06-24,1.94,0.04,48.5
1985-06-25,2.0,0.04,50.0
1985-06-26,2.04,0.04,51.0
1985-06-27,2.02,0.04,50.5
1985-06-28,1.98,0.04,49.5
1985-07-01,2.08,0.04,52.0
1985-07-02,2.11,0.04,52.74999999999999
1985-07-03,2.09,0.04,52.24999999999999
1985-07-05,2.08,0.04,52.0
1985-07-08,2.15,0.04,53.75
1985-07-09,2.15,0.04,53.75
1985-07-10,2.1,0.04,52.5
1985-07-11,2.08,0.04,52.0
1985-07-12,2.08,0.04,52.0
1985-07-15,2.17,0.04,54.25
1985-07-16,2.08,0.04,52.0
1985-07-17,2.08,0.04,52.0
1985-07-18,2.08,0.04,52.0
1985-07-19,2.08,0.04,52.0
1985-07-22,2.04,0.04,51.0
1985-07-23,2.02,0.04,50.5
1985-07-24,2.06,0.04,51.5
1985-07-25,2.06,0.04,51.5
1985-07-26,2.08,0.04,52.0
1985-07-29,2.06,0.04,51.5
1985-07-30,2.06,0.04,51.5
1985-07-31,2.04,0.04,51.0
1985-08-01,2.04,0.04,51.0
1985-08-02,2.1,0.04,52.5
1985-08-05,2.08,0.04,52.0
1985-08-06,2.02,0.04,50.5
1985-08-07,2.04,0.04,51.0
1985-08-08,2.02,0.04,50.5
1985-08-09,2.06,0.04,51.5
1985-08-12,2.02,0.04,50.5
1985-08-13,2.06,0.04,51.5
1985-08-14,1.98,0.04,49.5
1985-08-15,1.98,0.04,49.5
1985-08-16,2.0,0.04,50.0
1985-08-19,1.96,0.04,49.0
1985-08-20,1.96,0.04,49.0
1985-08-21,1.9,0.04,47.5
1985-08-22,1.9,0.04,47.5
1985-08-23,1.92,0.04,48.0
1985-08-26,1.9,0.04,47.5
1985-08-27,1.96,0.04,49.0
1985-08-28,1.96,0.04,49.0
1985-08-29,1.94,0.04,48.5
1985-08-30,1.96,0.04,49.0
1985-09-03,1.92,0.04,48.0
1985-09-04,1.96,0.04,49.0
1985-09-05,1.92,0.04,48.0
1985-09-06,1.92,0.04,48.0
1985-09-09,1.92,0.04,48.0
1985-09-10,1.98,0.04,49.5
1985-09-11,1.94,0.04,48.5
1985-09-12,1.92,0.04,48.0
1985-09-13,1.96,0.04,49.0
1985-09-16,1.92,0.04,48.0
1985-09-17,1.92,0.04,48.0
1985-09-18,1.85,0.04,46.25
1985-09-19,1.85,0.04,46.25
1985-09-20,1.81,0.04,45.25
1985-09-23,1.88,0.04,46.99999999999999
1985-09-24,1.85,0.04,46.25
1985-09-25,1.81,0.04,45.25
1985-09-26,1.81,0.04,45.25
1985-09-30,1.88,0.04,46.99999999999999
1985-10-01,1.88,0.04,46.99999999999999
1985-10-02,1.92,0.04,48.0
1985-10-03,1.92,0.04,48.0
1985-10-04,1.85,0.04,46.25
1985-10-07,1.9,0.04,47.5
1985-10-08,1.83,0.04,45.75
1985-10-09,1.83,0.04,45.75
1985-10-10,1.88,0.04,46.99999999999999
1985-10-11,1.81,0.04,45.25
1985-10-14,1.81,0.04,45.25
1985-10-15,1.88,0.04,46.99999999999999
1985-10-16,1.94,0.04,48.5
1985-10-17,1.94,0.04,48.5
1985-10-18,1.88,0.04,46.99999999999999
1985-10-21,1.9,0.04,47.5
1985-10-22,1.96,0.04,49.0
1985-10-23,1.96,0.04,49.0
1985-10-24,1.96,0.04,49.0
1985-10-25,2.0,0.04,50.0
1985-10-28,2.02,0.04,50.5
1985-10-29,2.02,0.04,50.5
1985-10-30,2.02,0.04,50.5
1985-10-31,2.02,0.04,50.5
1985-11-01,2.04,0.04,51.0
1985-11-04,1.96,0.04,49.0
1985-11-05,2.04,0.04,51.0
1985-11-06,2.04,0.04,51.0
1985-11-07,2.0,0.04,50.0
1985-11-08,2.0,0.04,50.0
1985-11-11,2.1,0.04,52.5
1985-11-12,2.13,0.04,53.24999999999999
1985-11-13,2.13,0.04,53.24999999999999
1985-11-14,2.13,0.04,53.24999999999999
1985-11-15,2.19,0.04,54.75
1985-11-18,2.13,0.04,53.24999999999999
1985-11-19,2.13,0.04,53.24999999999999
1985-11-20,2.13,0.04,53.24999999999999
1985-11-21,2.13,0.04,53.24999999999999
1985-11-22,2.19,0.04,54.75
1985-11-25,2.13,0.04,53.24999999999999
1985-11-26,2.19,0.04,54.75
1985-11-27,2.25,0.04,56.25
1985-11-29,2.21,0.04,55.25
1985-12-02,2.21,0.04,55.25
1985-12-03,2.21,0.04,55.25
1985-12-04,2.29,0.04,57.25
1985-12-05,2.27,0.04,56.75
1985-12-06,2.33,0.04,58.25
1985-12-09,2.31,0.04,57.75
1985-12-10,2.27,0.04,56.75
1985-12-11,2.29,0.04,57.25
1985-12-12,2.44,0.04,61.0
1985-12-13,2.42,0.04,60.5
1985-12-16,2.42,0.04,60.5
1985-12-17,2.44,0.04,61.0
1985-12-18,2.4,0.04,60.0
1985-12-19,2.35,0.04,58.75
1985-12-20,2.33,0.04,58.25
1985-12-23,2.35,0.04,58.75
1985-12-24,2.33,0.04,58.25
1985-12-26,2.3,0.04,57.49999999999999
1985-12-27,2.33,0.04,58.25
1985-12-30,2.29,0.04,57.25
1985-12-31,2.29,0.04,57.25
1986-01-02,2.35,0.04,58.75
1986-01-03,2.38,0.04,59.49999999999999
1986-01-06,2.3,0.04,57.49999999999999
1986-01-07,2.29,0.04,57.25
1986-01-08,2.32,0.04,57.99999999999999
1986-01-09,2.31,0.04,57.75
1986-01-10,2.29,0.04,57.25
1986-01-13,2.29,0.04,57.25
1986-01-14,2.33,0.04,58.25
1986-01-15,2.33,0.04,58.25
1986-01-16,2.33,0.04,58.25
1986-01-17,2.4,0.04,60.0
1986-01-20,2.35,0.04,58.75
1986-01-21,2.33,0.04,58.25
1986-01-22,2.4,0.04,60.0
1986-01-23,2.5,0.04,62.5
1986-01-24,2.63,0.04,65.75
1986-01-27,2.63,0.04,65.75
1986-01-28,2.63,0.04,65.75
1986-01-29,2.6,0.04,65.0
1986-01-30,2.67,0.04,66.75
1986-01-31,2.67,0.04,66.75
1986-02-03,2.6,0.04,65.0
1986-02-04,2.58,0.04,64.5
1986-02-05,2.58,0.04,64.5
1986-02-06,2.58,0.04,64.5
1986-02-07,2.56,0.04,64.0
1986-02-10,2.6,0.04,65.0
1986-02-11,2.67,0.04,66.75
1986-02-12,2.69,0.04,67.25
1986-02-13,2.67,0.04,66.75
1986-02-14,2.67,0.04,66.75
1986-02-18,2.67,0.04,66.75
1986-02-19,2.67,0.04,66.75
1986-02-20,2.67,0.04,66.75
1986-02-21,2.67,0.04,66.75
1986-02-24,2.67,0.04,66.75
1986-02-25,2.6,0.04,65.0
1986-02-26,2.6,0.04,65.0
1986-02-27,2.6,0.04,65.0
1986-02-28,2.67,0.04,66.75
1986-03-03,2.69,0.04,67.25
1986-03-04,2.67,0.04,66.75
1986-03-05,2.71,0.04,67.75
1986-03-06,2.79,0.04,69.75
1986-03-07,2.79,0.04,69.75
1986-03-10,2.79,0.04,69.75
1986-03-11,2.85,0.04,71.25
1986-03-12,2.98,0.04,74.5
1986-03-13,2.98,0.04,74.5
1986-03-14,3.02,0.04,75.5
1986-03-17,2.96,0.04,74.0
1986-03-18,3.02,0.04,75.5
1986-03-19,2.96,0.04,74.0
1986-03-20,2.96,0.04,74.0
1986-03-21,3.0,0.04,75.0
1986-03-24,2.98,0.04,74.5
1986-03-25,2.92,0.04,73.0
1986-03-26,2.92,0.04,73.0
1986-03-27,2.96,0.04,74.0
1986-03-31,3.0,0.04,75.0
1986-04-01,3.0,0.04,75.0
1986-04-02,2.96,0.04,74.0
1986-04-03,3.02,0.04,75.5
1986-04-04,3.02,0.04,75.5
1986-04-07,2.96,0.04,74.0
1986-04-08,3.02,0.04,75.5
1986-04-09,3.02,0.04,75.5
1986-04-10,3.08,0.04,77.0
1986-04-11,3.08,0.04,77.0
1986-04-14,3.1,0.04,77.5
1986-04-15,3.13,0.04,78.25
1986-04-16,3.31,0.04,82.75
1986-04-17,3.31,0.04,82.75
1986-04-18,3.35,0.04,83.75
1986-04-21,3.31,0.04,82.75
1986-04-22,3.31,0.04,82.75
1986-04-23,3.35,0.04,83.75
1986-04-24,3.63,0.04,90.75
1986-04-25,3.9,0.04,97.5
1986-04-28,3.9,0.04,97.5
1986-04-29,3.83,0.04,95.75
1986-04-30,3.38,0.04,84.5
1986-05-01,3.6,0.04,90.0
1986-05-02,3.6,0.04,90.0
1986-05-05,3.63,0.04,90.75
1986-05-06,3.67,0.04,91.75
1986-05-07,3.58,0.04,89.5
1986-05-08,3.58,0.04,89.5
1986-05-09,3.58,0.04,89.5
1986-05-12,3.56,0.04,89.0
1986-05-13,3.58,0.04,89.5
1986-05-14,3.52,0.04,88.0
1986-05-15,3.52,0.04,88.0
1986-05-16,3.52,0.04,88.0
1986-05-19,3.54,0.04,88.5
1986-05-20,3.5,0.04,87.5
1986-05-21,3.44,0.04,86.0
1986-05-22,3.48,0.04,87.0
1986-05-23,3.5,0.04,87.5
1986-05-27,3.64,0.04,91.0
1986-05-28,3.73,0.04,93.25
1986-05-29,3.94,0.04,98.5
1986-05-30,3.96,0.04,99.0
1986-06-02,4.08,0.04,102.0
1986-06-03,4.04,0.04,101.0
1986-06-04,3.94,0.04,98.5
1986-06-05,3.94,0.04,98.5
1986-06-06,4.0,0.04,100.0
1986-06-09,4.0,0.04,100.0
1986-06-10,4.19,0.04,104.75000000000001
1986-06-11,4.13,0.04,103.25
1986-06-12,4.17,0.04,104.25
1986-06-13,4.19,0.04,104.75000000000001
1986-06-16,4.15,0.04,103.75
1986-06-17,4.17,0.04,104.25
1986-06-18,4.1,0.04,102.49999999999999
1986-06-19,4.08,0.04,102.0
1986-06-20,4.06,0.04,101.49999999999999
1986-06-23,4.06,0.04,101.49999999999999
1986-06-24,4.1,0.04,102.49999999999999
1986-06-25,4.13,0.04,103.25
1986-06-26,4.06,0.04,101.49999999999999
1986-06-27,4.06,0.04,101.49999999999999
1986-06-30,4.1,0.04,102.49999999999999
1986-07-01,4.1,0.04,102.49999999999999
1986-07-02,4.17,0.04,104.25
1986-07-03,4.21,0.04,105.25
1986-07-07,4.15,0.04,103.75
1986-07-08,3.96,0.04,99.0
1986-07-09,4.21,0.04,105.25
1986-07-10,4.21,0.04,105.25
1986-07-11,4.21,0.04,105.25
1986-07-14,4.17,0.04,104.25
1986-07-15,4.17,0.04,104.25
1986-07-16,4.17,0.04,104.25
1986-07-17,4.21,0.04,105.25
1986-07-18,4.4,0.04,110.0
1986-07-21,4.46,0.04,111.5
1986-07-22,4.71,0.04,117.75
1986-07-23,4.75,0.04,118.75
1986-07-24,4.73,0.04,118.25000000000001
1986-07-25,4.67,0.04,116.75
1986-07-28,4.71,0.04,117.75
1986-07-29,4.58,0.04,114.5
1986-07-30,4.29,0.04,107.25
1986-07-31,4.46,0.04,111.5
1986-08-01,4.63,0.04,115.75
1986-08-04,4.54,0.04,113.5
1986-08-05,4.46,0.04,111.5
1986-08-06,4.25,0.04,106.25
1986-08-07,4.46,0.04,111.5
1986-08-08,4.54,0.04,113.5
1986-08-11,4.33,0.04,108.25
1986-08-12,4.33,0.04,108.25
1986-08-13,4.38,0.04,109.5
1986-08-14,4.5,0.04,112.5
1986-08-15,4.5,0.04,112.5
1986-08-18,4.38,0.04,109.5
1986-08-19,4.5,0.04,112.5
1986-08-20,4.58,0.04,114.5
1986-08-21,4.58,0.04,114.5
1986-08-22,4.58,0.04,114.5
1986-08-25,4.46,0.04,111.5
1986-08-26,4.54,0.04,113.5
1986-08-27,4.44,0.04,111.00000000000001
1986-08-28,4.21,0.04,105.25
1986-08-29,4.25,0.04,106.25
1986-09-02,4.23,0.04,105.75000000000001
1986-09-03,4.25,0.04,106.25
1986-09-04,4.17,0.04,104.25
1986-09-05,4.13,0.04,103.25
1986-09-08,4.08,0.04,102.0
1986-09-09,4.21,0.04,105.25
1986-09-10,3.92,0.04,98.0
1986-09-11,3.71,0.04,92.75
1986-09-12,3.71,0.04,92.75
1986-09-15,3.71,0.04,92.75
1986-09-16,3.67,0.04,91.75
1986-09-17,3.58,0.04,89.5
1986-09-18,3.88,0.04,97.0
1986-09-19,3.96,0.04,99.0
1986-09-22,3.79,0.04,94.75
1986-09-23,3.96,0.04,99.0
1986-09-24,4.0,0.04,100.0
1986-09-25,3.83,0.04,95.75
1986-09-26,4.0,0.04,100.0
1986-09-29,4.21,0.04,105.25
1986-09-30,4.48,0.04,112.00000000000001
1986-10-01,4.58,0.04,114.5
1986-10-02,4.5,0.04,112.5
1986-10-03,4.33,0.04,108.25
