date,ABC,ABC_EPS,PE Ratio
1995-09-19,3.28,0.02,164.0
1995-09-20,3.38,0.02,169.0
1995-09-21,3.47,0.02,173.5
1995-09-22,3.38,0.02,169.0
1995-09-25,3.41,0.02,170.5
1995-09-26,3.41,0.02,170.5
1995-09-27,3.36,0.02,168.0
1995-09-28,3.38,0.02,169.0
1995-09-29,3.38,0.02,169.0
1995-10-02,3.2,0.02,160.0
1995-10-03,3.28,0.02,164.0
1995-10-04,3.19,0.02,159.5
1995-10-05,3.25,0.02,162.5
1995-10-06,3.28,0.02,164.0
1995-10-09,3.22,0.02,161.0
1995-10-10,3.16,0.02,158.0
1995-10-11,3.16,0.02,158.0
1995-10-12,3.25,0.02,162.5
1995-10-13,3.2,0.02,160.0
1995-10-16,3.25,0.02,162.5
1995-10-17,3.19,0.02,159.5
1995-10-18,3.19,0.02,159.5
1995-10-19,3.19,0.02,159.5
1995-10-20,3.25,0.02,162.5
1995-10-23,3.25,0.02,162.5
1995-10-24,3.28,0.02,164.0
1995-10-25,3.28,0.02,164.0
1995-10-26,3.38,0.02,169.0
1995-10-27,3.44,0.02,172.0
1995-10-30,3.42,0.02,171.0
1995-10-31,3.41,0.02,170.5
1995-11-01,3.56,0.02,178.0
1995-11-02,3.63,0.02,181.5
1995-11-03,3.72,0.02,186.0
1995-11-06,3.63,0.02,181.5
1995-11-07,3.63,0.02,181.5
1995-11-08,3.63,0.02,181.5
1995-11-09,3.67,0.02,183.5
1995-11-10,3.75,0.02,187.5
1995-11-13,3.69,0.02,184.5
1995-11-14,3.78,0.02,189.0
1995-11-15,3.72,0.02,186.0
1995-11-16,3.69,0.02,184.5
1995-11-17,3.72,0.02,186.0
1995-11-20,3.66,0.02,183.0
1995-11-21,3.72,0.02,186.0
1995-11-22,3.68,0.02,184.0
1995-11-24,3.66,0.02,183.0
1995-11-27,3.56,0.02,178.0
1995-11-28,3.63,0.02,181.5
1995-11-29,3.63,0.02,181.5
1995-11-30,3.63,0.02,181.5
1995-12-01,3.69,0.02,184.5
1995-12-04,3.69,0.02,184.5
1995-12-05,3.66,0.02,183.0
1995-12-06,3.78,0.02,189.0
1995-12-07,3.81,0.02,190.5
1995-12-08,3.94,0.02,197.0
1995-12-11,4.09,0.02,204.5
1995-12-12,4.19,0.02,209.50000000000003
1995-12-13,4.09,0.02,204.5
1995-12-14,3.97,0.02,198.5
1995-12-15,4.05,0.02,202.5
1995-12-18,4.0,0.02,200.0
1995-12-19,4.03,0.02,201.5
1995-12-20,3.97,0.02,198.5
1995-12-21,3.94,0.02,197.0
1995-12-22,3.94,0.02,197.0
1995-12-26,3.97,0.02,198.5
1995-12-27,4.03,0.02,201.5
1995-12-28,4.02,0.02,200.99999999999997
1995-12-29,4.13,0.02,206.5
1996-01-02,4.13,0.02,206.5
1996-01-03,4.03,0.02,201.5
1996-01-04,4.03,0.02,201.5
1996-01-05,4.06,0.02,202.99999999999997
1996-01-08,4.0,0.02,200.0
1996-01-09,4.06,0.02,202.99999999999997
1996-01-10,4.0,0.02,200.0
1996-01-11,4.0,0.02,200.0
1996-01-12,4.0,0.02,200.0
1996-01-15,4.0,0.02,200.0
1996-01-16,4.09,0.02,204.5
1996-01-17,3.97,0.02,198.5
1996-01-18,4.06,0.02,202.99999999999997
1996-01-19,4.09,0.02,204.5
1996-01-22,4.09,0.02,204.5
1996-01-23,4.09,0.02,204.5
1996-01-24,3.97,0.02,198.5
1996-01-25,4.06,0.02,202.99999999999997
1996-01-26,4.02,0.02,200.99999999999997
1996-01-29,3.98,0.02,199.0
1996-01-30,3.97,0.02,198.5
1996-01-31,3.91,0.02,195.5
1996-02-01,3.88,0.02,194.0
1996-02-02,3.75,0.02,187.5
1996-02-05,3.69,0.02,184.5
1996-02-06,3.66,0.02,183.0
1996-02-07,3.78,0.02,189.0
1996-02-08,3.77,0.02,188.5
1996-02-09,3.66,0.02,183.0
1996-02-12,3.66,0.02,183.0
1996-02-13,3.72,0.02,186.0
1996-02-14,3.72,0.02,186.0
1996-02-15,3.66,0.02,183.0
1996-02-16,3.78,0.02,189.0
1996-02-20,3.75,0.02,187.5
1996-02-21,3.67,0.02,183.5
1996-02-22,3.66,0.02,183.0
1996-02-23,3.63,0.02,181.5
1996-02-26,3.59,0.02,179.5
1996-02-27,3.56,0.02,178.0
1996-02-28,3.63,0.02,181.5
1996-02-29,3.63,0.02,181.5
1996-03-01,3.5,0.02,175.0
1996-03-04,3.56,0.02,178.0
1996-03-05,3.66,0.02,183.0
1996-03-06,3.69,0.02,184.5
1996-03-07,3.83,0.02,191.5
1996-03-08,3.69,0.02,184.5
1996-03-11,3.66,0.02,183.0
1996-03-12,3.72,0.02,186.0
1996-03-13,3.77,0.02,188.5
1996-03-14,3.91,0.02,195.5
1996-03-15,3.94,0.02,197.0
1996-03-18,4.0,0.02,200.0
1996-03-19,4.09,0.02,204.5
1996-03-20,4.22,0.02,210.99999999999997
1996-03-21,4.22,0.02,210.99999999999997
1996-03-22,4.22,0.02,210.99999999999997
1996-03-25,4.17,0.02,208.5
1996-03-26,4.16,0.02,208.0
1996-03-27,4.13,0.02,206.5
1996-03-28,4.09,0.02,204.5
1996-03-29,4.13,0.02,206.5
1996-04-01,4.13,0.02,206.5
1996-04-02,4.17,0.02,208.5
1996-04-03,4.16,0.02,208.0
1996-04-04,4.25,0.02,212.5
1996-04-08,4.19,0.02,209.50000000000003
1996-04-09,4.2,0.02,210.0
1996-04-10,4.16,0.02,208.0
1996-04-11,4.16,0.02,208.0
1996-04-12,4.25,0.02,212.5
1996-04-15,4.16,0.02,208.0
1996-04-16,4.16,0.02,208.0
1996-04-17,4.28,0.02,214.0
1996-04-18,4.38,0.02,219.0
1996-04-19,4.41,0.02,220.5
1996-04-22,4.53,0.02,226.5
1996-04-23,4.56,0.02,227.99999999999997
1996-04-24,4.69,0.02,234.50000000000003
1996-04-25,4.69,0.02,234.50000000000003
1996-04-26,4.63,0.02,231.5
1996-04-29,4.34,0.02,217.0
1996-04-30,4.5,0.02,225.0
1996-05-01,4.66,0.02,233.0
1996-05-02,4.63,0.02,231.5
1996-05-03,4.66,0.02,233.0
1996-05-06,4.63,0.02,231.5
1996-05-07,4.53,0.02,226.5
1996-05-08,4.56,0.02,227.99999999999997
1996-05-09,4.56,0.02,227.99999999999997
1996-05-10,4.56,0.02,227.99999999999997
1996-05-13,4.53,0.02,226.5
1996-05-14,4.47,0.02,223.49999999999997
1996-05-15,4.44,0.02,222.00000000000003
1996-05-16,4.53,0.02,226.5
1996-05-17,4.44,0.02,222.00000000000003
1996-05-20,4.56,0.02,227.99999999999997
1996-05-21,4.44,0.02,222.00000000000003
1996-05-22,4.34,0.02,217.0
1996-05-23,4.36,0.02,218.0
1996-05-24,4.33,0.02,216.5
1996-05-28,4.27,0.02,213.49999999999997
1996-05-29,4.22,0.02,210.99999999999997
1996-05-30,4.28,0.02,214.0
1996-05-31,4.22,0.02,210.99999999999997
1996-06-03,4.19,0.02,209.50000000000003
1996-06-04,4.47,0.02,223.49999999999997
1996-06-05,4.38,0.02,219.0
1996-06-06,4.28,0.02,214.0
1996-06-07,4.2,0.02,210.0
1996-06-10,4.25,0.02,212.5
1996-06-11,4.22,0.02,210.99999999999997
1996-06-12,4.09,0.02,204.5
1996-06-13,4.08,0.02,204.0
1996-06-14,4.02,0.02,200.99999999999997
1996-06-17,4.02,0.02,200.99999999999997
1996-06-18,4.06,0.02,202.99999999999997
1996-06-19,4.06,0.02,202.99999999999997
1996-06-20,4.03,0.02,201.5
1996-06-21,4.17,0.02,208.5
1996-06-24,4.17,0.02,208.5
1996-06-25,4.09,0.02,204.5
1996-06-26,4.08,0.02,204.0
1996-06-27,4.13,0.02,206.5
1996-06-28,4.16,0.02,208.0
1996-07-01,4.09,0.02,204.5
1996-07-02,4.0,0.02,200.0
1996-07-03,4.0,0.02,200.0
1996-07-05,3.92,0.02,196.0
1996-07-08,3.83,0.02,191.5
1996-07-09,3.98,0.02,199.0
1996-07-10,3.95,0.02,197.5
1996-07-11,3.84,0.02,192.0
1996-07-12,3.86,0.02,193.0
1996-07-15,3.66,0.02,183.0
1996-07-16,3.5,0.02,175.0
1996-07-17,3.59,0.02,179.5
1996-07-18,3.8,0.02,190.0
1996-07-19,3.86,0.02,193.0
1996-07-22,3.84,0.02,192.0
1996-07-23,3.8,0.02,190.0
1996-07-24,3.78,0.02,189.0
1996-07-25,3.81,0.02,190.5
1996-07-26,3.95,0.02,197.5
1996-07-29,4.16,0.02,208.0
1996-07-30,4.19,0.02,209.50000000000003
1996-07-31,4.3,0.02,215.0
1996-08-01,4.27,0.02,213.49999999999997
1996-08-02,4.31,0.02,215.49999999999997
1996-08-05,4.34,0.02,217.0
1996-08-06,4.34,0.02,217.0
1996-08-07,4.42,0.02,221.0
1996-08-08,4.42,0.02,221.0
1996-08-09,4.39,0.02,219.49999999999997
1996-08-12,4.33,0.02,216.5
1996-08-13,4.25,0.02,212.5
1996-08-14,4.34,0.02,217.0
1996-08-15,4.3,0.02,215.0
1996-08-16,4.36,0.02,218.0
1996-08-19,4.34,0.02,217.0
1996-08-20,4.34,0.02,217.0
1996-08-21,4.38,0.02,219.0
1996-08-22,4.38,0.02,219.0
1996-08-23,4.45,0.02,222.5
1996-08-26,4.5,0.02,225.0
1996-08-27,4.61,0.02,230.5
1996-08-28,4.77,0.02,238.49999999999997
1996-08-29,4.75,0.02,237.5
1996-08-30,4.77,0.02,238.49999999999997
1996-09-03,4.78,0.02,239.0
1996-09-04,4.88,0.02,244.0
1996-09-05,4.92,0.02,246.0
1996-09-06,4.77,0.02,238.49999999999997
1996-09-09,4.66,0.02,233.0
1996-09-10,4.78,0.02,239.0
1996-09-11,4.84,0.02,242.0
1996-09-12,4.94,0.02,247.00000000000003
1996-09-13,4.88,0.02,244.0
1996-09-16,4.84,0.02,242.0
1996-09-17,4.86,0.02,243.0
1996-09-18,4.91,0.02,245.5
1996-09-19,4.89,0.02,244.49999999999997
1996-09-20,4.92,0.02,246.0
1996-09-23,5.2,0.02,260.0
1996-09-24,5.19,0.02,259.5
1996-09-25,5.23,0.02,261.5
1996-09-26,5.41,0.02,270.5
1996-09-27,5.38,0.02,269.0
1996-09-30,5.56,0.02,278.0
1996-10-01,5.56,0.02,278.0
1996-10-02,5.5,0.02,275.0
1996-10-03,5.31,0.02,265.5
1996-10-04,5.17,0.02,258.5
1996-10-07,5.13,0.02,256.5
1996-10-08,5.09,0.02,254.5
1996-10-09,5.08,0.02,254.0
1996-10-10,5.11,0.02,255.5
1996-10-11,5.13,0.02,256.5
1996-10-14,5.11,0.02,255.5
1996-10-15,5.06,0.02,252.99999999999997
1996-10-16,5.08,0.02,254.0
1996-10-17,5.14,0.02,257.0
1996-10-18,5.28,0.02,264.0
1996-10-21,5.38,0.02,269.0
1996-10-22,5.36,0.02,268.0
1996-10-23,5.45,0.02,272.5
1996-10-24,5.31,0.02,265.5
1996-10-25,5.41,0.02,270.5
1996-10-28,5.42,0.02,271.0
1996-10-29,5.3,0.02,265.0
1996-10-30,5.39,0.02,269.5
1996-10-31,5.3,0.02,265.0
1996-11-01,5.23,0.02,261.5
1996-11-04,5.19,0.02,259.5
1996-11-05,5.23,0.02,261.5
1996-11-06,5.27,0.02,263.5
1996-11-07,5.2,0.02,260.0
1996-11-08,5.16,0.02,258.0
1996-11-11,5.02,0.02,250.99999999999997
1996-11-12,4.98,0.02,249.00000000000003
1996-11-13,5.02,0.02,250.99999999999997
1996-11-14,4.98,0.02,249.00000000000003
1996-11-15,5.02,0.02,250.99999999999997
1996-11-18,4.98,0.02,249.00000000000003
1996-11-19,4.92,0.02,246.0
1996-11-20,4.92,0.02,246.0
1996-11-21,4.8,0.02,240.0
1996-11-22,4.8,0.02,240.0
1996-11-25,4.78,0.02,239.0
1996-11-26,4.73,0.02,236.50000000000003
1996-11-27,4.92,0.02,246.0
1996-11-29,4.92,0.02,246.0
1996-12-02,5.03,0.02,251.5
1996-12-03,5.25,0.02,262.5
1996-12-04,5.23,0.02,261.5
1996-12-05,5.34,0.02,267.0
1996-12-06,5.38,0.02,269.0
1996-12-09,5.41,0.02,270.5
1996-12-10,5.64,0.02,282.0
1996-12-11,5.38,0.02,269.0
1996-12-12,5.52,0.02,276.0
1996-12-13,5.42,0.02,271.0
1996-12-16,5.28,0.02,264.0
1996-12-17,5.28,0.02,264.0
1996-12-18,5.41,0.02,270.5
1996-12-19,5.34,0.02,267.0
1996-12-20,5.38,0.02,269.0
1996-12-23,5.42,0.02,271.0
1996-12-24,5.41,0.02,270.5
1996-12-26,5.41,0.02,270.5
1996-12-27,5.47,0.02,273.5
1996-12-30,5.59,0.02,279.5
1996-12-31,6.03,0.02,301.5
1997-01-02,5.69,0.02,284.5
1997-01-03,5.72,0.02,286.0
1997-01-06,5.73,0.02,286.5
1997-01-07,5.73,0.02,286.5
1997-01-08,5.64,0.02,282.0
1997-01-09,5.56,0.02,278.0
1997-01-10,5.78,0.02,289.0
1997-01-13,5.77,0.02,288.5
1997-01-14,5.5,0.02,275.0
1997-01-15,5.56,0.02,278.0
1997-01-16,5.55,0.02,277.5
1997-01-17,5.52,0.02,276.0
1997-01-20,5.56,0.02,278.0
1997-01-21,5.56,0.02,278.0
1997-01-22,5.64,0.02,282.0
1997-01-23,5.5,0.02,275.0
1997-01-24,5.53,0.02,276.5
1997-01-27,5.44,0.02,272.0
1997-01-28,5.56,0.02,278.0
1997-01-29,5.97,0.02,298.5
1997-01-30,6.0,0.02,300.0
1997-01-31,6.13,0.02,306.5
1997-02-03,6.22,0.02,311.0
1997-02-04,6.41,0.02,320.5
1997-02-05,6.34,0.02,317.0
1997-02-06,6.36,0.02,318.0
1997-02-07,6.3,0.02,315.0
1997-02-10,6.25,0.02,312.5
1997-02-11,6.08,0.02,304.0
1997-02-12,5.94,0.02,297.0
1997-02-13,5.88,0.02,294.0
1997-02-14,5.78,0.02,289.0
1997-02-18,6.02,0.02,301.0
1997-02-19,5.92,0.02,296.0
1997-02-20,5.83,0.02,291.5
1997-02-21,6.16,0.02,308.0
1997-02-24,6.19,0.02,309.5
1997-02-25,6.25,0.02,312.5
1997-02-26,6.17,0.02,308.5
1997-02-27,6.27,0.02,313.5
1997-02-28,6.3,0.02,315.0
1997-03-03,6.27,0.02,313.5
1997-03-04,6.34,0.02,317.0
1997-03-05,6.41,0.02,320.5
1997-03-06,6.55,0.02,327.5
1997-03-07,6.63,0.02,331.5
1997-03-10,6.53,0.02,326.5
1997-03-11,6.56,0.02,328.0
1997-03-12,6.52,0.02,326.0
1997-03-13,6.55,0.02,327.5
1997-03-14,6.5,0.02,325.0
1997-03-17,6.42,0.02,321.0
1997-03-18,6.55,0.02,327.5
1997-03-19,6.42,0.02,321.0
1997-03-20,6.36,0.02,318.0
1997-03-21,6.19,0.02,309.5
1997-03-24,5.97,0.02,298.5
1997-03-25,5.88,0.02,294.0
1997-03-26,5.81,0.02,290.5
1997-03-27,5.88,0.02,294.0
1997-03-31,5.47,0.02,273.5
1997-04-01,5.72,0.02,286.0
1997-04-02,5.66,0.02,283.0
1997-04-03,5.59,0.02,279.5
1997-04-04,5.47,0.02,273.5
1997-04-07,5.58,0.02,279.0
1997-04-08,5.5,0.02,275.0
1997-04-09,5.52,0.02,276.0
1997-04-10,5.52,0.02,276.0
1997-04-11,5.44,0.02,272.0
1997-04-14,5.58,0.02,279.0
1997-04-15,5.75,0.02,287.5
1997-04-16,5.69,0.02,284.5
1997-04-17,5.7,0.02,285.0
1997-04-18,5.69,0.02,284.5
1997-04-21,5.72,0.02,286.0
1997-04-22,5.72,0.02,286.0
1997-04-23,5.67,0.02,283.5
1997-04-24,5.66,0.02,283.0
1997-04-25,5.66,0.02,283.0
1997-04-28,5.66,0.02,283.0
1997-04-29,5.77,0.02,288.5
1997-04-30,5.58,0.02,279.0
1997-05-01,5.58,0.02,279.0
1997-05-02,5.63,0.02,281.5
1997-05-05,5.63,0.02,281.5
1997-05-06,5.58,0.02,279.0
1997-05-07,5.47,0.02,273.5
1997-05-08,5.48,0.02,274.0
1997-05-09,5.42,0.02,271.0
1997-05-12,5.52,0.02,276.0
1997-05-13,5.47,0.02,273.5
1997-05-14,5.5,0.02,275.0
1997-05-15,5.44,0.02,272.0
1997-05-16,5.36,0.02,268.0
1997-05-19,5.3,0.02,265.0
1997-05-20,5.39,0.02,269.5
1997-05-21,5.45,0.02,272.5
1997-05-22,5.36,0.02,268.0
1997-05-23,5.3,0.02,265.0
1997-05-27,5.19,0.02,259.5
1997-05-28,5.19,0.02,259.5
1997-05-29,5.31,0.02,265.5
1997-05-30,5.33,0.02,266.5
1997-06-02,5.48,0.02,274.0
1997-06-03,5.5,0.02,275.0
1997-06-04,5.45,0.02,272.5
1997-06-05,5.44,0.02,272.0
1997-06-06,5.45,0.02,272.5
1997-06-09,5.63,0.02,281.5
1997-06-10,5.77,0.02,288.5
1997-06-11,5.86,0.02,293.0
1997-06-12,5.81,0.02,290.5
1997-06-13,5.91,0.02,295.5
1997-06-16,6.09,0.02,304.5
1997-06-17,6.16,0.02,308.0
1997-06-18,6.25,0.02,312.5
1997-06-19,6.34,0.02,317.0
1997-06-20,6.22,0.02,311.0
1997-06-23,6.11,0.02,305.5
1997-06-24,6.2,0.02,310.0
1997-06-25,5.99,0.02,299.5
1997-06-26,5.93,0.02,296.5
1997-06-27,5.8,0.02,290.0
1997-06-30,6.23,0.02,311.5
1997-07-01,6.05,0.02,302.5
1997-07-02,6.08,0.02,304.0
1997-07-03,6.14,0.02,307.0
1997-07-07,6.11,0.02,305.5
1997-07-08,6.03,0.02,301.5
1997-07-09,6.05,0.02,302.5
1997-07-10,6.05,0.02,302.5
1997-07-11,6.06,0.02,303.0
1997-07-14,6.09,0.02,304.5
1997-07-15,6.13,0.02,306.5
1997-07-16,6.04,0.02,302.0
1997-07-17,6.1,0.02,305.0
1997-07-18,6.09,0.02,304.5
1997-07-21,5.9,0.02,295.0
1997-07-22,5.8,0.02,290.0
1997-07-23,5.91,0.02,295.5
1997-07-24,5.88,0.02,294.0
1997-07-25,5.87,0.02,293.5
1997-07-28,5.94,0.02,297.0
1997-07-29,5.98,0.02,299.0
1997-07-30,5.85,0.02,292.5
1997-07-31,5.88,0.02,294.0
1997-08-01,6.08,0.02,304.0
1997-08-04,6.09,0.02,304.5
1997-08-05,6.16,0.02,308.0
1997-08-06,5.98,0.02,299.0
1997-08-07,6.02,0.02,301.0
1997-08-08,5.8,0.02,290.0
1997-08-11,5.88,0.02,294.0
1997-08-12,5.89,0.02,294.5
1997-08-13,5.94,0.02,297.0
1997-08-14,6.06,0.02,303.0
1997-08-15,5.97,0.02,298.5
1997-08-18,6.04,0.02,302.0
1997-08-19,6.16,0.02,308.0
1997-08-20,6.16,0.02,308.0
1997-08-21,6.13,0.02,306.5
1997-08-22,6.17,0.02,308.5
1997-08-25,6.14,0.02,307.0
1997-08-26,5.94,0.02,297.0
1997-08-27,6.09,0.02,304.5
1997-08-28,6.16,0.02,308.0
1997-08-29,6.26,0.02,313.0
1997-09-02,6.35,0.02,317.5
1997-09-03,6.41,0.02,320.5
1997-09-04,6.47,0.02,323.5
1997-09-05,6.57,0.02,328.5
1997-09-08,6.63,0.02,331.5
1997-09-09,6.63,0.02,331.5
1997-09-10,6.65,0.02,332.5
1997-09-11,6.62,0.02,331.0
1997-09-12,6.99,0.02,349.5
1997-09-15,6.9,0.02,345.0
1997-09-16,6.94,0.02,347.0
1997-09-17,6.98,0.02,349.0
1997-09-18,6.89,0.02,344.5
1997-09-19,6.73,0.02,336.5
1997-09-22,6.71,0.02,335.5
1997-09-23,7.53,0.02,376.5
1997-09-24,7.49,0.02,374.5
1997-09-25,7.49,0.02,374.5
1997-09-26,7.44,0.02,372.0
1997-09-29,7.44,0.02,372.0
1997-09-30,7.3,0.02,365.0
1997-10-01,7.25,0.02,362.5
1997-10-02,7.3,0.02,365.0
1997-10-03,7.34,0.02,367.0
1997-10-06,7.24,0.02,362.0
1997-10-07,7.34,0.02,367.0
1997-10-08,7.56,0.02,378.0
1997-10-09,7.72,0.02,386.0
1997-10-10,7.61,0.02,380.5
1997-10-13,7.7,0.02,385.0
1997-10-14,7.75,0.02,387.5
1997-10-15,7.7,0.02,385.0
1997-10-16,7.63,0.02,381.5
1997-10-17,7.51,0.02,375.5
1997-10-20,7.38,0.02,369.0
1997-10-21,7.4,0.02,370.0
1997-10-22,7.42,0.02,371.0
1997-10-23,7.36,0.02,368.0
1997-10-24,7.46,0.02,373.0
1997-10-27,7.2,0.02,360.0
1997-10-28,7.2,0.02,360.0
1997-10-29,7.38,0.02,369.0
1997-10-30,7.31,0.02,365.5
1997-10-31,7.44,0.02,372.0
1997-11-03,7.52,0.02,375.99999999999994
1997-11-04,7.38,0.02,369.0
1997-11-05,7.5,0.02,375.0
1997-11-06,7.68,0.02,384.0
1997-11-07,7.52,0.02,375.99999999999994
1997-11-10,7.54,0.02,377.0
1997-11-11,7.47,0.02,373.5
1997-11-12,7.41,0.02,370.5
1997-11-13,7.58,0.02,379.0
1997-11-14,7.91,0.02,395.5
1997-11-17,7.78,0.02,389.0
1997-11-18,7.84,0.02,392.0
1997-11-19,7.92,0.02,396.0
1997-11-20,7.93,0.02,396.5
1997-11-21,7.97,0.02,398.5
1997-11-24,7.94,0.02,397.0
1997-11-25,7.9,0.02,395.0
1997-11-26,7.95,0.02,397.5
1997-11-28,8.09,0.02,404.5
1997-12-01,8.08,0.02,404.0
1997-12-02,8.01,0.02,400.5
1997-12-03,8.16,0.02,408.0
1997-12-04,8.2,0.02,409.99999999999994
1997-12-05,7.98,0.02,399.0
1997-12-08,7.63,0.02,381.5
1997-12-09,7.4,0.02,370.0
1997-12-10,7.33,0.02,366.5
1997-12-11,7.18,0.02,359.0
1997-12-12,7.18,0.02,359.0
1997-12-15,7.13,0.02,356.5
1997-12-16,7.09,0.02,354.5
1997-12-17,6.96,0.02,348.0
1997-12-18,6.75,0.02,337.5
1997-12-19,6.74,0.02,337.0
1997-12-22,6.88,0.02,344.0
1997-12-23,6.84,0.02,342.0
1997-12-24,6.73,0.02,336.5
1997-12-26,6.7,0.02,335.0
1997-12-29,6.76,0.02,338.0
1997-12-30,7.09,0.02,354.5
1997-12-31,7.28,0.02,364.0
1998-01-02,7.23,0.02,361.5
1998-01-05,7.17,0.02,358.5
1998-01-06,7.04,0.02,352.0
1998-01-07,7.11,0.02,355.5
1998-01-08,7.15,0.02,357.5
1998-01-09,6.92,0.02,346.0
1998-01-12,6.72,0.02,336.0
1998-01-13,6.83,0.02,341.5
1998-01-14,6.96,0.02,348.0
1998-01-15,7.13,0.02,356.5
1998-01-16,7.24,0.02,362.0
1998-01-20,7.09,0.02,354.5
1998-01-21,7.27,0.02,363.49999999999994
1998-01-22,7.25,0.02,362.5
1998-01-23,7.09,0.02,354.5
1998-01-26,7.2,0.02,360.0
1998-01-27,7.03,0.02,351.5
1998-01-28,7.2,0.02,360.0
1998-01-29,7.13,0.02,356.5
1998-01-30,7.08,0.02,354.0
1998-02-02,7.3,0.02,365.0
1998-02-03,7.24,0.02,362.0
1998-02-04,7.26,0.02,363.0
1998-02-05,7.34,0.02,367.0
1998-02-06,7.53,0.02,376.5
1998-02-09,7.49,0.02,374.5
1998-02-10,7.27,0.02,363.49999999999994
