date,close price,TPR_SHE,TPR_TA,TPR_TL,market cap,PB Ratio
2011-09-16,59.49,1612569000.0,2635116000.0,1022547000.0,17613085320.0,10.922376233203044
2011-09-19,60.05,1612569000.0,2635116000.0,1022547000.0,17778883400.0,11.025192348358427
2011-09-20,59.35,1612569000.0,2635116000.0,1022547000.0,17571635800.0,10.896672204414198
2011-09-21,56.76,1612569000.0,2635116000.0,1022547000.0,16804819680.0,10.421147671820554
2011-09-22,54.51,1612569000.0,2635116000.0,1022547000.0,16138666680.0,10.008047209142678
2011-09-23,56.77,1612569000.0,2635116000.0,1022547000.0,16807780360.0,10.422983673876901
2011-09-26,57.5,1612569000.0,2635116000.0,1022547000.0,17023910000.0,10.557011823990168
2011-09-27,58.87,1612569000.0,2635116000.0,1022547000.0,17429523160.0,10.808544105709585
2011-09-28,57.5,1612569000.0,2635116000.0,1022547000.0,17023910000.0,10.557011823990168
2011-09-29,54.0,1612569000.0,2635116000.0,1022547000.0,15987672000.0,9.914411104269027
2011-09-30,51.83,1612569000.0,2635116000.0,1022547000.0,15345204440.0,9.51599865804192
2011-10-03,50.58,1612569000.0,2635116000.0,1022547000.0,14950031760.0,9.2709408155558
2011-10-04,52.73,1612569000.0,2635116000.0,1022547000.0,15585511560.0,9.665019952634585
2011-10-05,53.25,1612569000.0,2635116000.0,1022547000.0,15739209000.0,9.760332116021083
2011-10-06,56.78,1612569000.0,2635116000.0,1022547000.0,16782578160.0,10.407355071317879
2011-10-07,56.47,1612569000.0,2635116000.0,1022547000.0,16690950840.0,10.350534358529774
2011-10-10,59.99,1612569000.0,2635116000.0,1022547000.0,17731364280.0,10.9957243876076
2011-10-11,59.29,1612569000.0,2635116000.0,1022547000.0,17524463880.0,10.867419552279623
2011-10-12,61.08,1612569000.0,2635116000.0,1022547000.0,18053537760.0,11.19551334547545
2011-10-13,60.6,1612569000.0,2635116000.0,1022547000.0,17911663200.0,11.107532886964837
2011-10-14,62.08,1612569000.0,2635116000.0,1022547000.0,18349109760.0,11.378805967372559
2011-10-17,60.5,1612569000.0,2635116000.0,1022547000.0,17882106000.0,11.089203624775125
2011-10-18,60.89,1612569000.0,2635116000.0,1022547000.0,17997379080.0,11.160687747314999
2011-10-19,59.2,1612569000.0,2635116000.0,1022547000.0,17497862400.0,10.850923216308884
2011-10-20,59.02,1612569000.0,2635116000.0,1022547000.0,17444659440.0,10.817930544367403
2011-10-21,60.54,1612569000.0,2635116000.0,1022547000.0,17893928880.0,11.09653532965101
2011-10-24,62.66,1612569000.0,2635116000.0,1022547000.0,18520541520.0,11.485115688072883
2011-10-25,61.56,1612569000.0,2635116000.0,1022547000.0,18195412320.0,11.283493803986062
2011-10-26,62.38,1612569000.0,2635116000.0,1022547000.0,18437781360.0,11.433793753941691
2011-10-27,64.79,1612569000.0,2635116000.0,1022547000.0,19150109880.0,11.875528972713726
2011-10-28,66.36,1612569000.0,2635116000.0,1022547000.0,19614157920.0,12.163298389092187
2011-10-31,65.07,1612569000.0,2635116000.0,1022547000.0,19232870039.999996,11.926850906844914
2011-11-01,62.89,1612569000.0,2635116000.0,1022547000.0,18588523080.0,11.527272991109218
2011-11-02,64.26,1612569000.0,2635116000.0,1022547000.0,18993456720.0,11.778383883108258
2011-11-03,65.64,1612569000.0,2635116000.0,1022547000.0,19401346080.0,12.03132770132627
2011-11-04,65.07,1612569000.0,2635116000.0,1022547000.0,19232870039.999996,11.926850906844914
2011-11-07,64.27,1612569000.0,2635116000.0,1022547000.0,18996412440.0,11.780216809327229
2011-11-08,65.46,1612569000.0,2635116000.0,1022547000.0,19348143120.0,11.998335029384789
2011-11-09,62.56,1816503000.0,2878078000.0,1061575000.0,18490984320.0,10.179440562443332
2011-11-10,62.59,1816503000.0,2878078000.0,1061575000.0,18499851480.0,10.184322007725834
2011-11-11,64.42,1816503000.0,2878078000.0,1061575000.0,19040748240.0,10.48209016995843
2011-11-14,64.59,1816503000.0,2878078000.0,1061575000.0,19090995480.0,10.50975169322594
2011-11-15,64.39,1816503000.0,2878078000.0,1061575000.0,19031881080.0,10.47720872467593
2011-11-16,62.77,1816503000.0,2878078000.0,1061575000.0,18553054440.0,10.213610679420844
2011-11-17,61.47,1816503000.0,2878078000.0,1061575000.0,18168810840.0,10.002081383845773
2011-11-18,60.8,1816503000.0,2878078000.0,1061575000.0,17970777600.0,9.893062439203238
