date,close price,DGX_SHE,DGX_TA,DGX_TL,market cap,PB Ratio
2016-08-03,85.65,4537000000.0,10109000000.0,5572000000.0,12247950000.0,2.6995702005730657
2016-08-04,85.8,4537000000.0,10109000000.0,5572000000.0,12269400000.0,2.704297994269341
2016-08-05,85.68,4537000000.0,10109000000.0,5572000000.0,12252240000.000002,2.7005157593123212
2016-08-08,84.93,4537000000.0,10109000000.0,5572000000.0,12144990000.000002,2.676876790830946
2016-08-09,85.52,4537000000.0,10109000000.0,5572000000.0,12229360000.0,2.6954727793696276
2016-08-10,85.36,4537000000.0,10109000000.0,5572000000.0,12206480000.0,2.690429799426934
2016-08-11,86.06,4537000000.0,10109000000.0,5572000000.0,12306580000.0,2.7124928366762178
2016-08-12,85.79,4537000000.0,10109000000.0,5572000000.0,12267970000.0,2.7039828080229227
2016-08-15,85.68,4537000000.0,10109000000.0,5572000000.0,12252240000.000002,2.7005157593123212
2016-08-16,85.25,4537000000.0,10109000000.0,5572000000.0,12190750000.0,2.6869627507163325
2016-08-17,84.69,4537000000.0,10109000000.0,5572000000.0,12110670000.0,2.6693123209169056
2016-08-18,85.18,4537000000.0,10109000000.0,5572000000.0,12180740000.000002,2.6847564469914045
2016-08-19,84.91,4537000000.0,10109000000.0,5572000000.0,12142130000.0,2.676246418338109
2016-08-22,85.1,4537000000.0,10109000000.0,5572000000.0,12169300000.0,2.682234957020057
2016-08-23,84.48,4537000000.0,10109000000.0,5572000000.0,12080640000.0,2.66269340974212
2016-08-24,83.45,4537000000.0,10109000000.0,5572000000.0,11933350000.0,2.6302292263610316
2016-08-25,83.17,4537000000.0,10109000000.0,5572000000.0,11893310000.0,2.621404011461318
2016-08-26,82.98,4537000000.0,10109000000.0,5572000000.0,11866140000.0,2.6154154727793695
2016-08-29,84.33,4537000000.0,10109000000.0,5572000000.0,12059190000.0,2.6579656160458454
2016-08-30,83.54,4537000000.0,10109000000.0,5572000000.0,11946220000.0,2.6330659025787964
2016-08-31,82.82,4537000000.0,10109000000.0,5572000000.0,11843259999.999998,2.610372492836676
2016-09-01,82.36,4537000000.0,10109000000.0,5572000000.0,11777480000.0,2.5958739255014325
2016-09-02,83.04,4537000000.0,10109000000.0,5572000000.0,11874720000.0,2.6173065902578796
2016-09-06,83.34,4537000000.0,10109000000.0,5572000000.0,11917620000.0,2.6267621776504297
2016-09-07,84.26,4537000000.0,10109000000.0,5572000000.0,12049180000.0,2.655759312320917
2016-09-08,84.13,4537000000.0,10109000000.0,5572000000.0,12030590000.0,2.6516618911174783
2016-09-09,80.92,4537000000.0,10109000000.0,5572000000.0,11571560000.0,2.550487106017192
2016-09-12,82.27,4537000000.0,10109000000.0,5572000000.0,11764610000.0,2.5930372492836677
2016-09-13,82.31,4537000000.0,10109000000.0,5572000000.0,11770330000.0,2.594297994269341
2016-09-14,82.09,4537000000.0,10109000000.0,5572000000.0,11738870000.0,2.5873638968481374
2016-09-15,83.05,4537000000.0,10109000000.0,5572000000.0,11876150000.0,2.617621776504298
2016-09-16,83.25,4537000000.0,10109000000.0,5572000000.0,11904750000.0,2.6239255014326646
