date,close price,APA_SHE,APA_TA,APA_TL,market cap,PB Ratio
1991-07-19,7.03,-365000000.0,139000000.0,505000000.0,,
1991-07-22,6.98,-365000000.0,139000000.0,505000000.0,,
1991-07-23,6.87,-365000000.0,139000000.0,505000000.0,,
1991-07-24,6.87,-365000000.0,139000000.0,505000000.0,,
1991-07-25,6.93,-365000000.0,139000000.0,505000000.0,,
1991-07-26,6.98,-365000000.0,139000000.0,505000000.0,,
1991-07-29,7.03,-365000000.0,139000000.0,505000000.0,,
1991-07-30,6.98,-365000000.0,139000000.0,505000000.0,,
1991-07-31,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-01,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-02,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-05,7.2,-365000000.0,139000000.0,505000000.0,,
1991-08-06,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-07,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-08,7.14,-365000000.0,139000000.0,505000000.0,,
1991-08-09,7.14,-365000000.0,139000000.0,505000000.0,,
1991-08-12,7.14,-365000000.0,139000000.0,505000000.0,,
1991-08-13,7.14,-365000000.0,139000000.0,505000000.0,,
1991-08-14,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-15,7.14,-365000000.0,139000000.0,505000000.0,,
1991-08-16,7.09,-365000000.0,139000000.0,505000000.0,,
1991-08-19,6.93,-365000000.0,139000000.0,505000000.0,,
1991-08-20,6.87,-365000000.0,139000000.0,505000000.0,,
1991-08-21,7.03,-365000000.0,139000000.0,505000000.0,,
1991-08-22,7.25,-365000000.0,139000000.0,505000000.0,,
1991-08-23,7.47,-365000000.0,139000000.0,505000000.0,,
1991-08-26,7.31,-365000000.0,139000000.0,505000000.0,,
1991-08-27,7.68,-365000000.0,139000000.0,505000000.0,,
1991-08-28,7.85,-365000000.0,139000000.0,505000000.0,,
1991-08-29,8.01,-365000000.0,139000000.0,505000000.0,,
1991-08-30,7.9,-365000000.0,139000000.0,505000000.0,,
1991-09-03,7.68,-365000000.0,139000000.0,505000000.0,,
1991-09-04,7.79,-365000000.0,139000000.0,505000000.0,,
1991-09-05,7.41,-365000000.0,139000000.0,505000000.0,,
1991-09-06,7.58,-365000000.0,139000000.0,505000000.0,,
1991-09-09,7.68,-365000000.0,139000000.0,505000000.0,,
1991-09-10,7.68,-365000000.0,139000000.0,505000000.0,,
1991-09-11,7.63,-365000000.0,139000000.0,505000000.0,,
1991-09-12,7.68,-365000000.0,139000000.0,505000000.0,,
1991-09-13,7.63,-365000000.0,139000000.0,505000000.0,,
1991-09-16,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-17,7.9,-365000000.0,139000000.0,505000000.0,,
1991-09-18,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-19,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-20,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-23,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-24,7.79,-365000000.0,139000000.0,505000000.0,,
1991-09-25,7.95,-365000000.0,139000000.0,505000000.0,,
1991-09-26,8.01,-365000000.0,139000000.0,505000000.0,,
1991-09-27,8.01,-365000000.0,139000000.0,505000000.0,,
1991-09-30,7.9,-365000000.0,139000000.0,505000000.0,,
1991-10-01,8.01,-365000000.0,139000000.0,505000000.0,,
1991-10-02,8.17,-365000000.0,139000000.0,505000000.0,,
1991-10-03,7.9,-365000000.0,139000000.0,505000000.0,,
1991-10-04,8.12,-365000000.0,139000000.0,505000000.0,,
1991-10-07,8.12,-365000000.0,139000000.0,505000000.0,,
1991-10-08,8.06,-365000000.0,139000000.0,505000000.0,,
1991-10-09,8.01,-365000000.0,139000000.0,505000000.0,,
1991-10-10,8.23,-365000000.0,139000000.0,505000000.0,,
1991-10-11,8.33,-365000000.0,139000000.0,505000000.0,,
1991-10-14,8.66,-365000000.0,139000000.0,505000000.0,,
1991-10-15,8.77,-365000000.0,139000000.0,505000000.0,,
1991-10-16,8.66,-365000000.0,139000000.0,505000000.0,,
1991-10-17,8.39,-365000000.0,139000000.0,505000000.0,,
1991-10-18,8.5,-365000000.0,139000000.0,505000000.0,,
1991-10-21,8.33,-365000000.0,139000000.0,505000000.0,,
1991-10-22,8.28,-365000000.0,139000000.0,505000000.0,,
1991-10-23,8.28,-365000000.0,139000000.0,505000000.0,,
1991-10-24,8.28,-365000000.0,139000000.0,505000000.0,,
1991-10-25,8.12,-365000000.0,139000000.0,505000000.0,,
1991-10-28,8.23,-365000000.0,139000000.0,505000000.0,,
1991-10-29,8.44,-365000000.0,139000000.0,505000000.0,,
1991-10-30,8.71,-365000000.0,139000000.0,505000000.0,,
1991-10-31,8.6,-365000000.0,139000000.0,505000000.0,,
1991-11-01,8.6,-365000000.0,139000000.0,505000000.0,,
1991-11-04,8.55,-365000000.0,139000000.0,505000000.0,,
1991-11-05,8.93,-365000000.0,139000000.0,505000000.0,,
1991-11-06,8.44,-365000000.0,139000000.0,505000000.0,,
1991-11-07,8.6,-365000000.0,139000000.0,505000000.0,,
1991-11-08,8.44,-365000000.0,139000000.0,505000000.0,,
1991-11-11,8.23,-365000000.0,139000000.0,505000000.0,,
1991-11-12,8.28,-365000000.0,139000000.0,505000000.0,,
1991-11-13,8.44,-365000000.0,139000000.0,505000000.0,,
1991-11-14,8.39,-365000000.0,139000000.0,505000000.0,,
1991-11-15,8.12,-365000000.0,139000000.0,505000000.0,,
1991-11-18,7.68,-365000000.0,139000000.0,505000000.0,,
1991-11-19,7.63,-365000000.0,139000000.0,505000000.0,,
1991-11-20,7.68,-365000000.0,139000000.0,505000000.0,,
1991-11-21,7.58,-365000000.0,139000000.0,505000000.0,,
1991-11-22,7.52,-365000000.0,139000000.0,505000000.0,,
1991-11-25,7.41,-365000000.0,139000000.0,505000000.0,,
1991-11-26,7.36,-365000000.0,139000000.0,505000000.0,,
1991-11-27,7.36,-365000000.0,139000000.0,505000000.0,,
1991-11-29,7.2,-365000000.0,139000000.0,505000000.0,,
1991-12-02,7.14,-365000000.0,139000000.0,505000000.0,,
1991-12-03,6.93,-365000000.0,139000000.0,505000000.0,,
1991-12-04,6.93,-365000000.0,139000000.0,505000000.0,,
1991-12-05,6.87,-365000000.0,139000000.0,505000000.0,,
1991-12-06,7.03,-365000000.0,139000000.0,505000000.0,,
1991-12-09,7.03,-365000000.0,139000000.0,505000000.0,,
1991-12-10,6.76,-365000000.0,139000000.0,505000000.0,,
1991-12-11,6.33,-365000000.0,139000000.0,505000000.0,,
1991-12-12,6.66,-365000000.0,139000000.0,505000000.0,,
1991-12-13,6.82,-365000000.0,139000000.0,505000000.0,,
1991-12-16,6.93,-365000000.0,139000000.0,505000000.0,,
1991-12-17,6.98,-365000000.0,139000000.0,505000000.0,,
1991-12-18,7.09,-365000000.0,139000000.0,505000000.0,,
1991-12-19,6.66,-365000000.0,139000000.0,505000000.0,,
1991-12-20,6.66,-365000000.0,139000000.0,505000000.0,,
1991-12-23,6.6,-365000000.0,139000000.0,505000000.0,,
1991-12-24,6.6,-365000000.0,139000000.0,505000000.0,,
1991-12-26,6.87,-365000000.0,139000000.0,505000000.0,,
1991-12-27,6.87,-365000000.0,139000000.0,505000000.0,,
1991-12-30,6.82,-365000000.0,139000000.0,505000000.0,,
1991-12-31,6.87,-365000000.0,139000000.0,505000000.0,,
1992-01-02,6.71,-365000000.0,139000000.0,505000000.0,,
1992-01-03,6.66,-365000000.0,139000000.0,505000000.0,,
1992-01-06,6.55,-365000000.0,139000000.0,505000000.0,,
1992-01-07,6.22,-365000000.0,139000000.0,505000000.0,,
1992-01-08,6.11,-365000000.0,139000000.0,505000000.0,,
1992-01-09,6.01,-365000000.0,139000000.0,505000000.0,,
1992-01-10,5.95,-365000000.0,139000000.0,505000000.0,,
1992-01-13,6.11,-365000000.0,139000000.0,505000000.0,,
1992-01-14,6.22,-365000000.0,139000000.0,505000000.0,,
1992-01-15,6.01,-365000000.0,139000000.0,505000000.0,,
1992-01-16,6.06,-365000000.0,139000000.0,505000000.0,,
1992-01-17,6.22,-365000000.0,139000000.0,505000000.0,,
1992-01-20,6.33,-365000000.0,139000000.0,505000000.0,,
1992-01-21,6.28,-365000000.0,139000000.0,505000000.0,,
1992-01-22,6.55,-365000000.0,139000000.0,505000000.0,,
1992-01-23,6.55,-365000000.0,139000000.0,505000000.0,,
1992-01-24,6.28,-365000000.0,139000000.0,505000000.0,,
1992-01-27,5.9,-365000000.0,139000000.0,505000000.0,,
1992-01-28,5.95,-365000000.0,139000000.0,505000000.0,,
1992-01-29,5.9,-365000000.0,139000000.0,505000000.0,,
1992-01-30,5.79,-365000000.0,139000000.0,505000000.0,,
1992-01-31,5.79,-365000000.0,139000000.0,505000000.0,,
1992-02-03,5.74,-365000000.0,139000000.0,505000000.0,,
1992-02-04,6.06,-365000000.0,139000000.0,505000000.0,,
1992-02-05,6.01,-365000000.0,139000000.0,505000000.0,,
1992-02-06,6.01,-365000000.0,139000000.0,505000000.0,,
1992-02-07,6.01,-365000000.0,139000000.0,505000000.0,,
1992-02-10,5.84,-365000000.0,139000000.0,505000000.0,,
1992-02-11,5.84,-365000000.0,139000000.0,505000000.0,,
1992-02-12,6.06,-365000000.0,139000000.0,505000000.0,,
1992-02-13,5.9,-365000000.0,139000000.0,505000000.0,,
1992-02-14,5.74,-365000000.0,139000000.0,505000000.0,,
1992-02-18,5.68,-365000000.0,139000000.0,505000000.0,,
1992-02-19,5.63,-365000000.0,139000000.0,505000000.0,,
1992-02-20,5.74,-365000000.0,139000000.0,505000000.0,,
1992-02-21,5.63,-365000000.0,139000000.0,505000000.0,,
1992-02-24,5.47,-365000000.0,139000000.0,505000000.0,,
1992-02-25,5.36,-365000000.0,139000000.0,505000000.0,,
1992-02-26,5.57,-365000000.0,139000000.0,505000000.0,,
1992-02-27,5.57,-365000000.0,139000000.0,505000000.0,,
1992-02-28,5.41,-365000000.0,139000000.0,505000000.0,,
1992-03-02,5.3,-365000000.0,139000000.0,505000000.0,,
1992-03-03,5.3,-365000000.0,139000000.0,505000000.0,,
1992-03-04,5.36,-365000000.0,139000000.0,505000000.0,,
1992-03-05,5.36,-365000000.0,139000000.0,505000000.0,,
1992-03-06,5.52,-365000000.0,139000000.0,505000000.0,,
1992-03-09,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-10,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-11,5.57,-365000000.0,139000000.0,505000000.0,,
1992-03-12,5.57,-365000000.0,139000000.0,505000000.0,,
1992-03-13,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-16,5.74,-365000000.0,139000000.0,505000000.0,,
1992-03-17,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-18,5.74,-365000000.0,139000000.0,505000000.0,,
1992-03-19,5.79,-365000000.0,139000000.0,505000000.0,,
1992-03-20,5.84,-365000000.0,139000000.0,505000000.0,,
1992-03-23,5.84,-365000000.0,139000000.0,505000000.0,,
1992-03-24,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-25,5.63,-365000000.0,139000000.0,505000000.0,,
1992-03-26,5.84,-365000000.0,139000000.0,505000000.0,,
1992-03-27,6.28,-365000000.0,139000000.0,505000000.0,,
1992-03-30,6.33,-365000000.0,139000000.0,505000000.0,,
1992-03-31,6.22,-365000000.0,139000000.0,505000000.0,,
1992-04-01,6.11,-365000000.0,139000000.0,505000000.0,,
1992-04-02,6.11,-365000000.0,139000000.0,505000000.0,,
1992-04-03,6.17,-365000000.0,139000000.0,505000000.0,,
1992-04-06,6.76,-365000000.0,139000000.0,505000000.0,,
1992-04-07,6.66,-365000000.0,139000000.0,505000000.0,,
1992-04-08,6.6,-365000000.0,139000000.0,505000000.0,,
1992-04-09,6.76,-365000000.0,139000000.0,505000000.0,,
1992-04-10,6.55,-365000000.0,139000000.0,505000000.0,,
1992-04-13,6.71,-365000000.0,139000000.0,505000000.0,,
1992-04-14,6.44,-365000000.0,139000000.0,505000000.0,,
1992-04-15,6.49,-365000000.0,139000000.0,505000000.0,,
1992-04-16,6.55,-365000000.0,139000000.0,505000000.0,,
1992-04-20,6.6,-365000000.0,139000000.0,505000000.0,,
1992-04-21,6.76,-365000000.0,139000000.0,505000000.0,,
1992-04-22,6.66,-365000000.0,139000000.0,505000000.0,,
1992-04-23,6.82,-365000000.0,139000000.0,505000000.0,,
1992-04-24,7.2,-365000000.0,139000000.0,505000000.0,,
1992-04-27,7.14,-365000000.0,139000000.0,505000000.0,,
1992-04-28,7.03,-365000000.0,139000000.0,505000000.0,,
1992-04-29,7.03,-365000000.0,139000000.0,505000000.0,,
1992-04-30,7.2,-365000000.0,139000000.0,505000000.0,,
1992-05-01,7.09,-365000000.0,139000000.0,505000000.0,,
1992-05-04,7.09,-365000000.0,139000000.0,505000000.0,,
1992-05-05,7.03,-365000000.0,139000000.0,505000000.0,,
1992-05-06,7.14,-365000000.0,139000000.0,505000000.0,,
1992-05-07,6.93,-365000000.0,139000000.0,505000000.0,,
1992-05-08,6.98,-365000000.0,139000000.0,505000000.0,,
1992-05-11,6.82,-365000000.0,139000000.0,505000000.0,,
1992-05-12,6.82,-365000000.0,139000000.0,505000000.0,,
1992-05-13,6.87,-365000000.0,139000000.0,505000000.0,,
1992-05-14,6.98,-365000000.0,139000000.0,505000000.0,,
1992-05-15,7.25,-365000000.0,139000000.0,505000000.0,,
1992-05-18,7.25,-365000000.0,139000000.0,505000000.0,,
1992-05-19,7.2,-365000000.0,139000000.0,505000000.0,,
1992-05-20,7.2,-365000000.0,139000000.0,505000000.0,,
1992-05-21,7.25,-365000000.0,139000000.0,505000000.0,,
1992-05-22,7.14,-365000000.0,139000000.0,505000000.0,,
1992-05-26,7.79,-365000000.0,139000000.0,505000000.0,,
1992-05-27,7.47,-365000000.0,139000000.0,505000000.0,,
1992-05-28,7.41,-365000000.0,139000000.0,505000000.0,,
1992-05-29,7.63,-365000000.0,139000000.0,505000000.0,,
1992-06-01,7.74,-365000000.0,139000000.0,505000000.0,,
1992-06-02,7.58,-365000000.0,139000000.0,505000000.0,,
1992-06-03,7.58,-365000000.0,139000000.0,505000000.0,,
1992-06-04,7.58,-365000000.0,139000000.0,505000000.0,,
1992-06-05,7.58,-365000000.0,139000000.0,505000000.0,,
1992-06-08,7.63,-365000000.0,139000000.0,505000000.0,,
1992-06-09,7.47,-365000000.0,139000000.0,505000000.0,,
1992-06-10,7.36,-365000000.0,139000000.0,505000000.0,,
1992-06-11,7.36,-365000000.0,139000000.0,505000000.0,,
1992-06-12,7.52,-365000000.0,139000000.0,505000000.0,,
1992-06-15,7.41,-365000000.0,139000000.0,505000000.0,,
1992-06-16,7.25,-365000000.0,139000000.0,505000000.0,,
1992-06-17,6.82,-365000000.0,139000000.0,505000000.0,,
1992-06-18,6.98,-365000000.0,139000000.0,505000000.0,,
1992-06-19,7.03,-365000000.0,139000000.0,505000000.0,,
1992-06-22,6.76,-365000000.0,139000000.0,505000000.0,,
1992-06-23,6.87,-365000000.0,139000000.0,505000000.0,,
1992-06-24,7.03,-365000000.0,139000000.0,505000000.0,,
1992-06-25,6.93,-365000000.0,139000000.0,505000000.0,,
1992-06-26,6.71,-365000000.0,139000000.0,505000000.0,,
1992-06-29,6.66,-365000000.0,139000000.0,505000000.0,,
1992-06-30,6.87,-365000000.0,139000000.0,505000000.0,,
1992-07-01,6.82,-365000000.0,139000000.0,505000000.0,,
1992-07-02,6.76,-365000000.0,139000000.0,505000000.0,,
1992-07-06,6.76,-365000000.0,139000000.0,505000000.0,,
