date,NTRS,NTRS_SHE,PB Ratio
2014-09-25,16215001383.68,8042600000.0,2.016139231551986
2014-09-26,16350761530.400002,8042600000.0,2.0330193631910083
2014-09-29,16250727738.080002,8042600000.0,2.020581371456992
2014-09-30,16203092598.880001,8042600000.0,2.014658518250317
2014-10-01,15989064351.300001,8042600000.0,1.9880466952602394
2014-10-02,16015213579.35,8042600000.0,1.9912980353803498
2014-10-03,16193503770.6,8042600000.0,2.0134662634720115
2014-10-06,16217275796.1,8042600000.0,2.0164220272175664
2014-10-07,15846432198.3,8042600000.0,1.9703121127869097
2014-10-08,16017590781.9,8042600000.0,1.9915936117549051
2014-10-09,15556413487.199999,8042600000.0,1.9342517950911395
2014-10-10,15344842460.25,8042600000.0,1.9079454977557009
2014-10-13,15166552269.0,8042600000.0,1.885777269664039
2014-10-14,15164175066.449999,8042600000.0,1.8854816932894833
2014-10-15,14878910760.45,8042600000.0,1.8500125283428246
2014-10-16,14919323203.8,8042600000.0,1.8550373267102678
2014-10-17,15047692141.5,8042600000.0,1.8709984509362645
2014-10-20,15121385420.55,8042600000.0,1.8801613185474846
2014-10-21,15563545094.85,8042600000.0,1.9351385242148063
2014-10-22,14714883784.5,8042600000.0,1.8296177584984956
2014-10-23,14943095229.3,8042600000.0,1.8579930904558226
2014-10-24,15128517028.2,8042600000.0,1.8810480476711513
2014-10-27,15128517028.2,8042600000.0,1.8810480476711513
2014-10-28,15256885965.900002,8042600000.0,1.8970091718971478
2014-10-29,15475588600.499998,8042600000.0,1.9242021983562527
2014-10-30,15506492233.650002,8042600000.0,1.9280446912254745
2014-10-31,15760852906.5,8542600000.0,1.844971426322197
2014-11-03,15639615576.45,8542600000.0,1.830779338427411
2014-11-04,15668142007.05,8542600000.0,1.834118653226184
2014-11-05,15758475703.95,8542600000.0,1.844693150088966
2014-11-06,15886844641.65,8542600000.0,1.8597200666834452
2014-11-07,15903485059.500002,8542600000.0,1.8616680003160633
2014-11-10,15981932743.650002,8542600000.0,1.8708511160126895
2014-11-11,16065134832.9,8542600000.0,1.8805907841757779
2014-11-12,16131696504.3,8542600000.0,1.8883825187062486
2014-11-13,16050871617.599998,8542600000.0,1.878921126776391
2014-11-14,16115056086.45,8542600000.0,1.886434585073631
2014-11-17,16124564896.65,8542600000.0,1.8875476900065553
2014-11-18,16193503770.6,8542600000.0,1.8956177007702573
2014-11-19,16198258175.7,8542600000.0,1.8961742532367196
2014-11-20,16238670619.050001,8542600000.0,1.9009049492016483
2014-11-21,16145959719.6,8542600000.0,1.8900521761056353
2014-11-24,16103170073.699999,8542600000.0,1.8850432039074754
2014-11-25,16129319301.749998,8542600000.0,1.8881042424730174
2014-11-26,16072266440.55,8542600000.0,1.8814256128754712
2014-11-28,16100792871.150002,8542600000.0,1.8847649276742446
2014-12-01,15874958628.9,8542600000.0,1.8583286855172898
2014-12-02,16086529655.85,8542600000.0,1.8830952702748578
2014-12-03,16126942099.2,8542600000.0,1.8878259662397865
2014-12-04,16053248820.15,8542600000.0,1.8791994030096224
2014-12-05,16250556631.8,8542600000.0,1.9022963303678035
2014-12-08,16324249910.85,8542600000.0,1.9109228935979679
2014-12-09,16255311036.9,8542600000.0,1.902852882834266
2014-12-10,15948651907.95,8542600000.0,1.866955248747454
2014-12-11,15893976249.3,8542600000.0,1.8605548953831386
2014-12-12,15665764804.500002,8542600000.0,1.8338403769929532
2014-12-15,15606334740.750002,8542600000.0,1.8268834711621758
2014-12-16,15387632106.150002,8542600000.0,1.8012820577049145
2014-12-17,15775116121.8,8542600000.0,1.8466410837215834
2014-12-18,16172108947.65,8542600000.0,1.8931132146711773
2014-12-19,15998573161.5,8542600000.0,1.872799049645307
2014-12-22,16131696504.3,8542600000.0,1.8883825187062486
2014-12-23,16331381518.5,8542600000.0,1.9117577222976612
2014-12-24,16243425024.15,8542600000.0,1.9014615016681105
2014-12-26,16200635378.250002,8542600000.0,1.8964525294699508
2014-12-29,16238670619.050001,8542600000.0,1.9009049492016483
2014-12-30,16183994960.4,8542600000.0,1.8945045958373328
2014-12-31,16022345187.000002,8542600000.0,1.8755818119776182
2015-01-02,15893751347.25,8542600000.0,1.8605285682637605
2015-01-05,15310235383.649998,8542600000.0,1.7922219679781328
