date,close price,ADI_SHE,ADI_TA,ADI_TL,market cap,PB Ratio
2017-08-03,77.94,9967000000.0,26623000000.0,16656000000.0,27316722960.0,2.740716660981238
2017-08-04,77.78,9967000000.0,26623000000.0,16656000000.0,27260645520.0,2.735090350155513
2017-08-07,78.87,9967000000.0,26623000000.0,16656000000.0,27642673080.0,2.773419592655764
2017-08-08,78.97,9967000000.0,26623000000.0,16656000000.0,27677721480.0,2.776936036921842
2017-08-09,77.98,9967000000.0,26623000000.0,16656000000.0,27330742320.0,2.7421232386876695
2017-08-10,76.83,9967000000.0,26623000000.0,16656000000.0,26927685720.0,2.701684129627772
2017-08-11,78.04,9967000000.0,26623000000.0,16656000000.0,27351771360.000004,2.7442331052473166
2017-08-14,79.9,9967000000.0,26623000000.0,16656000000.0,28003671600.000004,2.8096389685963685
2017-08-15,79.96,9967000000.0,26623000000.0,16656000000.0,28024700639.999996,2.8117488351560143
2017-08-16,80.06,9967000000.0,26623000000.0,16656000000.0,28059749040.0,2.8152652794220927
2017-08-17,77.56,9967000000.0,26623000000.0,16656000000.0,27183539040.0,2.7273541727701414
2017-08-18,77.74,9967000000.0,26623000000.0,16656000000.0,27246626160.0,2.733683772449082
2017-08-21,77.7,9967000000.0,26623000000.0,16656000000.0,27232606800.0,2.7322771947426507
2017-08-22,79.17,9967000000.0,26623000000.0,16656000000.0,27747818280.0,2.783968925453998
2017-08-23,79.07,9967000000.0,26623000000.0,16656000000.0,27712769879.999996,2.7804524811879197
2017-08-24,79.27,9967000000.0,26623000000.0,16656000000.0,27782866680.0,2.787485369720076
2017-08-25,78.97,9967000000.0,26623000000.0,16656000000.0,27677721480.0,2.776936036921842
2017-08-28,79.44,9967000000.0,26623000000.0,16656000000.0,27842448960.0,2.793463324972409
2017-08-29,79.55,9967000000.0,26623000000.0,16656000000.0,27881002200.0,2.797331413665095
2017-08-30,83.72,9923000000.0,21115000000.0,11192000000.0,29342520480.0,2.9570211105512447
2017-08-31,83.67,9923000000.0,21115000000.0,11192000000.0,29324996280.0,2.955255092210017
2017-09-01,84.38,9923000000.0,21115000000.0,11192000000.0,29573839920.0,2.980332552655447
2017-09-05,83.0,9923000000.0,21115000000.0,11192000000.0,29090172000.0,2.9315904464375695
2017-09-06,82.51,9923000000.0,21115000000.0,11192000000.0,28918434840.0,2.9142834666935404
2017-09-07,81.1,9923000000.0,21115000000.0,11192000000.0,28424252399.999996,2.864481749470926
2017-09-08,80.44,9923000000.0,21115000000.0,11192000000.0,28192932960.0,2.8411703073667236
2017-09-11,82.22,9923000000.0,21115000000.0,11192000000.0,28816794480.0,2.9040405603144213
2017-09-12,82.15,9923000000.0,21115000000.0,11192000000.0,28792260600.000004,2.901568134636703
2017-09-13,82.06,9923000000.0,21115000000.0,11192000000.0,28760717040.0,2.898389301622493
2017-09-14,82.34,9923000000.0,21115000000.0,11192000000.0,28858852560.0,2.908279004333367
2017-09-15,83.84,9923000000.0,21115000000.0,11192000000.0,29384578560.0,2.9612595545701903
2017-09-18,85.17,9923000000.0,21115000000.0,11192000000.0,29850722280.0,3.0082356424468406
2017-09-19,85.24,9923000000.0,21115000000.0,11192000000.0,29875256160.0,3.010708068124559
2017-09-20,83.69,9923000000.0,21115000000.0,11192000000.0,29332005960.0,2.955961499546508
2017-09-21,84.24,9923000000.0,21115000000.0,11192000000.0,29524772160.0,2.97538770130001
2017-09-22,84.92,9923000000.0,21115000000.0,11192000000.0,29763101280.0,2.9994055507407036
2017-09-25,83.88,9923000000.0,21115000000.0,11192000000.0,29398597920.0,2.9626723692431725
2017-09-26,83.91,9923000000.0,21115000000.0,11192000000.0,29409112440.0,2.9637319802479087
2017-09-27,84.92,9923000000.0,21115000000.0,11192000000.0,29763101280.0,2.9994055507407036
2017-09-28,85.64,9923000000.0,21115000000.0,11192000000.0,30015449760.0,3.024836214854379
2017-09-29,86.17,9923000000.0,21115000000.0,11192000000.0,30201206280.0,3.0435560092713896
2017-10-02,85.82,9923000000.0,21115000000.0,11192000000.0,30078536879.999996,3.031193880882797
2017-10-03,85.9,9923000000.0,21115000000.0,11192000000.0,30106575600.000004,3.0340195102287617
2017-10-04,87.0,9923000000.0,21115000000.0,11192000000.0,30492108000.0,3.0728719137357654
2017-10-05,87.89,9923000000.0,21115000000.0,11192000000.0,30804038760.0,3.1043070402096142
2017-10-06,87.87,9923000000.0,21115000000.0,11192000000.0,30797029080.0,3.103600632873123
2017-10-09,87.71,9923000000.0,21115000000.0,11192000000.0,30740951639.999996,3.0979493741811948
2017-10-10,87.99,9923000000.0,21115000000.0,11192000000.0,30839087160.0,3.107839076892069
2017-10-11,88.57,9923000000.0,21115000000.0,11192000000.0,31042367879.999996,3.128324889650307
2017-10-12,88.83,9923000000.0,21115000000.0,11192000000.0,31133493720.0,3.13750818502469
2017-10-13,89.06,9923000000.0,21115000000.0,11192000000.0,31214105040.0,3.1456318693943364
2017-10-16,88.83,9923000000.0,21115000000.0,11192000000.0,31133493720.0,3.13750818502469
2017-10-17,88.94,9923000000.0,21115000000.0,11192000000.0,31172046960.0,3.1413934253753903
2017-10-18,89.0,9923000000.0,21115000000.0,11192000000.0,31193076000.0,3.1435126473848634
2017-10-19,88.8,9923000000.0,21115000000.0,11192000000.0,31122979200.0,3.1364485740199535
2017-10-20,88.93,9923000000.0,21115000000.0,11192000000.0,31168542120.000004,3.1410402217071454
2017-10-23,88.77,9923000000.0,21115000000.0,11192000000.0,31112464680.0,3.135388963015217
2017-10-24,90.29,9923000000.0,21115000000.0,11192000000.0,31645200360.000004,3.189075920588532
2017-10-25,89.86,9923000000.0,21115000000.0,11192000000.0,31494492240.0,3.1738881628539755
2017-10-26,90.56,9923000000.0,21115000000.0,11192000000.0,31739831040.0,3.19861241963116
2017-10-27,91.21,9923000000.0,21115000000.0,11192000000.0,31967645639.999996,3.2215706580671166
2017-10-30,91.32,9923000000.0,21115000000.0,11192000000.0,34170939479.999996,3.4436097430212635
2017-10-31,91.3,9923000000.0,21115000000.0,11192000000.0,34163455700.0,3.4428555577950215
2017-11-01,90.99,9923000000.0,21115000000.0,11192000000.0,34047457109.999996,3.4311656867882694
2017-11-02,90.79,9923000000.0,21115000000.0,11192000000.0,33972619310.000004,3.4236238345258494
2017-11-03,91.81,9923000000.0,21115000000.0,11192000000.0,34354292090.0,3.4620872810641945
2017-11-06,92.28,9923000000.0,21115000000.0,11192000000.0,34530160920.0,3.479810633880883
2017-11-07,91.9,9923000000.0,21115000000.0,11192000000.0,34387969100.0,3.4654811145822837
2017-11-08,92.0,9923000000.0,21115000000.0,11192000000.0,34425388000.0,3.469252040713494
2017-11-09,89.7,9923000000.0,21115000000.0,11192000000.0,33564753300.0,3.3825207396956567
2017-11-10,89.59,9923000000.0,21115000000.0,11192000000.0,33523592510.0,3.378372720951325
2017-11-13,90.03,9923000000.0,21115000000.0,11192000000.0,33688235670.0,3.3949647959286504
2017-11-14,90.44,9923000000.0,21115000000.0,11192000000.0,33841653160.0,3.4104255930666127
2017-11-15,89.16,9923000000.0,21115000000.0,11192000000.0,33362691240.0,3.3621577385871206
2017-11-16,90.48,9923000000.0,21115000000.0,11192000000.0,33856620720.0,3.411933963519097
2017-11-17,90.42,9923000000.0,21115000000.0,11192000000.0,33834169380.0,3.4096714078403707
2017-11-20,93.07,9923000000.0,21115000000.0,11192000000.0,34825770230.0,3.509600950317444
2017-11-21,90.19,9923000000.0,21115000000.0,11192000000.0,33748105910.0,3.400998277738587
2017-11-22,88.65,10162000000.0,21141000000.0,10980000000.0,33171854850.000004,3.2643037640228307
2017-11-24,89.15,10162000000.0,21141000000.0,10980000000.0,33358949350.000004,3.282714952765204
2017-11-27,87.45,10162000000.0,21141000000.0,10980000000.0,32722828050.0,3.2201169110411336
2017-11-28,87.07,10162000000.0,21141000000.0,10980000000.0,32580636229.999996,3.2061244075969295
2017-11-29,85.66,10162000000.0,21141000000.0,10980000000.0,32053029740.0,3.1542048553434365
2017-11-30,86.11,10162000000.0,21141000000.0,10980000000.0,32221414790.0,3.1707749252115724
2017-12-01,85.4,10162000000.0,21141000000.0,10980000000.0,31955740600.000004,3.1446310371974024
2017-12-04,84.79,10162000000.0,21141000000.0,10980000000.0,31727485310.000004,3.1221693869317066
2017-12-05,84.83,10162000000.0,21141000000.0,10980000000.0,31742452870.0,3.123642282031096
2017-12-06,85.41,10162000000.0,21141000000.0,10980000000.0,31959482490.0,3.1449992609722495
2017-12-07,86.11,10162000000.0,21141000000.0,10980000000.0,32221414790.0,3.1707749252115724
2017-12-08,85.52,10162000000.0,21141000000.0,10980000000.0,32000643280.0,3.1490497224955716
2017-12-11,85.8,10162000000.0,21141000000.0,10980000000.0,32105416200.0,3.159359988191301
2017-12-12,85.48,10162000000.0,21141000000.0,10980000000.0,31985675720.0,3.1475768273961817
2017-12-13,85.18,10162000000.0,21141000000.0,10980000000.0,31873419020.000004,3.136530114150758
2017-12-14,85.44,10162000000.0,21141000000.0,10980000000.0,31970708160.0,3.146103932296792
2017-12-15,86.69,10162000000.0,21141000000.0,10980000000.0,32438444410.0,3.192131904152726
2017-12-18,88.09,10162000000.0,21141000000.0,10980000000.0,32962309010.0,3.243683232631372
2017-12-19,87.95,10162000000.0,21141000000.0,10980000000.0,32909922550.0,3.2385280997835073
2017-12-20,88.65,10162000000.0,21141000000.0,10980000000.0,33171854850.000004,3.2643037640228307
2017-12-21,88.65,10162000000.0,21141000000.0,10980000000.0,33171854850.000004,3.2643037640228307
2017-12-22,88.85,10162000000.0,21141000000.0,10980000000.0,33246692649.999996,3.271668239519779
2017-12-26,88.63,10162000000.0,21141000000.0,10980000000.0,33164371070.0,3.2635673164731354
2017-12-27,89.1,10162000000.0,21141000000.0,10980000000.0,33340239899.999996,3.2808738338909658
2017-12-28,89.38,10162000000.0,21141000000.0,10980000000.0,33445012820.0,3.2911840995866957
2017-12-29,89.03,10162000000.0,21141000000.0,10980000000.0,33314046670.0,3.278296267467034
2018-01-02,90.28,10162000000.0,21141000000.0,10980000000.0,33781782920.0,3.324324239322968
2018-01-03,91.4,10162000000.0,21141000000.0,10980000000.0,34200874600.000004,3.365565302105885
2018-01-04,91.3,10162000000.0,21141000000.0,10980000000.0,34163455700.0,3.36188306435741
2018-01-05,91.67,10162000000.0,21141000000.0,10980000000.0,34301905630.0,3.3755073440267664
2018-01-08,91.83,10162000000.0,21141000000.0,10980000000.0,34361775870.0,3.381398924424326
2018-01-09,91.64,10162000000.0,21141000000.0,10980000000.0,34290679960.0,3.374402672702224
2018-01-10,90.11,10162000000.0,21141000000.0,10980000000.0,33718170790.0,3.318064435150561
2018-01-11,91.19,10162000000.0,21141000000.0,10980000000.0,34122294910.0,3.3578326028340877
2018-01-12,92.02,10162000000.0,21141000000.0,10980000000.0,34432871780.0,3.3883951761464277
2018-01-16,93.1,10162000000.0,21141000000.0,10980000000.0,34836995900.0,3.428163343829955
2018-01-17,95.57,10162000000.0,21141000000.0,10980000000.0,35761242730.0,3.51911461621728
2018-01-18,97.24,10162000000.0,21141000000.0,10980000000.0,36386138360.0,3.580607986616808
2018-01-19,96.14,10162000000.0,21141000000.0,10980000000.0,35974530460.0,3.540103371383586
2018-01-22,96.65,10162000000.0,21141000000.0,10980000000.0,36165366850.0,3.558882783900807
2018-01-23,96.47,10162000000.0,21141000000.0,10980000000.0,36098012830.0,3.5522547559535527
2018-01-24,95.34,10162000000.0,21141000000.0,10980000000.0,35675179260.0,3.5106454693957883
2018-01-25,91.98,10162000000.0,21141000000.0,10980000000.0,34417904220.0,3.386922281047038
2018-01-26,93.84,10162000000.0,21141000000.0,10980000000.0,35113895760.0,3.4554119031686676
2018-01-29,93.78,10162000000.0,21141000000.0,10980000000.0,35091444420.0,3.453202560519583
2018-01-30,91.55,10162000000.0,21141000000.0,10980000000.0,34257002950.0,3.371088658728597
2018-01-31,91.88,10162000000.0,21141000000.0,10980000000.0,34380485320.0,3.383240043298563
2018-02-01,91.65,10162000000.0,21141000000.0,10980000000.0,34294421850.000004,3.374770896477072
2018-02-02,89.11,10162000000.0,21141000000.0,10980000000.0,33343981790.0,3.2812420576658137
2018-02-05,85.4,10162000000.0,21141000000.0,10980000000.0,31976322000.000004,3.1466563668569183
2018-02-06,88.54,10162000000.0,21141000000.0,10980000000.0,33152032200.000004,3.2623530997835077
2018-02-07,85.35,10162000000.0,21141000000.0,10980000000.0,31957600499.999996,3.1448140621924816
2018-02-08,82.68,10162000000.0,21141000000.0,10980000000.0,30957872400.000004,3.0464349931115926
2018-02-09,83.93,10162000000.0,21141000000.0,10980000000.0,31425909900.000004,3.092492609722496
2018-02-12,85.05,10162000000.0,21141000000.0,10980000000.0,31845271500.0,3.133760234205865
2018-02-13,84.34,10162000000.0,21141000000.0,10980000000.0,31579426200.0,3.107599507970872
2018-02-14,85.13,10162000000.0,21141000000.0,10980000000.0,31875225900.0,3.136707921668963
2018-02-15,85.4,10162000000.0,21141000000.0,10980000000.0,31976322000.000004,3.1466563668569183
2018-02-16,86.09,10162000000.0,21141000000.0,10980000000.0,32234678700.0,3.1720801712261366
2018-02-20,88.41,10162000000.0,21141000000.0,10980000000.0,33103356300.0,3.2575631076559732
2018-02-21,88.41,10162000000.0,21141000000.0,10980000000.0,33103356300.0,3.2575631076559732
2018-02-22,88.56,10162000000.0,21141000000.0,10980000000.0,33159520800.0,3.2630900216492815
2018-02-23,90.37,10162000000.0,21141000000.0,10980000000.0,33837239100.0,3.3297814505018697
2018-02-26,92.36,10162000000.0,21141000000.0,10980000000.0,34582354800.0,3.4031051761464277
2018-02-27,92.26,10162000000.0,21141000000.0,10980000000.0,34544911800.0,3.3994205668175557
2018-02-28,90.15,10348000000.0,20853000000.0,10506000000.0,33754864500.000004,3.261969897564747
2018-03-01,88.31,10348000000.0,20853000000.0,10506000000.0,33065913300.0,3.1953916988790105
2018-03-02,89.53,10348000000.0,20853000000.0,10506000000.0,33522717900.0,3.2395359393119443
2018-03-05,91.14,10348000000.0,20853000000.0,10506000000.0,34125550200.0,3.297791863161964
2018-03-06,91.93,10348000000.0,20853000000.0,10506000000.0,34421349900.0,3.3263770680324702
2018-03-07,92.74,10348000000.0,20853000000.0,10506000000.0,34724638200.0,3.3556859489756476
2018-03-08,92.72,10348000000.0,20853000000.0,10506000000.0,34717149600.0,3.354962272902976
2018-03-09,94.73,10348000000.0,20853000000.0,10506000000.0,35469753900.0,3.427691718206417
2018-03-12,95.53,10348000000.0,20853000000.0,10506000000.0,35769297900.0,3.4566387611132585
2018-03-13,94.66,10348000000.0,20853000000.0,10506000000.0,35443543800.0,3.425158851952068
2018-03-14,94.09,10348000000.0,20853000000.0,10506000000.0,35230118700.0,3.404534083880943
2018-03-15,93.94,10348000000.0,20853000000.0,10506000000.0,35173954200.0,3.3991065133359104
2018-03-16,94.15,10348000000.0,20853000000.0,10506000000.0,35252584500.0,3.4067051120989564
2018-03-19,93.5,10348000000.0,20853000000.0,10506000000.0,35009205000.0,3.3831856397371474
2018-03-20,92.71,10348000000.0,20853000000.0,10506000000.0,34713405300.0,3.354600434866641
