date,close price,A_SHE,A_TA,A_TL,market cap,PB Ratio
2011-03-28,31.44,3332000000.0,8044000000.0,4712000000.0,11161200000.0,3.349699879951981
2011-03-29,31.87,3332000000.0,8044000000.0,4712000000.0,11313850000.0,3.395513205282113
2011-03-30,32.25,3332000000.0,8044000000.0,4712000000.0,11448750000.0,3.435999399759904
2011-03-31,32.03,3332000000.0,8044000000.0,4712000000.0,11370650000.0,3.4125600240096037
2011-04-01,32.29,3332000000.0,8044000000.0,4712000000.0,11462950000.0,3.4402611044417766
2011-04-04,32.07,3332000000.0,8044000000.0,4712000000.0,11384850000.0,3.4168217286914766
2011-04-05,32.43,3332000000.0,8044000000.0,4712000000.0,11512650000.0,3.455177070828331
2011-04-06,32.4,3332000000.0,8044000000.0,4712000000.0,11502000000.0,3.4519807923169266
2011-04-07,32.1,3332000000.0,8044000000.0,4712000000.0,11395500000.0,3.420018007202881
2011-04-08,32.11,3332000000.0,8044000000.0,4712000000.0,11399050000.0,3.4210834333733495
2011-04-11,32.18,3332000000.0,8044000000.0,4712000000.0,11423900000.0,3.4285414165666266
2011-04-12,32.15,3332000000.0,8044000000.0,4712000000.0,11413250000.0,3.425345138055222
2011-04-13,33.33,3332000000.0,8044000000.0,4712000000.0,11832150000.0,3.551065426170468
2011-04-14,33.35,3332000000.0,8044000000.0,4712000000.0,11839250000.0,3.5531962785114044
2011-04-15,33.98,3332000000.0,8044000000.0,4712000000.0,12062899999.999998,3.6203181272508997
2011-04-18,33.32,3332000000.0,8044000000.0,4712000000.0,11828600000.0,3.55
2011-04-19,33.43,3332000000.0,8044000000.0,4712000000.0,11867650000.0,3.5617196878751503
2011-04-20,34.79,3332000000.0,8044000000.0,4712000000.0,12350450000.0,3.7066176470588235
2011-04-21,35.29,3332000000.0,8044000000.0,4712000000.0,12527950000.0,3.759888955582233
2011-04-25,34.46,3332000000.0,8044000000.0,4712000000.0,12233300000.0,3.6714585834333735
2011-04-26,35.34,3332000000.0,8044000000.0,4712000000.0,12545700000.000002,3.7652160864345743
2011-04-27,35.79,3332000000.0,8044000000.0,4712000000.0,12705450000.0,3.813160264105642
2011-04-28,35.99,3332000000.0,8044000000.0,4712000000.0,12776450000.0,3.834468787515006
2011-04-29,35.7,3332000000.0,8044000000.0,4712000000.0,12673500000.000002,3.8035714285714293
2011-05-02,36.08,3332000000.0,8044000000.0,4712000000.0,12808400000.0,3.8440576230492196
2011-05-03,36.19,3332000000.0,8044000000.0,4712000000.0,12847450000.0,3.8557773109243696
2011-05-04,35.41,3332000000.0,8044000000.0,4712000000.0,12570549999.999998,3.7726740696278505
2011-05-05,35.17,3332000000.0,8044000000.0,4712000000.0,12485350000.0,3.7471038415366147
