date,close price,GS_SHE,GS_TA,GS_TL,market cap,PB Ratio
2005-10-06,116.93,26607000000.0,669518000000.0,642911000000.0,,
2005-10-07,117.57,26607000000.0,669518000000.0,642911000000.0,,
2005-10-10,118.51,26607000000.0,669518000000.0,642911000000.0,,
2005-10-11,117.55,26607000000.0,669518000000.0,642911000000.0,,
2005-10-12,115.65,26607000000.0,669518000000.0,642911000000.0,,
2005-10-13,113.18,26607000000.0,669518000000.0,642911000000.0,,
2005-10-14,114.55,26607000000.0,669518000000.0,642911000000.0,,
2005-10-17,117.05,26607000000.0,669518000000.0,642911000000.0,,
2005-10-18,117.09,26607000000.0,669518000000.0,642911000000.0,,
2005-10-19,121.2,26607000000.0,669518000000.0,642911000000.0,,
2005-10-20,118.75,26607000000.0,669518000000.0,642911000000.0,,
2005-10-21,118.77,26607000000.0,669518000000.0,642911000000.0,,
2005-10-24,123.3,26607000000.0,669518000000.0,642911000000.0,,
2005-10-25,123.55,26607000000.0,669518000000.0,642911000000.0,,
2005-10-26,124.25,26607000000.0,669518000000.0,642911000000.0,,
2005-10-27,122.43,26607000000.0,669518000000.0,642911000000.0,,
2005-10-28,124.56,26607000000.0,669518000000.0,642911000000.0,,
2005-10-31,126.37,26607000000.0,669518000000.0,642911000000.0,,
2005-11-01,126.6,26607000000.0,669518000000.0,642911000000.0,,
2005-11-02,129.13,26607000000.0,669518000000.0,642911000000.0,,
2005-11-03,129.2,26607000000.0,669518000000.0,642911000000.0,,
2005-11-04,130.96,26607000000.0,669518000000.0,642911000000.0,,
2005-11-07,129.15,26607000000.0,669518000000.0,642911000000.0,,
2005-11-08,127.52,26607000000.0,669518000000.0,642911000000.0,,
2005-11-09,128.7,26607000000.0,669518000000.0,642911000000.0,,
2005-11-10,130.09,26607000000.0,669518000000.0,642911000000.0,,
2005-11-11,130.0,26607000000.0,669518000000.0,642911000000.0,,
2005-11-14,129.24,26607000000.0,669518000000.0,642911000000.0,,
2005-11-15,127.97,26607000000.0,669518000000.0,642911000000.0,,
2005-11-16,128.18,26607000000.0,669518000000.0,642911000000.0,,
2005-11-17,130.41,26607000000.0,669518000000.0,642911000000.0,,
2005-11-18,131.58,26607000000.0,669518000000.0,642911000000.0,,
2005-11-21,132.41,26607000000.0,669518000000.0,642911000000.0,,
2005-11-22,132.6,26607000000.0,669518000000.0,642911000000.0,,
2005-11-23,134.08,26607000000.0,669518000000.0,642911000000.0,,
2005-11-25,134.12,26607000000.0,669518000000.0,642911000000.0,,
2005-11-28,131.1,26607000000.0,669518000000.0,642911000000.0,,
2005-11-29,130.45,26607000000.0,669518000000.0,642911000000.0,,
2005-11-30,128.96,26607000000.0,669518000000.0,642911000000.0,,
2005-12-01,130.28,26607000000.0,669518000000.0,642911000000.0,,
2005-12-02,131.08,26607000000.0,669518000000.0,642911000000.0,,
2005-12-05,133.05,26607000000.0,669518000000.0,642911000000.0,,
2005-12-06,131.31,26607000000.0,669518000000.0,642911000000.0,,
2005-12-07,129.89,26607000000.0,669518000000.0,642911000000.0,,
2005-12-08,128.64,26607000000.0,669518000000.0,642911000000.0,,
2005-12-09,129.66,26607000000.0,669518000000.0,642911000000.0,,
2005-12-12,130.01,26607000000.0,669518000000.0,642911000000.0,,
2005-12-13,131.64,26607000000.0,669518000000.0,642911000000.0,,
2005-12-14,129.63,26607000000.0,669518000000.0,642911000000.0,,
2005-12-15,128.3,26607000000.0,669518000000.0,642911000000.0,,
2005-12-16,126.5,26607000000.0,669518000000.0,642911000000.0,,
2005-12-19,125.13,26607000000.0,669518000000.0,642911000000.0,,
2005-12-20,125.86,26607000000.0,669518000000.0,642911000000.0,,
2005-12-21,127.31,26607000000.0,669518000000.0,642911000000.0,,
2005-12-22,127.99,26607000000.0,669518000000.0,642911000000.0,,
2005-12-23,128.11,26607000000.0,669518000000.0,642911000000.0,,
2005-12-27,128.26,26607000000.0,669518000000.0,642911000000.0,,
2005-12-28,127.98,26607000000.0,669518000000.0,642911000000.0,,
2005-12-29,128.02,26607000000.0,669518000000.0,642911000000.0,,
2005-12-30,127.71,26607000000.0,669518000000.0,642911000000.0,,
2006-01-03,128.87,26607000000.0,669518000000.0,642911000000.0,,
2006-01-04,127.09,26607000000.0,669518000000.0,642911000000.0,,
2006-01-05,127.04,26607000000.0,669518000000.0,642911000000.0,,
2006-01-06,128.84,26607000000.0,669518000000.0,642911000000.0,,
2006-01-09,130.39,26607000000.0,669518000000.0,642911000000.0,,
2006-01-10,132.03,26607000000.0,669518000000.0,642911000000.0,,
2006-01-11,131.97,26607000000.0,669518000000.0,642911000000.0,,
2006-01-12,132.25,26607000000.0,669518000000.0,642911000000.0,,
2006-01-13,133.26,26607000000.0,669518000000.0,642911000000.0,,
2006-01-17,132.59,26607000000.0,669518000000.0,642911000000.0,,
2006-01-18,132.37,26607000000.0,669518000000.0,642911000000.0,,
2006-01-19,133.82,26607000000.0,669518000000.0,642911000000.0,,
2006-01-20,131.44,26607000000.0,669518000000.0,642911000000.0,,
2006-01-23,132.87,26607000000.0,669518000000.0,642911000000.0,,
2006-01-24,133.0,26607000000.0,669518000000.0,642911000000.0,,
2006-01-25,133.56,26607000000.0,669518000000.0,642911000000.0,,
2006-01-26,137.4,26607000000.0,669518000000.0,642911000000.0,,
2006-01-27,138.94,26607000000.0,669518000000.0,642911000000.0,,
2006-01-30,139.87,26607000000.0,669518000000.0,642911000000.0,,
2006-01-31,141.25,26607000000.0,669518000000.0,642911000000.0,,
2006-02-01,141.71,26607000000.0,669518000000.0,642911000000.0,,
2006-02-02,142.52,26607000000.0,669518000000.0,642911000000.0,,
2006-02-03,142.74,26607000000.0,669518000000.0,642911000000.0,,
2006-02-06,142.82,26607000000.0,669518000000.0,642911000000.0,,
2006-02-07,139.48,28002000000.0,706804000000.0,678802000000.0,,
2006-02-08,141.14,28002000000.0,706804000000.0,678802000000.0,,
2006-02-09,140.85,28002000000.0,706804000000.0,678802000000.0,,
2006-02-10,140.81,28002000000.0,706804000000.0,678802000000.0,,
2006-02-13,139.65,28002000000.0,706804000000.0,678802000000.0,,
2006-02-14,141.78,28002000000.0,706804000000.0,678802000000.0,,
2006-02-15,145.14,28002000000.0,706804000000.0,678802000000.0,,
2006-02-16,145.9,28002000000.0,706804000000.0,678802000000.0,,
2006-02-17,145.54,28002000000.0,706804000000.0,678802000000.0,,
2006-02-21,143.45,28002000000.0,706804000000.0,678802000000.0,,
2006-02-22,145.53,28002000000.0,706804000000.0,678802000000.0,,
2006-02-23,143.96,28002000000.0,706804000000.0,678802000000.0,,
2006-02-24,144.16,28002000000.0,706804000000.0,678802000000.0,,
2006-02-27,143.82,28002000000.0,706804000000.0,678802000000.0,,
2006-02-28,141.29,28002000000.0,706804000000.0,678802000000.0,,
2006-03-01,143.15,28002000000.0,706804000000.0,678802000000.0,,
2006-03-02,144.0,28002000000.0,706804000000.0,678802000000.0,,
2006-03-03,146.0,28002000000.0,706804000000.0,678802000000.0,,
2006-03-06,145.02,28002000000.0,706804000000.0,678802000000.0,,
2006-03-07,144.28,28002000000.0,706804000000.0,678802000000.0,,
2006-03-08,142.49,28002000000.0,706804000000.0,678802000000.0,,
2006-03-09,141.7,28002000000.0,706804000000.0,678802000000.0,,
2006-03-10,141.53,28002000000.0,706804000000.0,678802000000.0,,
2006-03-13,140.72,28002000000.0,706804000000.0,678802000000.0,,
2006-03-14,149.42,28002000000.0,706804000000.0,678802000000.0,,
2006-03-15,149.0,28002000000.0,706804000000.0,678802000000.0,,
2006-03-16,147.69,28002000000.0,706804000000.0,678802000000.0,,
2006-03-17,150.36,28002000000.0,706804000000.0,678802000000.0,,
2006-03-20,152.18,28002000000.0,706804000000.0,678802000000.0,,
2006-03-21,149.4,28002000000.0,706804000000.0,678802000000.0,,
2006-03-22,151.82,28002000000.0,706804000000.0,678802000000.0,,
2006-03-23,151.67,28002000000.0,706804000000.0,678802000000.0,,
2006-03-24,152.17,28002000000.0,706804000000.0,678802000000.0,,
2006-03-27,155.0,28002000000.0,706804000000.0,678802000000.0,,
2006-03-28,154.16,28002000000.0,706804000000.0,678802000000.0,,
2006-03-29,156.9,28002000000.0,706804000000.0,678802000000.0,,
2006-03-30,156.81,28002000000.0,706804000000.0,678802000000.0,,
2006-03-31,156.96,28002000000.0,706804000000.0,678802000000.0,,
2006-04-03,158.12,28002000000.0,706804000000.0,678802000000.0,,
2006-04-04,161.0,28002000000.0,706804000000.0,678802000000.0,,
2006-04-05,160.75,28915000000.0,758821000000.0,729906000000.0,,
2006-04-06,162.04,28915000000.0,758821000000.0,729906000000.0,,
2006-04-07,161.02,28915000000.0,758821000000.0,729906000000.0,,
2006-04-10,162.46,28915000000.0,758821000000.0,729906000000.0,,
2006-04-11,159.15,28915000000.0,758821000000.0,729906000000.0,,
2006-04-12,159.52,28915000000.0,758821000000.0,729906000000.0,,
2006-04-13,159.43,28915000000.0,758821000000.0,729906000000.0,,
2006-04-17,161.94,28915000000.0,758821000000.0,729906000000.0,,
2006-04-18,165.55,28915000000.0,758821000000.0,729906000000.0,,
2006-04-19,167.05,28915000000.0,758821000000.0,729906000000.0,,
2006-04-20,168.55,28915000000.0,758821000000.0,729906000000.0,,
2006-04-21,165.89,28915000000.0,758821000000.0,729906000000.0,,
2006-04-24,165.35,28915000000.0,758821000000.0,729906000000.0,,
2006-04-25,162.8,28915000000.0,758821000000.0,729906000000.0,,
2006-04-26,163.4,28915000000.0,758821000000.0,729906000000.0,,
2006-04-27,163.97,28915000000.0,758821000000.0,729906000000.0,,
2006-04-28,160.29,28915000000.0,758821000000.0,729906000000.0,,
2006-05-01,156.45,28915000000.0,758821000000.0,729906000000.0,,
2006-05-02,158.83,28915000000.0,758821000000.0,729906000000.0,,
2006-05-03,159.15,28915000000.0,758821000000.0,729906000000.0,,
2006-05-04,158.04,28915000000.0,758821000000.0,729906000000.0,,
2006-05-05,164.39,28915000000.0,758821000000.0,729906000000.0,,
