date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2015-05-08,180.67,77000000.0,24410000000.0,24333000000.0,20184436862.379997,262.1355436672727
2015-05-11,178.78,77000000.0,24410000000.0,24333000000.0,19973286224.920002,259.3933275963637
2015-05-12,177.34,77000000.0,24410000000.0,24333000000.0,19812409548.760002,257.3040201137663
2015-05-13,177.41,77000000.0,24410000000.0,24333000000.0,19820229942.739998,257.405583671948
2015-05-14,176.79,77000000.0,24410000000.0,24333000000.0,19750963596.059998,256.5060207280519
2015-05-15,181.2,77000000.0,24410000000.0,24333000000.0,20243648416.8,262.9045248935065
2015-05-18,181.05,77000000.0,24410000000.0,24333000000.0,20226890429.7,262.6868886974026
2015-05-19,181.64,77000000.0,24410000000.0,24333000000.0,20292805178.96,263.5429244020779
2015-05-20,176.95,77000000.0,24410000000.0,24333000000.0,19768838782.3,256.7381660038961
2015-05-21,178.65,77000000.0,24410000000.0,24333000000.0,19958762636.100002,259.2047095597403
2015-05-22,175.33,77000000.0,24410000000.0,24333000000.0,19587852521.620003,254.38769508597406
2015-05-26,179.78,77000000.0,24410000000.0,24333000000.0,20085006138.920002,260.8442355703896
2015-05-27,178.25,77000000.0,24410000000.0,24333000000.0,19914074670.5,258.62434637012984
2015-05-28,176.36,77000000.0,24410000000.0,24333000000.0,19702924033.04,255.8821302992208
2015-05-29,179.02,77000000.0,24410000000.0,24333000000.0,20000099004.280003,259.7415455101299
2015-06-01,179.15,77000000.0,24410000000.0,24333000000.0,20014622593.100002,259.93016354675325
2015-06-02,176.31,77000000.0,24410000000.0,24333000000.0,19697338037.34,255.8095849005195
2015-06-03,171.24,77000000.0,24410000000.0,24333000000.0,19130918073.36,248.4534814722078
2015-06-04,171.33,77000000.0,24410000000.0,24333000000.0,19140972865.620003,248.58406318987016
2015-06-05,173.97,77000000.0,24410000000.0,24333000000.0,19435913438.579998,252.41446024129868
2015-06-08,171.09,77000000.0,24410000000.0,24333000000.0,19114160086.260002,248.23584527610393
2015-06-09,173.0,77000000.0,24410000000.0,24333000000.0,19327545122.0,251.0070795064935
2015-06-10,172.39,77000000.0,24410000000.0,24333000000.0,19259395974.46,250.12202564233766
2015-06-11,173.92,77000000.0,24410000000.0,24333000000.0,19430327442.879997,252.34191484259736
2015-06-12,172.26,77000000.0,24410000000.0,24333000000.0,19244872385.64,249.93340760571428
2015-06-15,171.19,77000000.0,24410000000.0,24333000000.0,19125332077.66,248.3809360735065
2015-06-16,169.97,77000000.0,24410000000.0,24333000000.0,18989033782.579998,246.6108283451948
2015-06-17,170.01,77000000.0,24410000000.0,24333000000.0,18993502579.14,246.66886466415585
2015-06-18,170.46,77000000.0,24410000000.0,24333000000.0,19043776540.440002,247.32177325246755
2015-06-19,169.67,77000000.0,24410000000.0,24333000000.0,18955517808.379997,246.17555595298697
2015-06-22,170.31,77000000.0,24410000000.0,24333000000.0,19027018553.34,247.10413705636364
2015-06-23,170.09,77000000.0,24410000000.0,24333000000.0,19002440172.260002,246.78493730207796
2015-06-24,168.48,77000000.0,24410000000.0,24333000000.0,18822571110.719997,244.44897546389606
2015-06-25,167.84,77000000.0,24410000000.0,24333000000.0,18751070365.760002,243.5203943605195
2015-06-26,171.5,77000000.0,24410000000.0,24333000000.0,19159965251.0,248.83071754545455
2015-06-29,168.54,77000000.0,24410000000.0,24333000000.0,18829274305.559998,244.53602994233762
2015-06-30,171.25,77000000.0,24410000000.0,24333000000.0,19132035272.5,248.46799055194805
2015-07-01,173.59,77000000.0,24410000000.0,24333000000.0,19405639292.84,252.0212895174026
2015-07-02,171.8,77000000.0,24410000000.0,24333000000.0,19205535056.800003,249.42253320519484
2015-07-06,174.07,77000000.0,24410000000.0,24333000000.0,19459298529.32,252.71816271844156
2015-07-07,174.92,77000000.0,24410000000.0,24333000000.0,19554320093.92,253.952209011948
2015-07-08,172.27,77000000.0,24410000000.0,24333000000.0,19258076392.52,250.10488821454547
2015-07-09,172.65,77000000.0,24410000000.0,24333000000.0,19300556621.4,250.65657949870132
2015-07-10,177.39,77000000.0,24410000000.0,24333000000.0,19830441581.64,257.53820235896103
2015-07-13,178.54,77000000.0,24410000000.0,24333000000.0,19959000169.04,259.2077944031169
2015-07-14,177.08,77000000.0,24410000000.0,24333000000.0,19795786658.08,257.0881384166234
2015-07-15,181.0,77000000.0,24410000000.0,24333000000.0,20234003756.0,262.77926955844157
2015-07-16,183.13,77000000.0,24410000000.0,24333000000.0,20472116617.88,265.87164438805195
2015-07-17,185.67,77000000.0,24410000000.0,24333000000.0,20756063410.92,269.5592650768831
2015-07-20,187.51,77000000.0,24410000000.0,24333000000.0,20961757150.76,272.23061234753243
2015-07-21,185.27,77000000.0,24410000000.0,24333000000.0,20711347380.52,268.9785374093507
2015-07-22,186.06,77000000.0,24410000000.0,24333000000.0,20799661540.56,270.12547455272727
2015-07-23,183.76,77000000.0,24410000000.0,24333000000.0,20542544365.76,266.7862904644156
2015-07-24,184.33,77000000.0,24410000000.0,24333000000.0,20606264709.08,267.61382739064936
2015-07-27,181.88,77000000.0,24410000000.0,24333000000.0,20332379022.88,264.056870427013
2015-07-28,184.67,77000000.0,24410000000.0,24333000000.0,20644273334.92,268.10744590805194
2015-07-29,184.35,77000000.0,24410000000.0,24333000000.0,20608500510.6,267.64286377402595
2015-07-30,187.96,77000000.0,24410000000.0,24333000000.0,21012062684.96,272.8839309735065
2015-07-31,185.86,77000000.0,24410000000.0,24333000000.0,20777303525.36,269.83511071896106
2015-08-03,187.31,77000000.0,24410000000.0,24333000000.0,20939399135.56,271.9402485137663
2015-08-04,191.5,-31000000.0,17319000000.0,17350000000.0,21407799554.0,-690.5741791612903
2015-08-05,188.55,-31000000.0,17319000000.0,17350000000.0,21078018829.800003,-679.9360912838711
2015-08-06,187.25,-31000000.0,17319000000.0,17350000000.0,20932691731.0,-675.2481203548388
2015-08-07,183.85,-31000000.0,17319000000.0,17350000000.0,20552605472.6,-662.9872733096773
2015-08-10,184.82,-31000000.0,17319000000.0,17350000000.0,20661041846.32,-666.4852208490322
2015-08-11,181.33,-31000000.0,17319000000.0,17350000000.0,20270894481.08,-653.8998219703226
2015-08-12,181.06,-31000000.0,17319000000.0,17350000000.0,20240711160.56,-652.9261664696775
2015-08-13,180.64,-31000000.0,17319000000.0,17350000000.0,20193759328.64,-651.4115912464516
2015-08-14,179.82,-31000000.0,17319000000.0,17350000000.0,20102091466.32,-648.4545634296774
2015-08-17,186.98,-31000000.0,17319000000.0,17350000000.0,20902508410.48,-674.2744648541935
2015-08-18,188.81,-31000000.0,17319000000.0,17350000000.0,21107084249.56,-680.8736854696774
2015-08-19,188.2,-31000000.0,17319000000.0,17350000000.0,21038892303.199997,-678.6739452645161
2015-08-20,182.74,-31000000.0,17319000000.0,17350000000.0,20428518488.24,-658.9844673625807
2015-08-21,177.53,-31000000.0,17319000000.0,17350000000.0,19846092192.28,-640.1965223316129
2015-08-24,171.5,-31000000.0,17319000000.0,17350000000.0,19171998034.0,-618.451549483871
2015-08-25,171.29,-31000000.0,17319000000.0,17350000000.0,19148522118.04,-617.694261872258
2015-08-26,177.6,-31000000.0,17319000000.0,17350000000.0,19853917497.6,-640.4489515354838
2015-08-27,181.65,-31000000.0,17319000000.0,17350000000.0,20306667305.4,-655.0537840451614
