date,TT,TT_SHE,PB Ratio
2011-07-14,798329999.9999999,8108500000.0,0.09845594129617068
2011-07-15,798329999.9999999,8108500000.0,0.09845594129617068
2011-07-18,791387999.9999999,8108500000.0,0.09759980267620397
2011-07-19,798329999.9999999,8108500000.0,0.09845594129617068
2011-07-20,801801000.0,8108500000.0,0.09888401060615404
2011-07-21,846924000.0,8108500000.0,0.1044489116359376
2011-07-22,957995999.9999999,8108500000.0,0.11814712955540481
2011-07-25,971879999.9999999,8108500000.0,0.11985940679533821
2011-07-26,919815000.0,8108500000.0,0.11343836714558796
2011-07-27,905931000.0,8108500000.0,0.11172608990565457
2011-07-28,888576000.0,8278200000.0,0.10733927665434514
2011-07-29,874692000.0,8278200000.0,0.105662100456621
2011-08-01,839982000.0,8278200000.0,0.10146915996231065
2011-08-02,805272000.0,8278200000.0,0.09727621946800029
2011-08-03,780975000.0,8278200000.0,0.09434116112198304
2011-08-04,753207000.0,8278200000.0,0.09098680872653475
2011-08-05,718497000.0,8278200000.0,0.0867938682322244
2011-08-08,656019000.0,8278200000.0,0.07924657534246575
2011-08-09,687258000.0,8278200000.0,0.08302022178734507
2011-08-10,638664000.0,8278200000.0,0.07715010509531058
2011-08-11,624780000.0,8278200000.0,0.07547292889758643
2011-08-12,631722000.0,8278200000.0,0.0763115169964485
2011-08-15,298506000.0,8278200000.0,0.03605928825106907
2011-08-16,617838000.0,8278200000.0,0.07463434079872436
2011-08-17,607425000.0,8278200000.0,0.07337645865043126
2011-08-18,551889000.0,8278200000.0,0.06666775385953468
2011-08-19,538005000.0,8278200000.0,0.06499057766181054
2011-08-22,517179000.0,8278200000.0,0.06247481336522433
2011-08-23,465114000.0,8278200000.0,0.05618540262375879
2011-08-24,419991000.0,8278200000.0,0.050734579981155326
2011-08-25,392222999.99999994,8278200000.0,0.04738022758570703
2011-08-26,364455000.0,8278200000.0,0.04402587519025875
2011-08-29,472056000.00000006,8278200000.0,0.05702399072262087
2011-08-30,492882000.0,8278200000.0,0.05953975501920707
2011-08-31,451230000.0,8278200000.0,0.054508226426034645
2011-09-01,444288000.0,8278200000.0,0.05366963832717257
2011-09-02,399164999.99999994,8278200000.0,0.0482188156845691
2011-09-06,360984000.0,8278200000.0,0.043606581140827716
2011-09-07,426933000.0,8278200000.0,0.0515731680800174
2011-09-08,381810000.00000006,8278200000.0,0.04612234543741394
2011-09-09,388752000.00000006,8278200000.0,0.046960933536276006
