date,EVRG,EVRG_SHE,PB Ratio
2019-03-13,14403290000.0,10028200000.0,1.4362786940826868
2019-03-14,14451360000.0,10028200000.0,1.4410721764623762
2019-03-15,14590510000.0,10028200000.0,1.4549480465088451
2019-03-18,14388110000.0,10028200000.0,1.4347649628048902
2019-03-19,14276790000.0,10028200000.0,1.423664266767715
2019-03-20,14294500000.0,10028200000.0,1.4254302865918111
2019-03-21,14507020000.0,10028200000.0,1.4466225244809636
2019-03-22,14674000000.0,10028200000.0,1.4632735685367264
2019-03-25,14623400000.0,10028200000.0,1.4582277976107376
2019-03-26,14787850000.0,10028200000.0,1.474626553120201
2019-03-27,14711950000.0,10028200000.0,1.467057896731218
2019-03-28,14661350000.0,10028200000.0,1.4620121258052292
2019-03-29,14686650000.0,10028200000.0,1.4645350112682236
2019-04-01,14254126000.0,10028200000.0,1.4214042400430784
2019-04-02,14271500000.0,10028200000.0,1.4231367543527254
2019-04-03,14226824000.0,10028200000.0,1.4186817175564908
2019-04-04,14040674000.0,10028200000.0,1.4001190642388464
2019-04-05,14226824000.0,10028200000.0,1.4186817175564908
2019-04-08,14174702000.0,10028200000.0,1.4134841746275504
2019-04-09,14216896000.0,10028200000.0,1.4176917093795496
2019-04-10,14187112000.0,10028200000.0,1.4147216848487265
2019-04-11,14249162000.0,10028200000.0,1.420909235954608
2019-04-12,14326104000.0,10028200000.0,1.428581799325901
2019-04-15,14343478000.0,10028200000.0,1.4303143136355478
2019-04-16,14164774000.0,10028200000.0,1.4124941664506092
2019-04-17,14100242000.0,10028200000.0,1.4060591133004927
2019-04-18,14040674000.0,10028200000.0,1.4001190642388464
2019-04-22,14000962000.0,10028200000.0,1.3961590315310823
2019-04-23,14035710000.0,10028200000.0,1.399624060150376
2019-04-24,14167256000.0,10028200000.0,1.4127416684948446
2019-04-25,14194558000.0,10028200000.0,1.4154641909814323
2019-04-26,14187112000.0,10028200000.0,1.4147216848487265
2019-04-29,14139954000.0,10028200000.0,1.4100191460082567
2019-04-30,14350924000.0,10028200000.0,1.4310568197682536
2019-05-01,14254126000.0,10028200000.0,1.4214042400430784
2019-05-02,14281428000.0,10028200000.0,1.4241267625296663
2019-05-03,14296320000.0,10028200000.0,1.4256117747950778
2019-05-06,14313694000.0,10028200000.0,1.4273442891047248
2019-05-07,14298802000.0,10028200000.0,1.4258592768393132
2019-05-08,14174702000.0,9422900000.0,1.5042823334642201
2019-05-09,14132508000.0,9422900000.0,1.49980451877872
2019-05-10,14425384000.0,9422900000.0,1.5308858207133684
2019-05-13,14492398000.0,9422900000.0,1.5379976440373984
2019-05-14,14400564000.0,9422900000.0,1.528251812074839
2019-05-15,14447722000.0,9422900000.0,1.533256428488045
2019-05-16,14487434000.0,9422900000.0,1.5374708423096923
2019-05-17,14569340000.0,9422900000.0,1.54616307081684
2019-05-20,14564376000.0,9422900000.0,1.5456362690891339
2019-05-21,14584232000.0,9422900000.0,1.5477434759999575
2019-05-22,14641318000.0,9422900000.0,1.5538016958685754
2019-05-23,14753008000.0,9422900000.0,1.5656547347419585
2019-05-24,14745562000.0,9422900000.0,1.5648645321503996
2019-05-28,14589196000.0,9422900000.0,1.5482702777276636
2019-05-29,14385672000.0,9422900000.0,1.5266714068917213
2019-05-30,14385672000.0,9422900000.0,1.5266714068917213
2019-05-31,14430348000.0,9422900000.0,1.5314126224410745
2019-06-03,14648764000.0,9422900000.0,1.5545918984601343
2019-06-04,14554448000.0,9422900000.0,1.544582665633722
2019-06-05,14882072000.0,9422900000.0,1.579351579662312
2019-06-06,15018582000.0,9422900000.0,1.5938386271742244
2019-06-07,15011136000.0,9422900000.0,1.5930484245826657
2019-06-10,14852288000.0,9422900000.0,1.5761907692960766
2019-06-11,14715778000.0,9422900000.0,1.561703721784164
2019-06-12,14986316000.0,9422900000.0,1.590414415944136
2019-06-13,14934194000.0,9422900000.0,1.5848829978032242
2019-06-14,15058294000.0,9422900000.0,1.5980530409958718
2019-06-17,14956532000.0,9422900000.0,1.5872536055779007
2019-06-18,14983834000.0,9422900000.0,1.5901510150802831
2019-06-19,15115380000.0,9422900000.0,1.6041112608644896
2019-06-20,15217142000.0,9422900000.0,1.6149106962824609
2019-06-21,15199768000.0,9422900000.0,1.61306689023549
2019-06-24,15184876000.0,9422900000.0,1.6114864850523725
2019-06-25,15224588000.0,9422900000.0,1.6157008988740196
2019-06-26,14805130000.0,9422900000.0,1.5711861528828706
2019-06-27,14909374000.0,9422900000.0,1.5822489891646945
2019-06-28,14929230000.0,9422900000.0,1.5843561960755181
2019-07-01,14667008000.0,9422900000.0,1.5565280327712276
2019-07-02,14786470000.0,9422900000.0,1.5692058708041048
2019-07-03,14959568000.0,9422900000.0,1.5875757993823558
2019-07-05,15001014000.0,9422900000.0,1.5919742329855988
2019-07-08,14942502000.0,9422900000.0,1.5857646796633733
2019-07-09,14981510000.0,9422900000.0,1.5899043818781904
2019-07-10,15040022000.0,9422900000.0,1.5961139352004161
2019-07-11,15005890000.0,9422900000.0,1.592491695762451
2019-07-12,14905932000.0,9422900000.0,1.5818837088369821
2019-07-15,14866924000.0,9422900000.0,1.577744006622165
2019-07-16,14886428000.0,9422900000.0,1.5798138577295737
2019-07-17,14876676000.0,9422900000.0,1.5787789321758694
2019-07-18,14996138000.0,9422900000.0,1.5914567702087468
2019-07-19,14820602000.0,9422900000.0,1.5728281102420698
2019-07-22,14769404000.0,9422900000.0,1.5673947510851225
2019-07-23,14791346000.0,9422900000.0,1.569723333580957
2019-07-24,14805974000.0,9422900000.0,1.5712757219115134
2019-07-25,14769404000.0,9422900000.0,1.5673947510851225
2019-07-26,14803536000.0,9422900000.0,1.5710169905230873
2019-07-29,14920560000.0,9422900000.0,1.5834360971675387
2019-07-30,14827916000.0,9422900000.0,1.573604304407348
2019-07-31,14747462000.0,9422900000.0,1.5650661685892877
2019-08-01,14766966000.0,9422900000.0,1.5671360196966964
2019-08-02,14830354000.0,9422900000.0,1.5738630357957741
2019-08-05,14727958000.0,9422900000.0,1.5629963174818793
2019-08-06,14901056000.0,9422900000.0,1.58136624606013
2019-08-07,14874238000.0,8883100000.0,1.6744422555189067
2019-08-08,15098534000.0,8883100000.0,1.6996919994146187
2019-08-09,15220434000.0,8883100000.0,1.7134146863144624
2019-08-12,15376466000.0,8883100000.0,1.730979725546262
2019-08-13,15539812000.0,8883100000.0,1.7493681259920524
2019-08-14,15544688000.0,8883100000.0,1.749917033468046
2019-08-15,15678778000.0,8883100000.0,1.765011989057874
2019-08-16,15712910000.0,8883100000.0,1.76885434138983
2019-08-19,15864065999.999998,8883100000.0,1.7858704731456359
2019-08-20,15822620000.000002,8883100000.0,1.7812047595996896
2019-08-21,15881132000.0,8883100000.0,1.7877916493116142
2019-08-22,15871379999.999998,8883100000.0,1.7866938343596266
2019-08-23,15722661999.999998,8883100000.0,1.7699521563418175
2019-08-26,15890884000.000002,8883100000.0,1.788889464263602
2019-08-27,15917702000.000002,8883100000.0,1.7919084553815674
2019-08-28,15820182000.0,8883100000.0,1.7809303058616923
2019-08-29,15790925999.999998,8883100000.0,1.7776368610057298
2019-08-30,15847000000.0,8883100000.0,1.783949296979658
2019-09-03,15981090000.0,8883100000.0,1.7990442525694859
2019-09-04,16042040000.0,8883100000.0,1.8059055960194077
2019-09-05,15793364000.0,8883100000.0,1.7779113147437269
2019-09-06,15593448000.0,8883100000.0,1.7554061082279835
2019-09-09,15595886000.0,8883100000.0,1.7556805619659803
2019-09-10,15669025999.999998,8883100000.0,1.7639141741058861
2019-09-11,15856752000.000002,8883100000.0,1.7850471119316458
2019-09-12,15817743999.999998,8883100000.0,1.7806558521236953
2019-09-13,15654397999.999998,8883100000.0,1.762267451677905
2019-09-16,15637332000.0,8883100000.0,1.7603462755119272
2019-09-17,15766546000.0,8883100000.0,1.7748923236257612
2019-09-18,15883570000.000002,8883100000.0,1.7880661030496112
2019-09-19,15981090000.0,8883100000.0,1.7990442525694859
2019-09-20,16093238000.000002,8883100000.0,1.8116691245173422
2019-09-23,16139560000.0,8883100000.0,1.8168837455392826
2019-09-24,16266336000.0,8883100000.0,1.8311553399151197
2019-09-25,16393111999.999998,8883100000.0,1.8454269342909568
2019-09-26,16410178000.0,8883100000.0,1.8473481104569351
2019-09-27,16227328000.0,8883100000.0,1.8267640801071698
2019-09-30,16227328000.0,8883100000.0,1.8267640801071698
2019-10-01,15900572000.0,8883100000.0,1.7899800745235335
2019-10-02,15679864000.0,8883100000.0,1.765134243676194
2019-10-03,15687061000.0,8883100000.0,1.7659444338125203
