date,close price,HCA_SHE,HCA_TA,HCA_TL,market cap,PB Ratio
2016-03-11,74.95,-7599000000.0,32744000000.0,40343000000.0,30804450000.0,-4.053750493485985
2016-03-14,74.72,-7599000000.0,32744000000.0,40343000000.0,30709920000.0,-4.0413106987761545
2016-03-15,73.17,-7599000000.0,32744000000.0,40343000000.0,30072870000.0,-3.9574772996446903
2016-03-16,74.49,-7599000000.0,32744000000.0,40343000000.0,30615390000.0,-4.028870904066324
2016-03-17,73.72,-7599000000.0,32744000000.0,40343000000.0,30298920000.0,-3.9872246348203713
2016-03-18,75.46,-7599000000.0,32744000000.0,40343000000.0,31014060000.0,-4.081334386103435
2016-03-21,75.52,-7599000000.0,32744000000.0,40343000000.0,31038720000.0,-4.0845795499407815
2016-03-22,77.16,-7599000000.0,32744000000.0,40343000000.0,31712760000.0,-4.173280694828267
2016-03-23,76.95,-7599000000.0,32744000000.0,40343000000.0,31626450000.0,-4.161922621397553
2016-03-24,76.37,-7599000000.0,32744000000.0,40343000000.0,31388070000.0,-4.130552704303198
2016-03-28,76.44,-7599000000.0,32744000000.0,40343000000.0,31416840000.0,-4.134338728780103
2016-03-29,77.56,-7599000000.0,32744000000.0,40343000000.0,31877160000.0,-4.19491512041058
2016-03-30,78.1,-7599000000.0,32744000000.0,40343000000.0,32099100000.0,-4.224121594946704
2016-03-31,78.05,-7599000000.0,32744000000.0,40343000000.0,32078550000.0,-4.221417291748915
2016-04-01,79.2,-7599000000.0,32744000000.0,40343000000.0,32551200000.0,-4.283616265298066
2016-04-04,78.73,-7599000000.0,32744000000.0,40343000000.0,32358030000.0,-4.258195815238847
2016-04-05,78.24,-7599000000.0,32744000000.0,40343000000.0,32156640000.0,-4.231693643900513
2016-04-06,79.1,-7599000000.0,32744000000.0,40343000000.0,32510100000.0,-4.278207658902487
2016-04-07,78.84,-7599000000.0,32744000000.0,40343000000.0,32403240000.0,-4.264145282273984
2016-04-08,79.14,-7599000000.0,32744000000.0,40343000000.0,32526540000.0,-4.280371101460719
2016-04-11,79.57,-7599000000.0,32744000000.0,40343000000.0,32703270000.0,-4.303628108961705
2016-04-12,79.78,-7599000000.0,32744000000.0,40343000000.0,32789580000.0,-4.3149861823924205
2016-04-13,80.6,-7599000000.0,32744000000.0,40343000000.0,33126600000.0,-4.359336754836162
2016-04-14,80.72,-7599000000.0,32744000000.0,40343000000.0,33175920000.0,-4.365827082510856
2016-04-15,80.33,-7599000000.0,32744000000.0,40343000000.0,33015630000.0,-4.344733517568101
2016-04-18,80.88,-7599000000.0,32744000000.0,40343000000.0,33241680000.0,-4.374480852743782
2016-04-19,79.78,-7599000000.0,32744000000.0,40343000000.0,32789580000.0,-4.3149861823924205
2016-04-20,80.11,-7599000000.0,32744000000.0,40343000000.0,32925210000.0,-4.332834583497829
2016-04-21,80.22,-7599000000.0,32744000000.0,40343000000.0,32970420000.0,-4.338784050532965
2016-04-22,80.91,-7599000000.0,32744000000.0,40343000000.0,33254010000.0,-4.376103434662456
2016-04-25,80.12,-7599000000.0,32744000000.0,40343000000.0,32929320000.0,-4.333375444137387
2016-04-26,81.18,-7599000000.0,32744000000.0,40343000000.0,33364980000.0,-4.390706671930517
2016-04-27,81.78,-7599000000.0,32744000000.0,40343000000.0,33611580000.0,-4.423158310303988
2016-04-28,81.96,-7599000000.0,32744000000.0,40343000000.0,33685560000.0,-4.432893801816029
2016-04-29,80.62,-7599000000.0,32744000000.0,40343000000.0,33134820000.0,-4.360418476115278
2016-05-02,81.21,-7599000000.0,32744000000.0,40343000000.0,33377310000.0,-4.392329253849191
2016-05-03,79.06,-7599000000.0,32744000000.0,40343000000.0,32493660000.0,-4.276044216344256
2016-05-04,79.8,-7599000000.0,32744000000.0,40343000000.0,32797800000.0,-4.316067903671536
2016-05-05,80.61,-7599000000.0,32744000000.0,40343000000.0,33130710000.0,-4.35987761547572
2016-05-06,80.9,-7556000000.0,32776000000.0,40332000000.0,33249900000.0,-4.4004632080465855
2016-05-09,80.98,-7556000000.0,32776000000.0,40332000000.0,33282780000.0,-4.404814716781366
2016-05-10,80.93,-7556000000.0,32776000000.0,40332000000.0,33262230000.0,-4.402095023822128
2016-05-11,80.25,-7556000000.0,32776000000.0,40332000000.0,32982750000.0,-4.365107199576496
2016-05-12,77.69,-7556000000.0,32776000000.0,40332000000.0,31930590000.0,-4.2258589200635255
2016-05-13,77.92,-7556000000.0,32776000000.0,40332000000.0,32025120000.0,-4.238369507676019
2016-05-16,77.81,-7556000000.0,32776000000.0,40332000000.0,31046190000.0,-4.108812863949179
2016-05-17,77.27,-7556000000.0,32776000000.0,40332000000.0,30830730000.0,-4.080297776601377
2016-05-18,76.58,-7556000000.0,32776000000.0,40332000000.0,30555420000.0,-4.043861831656962
2016-05-19,76.72,-7556000000.0,32776000000.0,40332000000.0,30611280000.0,-4.051254632080465
2016-05-20,77.12,-7556000000.0,32776000000.0,40332000000.0,30770880000.0,-4.072376919004764
2016-05-23,76.22,-7556000000.0,32776000000.0,40332000000.0,30411780000.0,-4.024851773425093
2016-05-24,77.56,-7556000000.0,32776000000.0,40332000000.0,30946440000.0,-4.0956114346214925
2016-05-25,77.73,-7556000000.0,32776000000.0,40332000000.0,31014270000.0,-4.10458840656432
2016-05-26,77.2,-7556000000.0,32776000000.0,40332000000.0,30802800000.0,-4.0766013763896245
2016-05-27,77.36,-7556000000.0,32776000000.0,40332000000.0,30866640000.0,-4.085050291159344
2016-05-31,78.02,-7556000000.0,32776000000.0,40332000000.0,31129980000.0,-4.119902064584436
2016-06-01,78.37,-7556000000.0,32776000000.0,40332000000.0,31269630000.0,-4.138384065643198
2016-06-02,78.98,-7556000000.0,32776000000.0,40332000000.0,31513020000.0,-4.1705955532027525
2016-06-03,78.14,-7556000000.0,32776000000.0,40332000000.0,31177860000.0,-4.1262387506617255
2016-06-06,78.67,-7556000000.0,32776000000.0,40332000000.0,31389330000.0,-4.154225780836422
2016-06-07,79.24,-7556000000.0,32776000000.0,40332000000.0,31616760000.0,-4.1843250397035465
2016-06-08,80.98,-7556000000.0,32776000000.0,40332000000.0,32311020000.0,-4.276206987824246
2016-06-09,81.03,-7556000000.0,32776000000.0,40332000000.0,32330970000.0,-4.278847273689783
2016-06-10,79.55,-7556000000.0,32776000000.0,40332000000.0,31740450000.0,-4.200694812069878
2016-06-13,77.95,-7556000000.0,32776000000.0,40332000000.0,31102050000.0,-4.116205664372684
2016-06-14,78.01,-7556000000.0,32776000000.0,40332000000.0,31125990000.0,-4.119374007411329
2016-06-15,77.81,-7556000000.0,32776000000.0,40332000000.0,31046190000.0,-4.108812863949179
2016-06-16,77.66,-7556000000.0,32776000000.0,40332000000.0,30986340000.0,-4.100892006352567
2016-06-17,77.43,-7556000000.0,32776000000.0,40332000000.0,30894570000.0,-4.088746691371096
2016-06-20,78.57,-7556000000.0,32776000000.0,40332000000.0,31349430000.0,-4.148945209105347
2016-06-21,78.75,-7556000000.0,32776000000.0,40332000000.0,31421250000.0,-4.158450238221281
2016-06-22,79.3,-7556000000.0,32776000000.0,40332000000.0,31640700000.0,-4.187493382742192
