date,close price,MET_SHE,MET_TA,MET_TL,market cap,PB Ratio
2009-02-26,21.38,27833000000.0,521299000000.0,493466000000.0,,
2009-02-27,16.45,27833000000.0,521299000000.0,493466000000.0,,
2009-03-02,14.71,23734000000.0,501678000000.0,477944000000.0,,
2009-03-03,12.23,23734000000.0,501678000000.0,477944000000.0,,
2009-03-04,13.12,23734000000.0,501678000000.0,477944000000.0,,
2009-03-05,10.78,23734000000.0,501678000000.0,477944000000.0,,
2009-03-06,10.89,23734000000.0,501678000000.0,477944000000.0,,
2009-03-09,11.12,23734000000.0,501678000000.0,477944000000.0,,
2009-03-10,13.61,23734000000.0,501678000000.0,477944000000.0,,
2009-03-11,13.61,23734000000.0,501678000000.0,477944000000.0,,
2009-03-12,15.42,23734000000.0,501678000000.0,477944000000.0,,
2009-03-13,15.81,23734000000.0,501678000000.0,477944000000.0,,
2009-03-16,17.09,23734000000.0,501678000000.0,477944000000.0,,
2009-03-17,18.89,23734000000.0,501678000000.0,477944000000.0,,
2009-03-18,22.78,23734000000.0,501678000000.0,477944000000.0,,
2009-03-19,19.96,23734000000.0,501678000000.0,477944000000.0,,
2009-03-20,18.52,23734000000.0,501678000000.0,477944000000.0,,
2009-03-23,21.84,23734000000.0,501678000000.0,477944000000.0,,
2009-03-24,20.69,23734000000.0,501678000000.0,477944000000.0,,
2009-03-25,21.93,23734000000.0,501678000000.0,477944000000.0,,
2009-03-26,22.46,23734000000.0,501678000000.0,477944000000.0,,
2009-03-27,21.83,23734000000.0,501678000000.0,477944000000.0,,
2009-03-30,19.16,23734000000.0,501678000000.0,477944000000.0,,
2009-03-31,20.29,23734000000.0,501678000000.0,477944000000.0,,
2009-04-01,20.88,23734000000.0,501678000000.0,477944000000.0,,
2009-04-02,22.01,23734000000.0,501678000000.0,477944000000.0,,
2009-04-03,22.58,23734000000.0,501678000000.0,477944000000.0,,
2009-04-06,22.37,23734000000.0,501678000000.0,477944000000.0,,
2009-04-07,21.53,23734000000.0,501678000000.0,477944000000.0,,
2009-04-08,22.04,23734000000.0,501678000000.0,477944000000.0,,
2009-04-09,24.08,23734000000.0,501678000000.0,477944000000.0,,
2009-04-13,25.66,23734000000.0,501678000000.0,477944000000.0,,
2009-04-14,23.57,23734000000.0,501678000000.0,477944000000.0,,
2009-04-15,25.11,23734000000.0,501678000000.0,477944000000.0,,
2009-04-16,24.75,23734000000.0,501678000000.0,477944000000.0,,
2009-04-17,25.15,23734000000.0,501678000000.0,477944000000.0,,
2009-04-20,22.52,23734000000.0,501678000000.0,477944000000.0,,
2009-04-21,24.3,23734000000.0,501678000000.0,477944000000.0,,
2009-04-22,23.0,23734000000.0,501678000000.0,477944000000.0,,
2009-04-23,25.13,23734000000.0,501678000000.0,477944000000.0,,
2009-04-24,26.07,23734000000.0,501678000000.0,477944000000.0,,
2009-04-27,25.06,23734000000.0,501678000000.0,477944000000.0,,
2009-04-28,24.55,23734000000.0,501678000000.0,477944000000.0,,
2009-04-29,26.45,23734000000.0,501678000000.0,477944000000.0,,
2009-04-30,26.52,23734000000.0,501678000000.0,477944000000.0,,
2009-05-01,24.47,23734000000.0,501678000000.0,477944000000.0,,
2009-05-04,25.79,23734000000.0,501678000000.0,477944000000.0,,
2009-05-05,24.7,23734000000.0,501678000000.0,477944000000.0,,
2009-05-06,28.83,23734000000.0,501678000000.0,477944000000.0,,
2009-05-07,28.3,23110000000.0,491408000000.0,467979000000.0,,
2009-05-08,31.64,23110000000.0,491408000000.0,467979000000.0,,
2009-05-11,28.81,23110000000.0,491408000000.0,467979000000.0,,
2009-05-12,28.75,23110000000.0,491408000000.0,467979000000.0,,
2009-05-13,25.65,23110000000.0,491408000000.0,467979000000.0,,
2009-05-14,27.17,23110000000.0,491408000000.0,467979000000.0,,
2009-05-15,26.19,23110000000.0,491408000000.0,467979000000.0,,
2009-05-18,27.89,23110000000.0,491408000000.0,467979000000.0,,
2009-05-19,28.04,23110000000.0,491408000000.0,467979000000.0,,
2009-05-20,27.12,23110000000.0,491408000000.0,467979000000.0,,
2009-05-21,27.07,23110000000.0,491408000000.0,467979000000.0,,
2009-05-22,26.87,23110000000.0,491408000000.0,467979000000.0,,
2009-05-26,27.36,23110000000.0,491408000000.0,467979000000.0,,
2009-05-27,26.4,23110000000.0,491408000000.0,467979000000.0,,
2009-05-28,27.74,23110000000.0,491408000000.0,467979000000.0,,
2009-05-29,28.07,23110000000.0,491408000000.0,467979000000.0,,
2009-06-01,28.08,23110000000.0,491408000000.0,467979000000.0,,
2009-06-02,28.48,23110000000.0,491408000000.0,467979000000.0,,
2009-06-03,26.92,23110000000.0,491408000000.0,467979000000.0,,
2009-06-04,28.55,23110000000.0,491408000000.0,467979000000.0,,
2009-06-05,28.03,23110000000.0,491408000000.0,467979000000.0,,
2009-06-08,29.22,23110000000.0,491408000000.0,467979000000.0,,
2009-06-09,29.44,23110000000.0,491408000000.0,467979000000.0,,
2009-06-10,28.76,23110000000.0,491408000000.0,467979000000.0,,
2009-06-11,28.54,23110000000.0,491408000000.0,467979000000.0,,
2009-06-12,27.7,23110000000.0,491408000000.0,467979000000.0,,
2009-06-15,26.65,23110000000.0,491408000000.0,467979000000.0,,
2009-06-16,26.21,23110000000.0,491408000000.0,467979000000.0,,
2009-06-17,25.87,23110000000.0,491408000000.0,467979000000.0,,
2009-06-18,26.97,23110000000.0,491408000000.0,467979000000.0,,
2009-06-19,27.81,23110000000.0,491408000000.0,467979000000.0,,
2009-06-22,25.71,23110000000.0,491408000000.0,467979000000.0,,
2009-06-23,26.19,23110000000.0,491408000000.0,467979000000.0,,
2009-06-24,26.68,23110000000.0,491408000000.0,467979000000.0,,
2009-06-25,26.72,23110000000.0,491408000000.0,467979000000.0,,
2009-06-26,26.6,23110000000.0,491408000000.0,467979000000.0,,
2009-06-29,26.79,23110000000.0,491408000000.0,467979000000.0,,
2009-06-30,26.75,23110000000.0,491408000000.0,467979000000.0,29662574828.5,1.2835385040458676
2009-07-01,26.52,23110000000.0,491408000000.0,467979000000.0,29407532129.04,1.272502472048464
2009-07-02,24.99,23110000000.0,491408000000.0,467979000000.0,27710943736.98,1.1990888678918217
2009-07-06,25.72,23110000000.0,491408000000.0,467979000000.0,28520427087.44,1.2341162737966247
2009-07-07,24.37,23110000000.0,491408000000.0,467979000000.0,27023437329.74,1.1693395642466466
2009-07-08,23.98,23110000000.0,491408000000.0,467979000000.0,26590973621.96,1.1506262925988748
2009-07-09,24.63,23110000000.0,491408000000.0,467979000000.0,27311746468.26,1.181815078678494
2009-07-10,24.39,23110000000.0,491408000000.0,467979000000.0,27045614955.78,1.1702992192029424
2009-07-13,26.19,23110000000.0,491408000000.0,467979000000.0,29041601299.38,1.2566681652695804
2009-07-14,26.1,23110000000.0,491408000000.0,467979000000.0,28941801982.2,1.2523497179662484
2009-07-15,27.54,23110000000.0,491408000000.0,467979000000.0,30538591057.079998,1.3214448748195586
2009-07-16,27.63,23110000000.0,491408000000.0,467979000000.0,30638390374.26,1.3257633221228904
2009-07-17,27.14,23110000000.0,491408000000.0,467979000000.0,30095038536.28,1.3022517756936391
2009-07-20,27.63,23110000000.0,491408000000.0,467979000000.0,30638390374.26,1.3257633221228904
2009-07-21,27.57,23110000000.0,491408000000.0,467979000000.0,30571857496.14,1.3228843572540026
2009-07-22,27.58,23110000000.0,491408000000.0,467979000000.0,30582946309.16,1.3233641847321507
2009-07-23,29.2,23110000000.0,491408000000.0,467979000000.0,32379334018.399998,1.4010962361921244
2009-07-24,30.03,23110000000.0,491408000000.0,467979000000.0,33299705499.06,1.4409219168784078
2009-07-27,30.46,23110000000.0,491408000000.0,467979000000.0,33776524458.920002,1.4615544984387712
2009-07-28,29.37,23110000000.0,491408000000.0,467979000000.0,32567843839.74,1.4092533033206405
2009-07-29,28.77,23110000000.0,491408000000.0,467979000000.0,31902515058.54,1.3804636546317612
2009-07-30,29.92,23110000000.0,491408000000.0,467979000000.0,33177728555.84,1.4356438146187798
