date,close price,ACN_SHE,ACN_TA,ACN_TL,market cap,PB Ratio
2017-02-15,119.93,7417093000.0,20443741000.0,13026648000.0,79273730000.0,10.687978430363486
2017-02-16,120.72,7417093000.0,20443741000.0,13026648000.0,79795920000.0,10.75838202379288
2017-02-17,121.23,7417093000.0,20443741000.0,13026648000.0,80133030000.0,10.80383244486755
2017-02-21,122.1,7417093000.0,20443741000.0,13026648000.0,80708100000.0,10.881365516112579
2017-02-22,122.21,7417093000.0,20443741000.0,13026648000.0,80780810000.0,10.891168548109077
2017-02-23,122.48,7417093000.0,20443741000.0,13026648000.0,80959280000.0,10.915230535736844
2017-02-24,123.43,7417093000.0,20443741000.0,13026648000.0,81587230000.0,10.999893084797508
2017-02-27,122.79,7417093000.0,20443741000.0,13026648000.0,81164190000.0,10.94285726227243
2017-02-28,122.5,7417093000.0,20443741000.0,13026648000.0,80972500000.0,10.917012905190754
2017-03-01,124.07,7417093000.0,20443741000.0,13026648000.0,82010270000.0,11.056928907322586
2017-03-02,124.35,7417093000.0,20443741000.0,13026648000.0,82195350000.0,11.081882079677307
2017-03-03,123.64,7417093000.0,20443741000.0,13026648000.0,81726040000.0,11.018607964063548
2017-03-06,123.24,7417093000.0,20443741000.0,13026648000.0,81461640000.0,10.982960574985375
2017-03-07,124.14,7417093000.0,20443741000.0,13026648000.0,82056540000.0,11.063167200411266
2017-03-08,124.46,7417093000.0,20443741000.0,13026648000.0,82268060000.0,11.091685111673806
2017-03-09,123.18,7417093000.0,20443741000.0,13026648000.0,81421980000.0,10.97761346662365
2017-03-10,123.93,7417093000.0,20443741000.0,13026648000.0,81917730000.0,11.044452321145226
2017-03-13,124.04,7417093000.0,20443741000.0,13026648000.0,81990440000.0,11.054255353141723
2017-03-14,123.91,7417093000.0,20443741000.0,13026648000.0,81904510000.0,11.042669951691316
2017-03-15,124.8,7417093000.0,20443741000.0,13026648000.0,82492800000.0,11.121985392390252
2017-03-16,124.1,7417093000.0,20443741000.0,13026648000.0,82030100000.0,11.059602461503449
2017-03-17,125.22,7417093000.0,20443741000.0,13026648000.0,82770420000.0,11.159415150922335
2017-03-20,124.39,7417093000.0,20443741000.0,13026648000.0,82221790000.0,11.085446818585124
2017-03-21,124.64,7417093000.0,20443741000.0,13026648000.0,82387040000.0,11.107726436758984
