date,AIZ,AIZ_SHE,PB Ratio
2004-09-23,3694911223.5699997,3354204000.0,1.1015761783034066
2004-09-24,3665969360.2000003,3354204000.0,1.0929476442696986
2004-09-27,3638405680.7999997,3354204000.0,1.0847299928090242
2004-09-28,3599816529.6400003,3354204000.0,1.07322528076408
2004-09-29,3613598369.3399997,3354204000.0,1.077334106494417
2004-09-30,3583278322.0,3354204000.0,1.0682946898876753
2004-10-01,3590410003.65,3354204000.0,1.0704208818694392
2004-10-04,3666507325.5,3354204000.0,1.0931080296547258
2004-10-05,3665123737.83,3354204000.0,1.0926955360586297
2004-10-06,3666507325.5,3354204000.0,1.0931080296547258
2004-10-07,3655438624.1400003,3354204000.0,1.089808080885957
2004-10-08,3659589387.15,3354204000.0,1.0910455616742452
2004-10-11,3721850832.2999997,3354204000.0,1.1096077734985708
2004-10-12,3756440524.0499997,3354204000.0,1.1199201134009737
2004-10-13,3655438624.1400003,3354204000.0,1.089808080885957
2004-10-14,3541984435.2000003,3354204000.0,1.0559836060060748
2004-10-15,3528148558.5,3354204000.0,1.0518586700451136
2004-10-18,3575190539.28,3354204000.0,1.0658834523123817
2004-10-19,3485257340.73,3354204000.0,1.0390713685661337
2004-10-20,3506011155.78,3354204000.0,1.0452587725075757
2004-10-21,3548902373.5499997,3354204000.0,1.0580460739865554
2004-10-22,3548902373.5499997,3354204000.0,1.0580460739865554
2004-10-25,3555820311.9,3354204000.0,1.060108541967036
2004-10-26,3652671448.7999997,3354204000.0,1.0889830936937646
2004-10-27,3624999695.4,3354204000.0,1.0807332217718422
2004-10-28,3666507325.5,3354204000.0,1.0931080296547258
2004-10-29,3732919533.66,3354204000.0,1.1129077222673396
2004-11-01,3698329841.91,3354204000.0,1.1025953823649366
2004-11-02,3698329841.91,3354204000.0,1.1025953823649366
2004-11-03,3673425263.85,3354204000.0,1.0951704976352064
2004-11-04,3749522585.7000003,3354204000.0,1.1178576454204934
2004-11-05,3922471044.4500003,3354204000.0,1.1694193449325088
2004-11-08,4026240119.7000003,3354204000.0,1.200356364639718
2004-11-09,4037308821.06,3354204000.0,1.2036563134084868
2004-11-10,4040075996.4,3354204000.0,1.2044813006006792
2004-11-11,4005486304.65,3354204000.0,1.194168960698276
2004-11-12,4012404243.0,3555051000.0,1.128648855670425
2004-11-15,4017938593.68,3555051000.0,1.130205612712729
2004-11-16,4095419503.2000003,3555051000.0,1.1520002113049856
2004-11-17,4088501564.85,3555051000.0,1.1500542650021055
2004-11-18,4062213399.12,3555051000.0,1.1426596690511612
2004-11-19,4046993934.75,3555051000.0,1.138378587184825
2004-11-22,4076049275.82,3555051000.0,1.1465515616569215
2004-11-23,4084350801.84,3555051000.0,1.1488866972203775
2004-11-24,4080200038.83,3555051000.0,1.1477191294386493
