date,close price,HON_SHE,HON_TA,HON_TL,market cap,PB Ratio
2007-03-21,45.48,9720000000.0,30941000000.0,21221000000.0,36246181774.079994,3.729031046716049
2007-03-22,45.36,9720000000.0,30941000000.0,21221000000.0,36150545410.56,3.7191919146666663
2007-03-23,45.49,9720000000.0,30941000000.0,21221000000.0,36254151471.04,3.7298509743868316
2007-03-26,45.13,9720000000.0,30941000000.0,21221000000.0,35967242380.48,3.7003335782386833
2007-03-27,44.55,9720000000.0,30941000000.0,21221000000.0,35504999956.799995,3.652777773333333
2007-03-28,43.88,9720000000.0,30941000000.0,21221000000.0,34971030260.48,3.597842619390947
2007-03-29,43.8,9720000000.0,30941000000.0,21221000000.0,34907272684.799995,3.591283198024691
2007-03-30,43.91,9720000000.0,30941000000.0,21221000000.0,34994939351.36,3.600302402403292
2007-04-02,44.0,9720000000.0,30941000000.0,21221000000.0,34502068964.0,3.5495955724279837
2007-04-03,44.56,9720000000.0,30941000000.0,21221000000.0,34941186205.36,3.5947722433497944
2007-04-04,45.05,9720000000.0,30941000000.0,21221000000.0,35325413791.549995,3.634301830406378
2007-04-05,45.06,9720000000.0,30941000000.0,21221000000.0,35333255170.86,3.6351085566728396
2007-04-09,44.91,9720000000.0,30941000000.0,21221000000.0,35215634481.21,3.623007662675926
2007-04-10,44.79,9720000000.0,30941000000.0,21221000000.0,35121537929.49,3.6133269474783947
2007-04-11,44.23,9720000000.0,30941000000.0,21221000000.0,34682420688.13,3.568150276556584
2007-04-12,44.8,9720000000.0,30941000000.0,21221000000.0,35129379308.799995,3.6141336737448553
2007-04-13,44.84,9720000000.0,30941000000.0,21221000000.0,35160744826.04,3.6173605788106995
2007-04-16,45.17,9720000000.0,30941000000.0,21221000000.0,35419510343.270004,3.64398254560391
2007-04-17,45.42,9720000000.0,30941000000.0,21221000000.0,35615544826.020004,3.6641507022654327
2007-04-18,45.96,9720000000.0,30941000000.0,21221000000.0,36038979308.76,3.7077139206543213
2007-04-19,46.77,9720000000.0,30941000000.0,21221000000.0,36674131032.87,3.7730587482376547
2007-04-20,49.0,9163000000.0,31213000000.0,22050000000.0,38422758619.0,4.193250967914438
2007-04-23,48.84,9163000000.0,31213000000.0,22050000000.0,38297296550.04,4.179558719855942
2007-04-24,50.43,9163000000.0,31213000000.0,22050000000.0,39544075860.33,4.315625434937248
