date,close price,OTIS_SHE,OTIS_TA,OTIS_TL,market cap,PB Ratio
2020-07-01,55.779999,-4284000000.0,9524000000.0,13808000000.0,24158318000.0,-5.639196545284781
2020-07-02,56.5,-4284000000.0,9524000000.0,13808000000.0,24470150000.0,-5.7119864612511675
2020-07-06,56.860001,-4284000000.0,9524000000.0,13808000000.0,24626066000.0,-5.74838141923436
2020-07-07,56.82,-4284000000.0,9524000000.0,13808000000.0,24608742000.0,-5.744337535014005
2020-07-08,56.919998,-4284000000.0,9524000000.0,13808000000.0,24652052000.0,-5.754447245564893
2020-07-09,56.110001,-4284000000.0,9524000000.0,13808000000.0,24301241000.0,-5.672558590102708
2020-07-10,56.98,-4284000000.0,9524000000.0,13808000000.0,24678038000.0,-5.760513071895425
2020-07-13,56.889999,-4284000000.0,9524000000.0,13808000000.0,24639058566.9,-5.751414231302522
2020-07-14,57.369999,-4284000000.0,9524000000.0,13808000000.0,24846946566.9,-5.799940841946779
2020-07-15,58.200001,-4284000000.0,9524000000.0,13808000000.0,25206420433.1,-5.883851641713352
2020-07-16,58.32,-4284000000.0,9524000000.0,13808000000.0,25258392000.0,-5.895983193277311
2020-07-17,58.549999,-4284000000.0,9524000000.0,13808000000.0,25358004566.9,-5.919235426447246
2020-07-20,58.560001,-4284000000.0,9524000000.0,13808000000.0,25362336433.1,-5.9202465996965445
2020-07-21,58.439999,-4284000000.0,9524000000.0,13808000000.0,25310363566.9,-5.90811474484127
2020-07-22,58.48,-4284000000.0,9524000000.0,13808000000.0,25327688000.0,-5.91215873015873
2020-07-23,59.060001,-4284000000.0,9524000000.0,13808000000.0,25578886433.1,-5.97079515245098
2020-07-24,58.130001,-4284000000.0,9524000000.0,13808000000.0,25176103433.1,-5.876774844327731
2020-07-27,58.32,-4284000000.0,9524000000.0,13808000000.0,25258392000.0,-5.895983193277311
2020-07-28,60.279999,-4284000000.0,9524000000.0,13808000000.0,26107267566.899998,-6.094133418977591
2020-07-29,64.300003,-4284000000.0,9524000000.0,13808000000.0,27848331299.300003,-6.500544187511672
2020-07-30,63.389999,-4284000000.0,9524000000.0,13808000000.0,27454208566.9,-6.408545417110178
2020-07-31,62.740002,-4242000000.0,10441000000.0,14683000000.0,27204064867.199997,-6.413028021499292
2020-08-03,63.209999,-4242000000.0,10441000000.0,14683000000.0,27407855566.4,-6.461069204714757
2020-08-04,62.610001,-4242000000.0,10441000000.0,14683000000.0,27147696433.6,-6.399739847619047
2020-08-05,63.09,-4242000000.0,10441000000.0,14683000000.0,27355824000.0,-6.448803394625177
2020-08-06,63.48,-4242000000.0,10441000000.0,14683000000.0,27524928000.0,-6.488667609618105
