date,WMT,WMT_SHE,PB Ratio
2010-09-13,193490260000.0,64646000000.0,2.9930739720941744
2010-09-14,195157960000.0,64646000000.0,3.0188713918881294
2010-09-15,195899160000.0,64646000000.0,3.0303369117965535
2010-09-16,196973900000.0,64646000000.0,3.046961915663769
2010-09-17,196455060000.0,64646000000.0,3.038936051727872
2010-09-20,198419240000.0,64646000000.0,3.0693196794851962
2010-09-21,198530420000.0,64646000000.0,3.07103950747146
2010-09-22,199456920000.0,64646000000.0,3.0853714073569902
2010-09-23,198826900000.0,64646000000.0,3.0756257154348297
2010-09-24,200420480000.0,64646000000.0,3.100276583237942
2010-09-27,198196880000.0,64646000000.0,3.065880023512669
2010-09-28,199456920000.0,64646000000.0,3.0853714073569902
2010-09-29,197715100000.0,64646000000.0,3.058427435572193
2010-09-30,198345120000.0,64646000000.0,3.068173127494354
2010-10-01,197752160000.0,64646000000.0,3.0590007115676143
2010-10-04,198530420000.0,64646000000.0,3.07103950747146
2010-10-05,200124000000.0,64646000000.0,3.095690375274572
2010-10-06,202199360000.0,64646000000.0,3.1277938310181606
2010-10-07,201458160000.0,64646000000.0,3.116328311109736
2010-10-08,201643460000.0,64646000000.0,3.119194691086842
2010-10-11,202384660000.0,64646000000.0,3.1306602109952664
2010-10-12,199827520000.0,64646000000.0,3.0911041673112027
2010-10-13,199456920000.0,64646000000.0,3.0853714073569902
2010-10-14,197344500000.0,64646000000.0,3.052694675617981
2010-10-15,197715100000.0,64646000000.0,3.058427435572193
2010-10-18,199234560000.0,64646000000.0,3.081931751384463
2010-10-19,197603920000.0,64646000000.0,3.0567076075859294
2010-10-20,198159820000.0,64646000000.0,3.0653067475172477
2010-10-21,200235180000.0,64646000000.0,3.097410203260836
2010-10-22,200346360000.0,64646000000.0,3.0991300312470997
2010-10-25,199938700000.0,64646000000.0,3.0928239952974663
2010-10-26,202199360000.0,64646000000.0,3.1277938310181606
2010-10-27,199642220000.0,64646000000.0,3.0882377873340965
2010-10-28,200420480000.0,64646000000.0,3.100276583237942
2010-10-29,200754020000.0,64646000000.0,3.105436067196733
2010-11-01,199317700000.0,64646000000.0,3.083217832503171
2010-11-02,201079300000.0,64646000000.0,3.110467778362157
2010-11-03,201519700000.0,64646000000.0,3.1172802648269036
2010-11-04,203171200000.0,64646000000.0,3.1428270890697028
2010-11-05,202584000000.0,64646000000.0,3.133743773783374
