date,close price,UPS_SHE,UPS_TA,UPS_TL,market cap,PB Ratio
2018-03-07,109.21,1000000000.0,45403000000.0,44403000000.0,95012700000.0,95.0127
2018-03-08,108.8,1000000000.0,45403000000.0,44403000000.0,94656000000.0,94.656
2018-03-09,110.38,1000000000.0,45403000000.0,44403000000.0,96030600000.0,96.0306
2018-03-12,108.91,1000000000.0,45403000000.0,44403000000.0,94751700000.0,94.7517
2018-03-13,109.33,1000000000.0,45403000000.0,44403000000.0,95117100000.0,95.1171
2018-03-14,108.76,1000000000.0,45403000000.0,44403000000.0,94621200000.0,94.6212
2018-03-15,109.72,1000000000.0,45403000000.0,44403000000.0,95456400000.0,95.4564
2018-03-16,110.91,1000000000.0,45403000000.0,44403000000.0,96491700000.0,96.4917
2018-03-19,108.46,1000000000.0,45403000000.0,44403000000.0,94360200000.0,94.3602
2018-03-20,108.03,1000000000.0,45403000000.0,44403000000.0,93986100000.0,93.9861
2018-03-21,107.65,1000000000.0,45403000000.0,44403000000.0,93655500000.0,93.6555
2018-03-22,104.45,1000000000.0,45403000000.0,44403000000.0,90871500000.0,90.8715
2018-03-23,101.66,1000000000.0,45403000000.0,44403000000.0,88444200000.0,88.4442
2018-03-26,103.7,1000000000.0,45403000000.0,44403000000.0,90219000000.0,90.219
2018-03-27,102.17,1000000000.0,45403000000.0,44403000000.0,88887900000.0,88.8879
2018-03-28,102.68,1000000000.0,45403000000.0,44403000000.0,89331600000.0,89.3316
2018-03-29,104.66,1000000000.0,45403000000.0,44403000000.0,91054200000.0,91.0542
2018-04-02,103.84,1000000000.0,45403000000.0,44403000000.0,90340800000.0,90.3408
2018-04-03,105.54,1000000000.0,45403000000.0,44403000000.0,91819800000.0,91.8198
2018-04-04,106.41,1000000000.0,45403000000.0,44403000000.0,92576700000.0,92.5767
2018-04-05,107.18,1000000000.0,45403000000.0,44403000000.0,93246600000.0,93.2466
2018-04-06,105.33,1000000000.0,45403000000.0,44403000000.0,91637100000.0,91.6371
2018-04-09,104.6,1000000000.0,45403000000.0,44403000000.0,91002000000.0,91.002
2018-04-10,106.02,1000000000.0,45403000000.0,44403000000.0,92237400000.0,92.2374
2018-04-11,106.09,1000000000.0,45403000000.0,44403000000.0,92298300000.0,92.2983
2018-04-12,106.99,1000000000.0,45403000000.0,44403000000.0,93081300000.0,93.0813
2018-04-13,107.25,1000000000.0,45403000000.0,44403000000.0,93307500000.0,93.3075
2018-04-16,109.25,1000000000.0,45403000000.0,44403000000.0,95047500000.0,95.0475
2018-04-17,109.52,1000000000.0,45403000000.0,44403000000.0,95282400000.0,95.2824
2018-04-18,110.9,1000000000.0,45403000000.0,44403000000.0,96483000000.0,96.483
2018-04-19,109.68,1000000000.0,45403000000.0,44403000000.0,95421600000.0,95.4216
2018-04-20,108.55,1000000000.0,45403000000.0,44403000000.0,94438500000.0,94.4385
2018-04-23,109.11,1000000000.0,45403000000.0,44403000000.0,94925700000.0,94.9257
2018-04-24,108.22,1000000000.0,45403000000.0,44403000000.0,94151400000.0,94.1514
2018-04-25,108.66,1000000000.0,45403000000.0,44403000000.0,94534200000.0,94.5342
2018-04-26,113.28,1000000000.0,45403000000.0,44403000000.0,98553600000.0,98.5536
2018-04-27,113.99,1000000000.0,45403000000.0,44403000000.0,99171300000.0,99.1713
2018-04-30,113.5,1000000000.0,45403000000.0,44403000000.0,98745000000.0,98.745
2018-05-01,112.45,1000000000.0,45403000000.0,44403000000.0,97831500000.0,97.8315
2018-05-02,111.15,1000000000.0,45403000000.0,44403000000.0,96700500000.0,96.7005
2018-05-03,109.81,1344000000.0,44464000000.0,43120000000.0,95534700000.0,71.08236607142857
2018-05-04,111.31,1344000000.0,44464000000.0,43120000000.0,96839700000.0,72.05334821428572
2018-05-07,112.12,1344000000.0,44464000000.0,43120000000.0,97544400000.0,72.57767857142858
2018-05-08,111.27,1344000000.0,44464000000.0,43120000000.0,96804900000.0,72.02745535714286
2018-05-09,111.4,1344000000.0,44464000000.0,43120000000.0,96918000000.0,72.11160714285714
2018-05-10,113.99,1344000000.0,44464000000.0,43120000000.0,99171300000.0,73.78816964285714
2018-05-11,115.45,1344000000.0,44464000000.0,43120000000.0,100441500000.0,74.73325892857143
2018-05-14,116.34,1344000000.0,44464000000.0,43120000000.0,101215800000.0,75.309375
2018-05-15,115.61,1344000000.0,44464000000.0,43120000000.0,100580700000.0,74.83683035714286
2018-05-16,116.32,1344000000.0,44464000000.0,43120000000.0,101198400000.0,75.29642857142858
2018-05-17,116.59,1344000000.0,44464000000.0,43120000000.0,101433300000.0,75.47120535714286
2018-05-18,115.38,1344000000.0,44464000000.0,43120000000.0,100380600000.0,74.68794642857142
2018-05-21,117.08,1344000000.0,44464000000.0,43120000000.0,101859600000.0,75.78839285714285
2018-05-22,115.36,1344000000.0,44464000000.0,43120000000.0,100363200000.0,74.675
2018-05-23,115.28,1344000000.0,44464000000.0,43120000000.0,100293600000.0,74.62321428571428
2018-05-24,115.63,1344000000.0,44464000000.0,43120000000.0,100598100000.0,74.84977678571428
2018-05-25,115.49,1344000000.0,44464000000.0,43120000000.0,100476300000.0,74.75915178571428
2018-05-29,113.83,1344000000.0,44464000000.0,43120000000.0,99032100000.0,73.68459821428571
2018-05-30,116.69,1344000000.0,44464000000.0,43120000000.0,101520300000.0,75.5359375
2018-05-31,116.12,1344000000.0,44464000000.0,43120000000.0,101024400000.0,75.16696428571429
2018-06-01,117.25,1344000000.0,44464000000.0,43120000000.0,102007500000.0,75.8984375
2018-06-04,116.97,1344000000.0,44464000000.0,43120000000.0,101763900000.0,75.7171875
2018-06-05,116.81,1344000000.0,44464000000.0,43120000000.0,101624700000.0,75.61361607142857
2018-06-06,117.02,1344000000.0,44464000000.0,43120000000.0,101807400000.0,75.74955357142858
2018-06-07,116.19,1344000000.0,44464000000.0,43120000000.0,101085300000.0,75.21227678571428
2018-06-08,116.6,1344000000.0,44464000000.0,43120000000.0,101442000000.0,75.47767857142857
2018-06-11,116.85,1344000000.0,44464000000.0,43120000000.0,101659500000.0,75.63950892857143
2018-06-12,118.34,1344000000.0,44464000000.0,43120000000.0,102955800000.0,76.60401785714286
2018-06-13,117.33,1344000000.0,44464000000.0,43120000000.0,102077100000.0,75.95022321428571
2018-06-14,117.19,1344000000.0,44464000000.0,43120000000.0,101955300000.0,75.85959821428571
2018-06-15,116.77,1344000000.0,44464000000.0,43120000000.0,101589900000.0,75.58772321428572
2018-06-18,116.77,1344000000.0,44464000000.0,43120000000.0,101589900000.0,75.58772321428572
2018-06-19,114.82,1344000000.0,44464000000.0,43120000000.0,99893400000.0,74.32544642857142
2018-06-20,113.65,1344000000.0,44464000000.0,43120000000.0,98875500000.0,73.56808035714286
2018-06-21,113.42,1344000000.0,44464000000.0,43120000000.0,98675400000.0,73.41919642857142
2018-06-22,113.7,1344000000.0,44464000000.0,43120000000.0,98919000000.0,73.60044642857143
2018-06-25,110.2,1344000000.0,44464000000.0,43120000000.0,95874000000.0,71.33482142857143
2018-06-26,109.57,1344000000.0,44464000000.0,43120000000.0,95325900000.0,70.92700892857142
2018-06-27,108.38,1344000000.0,44464000000.0,43120000000.0,94290600000.0,70.15669642857142
2018-06-28,105.88,1344000000.0,44464000000.0,43120000000.0,92115600000.0,68.53839285714285
2018-06-29,106.23,1344000000.0,44464000000.0,43120000000.0,92420100000.0,68.76495535714285
2018-07-02,105.88,1344000000.0,44464000000.0,43120000000.0,92115600000.0,68.53839285714285
2018-07-03,105.76,1344000000.0,44464000000.0,43120000000.0,92011200000.0,68.46071428571429
2018-07-05,106.29,1344000000.0,44464000000.0,43120000000.0,92472300000.0,68.80379464285714
2018-07-06,106.03,1344000000.0,44464000000.0,43120000000.0,92246100000.0,68.63549107142858
2018-07-09,108.59,1344000000.0,44464000000.0,43120000000.0,94473300000.0,70.29263392857143
2018-07-10,108.51,1344000000.0,44464000000.0,43120000000.0,94403700000.0,70.24084821428572
2018-07-11,107.33,1344000000.0,44464000000.0,43120000000.0,93377100000.0,69.47700892857142
2018-07-12,108.53,1344000000.0,44464000000.0,43120000000.0,94421100000.0,70.25379464285714
2018-07-13,108.97,1344000000.0,44464000000.0,43120000000.0,94803900000.0,70.53861607142858
2018-07-16,110.65,1344000000.0,44464000000.0,43120000000.0,96265500000.0,71.62611607142857
2018-07-17,111.07,1344000000.0,44464000000.0,43120000000.0,96630900000.0,71.89799107142858
2018-07-18,112.16,1344000000.0,44464000000.0,43120000000.0,97579200000.0,72.60357142857143
2018-07-19,112.84,1344000000.0,44464000000.0,43120000000.0,98170800000.0,73.04375
2018-07-20,112.07,1344000000.0,44464000000.0,43120000000.0,97500900000.0,72.5453125
2018-07-23,112.71,1344000000.0,44464000000.0,43120000000.0,98057700000.0,72.95959821428572
2018-07-24,112.44,1344000000.0,44464000000.0,43120000000.0,97822800000.0,72.78482142857143
2018-07-25,120.2,1344000000.0,44464000000.0,43120000000.0,104574000000.0,77.80803571428571
2018-07-26,118.87,1344000000.0,44464000000.0,43120000000.0,103416900000.0,76.94709821428572
2018-07-27,118.66,1344000000.0,44464000000.0,43120000000.0,103234200000.0,76.81116071428572
2018-07-30,118.71,1344000000.0,44464000000.0,43120000000.0,103277700000.0,76.84352678571429
2018-07-31,119.89,1344000000.0,44464000000.0,43120000000.0,104304300000.0,77.60736607142857
2018-08-01,119.36,1344000000.0,44464000000.0,43120000000.0,103843200000.0,77.26428571428572
2018-08-02,118.6,2328000000.0,45223000000.0,42895000000.0,103182000000.0,44.32216494845361
2018-08-03,119.15,2328000000.0,45223000000.0,42895000000.0,103660500000.0,44.52770618556701
2018-08-06,119.54,2328000000.0,45223000000.0,42895000000.0,103999800000.0,44.67345360824742
2018-08-07,120.01,2328000000.0,45223000000.0,42895000000.0,104408700000.0,44.84909793814433
2018-08-08,120.58,2328000000.0,45223000000.0,42895000000.0,104904600000.0,45.062113402061854
2018-08-09,120.87,2328000000.0,45223000000.0,42895000000.0,105156900000.0,45.17048969072165
2018-08-10,119.27,2328000000.0,45223000000.0,42895000000.0,103764900000.0,44.57255154639175
2018-08-13,118.16,2328000000.0,45223000000.0,42895000000.0,102799200000.0,44.15773195876289
2018-08-14,118.98,2328000000.0,45223000000.0,42895000000.0,103512600000.0,44.46417525773196
2018-08-15,120.05,2328000000.0,45223000000.0,42895000000.0,104443500000.0,44.86404639175258
2018-08-16,121.11,2328000000.0,45223000000.0,42895000000.0,105365700000.0,45.260180412371135
2018-08-17,121.8,2328000000.0,45223000000.0,42895000000.0,105966000000.0,45.5180412371134
2018-08-20,122.55,2328000000.0,45223000000.0,42895000000.0,106618500000.0,45.79832474226804
2018-08-21,123.01,2328000000.0,45223000000.0,42895000000.0,107018700000.0,45.97023195876289
2018-08-22,121.87,2328000000.0,45223000000.0,42895000000.0,106026900000.0,45.54420103092784
2018-08-23,121.71,2328000000.0,45223000000.0,42895000000.0,105887700000.0,45.484407216494844
2018-08-24,122.74,2328000000.0,45223000000.0,42895000000.0,106783800000.0,45.86932989690722
2018-08-27,123.85,2328000000.0,45223000000.0,42895000000.0,107749500000.0,46.28414948453608
