date,close price,AVB_SHE,AVB_TA,AVB_TL,market cap,PB Ratio
2003-02-13,36.09,2223921000.0,4919810000.0,2621708000.0,1927618436.5200002,0.8667656973966252
2003-02-14,35.8,2223921000.0,4919810000.0,2621708000.0,1912129122.3999999,0.8598008303352501
2003-02-18,36.46,2223921000.0,4919810000.0,2621708000.0,1947380664.88,0.8756519070956208
2003-02-19,36.6,2223921000.0,4919810000.0,2621708000.0,1954858264.8000002,0.879014256711457
2003-02-20,36.67,2223921000.0,4919810000.0,2621708000.0,1958597064.76,0.880695431519375
2003-02-21,36.81,2223921000.0,4919810000.0,2621708000.0,1966074664.68,0.8840577811352112
2003-02-24,36.45,2223921000.0,4919810000.0,2621708000.0,1946846550.6000001,0.8754117392659182
2003-02-25,36.63,2223921000.0,4919810000.0,2621708000.0,1956460607.64,0.8797347602005647
2003-02-26,36.55,2223921000.0,4919810000.0,2621708000.0,1952187693.3999999,0.877813417562944
2003-02-27,36.65,2223921000.0,4919810000.0,2621708000.0,1957528836.1999998,0.8802150958599697
2003-02-28,36.71,2223921000.0,4919810000.0,2621708000.0,1960733521.88,0.8816561028381854
2003-03-03,36.66,2223921000.0,4919810000.0,2621708000.0,1958062950.4799998,0.8804552636896723
2003-03-04,36.17,2223921000.0,4919810000.0,2621708000.0,1931891350.76,0.8686870400342458
2003-03-05,36.1,2223921000.0,4919810000.0,2621708000.0,1928152550.8000002,0.8670058652263278
2003-03-06,35.97,2223921000.0,4919810000.0,2621708000.0,1921209065.1599998,0.8638836834401941
2003-03-07,35.87,2223921000.0,4919810000.0,2621708000.0,1915867922.36,0.8614820051431683
2003-03-10,35.39,2223921000.0,4919810000.0,2621708000.0,1890230436.92,0.8499539493174443
2003-03-11,35.5,2194540000.0,4950835000.0,2678852000.0,1896105694.0,0.864010541616922
2003-03-12,35.49,2194540000.0,4950835000.0,2678852000.0,1895571579.72,0.8637671583657623
2003-03-13,35.8,2194540000.0,4950835000.0,2678852000.0,1912129122.3999999,0.8713120391517128
2003-03-14,35.75,2194540000.0,4950835000.0,2678852000.0,1909458551.0,0.8700951228959144
2003-03-17,36.45,2194540000.0,4950835000.0,2678852000.0,1946846550.6000001,0.8871319504770933
2003-03-18,36.25,2194540000.0,4950835000.0,2678852000.0,1936164265.0,0.8822642854538992
2003-03-19,36.68,2194540000.0,4950835000.0,2678852000.0,1959131179.04,0.8927297652537661
2003-03-20,37.4,2194540000.0,4950835000.0,2678852000.0,1997587407.1999998,0.9102533593372643
2003-03-21,37.9,2194540000.0,4950835000.0,2678852000.0,2024293121.1999998,0.922422521895249
2003-03-24,37.2,2194540000.0,4950835000.0,2678852000.0,1986905121.6000001,0.9053856943140705
2003-03-25,37.52,2194540000.0,4950835000.0,2678852000.0,2003996778.5600002,0.9131739583511808
2003-03-26,37.8,2194540000.0,4950835000.0,2678852000.0,2018951978.3999999,0.9199886893836521
2003-03-27,37.7,2194540000.0,4950835000.0,2678852000.0,2013610835.6000001,0.9175548568720553
2003-03-28,36.88,2194540000.0,4950835000.0,2678852000.0,1969813464.64,0.8975974302769602
2003-03-31,36.9,2194540000.0,4950835000.0,2678852000.0,1970881693.1999998,0.8980841967792794
2003-04-01,37.69,2194540000.0,4950835000.0,2678852000.0,4117255599.9999995,1.8761360467341672
2003-04-02,37.9,2194540000.0,4950835000.0,2678852000.0,4140196000.0,1.8865894447127871
2003-04-03,37.85,2194540000.0,4950835000.0,2678852000.0,4134734000.0,1.8841005404321634
2003-04-04,37.95,2194540000.0,4950835000.0,2678852000.0,4145658000.0000005,1.889078348993411
2003-04-07,38.31,2194540000.0,4950835000.0,2678852000.0,4184984400.0000005,1.906998459813902
2003-04-08,38.1,2194540000.0,4950835000.0,2678852000.0,4162044000.0,1.8965450618352822
2003-04-09,38.25,2194540000.0,4950835000.0,2678852000.0,4178430000.0,1.9040117746771532
