date,VRSK,VRSK_SHE,PB Ratio
2016-06-21,13735402613.279999,1290465000.0,10.643762220036962
2016-06-22,13529782813.679998,1290465000.0,10.484424462251978
2016-06-23,13730262118.289999,1290465000.0,10.639778776092339
2016-06-24,13358432980.679998,1290465000.0,10.351642997431158
2016-06-27,13022587308.0,1290465000.0,10.09139132638235
2016-06-28,13274471562.51,1290465000.0,10.286580079668957
2016-06-29,13564052780.279999,1290465000.0,10.510980755216142
2016-06-30,13893044459.64,1290465000.0,10.765921167672118
2016-07-01,13879105645.77,1290465000.0,10.75511977912613
2016-07-05,13997437326.18,1290465000.0,10.84681671039509
2016-07-06,14004297133.74,1290465000.0,10.852132474526623
2016-07-07,14036881219.65,1290465000.0,10.87738235415141
2016-07-08,14302698762.6,1290465000.0,11.083368214248353
2016-07-11,14409025779.779999,1290465000.0,11.165762558287128
2016-07-12,14487913566.720001,1290465000.0,11.22689384579977
2016-07-13,14527357460.189999,1290465000.0,11.257459489556089
2016-07-14,14679988178.4,1290465000.0,11.37573524148272
2016-07-15,14618249910.359999,1290465000.0,11.327893364298914
2016-07-18,14587380776.34,1290465000.0,11.303972425707013
2016-07-19,14669698467.060001,1290465000.0,11.36776159528542
2016-07-20,14645689140.6,1290465000.0,11.349156420825052
2016-07-21,14542792027.199999,1290465000.0,11.26941995885204
2016-07-22,14705712456.75,1290465000.0,11.395669356975974
2016-07-25,14666268563.279999,1290465000.0,11.365103713219652
2016-07-26,14638829333.039999,1290465000.0,11.343840656693517
2016-07-27,14606245247.130001,1290465000.0,11.318590777068732
2016-07-28,14669698467.060001,1290465000.0,11.36776159528542
2016-07-29,14625109717.92,1290465000.0,11.33320912843045
2016-08-01,14553081738.539999,1290465000.0,11.277393605049342
2016-08-02,14357577223.08,1449864000.0,9.902706200774693
2016-08-03,13621862862.27,1449864000.0,9.395269392349903
2016-08-04,13913404683.57,1449864000.0,9.59635157750658
2016-08-05,14091759680.130001,1449864000.0,9.719366561367137
2016-08-08,13978572855.390001,1449864000.0,9.641299360071015
2016-08-09,14016301796.970001,1449864000.0,9.667321760503055
2016-08-10,13968283144.050001,1449864000.0,9.634202341771367
2016-08-11,13988862566.73,1449864000.0,9.648396378370661
2016-08-12,13963138288.380001,1449864000.0,9.630653832621544
2016-08-15,13999152278.07,1449864000.0,9.655493396670309
2016-08-16,13992292470.51,1449864000.0,9.65076205113721
2016-08-17,14021446652.640001,1449864000.0,9.670870269652879
