date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2018-11-01,89.49,4082900000.0,4783300000.0,700400000.0,15902373000.0,3.8948720272355435
2018-11-02,85.27,4082900000.0,4783300000.0,700400000.0,15152479000.0,3.711205025839477
2018-11-05,83.0,4082900000.0,4783300000.0,700400000.0,14749100000.0,3.612407847363394
2018-11-06,82.64,4082900000.0,4783300000.0,700400000.0,14685128000.0,3.5967395723627815
2018-11-07,82.65,4082900000.0,4783300000.0,700400000.0,14686905000.000002,3.59717480222391
2018-11-08,83.4,4082900000.0,4783300000.0,700400000.0,14820180000.000002,3.629817041808519
2018-11-09,76.66,4082900000.0,4783300000.0,700400000.0,13622482000.0,3.336472115408166
2018-11-12,72.84,4082900000.0,4783300000.0,700400000.0,12943668000.0,3.170214308457224
2018-11-13,72.08,4082900000.0,4783300000.0,700400000.0,12808616000.0,3.137136839011487
2018-11-14,71.28,4082900000.0,4783300000.0,700400000.0,12666456000.0,3.1023184501212375
2018-11-15,73.14,4097000000.0,4828900000.0,731900000.0,12996978000.0,3.172315840859165
2018-11-16,72.95,4097000000.0,4828900000.0,731900000.0,12963215000.0,3.1640749328777154
2018-11-19,70.76,4097000000.0,4828900000.0,731900000.0,12574052000.0,3.06908762509153
2018-11-20,69.41,4097000000.0,4828900000.0,731900000.0,12334157000.0,3.0105338052233344
2018-11-21,70.32,4097000000.0,4828900000.0,731900000.0,12495863999.999998,3.050003417134488
2018-11-23,70.6,4097000000.0,4828900000.0,731900000.0,12545619999.999998,3.062147913107151
2018-11-26,70.95,4097000000.0,4828900000.0,731900000.0,12607815000.0,3.07732853307298
2018-11-27,70.67,4097000000.0,4828900000.0,731900000.0,12558059000.0,3.0651840371003174
2018-11-28,72.18,4097000000.0,4828900000.0,731900000.0,12826386000.000002,3.1306775689528927
2018-11-29,71.23,4097000000.0,4828900000.0,731900000.0,12657571000.0,3.089473029045643
2018-11-30,72.77,4097000000.0,4828900000.0,731900000.0,12931229000.0,3.1562677568952893
2018-12-03,73.46,4097000000.0,4828900000.0,731900000.0,13053841999.999998,3.1861952648279224
2018-12-04,70.76,4097000000.0,4828900000.0,731900000.0,12574052000.0,3.06908762509153
2018-12-06,70.61,4097000000.0,4828900000.0,731900000.0,12547397000.0,3.0625816451061754
2018-12-07,67.57,4097000000.0,4828900000.0,731900000.0,12007188999.999998,2.930727117402977
2018-12-10,67.44,4097000000.0,4828900000.0,731900000.0,11984088000.0,2.92508860141567
2018-12-11,68.52,4097000000.0,4828900000.0,731900000.0,12176004000.0,2.971931657310227
2018-12-12,69.31,4097000000.0,4828900000.0,731900000.0,12316387000.0,3.0061964852330973
2018-12-13,69.62,4097000000.0,4828900000.0,731900000.0,12371474000.0,3.0196421772028312
2018-12-14,68.69,4097000000.0,4828900000.0,731900000.0,12206213000.0,2.9793051012936296
2018-12-17,68.43,4097000000.0,4828900000.0,731900000.0,12160011000.000002,2.9680280693190144
2018-12-18,68.76,4097000000.0,4828900000.0,731900000.0,12218652000.0,2.9823412252867953
2018-12-19,66.36,4097000000.0,4828900000.0,731900000.0,11792172000.0,2.878245545521113
2018-12-20,65.64,4097000000.0,4828900000.0,731900000.0,11664228000.0,2.8470168415914086
2018-12-21,64.49,4097000000.0,4828900000.0,731900000.0,11459873000.0,2.797137661703686
2018-12-24,62.78,4097000000.0,4828900000.0,731900000.0,11156006000.0,2.722969489870637
2018-12-26,66.71,4097000000.0,4828900000.0,731900000.0,11854366999.999998,2.8934261654869413
2018-12-27,67.72,4097000000.0,4828900000.0,731900000.0,12033844000.0,2.937233097388333
2018-12-28,67.22,4097000000.0,4828900000.0,731900000.0,11944994000.0,2.915546497437149
2018-12-31,67.02,4097000000.0,4828900000.0,731900000.0,11802222000.0,2.880698559921894
2019-01-02,67.96,4097000000.0,4828900000.0,731900000.0,11967755999.999998,2.921102269953624
2019-01-03,60.72,4097000000.0,4828900000.0,731900000.0,10692792000.0,2.6099077373688067
2019-01-04,63.63,4097000000.0,4828900000.0,731900000.0,11205243000.0,2.734987307786185
2019-01-07,64.49,4097000000.0,4828900000.0,731900000.0,11356689000.0,2.7719524041981938
2019-01-08,65.19,4097000000.0,4828900000.0,731900000.0,11479959000.0,2.8020402733707592
2019-01-09,67.69,4097000000.0,4828900000.0,731900000.0,11920209000.0,2.909496948987064
2019-01-10,68.59,4097000000.0,4828900000.0,731900000.0,12078699000.0,2.9481813522089335
2019-01-11,70.02,4097000000.0,4828900000.0,731900000.0,12330522000.0,3.0096465706614595
