date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
2019-05-01,56.13,27157000000.0,79051000000.0,51894000000.0,41962788000.0,1.545192326103767
2019-05-02,52.7,27157000000.0,79051000000.0,51894000000.0,39398520000.0,1.450768494310859
2019-05-03,53.3,26966000000.0,79737000000.0,52771000000.0,39847080000.0,1.4776785581843803
2019-05-06,53.46,26966000000.0,79737000000.0,52771000000.0,39966696000.0,1.4821143662389675
2019-05-07,52.95,26966000000.0,79737000000.0,52771000000.0,39585420000.0,1.4679752280649707
2019-05-08,52.48,26966000000.0,79737000000.0,52771000000.0,39234048000.0,1.4549450419046206
2019-05-09,52.93,26966000000.0,79737000000.0,52771000000.0,39570468000.0,1.4674207520581473
2019-05-10,53.07,26966000000.0,79737000000.0,52771000000.0,39675132000.0,1.4713020841059112
2019-05-13,50.95,26966000000.0,79737000000.0,52771000000.0,38090220000.0,1.41252762738263
2019-05-14,52.48,26966000000.0,79737000000.0,52771000000.0,39234048000.0,1.4549450419046206
2019-05-15,52.95,26966000000.0,79737000000.0,52771000000.0,39585420000.0,1.4679752280649707
2019-05-16,52.98,26966000000.0,79737000000.0,52771000000.0,39607848000.0,1.468806942075206
2019-05-17,50.8,26966000000.0,79737000000.0,52771000000.0,37978080000.0,1.4083690573314545
2019-05-20,50.08,26966000000.0,79737000000.0,52771000000.0,37439808000.0,1.3884079210858118
2019-05-21,50.63,26966000000.0,79737000000.0,52771000000.0,37850988000.0,1.4036560112734555
2019-05-22,50.21,26966000000.0,79737000000.0,52771000000.0,37536996000.0,1.3920120151301638
2019-05-23,48.71,26966000000.0,79737000000.0,52771000000.0,36415596000.0,1.3504263146184083
2019-05-24,49.2,26966000000.0,79737000000.0,52771000000.0,36781920000.0,1.364010976785582
2019-05-28,48.56,26966000000.0,79737000000.0,52771000000.0,36303456000.0,1.3462677445672329
2019-05-29,48.71,26966000000.0,79737000000.0,52771000000.0,36415596000.0,1.3504263146184083
2019-05-30,48.47,26966000000.0,79737000000.0,52771000000.0,36236172000.0,1.3437726025365275
2019-05-31,46.76,26966000000.0,79737000000.0,52771000000.0,34957776000.0,1.2963649039531262
2019-06-03,47.96,26966000000.0,79737000000.0,52771000000.0,35854896000.0,1.3296334643625305
2019-06-04,49.93,26966000000.0,79737000000.0,52771000000.0,37327668000.0,1.3842493510346363
2019-06-05,50.34,26966000000.0,79737000000.0,52771000000.0,37634184000.0,1.395616109174516
2019-06-06,51.06,26966000000.0,79737000000.0,52771000000.0,38172456000.0,1.4155772454201587
2019-06-07,51.3,26966000000.0,79737000000.0,52771000000.0,38351880000.0,1.4222309575020395
2019-06-10,51.62,26966000000.0,79737000000.0,52771000000.0,38591112000.0,1.4311025736112142
2019-06-11,52.04,26966000000.0,79737000000.0,52771000000.0,38905104000.0,1.4427465697545057
2019-06-12,52.49,26966000000.0,79737000000.0,52771000000.0,39241524000.0,1.4552222799080323
2019-06-13,52.88,26966000000.0,79737000000.0,52771000000.0,39533088000.0,1.4660345620410888
2019-06-14,51.15,26966000000.0,79737000000.0,52771000000.0,38239740000.0,1.418072387450864
2019-06-17,49.35,26966000000.0,79737000000.0,52771000000.0,36894060000.0,1.3681695468367574
2019-06-18,49.61,26966000000.0,79737000000.0,52771000000.0,37088436000.0,1.3753777349254617
2019-06-19,48.5,26966000000.0,79737000000.0,52771000000.0,36258600000.0,1.3446043165467625
2019-06-20,48.93,26966000000.0,79737000000.0,52771000000.0,36580068000.0,1.356525550693466
2019-06-21,48.36,26966000000.0,79737000000.0,52771000000.0,36153936000.0,1.3407229844989987
2019-06-24,49.58,26966000000.0,79737000000.0,52771000000.0,37066008000.0,1.3745460209152265
2019-06-25,49.69,26966000000.0,79737000000.0,52771000000.0,37148244000.0,1.3775956389527553
2019-06-26,50.45,26966000000.0,79737000000.0,52771000000.0,37716420000.0,1.3986657272120449
2019-06-27,50.91,26966000000.0,79737000000.0,52771000000.0,38060316000.0,1.4114186753689832
2019-06-28,49.31,26966000000.0,79737000000.0,52771000000.0,36864156000.0,1.3670605948231105
2019-07-01,50.16,26966000000.0,79737000000.0,52771000000.0,37424376000.0,1.3878356448861529
2019-07-02,49.4,26966000000.0,79737000000.0,52771000000.0,36857340000.0,1.3668078320848476
2019-07-03,49.33,26966000000.0,79737000000.0,52771000000.0,36805113000.0,1.3648710598531484
2019-07-05,49.31,26966000000.0,79737000000.0,52771000000.0,36790191000.0,1.3643176963583772
2019-07-08,48.52,26966000000.0,79737000000.0,52771000000.0,36200772000.0,1.342459838314915
2019-07-09,47.87,26966000000.0,79737000000.0,52771000000.0,35715807000.0,1.3244755247348512
2019-07-10,47.55,26966000000.0,79737000000.0,52771000000.0,35477055000.0,1.3156217088185123
2019-07-11,47.78,26966000000.0,79737000000.0,52771000000.0,35648658000.0,1.321985389008381
2019-07-12,49.71,26966000000.0,79737000000.0,52771000000.0,37088631000.0,1.3753849662538011
2019-07-15,50.93,26966000000.0,79737000000.0,52771000000.0,37998873000.0,1.409140139434844
2019-07-16,52.32,26966000000.0,79737000000.0,52771000000.0,39035952000.0,1.4475989023214417
2019-07-17,51.6,26966000000.0,79737000000.0,52771000000.0,38498760000.0,1.4276778165096788
2019-07-18,51.75,26966000000.0,79737000000.0,52771000000.0,38610675000.0,1.4318280427204628
2019-07-19,51.52,26966000000.0,79737000000.0,52771000000.0,38439072000.0,1.425464362530594
2019-07-22,50.88,26966000000.0,79737000000.0,52771000000.0,37961568000.0,1.407756730697916
2019-07-23,52.62,26966000000.0,79737000000.0,52771000000.0,39259782000.0,1.4558993547430097
2019-07-24,52.79,26966000000.0,79737000000.0,52771000000.0,39386619000.0,1.4606029444485649
2019-07-25,50.77,17911000000.0,64889000000.0,46978000000.0,37879497000.0,2.1148733739043046
2019-07-26,49.11,17911000000.0,64889000000.0,46978000000.0,36640971000.0,2.0457244709954776
2019-07-29,48.05,17911000000.0,64889000000.0,46978000000.0,35850105000.0,2.001569147451287
2019-07-30,48.4,17911000000.0,64889000000.0,46978000000.0,36111240000.0,2.0161487354139913
2019-07-31,48.44,17911000000.0,64889000000.0,46978000000.0,36141084000.0,2.0178149740383007
2019-08-01,46.85,17911000000.0,64889000000.0,46978000000.0,34954785000.0,1.9515819887220145
2019-08-02,45.6,17911000000.0,64889000000.0,46978000000.0,34022160000.0,1.8995120317123555
2019-08-05,44.77,17911000000.0,64889000000.0,46978000000.0,33402897000.000004,1.8649375802579422
2019-08-06,44.43,17911000000.0,64889000000.0,46978000000.0,33149223000.0,1.8507745519513148
2019-08-07,44.89,17911000000.0,64889000000.0,46978000000.0,33492429000.0,1.8699362961308692
2019-08-08,46.79,17911000000.0,64889000000.0,46978000000.0,34910019000.0,1.9490826307855509
2019-08-09,46.64,17911000000.0,64889000000.0,46978000000.0,34798104000.0,1.9428342359443918
2019-08-12,45.69,17911000000.0,64889000000.0,46978000000.0,34089309000.0,1.903261068617051
2019-08-13,46.85,17911000000.0,64889000000.0,46978000000.0,34954785000.0,1.9515819887220145
2019-08-14,44.08,17911000000.0,64889000000.0,46978000000.0,32888088000.0,1.8361949639886104
2019-08-15,43.38,17911000000.0,64889000000.0,46978000000.0,32365818000.000004,1.8070357880632015
2019-08-16,44.51,17911000000.0,64889000000.0,46978000000.0,33208911000.0,1.854107029199933
2019-08-19,45.6,17911000000.0,64889000000.0,46978000000.0,34022160000.0,1.8995120317123555
2019-08-20,43.16,17911000000.0,64889000000.0,46978000000.0,32201675999.999996,1.7978714756295011
2019-08-21,43.28,17911000000.0,64889000000.0,46978000000.0,32291208000.0,1.8028701915024288
2019-08-22,42.05,17911000000.0,64889000000.0,46978000000.0,31373504999.999996,1.7516333538049242
2019-08-23,40.71,17911000000.0,64889000000.0,46978000000.0,30373731000.0,1.69581435989057
2019-08-26,40.82,17911000000.0,64889000000.0,46978000000.0,30455802000.0,1.70039651610742
2019-08-27,41.17,17911000000.0,64889000000.0,46978000000.0,30716937000.0,1.7149761040701246
2019-08-28,42.52,17911000000.0,64889000000.0,46978000000.0,31724172000.000004,1.7712116576405563
2019-08-29,42.37,17911000000.0,64889000000.0,46978000000.0,31612256999.999996,1.7649632627993967
2019-08-30,42.63,17911000000.0,64889000000.0,46978000000.0,31806243000.000004,1.7757938138574063
