date,WFC,WFC_SHE,PB Ratio
2003-05-01,41000691005.8,57794000000.0,0.7094281587327405
2003-05-02,41526123590.0,57794000000.0,0.7185196316226597
2003-05-05,40729499994.6,57794000000.0,0.7047357856282659
2003-05-06,41017640444.0,57794000000.0,0.7097214320517701
2003-05-07,40475258421.6,57794000000.0,0.700336685842821
2003-05-08,39898977522.799995,61248000000.0,0.65143314920977
2003-05-09,40187117972.200005,61248000000.0,0.6561376366934432
2003-05-12,40763398871.0,61248000000.0,0.6655466116607889
2003-05-13,40610853927.200005,61248000000.0,0.663056000640021
2003-05-14,40475258421.6,61248000000.0,0.660842124177116
2003-05-15,40797297747.4,61248000000.0,0.6661000807765152
2003-05-16,41017640444.0,61248000000.0,0.6696976300287356
2003-05-19,40305764039.6,61248000000.0,0.6580747785984848
2003-05-20,40153219095.8,61248000000.0,0.6555841675777169
2003-05-21,40085421343.0,61248000000.0,0.6544772293462644
2003-05-22,39898977522.799995,61248000000.0,0.65143314920977
2003-05-23,40085421343.0,61248000000.0,0.6544772293462644
2003-05-27,40882044938.4,61248000000.0,0.6674837535658308
2003-05-28,40475258421.6,61248000000.0,0.660842124177116
2003-05-29,40322713477.799995,61248000000.0,0.6583515131563479
2003-05-30,40932893253.0,61248000000.0,0.6683139572394201
2003-06-02,41441376399.0,61248000000.0,0.6766159939753135
2003-06-03,41763415724.8,61248000000.0,0.6818739505747127
2003-06-04,42576988758.4,61248000000.0,0.6951572093521421
2003-06-05,42882078646.0,61248000000.0,0.7001384313936782
2003-06-06,42627837073.0,61248000000.0,0.6959874130257314
2003-06-09,42204101118.0,61248000000.0,0.6890690490791536
2003-06-10,42899028084.2,61248000000.0,0.7004151659515412
2003-06-11,43593955050.4,61248000000.0,0.7117612828239289
2003-06-12,43661752803.200005,61248000000.0,0.7128682210553815
2003-06-13,43068522466.2,61248000000.0,0.7031825115301724
2003-06-16,43899044938.0,61248000000.0,0.716742504865465
2003-06-17,43899044938.0,61248000000.0,0.716742504865465
2003-06-18,44068539320.0,61248000000.0,0.7195098504440961
2003-06-19,43305814601.0,61248000000.0,0.707056795340256
2003-06-20,43390561792.0,61248000000.0,0.7084404681295716
2003-06-23,43017674151.6,61248000000.0,0.7023523078565831
2003-06-24,43187168533.6,61248000000.0,0.7051196534352142
2003-06-25,42932926960.6,61248000000.0,0.7009686350672675
2003-06-26,43627853926.799995,61248000000.0,0.7123147519396551
2003-06-27,43271915724.6,61248000000.0,0.7065033262245297
2003-06-30,42712584264.0,61248000000.0,0.697371085815047
2003-07-01,42999288874.799995,61248000000.0,0.702052130270376
2003-07-02,43219711096.95,61248000000.0,0.7056509779413205
2003-07-03,42982333319.25,61248000000.0,0.7017752958341497
2003-07-07,43355355541.35,61248000000.0,0.7078656534311324
2003-07-08,43067111097.0,61248000000.0,0.7031594680152822
2003-07-09,43101022208.100006,61248000000.0,0.7037131368877352
2003-07-10,43219711096.95,61248000000.0,0.7056509779413205
2003-07-11,43982711096.700005,61248000000.0,0.7181085275715127
2003-07-14,44949177763.05,61248000000.0,0.7338880904364224
2003-07-15,44033577763.35,61248000000.0,0.718939030880192
2003-07-16,44033577763.35,61248000000.0,0.718939030880192
2003-07-17,43202755541.4,61248000000.0,0.7053741435050941
2003-07-18,43558822207.950005,61248000000.0,0.7111876666658504
