date,LLY,LLY_SHE,PB Ratio
2002-09-09,62005721292.6,0.0,inf
2002-09-10,62264213095.8,0.0,inf
2002-09-11,62511934407.2,0.0,inf
2002-09-12,62404229489.2,0.0,inf
2002-09-13,62544245882.6,0.0,inf
2002-09-16,63276639325.0,0.0,inf
2002-09-17,62016491784.4,0.0,inf
2002-09-18,61467196702.6,0.0,inf
2002-09-19,59582360637.6,0.0,inf
2002-09-20,60670180309.4,0.0,inf
2002-09-23,59345409818.0,0.0,inf
2002-09-24,59237704900.0,0.0,inf
2002-09-25,61359491784.6,0.0,inf
2002-09-26,62458081948.200005,0.0,inf
2002-09-27,59927016375.2,0.0,inf
2002-09-30,59603901621.200005,0.0,inf
2002-10-01,62012948162.5,0.0,inf
2002-10-02,62379633421.200005,0.0,inf
2002-10-03,61851175254.25,0.0,inf
2002-10-04,59769697168.1,0.0,inf
2002-10-07,61279577645.1,0.0,inf
2002-10-08,64277768878.0,0.0,inf
2002-10-09,64493466089.0,0.0,inf
2002-10-10,65679800749.5,0.0,inf
2002-10-11,66866135410.0,0.0,inf
2002-10-14,66855350549.450005,0.0,inf
2002-10-15,69033892380.55,0.0,inf
2002-10-16,68656422261.299995,0.0,inf
2002-10-17,67944621465.0,0.0,inf
2002-10-18,67879912301.7,0.0,inf
2002-10-21,68160318676.0,0.0,inf
2002-10-22,67944621465.0,0.0,inf
2002-10-23,62649254934.950005,0.0,inf
2002-10-24,60082458124.05,0.0,inf
2002-10-25,61419780832.25,0.0,inf
2002-10-28,61225653342.350006,0.0,inf
2002-10-29,60805043780.9,0.0,inf
2002-10-30,61117804736.85,0.0,inf
2002-10-31,59855976052.5,0.0,inf
2002-11-01,61193298760.700005,0.0,inf
2002-11-04,62552191190.0,0.0,inf
2002-11-05,62487482026.7,0.0,inf
2002-11-06,65226836606.399994,0.0,inf
2002-11-07,63587537802.8,0.0,inf
2002-11-08,67124972063.200005,0.0,inf
2002-11-11,67027908318.25,0.0,inf
2002-11-12,66208258916.45,0.0,inf
2002-11-13,65021924255.95,0.0,inf
2002-11-14,66812211107.25,0.0,inf
2002-11-15,66111195171.5,0.0,inf
2002-11-18,65118988000.9,0.0,inf
2002-11-19,66380816685.25,0.0,inf
2002-11-20,68257382420.95,0.0,inf
2002-11-21,69810402340.15001,0.0,inf
2002-11-22,70888888395.15001,0.0,inf
2002-11-25,73401760903.3,0.0,inf
2002-11-26,69023107520.0,0.0,inf
2002-11-27,74415537795.0,0.0,inf
2002-11-29,73660597556.5,0.0,inf
2002-12-02,74145916281.25,0.0,inf
2002-12-03,72431123453.8,0.0,inf
2002-12-04,72787023851.95,0.0,inf
2002-12-05,72334059708.84999,0.0,inf
2002-12-06,70576127439.2,0.0,inf
2002-12-09,70489848554.8,0.0,inf
2002-12-10,71287928235.5,0.0,inf
2002-12-11,71018306721.75,0.0,inf
2002-12-12,69130956125.5,0.0,inf
2002-12-13,69529995965.85,0.0,inf
2002-12-16,69939820666.75,0.0,inf
2002-12-17,68979968077.8,0.0,inf
2002-12-18,67556366485.2,0.0,inf
2002-12-19,67405378437.5,0.0,inf
2002-12-20,68214242978.75,0.0,inf
2002-12-23,69508426244.75,0.0,inf
2002-12-24,69486856523.65001,0.0,inf
2002-12-26,68915258914.5,0.0,inf
2002-12-27,67772063696.200005,0.0,inf
2002-12-30,68915258914.5,0.0,inf
2002-12-31,68483864492.5,0.0,inf
2003-01-02,70153947330.5,0.0,inf
2003-01-03,71749815750.68999,0.0,inf
2003-01-06,72810157855.38,0.0,inf
2003-01-07,71353526277.22,0.0,inf
2003-01-08,71867631540.09999,0.0,inf
2003-01-09,72006868382.13,0.0,inf
2003-01-10,72038999961.06001,0.0,inf
2003-01-13,71224999961.5,0.0,inf
2003-01-14,71974736803.2,0.0,inf
2003-01-15,72060421013.68001,0.0,inf
2003-01-16,72413868381.91,0.0,inf
2003-01-17,70475263119.8,0.0,inf
2003-01-21,70057552593.70999,0.0,inf
2003-01-22,69564868383.45,0.0,inf
2003-01-23,68065394700.049995,0.0,inf
2003-01-24,65955421016.979996,0.0,inf
2003-01-27,64498789438.82,0.0,inf
2003-01-28,65269947333.14,0.0,inf
2003-01-29,65591263122.44,0.0,inf
2003-01-30,63588394702.46999,0.0,inf
2003-01-31,64520210491.44,0.0,inf
2003-02-03,66062526280.08,0.0,inf
2003-02-04,65505578911.96,0.0,inf
2003-02-05,64809394701.81,0.0,inf
2003-02-06,65559131543.51,0.0,inf
2003-02-07,64006105228.56,0.0,inf
2003-02-10,64402394702.03001,0.0,inf
2003-02-11,64305999965.24,0.0,inf
2003-02-12,63074289439.590004,0.0,inf
2003-02-13,61360605229.99,0.0,inf
2003-02-14,60760815756.63,0.0,inf
