date,MHK,MHK_SHE,PB Ratio
2002-12-31,3805797650.0,1897494000.0,2.005696803257349
2003-01-02,3956158400.0,1897494000.0,2.08493855580044
2003-01-03,3829855370.0,1897494000.0,2.0183754836642436
2003-01-06,3878639080.0,1897494000.0,2.044085030044891
2003-01-07,3844557310.0,1897494000.0,2.0261235661351233
2003-01-08,3803124570.0,1897494000.0,2.004288060989916
2003-01-09,3866610220.0,1897494000.0,2.0377456898414437
2003-01-10,3831191910.0,1897494000.0,2.01907985479796
2003-01-13,3835869800.0,1897494000.0,2.021545153765967
2003-01-14,3811143810.0,1897494000.0,2.0085142877922144
2003-01-15,3769042800.0,1897494000.0,1.986326597080149
2003-01-16,3757682210.0,1897494000.0,1.9803394424435599
2003-01-17,3628706100.0,1897494000.0,1.9123676280399307
2003-01-21,3541831000.0,1897494000.0,1.866583504348367
2003-01-22,3541831000.0,1897494000.0,1.866583504348367
2003-01-23,3601975300.0,1897494000.0,1.8982802053656032
2003-01-24,3565220450.0,1897494000.0,1.8789099991884033
2003-01-27,3428893370.0,1897494000.0,1.807064143549334
2003-01-28,3435576070.0,1897494000.0,1.8105859992179159
2003-01-29,3518441550.0,1897494000.0,1.8542570095083304
2003-01-30,3517105010.0,1897494000.0,1.8535526383746141
2003-01-31,3520446360.0,1897494000.0,1.855313566208905
2003-02-03,3579922390.0,1897494000.0,1.8866580816592833
2003-02-04,3497725180.0,1897494000.0,1.8433392569357268
2003-02-05,3466984760.0,1897494000.0,1.8271387208602503
2003-02-06,3388128900.0,1897494000.0,1.785580823970985
2003-02-07,3301922070.0,1897494000.0,1.7401488858462792
2003-02-10,3403499110.0,1897494000.0,1.7936810920087232
2003-02-11,3307936500.0,1897494000.0,1.743318555948003
2003-02-12,3220393130.0,1897494000.0,1.6971822466895812
2003-02-13,3177623850.0,1897494000.0,1.6746423704106574
2003-02-14,3346696160.0,1897494000.0,1.7637453188257777
2003-02-18,3419537590.0,1897494000.0,1.8021335456133194
2003-02-19,3333999030.0,1897494000.0,1.7570537930554722
2003-02-20,3292566290.0,1897494000.0,1.735218287910265
2003-02-21,3263162410.0,1897494000.0,1.7197221229685047
2003-02-24,3241109500.0,1897494000.0,1.7080999992621848
2003-02-25,3309941310.0,1897494000.0,1.7443751126485776
2003-02-26,3251801820.0,1897494000.0,1.7137349683319156
2003-02-27,3295907640.0,1897494000.0,1.7369792157445556
2003-02-28,3299917260.0,1897494000.0,1.7390923291457048
2003-03-03,3245119120.0,1897494000.0,1.7102131126633338
2003-03-04,3166263260.0,1897494000.0,1.6686552157740684
2003-03-05,3118816090.0,1897494000.0,1.6436500405271375
2003-03-06,3053325630.0,1897494000.0,1.6091358549750354
