date,close price,JNJ_SHE,JNJ_TA,JNJ_TL,market cap,PB Ratio
2011-09-07,65.43,62132000000.0,112114000000.0,49982000000.0,181587879000.00003,2.922614417691367
2011-09-08,64.95,62132000000.0,112114000000.0,49982000000.0,180255735000.0,2.9011738717569044
2011-09-09,63.64,62132000000.0,112114000000.0,49982000000.0,176620092000.0,2.8426590484774352
2011-09-12,63.59,62132000000.0,112114000000.0,49982000000.0,176481327000.0,2.8404256582759286
2011-09-13,63.61,62132000000.0,112114000000.0,49982000000.0,176536833000.0,2.8413190143565314
2011-09-14,63.73,62132000000.0,112114000000.0,49982000000.0,176869869000.0,2.846679150840147
2011-09-15,64.4,62132000000.0,112114000000.0,49982000000.0,178729320000.00003,2.876606579540334
2011-09-16,64.59,62132000000.0,112114000000.0,49982000000.0,179256627000.0,2.8850934623060582
2011-09-19,64.14,62132000000.0,112114000000.0,49982000000.0,178007742000.0,2.8649929504925
2011-09-20,64.22,62132000000.0,112114000000.0,49982000000.0,178229766000.0,2.86856637481491
2011-09-21,63.13,62132000000.0,112114000000.0,49982000000.0,175204689000.0,2.8198784684220692
2011-09-22,61.92,62132000000.0,112114000000.0,49982000000.0,171846576000.0,2.7658304255456128
2011-09-23,61.59,62132000000.0,112114000000.0,49982000000.0,170930727000.0,2.75109005021567
2011-09-26,62.69,62132000000.0,112114000000.0,49982000000.0,173983557000.0,2.800224634648812
2011-09-27,63.82,62132000000.0,112114000000.0,49982000000.0,177119646000.0,2.8506992532028583
2011-09-28,63.25,62132000000.0,112114000000.0,49982000000.0,175537725000.0,2.825238604905685
2011-09-29,63.9,62132000000.0,112114000000.0,49982000000.0,177341670000.0,2.8542726775252687
2011-09-30,63.69,62132000000.0,112114000000.0,49982000000.0,176758857000.0,2.844892438678942
2011-10-03,62.08,62132000000.0,112114000000.0,49982000000.0,172290624000.0,2.772977274190433
2011-10-04,62.17,62132000000.0,112114000000.0,49982000000.0,172540401000.0,2.776997376553145
2011-10-05,62.35,62132000000.0,112114000000.0,49982000000.0,173039955000.0,2.7850375812785684
2011-10-06,62.81,62132000000.0,112114000000.0,49982000000.0,174316593000.0,2.8055847711324278
2011-10-07,63.13,62132000000.0,112114000000.0,49982000000.0,175204689000.0,2.8198784684220692
2011-10-10,64.43,62132000000.0,112114000000.0,49982000000.0,178812579000.00003,2.877946613661238
2011-10-11,63.96,62132000000.0,112114000000.0,49982000000.0,177508188000.0,2.8569527457670767
2011-10-12,64.33,62132000000.0,112114000000.0,49982000000.0,178535049000.0,2.8734798332582243
2011-10-13,64.23,62132000000.0,112114000000.0,49982000000.0,178257519000.0,2.8690130528552116
2011-10-14,64.72,62132000000.0,112114000000.0,49982000000.0,179617416000.0,2.8909002768299747
2011-10-17,63.79,62132000000.0,112114000000.0,49982000000.0,177036387000.0,2.8493592190819546
2011-10-18,64.42,62132000000.0,112114000000.0,49982000000.0,178784826000.0,2.877499935620936
2011-10-19,62.64,62132000000.0,112114000000.0,49982000000.0,173844792000.0,2.7979912444473056
2011-10-20,62.53,62132000000.0,112114000000.0,49982000000.0,173539509000.0,2.7930777860039915
2011-10-21,63.78,62132000000.0,112114000000.0,49982000000.0,177008634000.0,2.848912541041653
2011-10-24,64.73,62132000000.0,112114000000.0,49982000000.0,179645169000.0,2.891346954870276
2011-10-25,63.69,62132000000.0,112114000000.0,49982000000.0,176758857000.0,2.844892438678942
2011-10-26,64.49,62132000000.0,112114000000.0,49982000000.0,178979097000.0,2.880626681903045
2011-10-27,65.5,62132000000.0,112114000000.0,49982000000.0,181782150000.0,2.9257411639734756
2011-10-28,65.6,62132000000.0,112114000000.0,49982000000.0,182059679999.99997,2.9302079443764883
2011-10-31,64.39,62132000000.0,112114000000.0,49982000000.0,178701567000.0,2.8761599015000323
2011-11-01,63.38,62132000000.0,112114000000.0,49982000000.0,175898514000.0,2.8310454194296013
2011-11-02,63.64,62132000000.0,112114000000.0,49982000000.0,176620092000.0,2.8426590484774352
2011-11-03,64.34,62132000000.0,112114000000.0,49982000000.0,178562802000.0,2.8739265112985257
2011-11-04,64.12,62132000000.0,112114000000.0,49982000000.0,177952236000.0,2.8640995944118974
2011-11-07,64.0,62132000000.0,112114000000.0,49982000000.0,177619200000.0,2.858739457928282
2011-11-08,64.86,61527000000.0,111821000000.0,50294000000.0,180005958000.0,2.9256417182700276
2011-11-09,63.53,61527000000.0,111821000000.0,50294000000.0,176314809000.0,2.8656493734458044
2011-11-10,64.12,61527000000.0,111821000000.0,50294000000.0,177952236000.0,2.892262518894144
2011-11-11,65.25,61527000000.0,111821000000.0,50294000000.0,181088325000.0,2.943233458481642
2011-11-14,64.91,61527000000.0,111821000000.0,50294000000.0,180144723000.0,2.9278970695792093
2011-11-15,64.99,61527000000.0,111821000000.0,50294000000.0,180366747000.0,2.9315056316738994
2011-11-16,64.4,61527000000.0,111821000000.0,50294000000.0,178729320000.00003,2.90489248622556
2011-11-17,63.94,61527000000.0,111821000000.0,50294000000.0,177452682000.0,2.884143254181091
2011-11-18,63.85,61527000000.0,111821000000.0,50294000000.0,177202905000.0,2.8800836218245647
2011-11-21,62.94,61527000000.0,111821000000.0,50294000000.0,174677382000.0,2.8390362279974646
2011-11-22,62.9,61527000000.0,111821000000.0,50294000000.0,174566370000.0,2.8372319469501193
2011-11-23,61.99,61527000000.0,111821000000.0,50294000000.0,172040847000.0,2.796184553123019
2011-11-25,61.27,61527000000.0,111821000000.0,50294000000.0,170042631000.0,2.763707494270808
2011-11-28,62.37,61527000000.0,111821000000.0,50294000000.0,173095461000.0,2.8133252230727974
2011-11-29,62.78,61527000000.0,111821000000.0,50294000000.0,174233334000.0,2.831819103808084
2011-11-30,64.72,61527000000.0,111821000000.0,50294000000.0,179617416000.0,2.91932673460432
2011-12-01,64.45,61527000000.0,111821000000.0,50294000000.0,178868085000.0,2.907147837534741
2011-12-02,63.47,61527000000.0,111821000000.0,50294000000.0,176148291000.0,2.862942951874787
2011-12-05,63.36,61527000000.0,111821000000.0,50294000000.0,175843008000.0,2.8579811789945877
2011-12-06,63.49,61527000000.0,111821000000.0,50294000000.0,176203797000.0,2.863845092398459
2011-12-07,64.45,61527000000.0,111821000000.0,50294000000.0,178868085000.0,2.907147837534741
2011-12-08,63.78,61527000000.0,111821000000.0,50294000000.0,177008634000.0,2.876926129991711
2011-12-09,64.53,61527000000.0,111821000000.0,50294000000.0,179090109000.0,2.910756399629431
2011-12-12,63.51,61527000000.0,111821000000.0,50294000000.0,176259303000.0,2.8647472329221317
2011-12-13,63.36,61527000000.0,111821000000.0,50294000000.0,175843008000.0,2.8579811789945877
2011-12-14,63.18,61527000000.0,111821000000.0,50294000000.0,175343454000.0,2.849861914281535
2011-12-15,64.0,61527000000.0,111821000000.0,50294000000.0,177619200000.0,2.8868496757521087
2011-12-16,64.3,61527000000.0,111821000000.0,50294000000.0,178451790000.0,2.900381783607197
2011-12-19,63.53,61527000000.0,111821000000.0,50294000000.0,176314809000.0,2.8656493734458044
2011-12-20,64.52,61527000000.0,111821000000.0,50294000000.0,179062356000.0,2.9103053293675947
2011-12-21,64.96,61527000000.0,111821000000.0,50294000000.0,180283487999.99997,2.93015242088839
2011-12-22,65.18,61527000000.0,111821000000.0,50294000000.0,180894054000.00003,2.940075966648789
2011-12-23,65.98,61527000000.0,111821000000.0,50294000000.0,183114294000.0,2.9761615875956897
2011-12-27,66.02,61527000000.0,111821000000.0,50294000000.0,183225306000.0,2.9779658686430346
2011-12-28,65.45,61527000000.0,111821000000.0,50294000000.0,181643385000.0,2.9522548637183674
2011-12-29,65.88,61527000000.0,111821000000.0,50294000000.0,182836764000.0,2.971650884977327
2011-12-30,65.58,61527000000.0,111821000000.0,50294000000.0,182004174000.0,2.958118777122239
2012-01-03,65.88,61527000000.0,111821000000.0,50294000000.0,182810412000.0,2.971222585206495
2012-01-04,65.48,61527000000.0,111821000000.0,50294000000.0,181700452000.0,2.9531823752173842
2012-01-05,65.4,61527000000.0,111821000000.0,50294000000.0,181478460000.00003,2.9495743332195627
2012-01-06,64.83,61527000000.0,111821000000.0,50294000000.0,179896767000.0,2.9238670339850796
2012-01-09,64.93,61527000000.0,111821000000.0,50294000000.0,180174257000.00003,2.928377086482358
2012-01-10,65.2,61527000000.0,111821000000.0,50294000000.0,180923480000.0,2.940554228225007
2012-01-11,65.13,61527000000.0,111821000000.0,50294000000.0,180729237000.0,2.9373971914769124
2012-01-12,65.23,61527000000.0,111821000000.0,50294000000.0,181006727000.0,2.9419072439741902
