date,SPG,dcf,Deviation
1996-05-23,21.93,,
1996-05-24,21.93,,
1996-05-28,22.04,,
1996-05-29,22.04,,
1996-05-30,22.39,,
1996-05-31,22.51,,
1996-06-03,22.39,,
1996-06-04,22.39,,
1996-06-05,22.51,,
1996-06-06,22.39,,
1996-06-07,22.39,,
1996-06-10,22.51,,
1996-06-11,22.62,,
1996-06-12,22.39,,
1996-06-13,22.51,,
1996-06-14,22.51,,
1996-06-17,22.62,,
1996-06-18,22.51,,
1996-06-19,22.62,,
1996-06-20,22.39,,
1996-06-21,22.28,,
1996-06-24,22.39,,
1996-06-25,22.51,,
1996-06-26,22.62,,
1996-06-27,22.39,,
1996-06-28,22.74,,
1996-07-01,22.86,,
1996-07-02,22.97,,
1996-07-03,22.86,,
1996-07-05,22.74,,
1996-07-08,22.62,,
1996-07-09,22.51,,
1996-07-10,21.81,,
1996-07-11,21.58,,
1996-07-12,21.81,,
1996-07-15,21.46,,
1996-07-16,21.46,,
1996-07-17,21.7,,
1996-07-18,21.81,,
1996-07-19,21.58,,
1996-07-22,21.58,,
1996-07-23,21.7,,
1996-07-24,21.58,,
1996-07-25,21.58,,
1996-07-26,21.58,,
1996-07-29,21.81,,
1996-07-30,22.04,,
1996-07-31,21.81,,
1996-08-01,21.93,,
1996-08-02,22.28,,
1996-08-05,22.28,,
1996-08-06,22.74,,
1996-08-07,22.86,,
1996-08-08,22.74,,
1996-08-09,22.62,,
1996-08-12,22.62,,
1996-08-13,22.97,,
1996-08-14,23.32,,
1996-08-15,23.44,,
1996-08-16,23.2,,
1996-08-19,22.97,,
1996-08-20,22.97,,
1996-08-21,22.97,,
1996-08-22,23.09,,
1996-08-23,23.09,,
1996-08-26,22.86,,
1996-08-27,22.74,,
1996-08-28,22.97,,
1996-08-29,23.2,,
1996-08-30,23.09,,
1996-09-03,22.97,,
1996-09-04,22.97,,
1996-09-05,23.2,,
1996-09-06,23.2,,
1996-09-09,23.09,,
1996-09-10,23.2,,
1996-09-11,23.2,,
1996-09-12,23.09,,
1996-09-13,23.2,,
1996-09-16,23.32,,
1996-09-17,23.67,,
1996-09-18,23.67,,
1996-09-19,23.78,,
1996-09-20,23.78,,
1996-09-23,23.78,,
1996-09-24,23.9,,
1996-09-25,23.78,,
1996-09-26,23.9,,
1996-09-27,23.78,,
1996-09-30,23.67,,
1996-10-01,24.13,,
1996-10-02,24.36,,
1996-10-03,24.6,,
1996-10-04,24.71,,
1996-10-07,24.71,,
1996-10-08,24.6,,
1996-10-09,24.48,,
1996-10-10,24.13,,
1996-10-11,24.25,,
1996-10-14,24.13,,
1996-10-15,24.13,,
1996-10-16,24.13,,
1996-10-17,24.25,,
1996-10-18,24.13,,
1996-10-21,24.36,,
1996-10-22,24.48,,
1996-10-23,24.94,,
1996-10-24,24.6,,
1996-10-25,24.83,,
1996-10-28,24.83,,
1996-10-29,24.71,,
1996-10-30,24.48,,
1996-10-31,24.48,,
1996-11-01,24.6,,
1996-11-04,24.83,,
1996-11-05,25.06,,
1996-11-06,25.18,,
1996-11-07,25.06,,
1996-11-08,25.41,,
1996-11-11,25.29,,
1996-11-12,25.29,,
1996-11-13,25.29,,
1996-11-14,25.18,,
1996-11-15,25.29,,
1996-11-18,25.41,,
1996-11-19,25.29,,
1996-11-20,25.76,,
1996-11-21,25.29,,
1996-11-22,25.29,,
1996-11-25,25.41,,
1996-11-26,25.18,,
1996-11-27,25.41,,
1996-11-29,25.41,,
1996-12-02,25.41,,
1996-12-03,25.29,,
1996-12-04,25.52,,
1996-12-05,25.99,,
1996-12-06,26.57,,
1996-12-09,27.61,,
1996-12-10,27.61,,
1996-12-11,27.96,,
1996-12-12,28.42,,
1996-12-13,28.19,,
1996-12-16,27.61,,
1996-12-17,27.5,,
1996-12-18,27.26,,
1996-12-19,28.54,,
1996-12-20,28.19,,
1996-12-23,28.19,,
1996-12-24,28.42,,
1996-12-26,28.31,,
1996-12-27,28.19,,
1996-12-30,28.31,,
1996-12-31,28.77,,
1997-01-02,28.19,,
1997-01-03,27.61,,
1997-01-06,28.19,,
1997-01-07,28.54,,
1997-01-08,28.31,,
1997-01-09,28.42,,
1997-01-10,27.84,,
1997-01-13,27.84,,
1997-01-14,27.73,,
1997-01-15,27.73,,
1997-01-16,27.73,,
1997-01-17,27.73,,
1997-01-20,27.61,,
1997-01-21,27.84,,
1997-01-22,27.73,,
1997-01-23,27.84,,
1997-01-24,27.26,,
1997-01-27,26.68,,
1997-01-28,26.92,,
1997-01-29,26.92,,
1997-01-30,27.26,,
1997-01-31,27.15,,
1997-02-03,27.61,,
1997-02-04,27.61,,
1997-02-05,27.61,,
1997-02-06,27.61,,
1997-02-07,28.31,,
1997-02-10,27.96,,
1997-02-11,28.19,,
1997-02-12,28.08,,
1997-02-13,27.84,,
1997-02-14,27.84,,
1997-02-18,28.08,,
1997-02-19,28.31,,
1997-02-20,27.73,,
1997-02-21,27.26,,
1997-02-24,27.5,,
1997-02-25,27.73,,
1997-02-26,27.96,,
1997-02-27,27.96,,
1997-02-28,27.96,,
1997-03-03,28.08,,
1997-03-04,27.96,,
1997-03-05,27.96,,
1997-03-06,29.58,,
1997-03-07,30.05,,
1997-03-10,29.82,,
1997-03-11,29.58,,
1997-03-12,29.24,,
1997-03-13,28.89,,
1997-03-14,29.35,,
1997-03-17,29.35,,
1997-03-18,29.24,,
1997-03-19,29.58,,
1997-03-20,29.7,,
1997-03-21,29.47,,
1997-03-24,29.58,,
1997-03-25,29.0,,
1997-03-26,29.0,,
1997-03-27,28.19,,
1997-03-31,28.08,,
1997-04-01,28.42,,
1997-04-02,28.31,,
1997-04-03,28.31,,
1997-04-04,28.31,,
1997-04-07,28.89,,
1997-04-08,28.66,,
1997-04-09,28.66,,
1997-04-10,28.54,,
1997-04-11,28.31,,
1997-04-14,27.61,,
1997-04-15,27.61,,
1997-04-16,27.73,,
1997-04-17,27.5,,
1997-04-18,27.61,,
1997-04-21,27.38,,
1997-04-22,27.26,,
1997-04-23,27.15,,
1997-04-24,26.57,,
1997-04-25,26.45,,
1997-04-28,26.1,,
1997-04-29,26.34,,
1997-04-30,26.57,,
1997-05-01,26.57,,
1997-05-02,27.03,,
1997-05-05,27.61,,
1997-05-06,27.61,,
1997-05-07,27.38,,
1997-05-08,27.26,,
1997-05-09,27.61,,
1997-05-12,27.61,,
1997-05-13,27.38,,
1997-05-14,27.26,,
1997-05-15,27.38,,
1997-05-16,27.73,,
1997-05-19,27.38,,
1997-05-20,27.38,,
1997-05-21,27.26,,
1997-05-22,27.15,,
1997-05-23,27.03,,
1997-05-27,27.03,,
1997-05-28,27.03,,
1997-05-29,27.5,,
1997-05-30,28.08,,
1997-06-02,28.31,,
1997-06-03,28.42,,
1997-06-04,28.19,,
1997-06-05,28.31,,
1997-06-06,28.42,,
1997-06-09,28.19,,
1997-06-10,28.19,,
1997-06-11,28.31,,
1997-06-12,28.42,,
1997-06-13,28.77,,
1997-06-16,29.0,,
1997-06-17,28.31,,
1997-06-18,28.66,,
1997-06-19,28.42,,
1997-06-20,28.42,,
1997-06-23,28.77,,
1997-06-24,28.48,,
1997-06-25,28.48,,
1997-06-26,28.66,,
1997-06-27,28.89,,
1997-06-30,29.7,,
1997-07-01,28.89,,
1997-07-02,28.54,,
1997-07-03,28.42,,
1997-07-07,28.71,,
1997-07-08,28.71,,
1997-07-09,27.9,,
1997-07-10,28.08,,
1997-07-11,28.48,,
1997-07-14,28.66,,
1997-07-15,28.71,,
1997-07-16,28.77,,
1997-07-17,29.0,,
1997-07-18,29.29,,
1997-07-21,29.41,,
1997-07-22,29.58,,
1997-07-23,29.93,,
1997-07-24,30.11,,
1997-07-25,30.4,,
1997-07-28,29.58,,
1997-07-29,29.35,,
1997-07-30,29.93,,
1997-07-31,29.7,,
1997-08-01,29.87,,
1997-08-04,30.11,,
1997-08-05,29.53,,
1997-08-06,29.35,,
1997-08-07,29.47,,
1997-08-08,29.18,,
1997-08-11,28.95,,
1997-08-12,28.54,,
1997-08-13,28.08,,
1997-08-14,27.61,,
1997-08-15,27.67,,
1997-08-18,27.79,,
1997-08-19,28.48,,
1997-08-20,28.83,,
1997-08-21,28.6,,
1997-08-22,28.83,,
1997-08-25,28.83,,
1997-08-26,29.06,,
1997-08-27,28.89,,
1997-08-28,29.24,,
1997-08-29,29.41,,
1997-09-02,29.58,,
1997-09-03,29.64,,
1997-09-04,29.47,,
1997-09-05,29.64,,
1997-09-08,30.4,,
1997-09-09,30.69,,
1997-09-10,30.92,,
1997-09-11,30.98,,
1997-09-12,30.92,,
1997-09-15,31.79,,
1997-09-16,30.63,,
1997-09-17,29.99,,
1997-09-18,30.11,,
1997-09-19,29.76,,
1997-09-22,30.05,,
1997-09-23,30.16,,
1997-09-24,30.4,,
1997-09-25,30.4,,
1997-09-26,30.34,,
1997-09-29,30.69,,
1997-09-30,30.63,,
1997-10-01,30.86,,
1997-10-02,30.92,,
1997-10-03,30.74,,
1997-10-06,30.74,,
1997-10-07,31.03,,
1997-10-08,30.98,,
1997-10-09,30.98,,
1997-10-10,30.63,,
1997-10-13,30.4,,
1997-10-14,30.8,,
1997-10-15,30.92,,
1997-10-16,30.8,,
1997-10-17,29.47,,
1997-10-20,29.87,,
1997-10-21,30.16,,
1997-10-22,30.22,,
1997-10-23,29.93,,
1997-10-24,29.93,,
1997-10-27,29.06,,
1997-10-28,29.64,,
1997-10-29,29.29,,
1997-10-30,28.71,,
1997-10-31,28.71,,
1997-11-03,28.71,,
1997-11-04,28.71,,
1997-11-05,28.77,,
1997-11-06,28.71,,
1997-11-07,28.42,,
1997-11-10,28.02,,
1997-11-11,27.67,,
1997-11-12,27.73,,
1997-11-13,27.79,,
1997-11-14,28.13,,
1997-11-17,29.0,,
1997-11-18,30.51,,
1997-11-19,30.28,,
1997-11-20,30.28,,
1997-11-21,30.28,,
1997-11-24,30.45,,
1997-11-25,29.93,,
1997-11-26,30.22,,
1997-11-28,30.34,,
1997-12-01,30.28,,
1997-12-02,30.69,,
1997-12-03,30.63,,
1997-12-04,30.8,,
1997-12-05,31.21,,
1997-12-08,30.92,,
1997-12-09,30.69,,
1997-12-10,30.74,,
1997-12-11,30.69,,
1997-12-12,30.51,,
1997-12-15,29.93,,
1997-12-16,29.87,,
1997-12-17,29.99,,
1997-12-18,30.74,,
1997-12-19,30.74,,
1997-12-22,30.28,,
1997-12-23,29.7,,
1997-12-24,29.24,,
1997-12-26,29.35,,
1997-12-29,29.64,,
1997-12-30,30.51,,
1997-12-31,30.34,,
1998-01-02,30.28,,
1998-01-05,30.69,,
1998-01-06,30.57,,
1998-01-07,30.4,,
1998-01-08,30.34,,
1998-01-09,29.82,,
1998-01-12,29.64,,
1998-01-13,29.47,,
1998-01-14,30.05,,
1998-01-15,30.57,,
1998-01-16,29.99,,
1998-01-20,30.22,,
1998-01-21,30.34,,
1998-01-22,30.51,,
1998-01-23,30.57,,
1998-01-26,30.51,,
1998-01-27,30.28,,
1998-01-28,30.51,,
1998-01-29,30.57,,
1998-01-30,30.8,,
1998-02-02,30.86,,
1998-02-03,30.98,,
1998-02-04,30.63,,
1998-02-05,30.57,,
1998-02-06,30.63,,
1998-02-09,30.57,,
1998-02-10,30.74,,
1998-02-11,30.8,,
1998-02-12,30.92,,
1998-02-13,30.86,,
1998-02-17,30.63,,
1998-02-18,31.21,,
1998-02-19,30.16,,
1998-02-20,29.93,,
1998-02-23,29.41,,
1998-02-24,29.12,,
1998-02-25,29.12,,
1998-02-26,28.95,,
1998-02-27,28.66,,
1998-03-02,28.83,,
1998-03-03,28.71,,
1998-03-04,28.66,,
1998-03-05,28.31,,
1998-03-06,28.54,,
1998-03-09,28.66,,
1998-03-10,28.77,,
1998-03-11,28.71,,
1998-03-12,29.47,,
1998-03-13,29.93,,
1998-03-16,29.47,,
