date,DOW,dcf,Deviation
2020-02-07,48.03,51.377878787878785,-0.06516187251912442
2020-02-10,48.19,51.97787878787879,-0.07287482437167325
2020-02-11,48.79,52.56787878787879,-0.0718666774271649
2020-02-12,49.38,51.487878787878785,-0.04093932081690299
2020-02-13,48.3,51.81787878787879,-0.06788928590225685
2020-02-14,48.63,50.92787878787879,-0.045120253239875785
2020-02-18,47.74,50.74787878787879,-0.059271024912222026
2020-02-19,47.56,51.947878787878786,-0.0844669482231607
2020-02-20,48.76,51.487878787878785,-0.05298098993584832
2020-02-21,48.3,49.42787878787879,-0.022818676737456522
2020-02-24,46.24,47.13787878787879,-0.019047925171161384
2020-02-25,43.95,46.237878787878785,-0.049480617360815105
2020-02-26,43.05,42.737878787878785,0.007303151699932675
2020-02-27,39.55,43.59787878787879,-0.09284577370319669
2020-02-28,40.41,44.60787878787879,-0.09410621849652878
2020-03-02,41.42,43.74787878787879,-0.05321123794746763
2020-03-03,40.56,45.09787878787879,-0.10062288759129978
2020-03-04,41.91,43.28787878787879,-0.03183059152957657
2020-03-05,40.1,42.157878787878786,-0.04881362267378753
2020-03-06,38.97,33.71787878787879,0.1557666555824173
2020-03-09,30.53,34.587878787878786,-0.11732083406343075
2020-03-10,31.4,31.17787878787879,0.007124320856862321
2020-03-11,27.99,26.85787878787879,0.04215229434396539
2020-03-12,23.67,28.87787878787879,-0.18034145880772734
2020-03-13,25.69,25.187878787878788,0.019935033686236725
2020-03-16,22.0,29.78787878787879,-0.26144455747711093
2020-03-17,26.6,29.62787878787879,-0.10219694800147283
2020-03-18,26.44,31.30787878787879,-0.15548414572767044
2020-03-19,28.12,30.62787878787879,-0.08188222257400668
2020-03-20,27.44,29.76787878787879,-0.07820103019321212
2020-03-23,26.58,31.657878787878786,-0.16039857951010328
2020-03-24,28.47,33.56787878787879,-0.15186776680448488
2020-03-25,30.38,32.86787878787879,-0.07569331759846587
2020-03-26,29.68,31.747878787878786,-0.06513439218081851
2020-03-27,28.56,31.837878787878786,-0.10295531337743302
2020-03-30,28.65,34.13622641509434,-0.16071566752523192
2020-03-31,29.24,31.93622641509434,-0.08442532878023423
2020-04-01,27.04,32.92622641509434,-0.1787701493905759
2020-04-02,28.03,32.86622641509434,-0.14714881939939484
2020-04-03,27.97,35.43622641509434,-0.21069473729048194
2020-04-06,30.54,37.22622641509434,-0.17961064171637975
2020-04-07,32.33,39.68622641509434,-0.18535968469646336
2020-04-08,34.79,41.45622641509434,-0.16080157292529518
2020-04-09,36.56,40.12622641509434,-0.08887520042883534
2020-04-13,35.23,40.26622641509434,-0.1250732155324702
2020-04-14,35.37,37.12622641509434,-0.047304199340343245
2020-04-15,32.23,36.52622641509434,-0.1176203193363261
2020-04-16,31.63,38.31622641509434,-0.17450117197502424
2020-04-17,33.42,36.42622641509434,-0.08252917501903567
2020-04-20,31.53,35.77622641509434,-0.11868849346567245
2020-04-21,30.88,36.73622641509434,-0.159412846298446
2020-04-22,31.84,37.45622641509434,-0.14994106327889667
2020-04-23,32.56,38.01622641509434,-0.14352361950706238
2020-04-24,33.12,39.33622641509434,-0.15802803119693787
2020-04-27,34.44,40.76622641509434,-0.15518302701551878
2020-04-28,35.87,42.36622641509434,-0.15333502567459845
2020-04-29,37.47,41.58622641509434,-0.09898052239720156
2020-04-30,36.69,38.82622641509434,-0.05502019156473703
2020-05-01,33.93,37.95622641509434,-0.10607551896921985
2020-05-04,33.06,38.26622641509434,-0.1360527782023656
2020-05-05,33.37,36.85622641509434,-0.09458989034391674
2020-05-06,31.96,37.74622641509434,-0.15329284446777136
2020-05-07,32.85,39.22622641509434,-0.1625500844159904
2020-05-08,34.33,38.79622641509434,-0.11512012450150766
2020-05-11,33.9,38.68622641509434,-0.1237191336197857
2020-05-12,33.79,37.24622641509434,-0.09279400217826306
2020-05-13,32.35,38.40622641509434,-0.1576886609384287
2020-05-14,33.51,38.45622641509434,-0.1286196508649875
2020-05-15,33.56,41.63622641509434,-0.19397114269141535
2020-05-18,36.74,40.53622641509434,-0.09365021736904322
2020-05-19,35.64,41.07622641509434,-0.13234483518906404
2020-05-20,36.18,40.71622641509434,-0.11141077684479783
2020-05-21,35.82,41.01622641509434,-0.1266870911650244
2020-05-22,36.12,43.68622641509434,-0.17319478096373375
2020-05-26,38.79,44.71622641509434,-0.13252966294789792
2020-05-27,39.82,43.60622641509434,-0.08682765573550599
2020-05-28,38.71,43.49622641509434,-0.11003773912289072
2020-05-29,38.6,43.50622641509434,-0.11277067259945439
2020-06-01,38.61,45.49622641509434,-0.15135818852900929
2020-06-02,40.6,46.52622641509434,-0.12737388934624017
2020-06-03,41.63,47.60622641509434,-0.12553455430358318
2020-06-04,42.71,48.86622641509434,-0.12598121170233711
2020-06-05,43.97,48.47622641509434,-0.09295745045227377
2020-06-08,45.9,,
2020-06-09,44.41,,
2020-06-10,43.58,46.87622641509434,-0.07031765709777649
2020-06-11,39.26,,
2020-06-12,41.23,,
2020-06-15,41.98,49.747196348843495,-0.1561333485886801
2020-06-16,42.25,,
2020-06-17,41.169998,,
2020-06-18,41.580002,,
2020-06-19,41.650002,,
2020-06-22,41.740002,,
2020-06-23,41.349998,,
2020-06-24,38.450001,,
2020-06-25,39.98,,
2020-06-26,39.799999,,
2020-06-29,40.98,,
2020-06-30,40.759998,,
2020-07-01,40.75,,
2020-07-02,41.59,,
2020-07-06,42.450001,,
2020-07-07,41.689999,,
2020-07-08,40.349998,,
2020-07-09,39.439999,,
2020-07-10,40.759998,,
2020-07-13,41.240002,,
2020-07-14,42.439999,,
2020-07-15,43.330002,,
2020-07-16,43.830002,,
2020-07-17,43.669998,,
2020-07-20,42.299999,,
2020-07-21,43.040001,,
2020-07-22,44.34,,
2020-07-23,42.82,,
2020-07-24,42.610001,,
2020-07-27,44.0,,
2020-07-28,42.619999,,
2020-07-29,43.52,,
2020-07-30,41.73,,
2020-07-31,41.060001,,
2020-08-03,40.09,,
2020-08-04,41.32,,
2020-08-05,41.990002,,
2020-08-06,42.049999,,
2020-08-07,42.630001,,
2020-08-10,44.799999,,
2020-08-11,44.5,,
2020-08-12,44.279999,,
2020-08-13,44.43,,
2020-08-14,44.869999,,
2020-08-17,44.459999,,
2020-08-18,44.709999,49.677196348843495,-0.0999894864026305
2020-08-19,44.639999,48.7271963488435,-0.08387918154746254
2020-08-20,43.689999,48.6271973488435,-0.10153162464669419
2020-08-21,43.59,,
