COP,dcf,Deviation
6.29,,
6.29,,
6.29,,
6.24,,
6.15,,
6.05,,
6.1,,
6.15,,
6.29,,
6.34,,
6.29,,
6.43,,
6.67,,
6.81,,
6.67,,
6.81,,
6.81,,
6.81,,
6.81,,
6.91,,
6.96,,
6.96,,
6.96,,
6.77,,
6.77,,
6.62,,
6.38,,
6.19,,
6.67,,
6.96,,
6.86,,
6.81,,
7.0,,
6.86,,
6.77,,
6.67,,
6.77,,
6.81,,
6.72,,
6.72,,
6.72,,
6.67,,
6.72,,
6.67,,
6.67,,
6.72,,
6.62,,
6.48,,
6.43,,
6.57,,
6.72,,
6.81,,
6.81,,
6.57,,
6.43,,
6.48,,
6.48,,
6.29,,
6.34,,
6.34,,
6.34,,
6.29,,
6.34,,
6.38,,
6.34,,
6.19,,
6.1,,
6.15,,
6.29,,
6.43,,
6.34,,
6.43,,
6.34,,
6.19,,
6.34,,
6.43,,
6.38,,
6.34,,
6.29,,
6.1,,
6.1,,
6.0,,
6.15,,
5.96,,
5.86,,
5.62,,
4.48,,
4.72,,
5.34,,
5.15,,
4.96,,
4.43,,
4.43,,
4.05,,
4.34,,
4.48,,
4.57,,
4.24,,
4.24,,
4.29,,
4.29,,
4.19,,
4.24,,
4.34,,
4.38,,
4.34,,
4.24,,
4.34,,
4.19,,
4.05,,
3.91,,
4.0,,
4.1,,
4.24,,
4.24,,
4.0,,
4.15,,
4.1,,
3.95,,
3.91,,
3.91,,
4.19,,
4.19,,
4.0,,
4.05,,
3.91,,
3.91,,
4.0,,
3.95,,
4.19,,
4.05,,
4.19,,
4.91,,
5.05,,
4.86,,
5.05,,
5.24,,
5.34,,
5.38,,
5.34,,
5.43,,
5.43,,
5.0,,
4.96,,
4.86,,
4.86,,
4.86,,
4.96,,
4.91,,
4.91,,
4.76,,
4.91,,
5.0,,
5.15,,
5.05,,
5.24,,
5.53,,
5.43,,
5.29,,
5.38,,
5.34,,
5.43,,
5.43,,
5.34,,
5.34,,
5.53,,
5.48,,
5.48,,
5.43,,
5.34,,
5.43,,
5.81,,
5.81,,
5.67,,
5.48,,
5.24,,
5.43,,
5.72,,
5.57,,
5.48,,
5.67,,
5.67,,
5.67,,
5.86,,
6.0,,
5.81,,
6.29,,
6.15,,
6.1,,
6.19,,
6.81,,
6.81,,
6.72,,
6.43,,
6.77,,
6.48,,
6.34,,
6.24,,
6.24,,
6.24,,
6.53,,
6.38,,
6.24,,
6.62,,
6.62,,
7.05,,
7.0,,
7.05,,
7.0,,
6.57,,
6.72,,
6.72,,
6.77,,
6.57,,
6.57,,
6.62,,
6.72,,
6.81,,
6.86,,
6.67,,
6.81,,
6.77,,
6.72,,
6.77,,
6.96,,
6.91,,
6.72,,
6.62,,
6.43,,
6.43,,
6.48,,
6.53,,
6.43,,
6.34,,
6.29,,
6.19,,
6.15,,
6.29,,
6.38,,
6.38,,
6.38,,
6.57,,
6.62,,
6.62,,
6.57,,
6.62,,
6.62,,
6.67,,
6.62,,
6.62,,
6.67,,
6.77,,
6.81,,
6.57,,
6.57,,
6.53,,
6.57,,
6.53,,
6.43,,
6.34,,
6.29,,
6.29,,
6.19,,
6.0,,
5.96,,
6.19,,
6.15,,
6.15,,
6.1,,
6.1,,
6.05,,
6.1,,
6.1,,
6.15,,
6.57,,
6.43,,
6.48,,
6.38,,
6.38,,
6.29,,
6.48,,
6.53,,
6.62,,
6.72,,
6.72,,
6.72,,
6.77,,
6.62,,
6.81,,
6.62,,
6.57,,
6.48,,
6.53,,
6.62,,
6.38,,
6.48,,
6.57,,
6.57,,
6.48,,
6.38,,
6.29,,
6.34,,
6.29,,
6.34,,
6.38,,
6.43,,
6.57,,
6.57,,
6.67,,
6.62,,
6.48,,
6.38,,
6.38,,
6.62,,
6.72,,
6.91,,
7.05,,
7.29,,
7.19,,
7.43,,
7.38,,
7.24,,
7.19,,
7.15,,
7.1,,
7.29,,
7.38,,
7.24,,
6.96,,
7.34,,
7.24,,
7.34,,
7.38,,
7.67,,
7.86,,
8.53,,
8.15,,
8.0,,
7.81,,
8.0,,
7.96,,
8.0,,
7.96,,
8.15,,
7.91,,
7.96,,
7.58,,
7.62,,
7.67,,
7.62,,
7.58,,
7.48,,
7.34,,
