date,AKAM,dcf,Deviation
2000-06-01,73.88,,
2000-06-02,89.0,,
2000-06-05,95.06,,
2000-06-06,87.56,,
2000-06-07,85.5,,
2000-06-08,90.56,,
2000-06-09,98.0,,
2000-06-12,88.63,,
2000-06-13,98.0,,
2000-06-14,93.94,,
2000-06-15,91.25,,
2000-06-16,88.0,,
2000-06-19,92.75,,
2000-06-20,94.0,,
2000-06-21,115.38,,
2000-06-22,107.56,,
2000-06-23,102.5,,
2000-06-26,119.25,,
2000-06-27,116.25,,
2000-06-28,112.5,,
2000-06-29,109.13,,
2000-06-30,118.73,,
2000-07-03,126.47,,
2000-07-05,115.19,,
2000-07-06,110.69,,
2000-07-07,113.75,,
2000-07-10,114.88,,
2000-07-11,107.06,,
2000-07-12,113.5,,
2000-07-13,127.06,,
2000-07-14,126.0,,
2000-07-17,124.69,,
2000-07-18,122.0,,
2000-07-19,121.0,,
2000-07-20,125.44,,
2000-07-21,117.0,,
2000-07-24,107.88,,
2000-07-25,85.0,,
2000-07-26,84.69,,
2000-07-27,78.13,,
2000-07-28,77.94,,
2000-07-31,78.86,,
2000-08-01,71.25,,
2000-08-02,68.63,,
2000-08-03,75.0,,
2000-08-04,77.38,,
2000-08-07,76.69,,
2000-08-08,74.06,,
2000-08-09,71.38,,
2000-08-10,66.5,,
2000-08-11,63.44,,
2000-08-14,71.38,,
2000-08-15,75.06,,
2000-08-16,75.19,,
2000-08-17,75.13,,
2000-08-18,78.94,,
2000-08-21,76.0,,
2000-08-22,71.63,,
2000-08-23,69.31,,
2000-08-24,65.19,,
2000-08-25,70.06,,
2000-08-28,67.0,,
2000-08-29,66.31,,
2000-08-30,72.5,,
2000-08-31,75.56,,
2000-09-01,72.19,,
2000-09-05,67.88,,
2000-09-06,69.13,,
2000-09-07,70.0,,
2000-09-08,67.5,,
2000-09-11,62.69,,
2000-09-12,61.69,,
2000-09-13,63.31,,
2000-09-14,63.94,,
2000-09-15,61.13,,
2000-09-18,59.88,,
2000-09-19,61.94,,
2000-09-20,60.63,,
2000-09-21,58.63,,
2000-09-22,56.25,,
2000-09-25,56.13,,
2000-09-26,57.38,,
2000-09-27,50.5,,
2000-09-28,48.88,,
2000-09-29,52.52,,
2000-10-02,46.88,,
2000-10-03,44.0,,
2000-10-04,45.48,,
2000-10-05,39.69,,
2000-10-06,36.19,,
2000-10-09,43.94,,
2000-10-10,41.75,,
2000-10-11,45.56,,
2000-10-12,42.88,,
2000-10-13,49.0,,
2000-10-16,52.88,,
2000-10-17,49.13,,
2000-10-18,40.38,,
2000-10-19,52.8,,
2000-10-20,56.38,,
2000-10-23,55.75,,
2000-10-24,53.0,,
2000-10-25,50.38,,
2000-10-26,49.0,,
2000-10-27,48.69,,
2000-10-30,47.25,,
2000-10-31,51.0,,
2000-11-01,50.31,,
2000-11-02,52.06,,
2000-11-03,53.94,,
2000-11-06,56.5,,
2000-11-07,57.75,,
2000-11-08,52.0,,
2000-11-09,50.88,,
2000-11-10,49.13,,
2000-11-13,45.88,,
2000-11-14,48.81,,
2000-11-15,47.06,,
2000-11-16,42.06,,
2000-11-17,41.25,,
2000-11-20,37.56,,
2000-11-21,36.06,,
2000-11-22,32.13,,
2000-11-24,35.06,,
2000-11-27,35.25,,
2000-11-28,30.38,,
2000-11-29,30.94,,
2000-11-30,28.75,,
2000-12-01,27.0,,
2000-12-04,26.31,,
2000-12-05,37.5,,
2000-12-06,32.38,,
2000-12-07,29.89,,
2000-12-08,34.25,,
2000-12-11,38.63,,
2000-12-12,39.44,,
2000-12-13,34.25,,
2000-12-14,32.63,,
2000-12-15,33.31,,
2000-12-18,31.0,,
2000-12-19,28.0,,
2000-12-20,23.94,,
2000-12-21,21.19,,
2000-12-22,23.56,,
2000-12-26,23.81,,
2000-12-27,24.94,,
2000-12-28,23.88,,
2000-12-29,21.06,,
2001-01-02,19.75,,
2001-01-03,24.25,,
2001-01-04,20.88,,
2001-01-05,19.44,,
2001-01-08,18.63,,
2001-01-09,20.56,,
2001-01-10,22.13,,
2001-01-11,24.5,,
2001-01-12,27.44,,
2001-01-16,31.69,,
2001-01-17,32.38,,
2001-01-18,31.25,,
2001-01-19,30.0,,
2001-01-22,28.5,,
2001-01-23,32.13,,
2001-01-24,35.38,,
2001-01-25,29.63,,
2001-01-26,29.75,,
2001-01-29,31.81,,
2001-01-30,30.69,,
2001-01-31,29.06,,
2001-02-01,27.63,,
2001-02-02,25.75,,
2001-02-05,24.88,,
2001-02-06,25.81,,
2001-02-07,25.25,,
2001-02-08,25.63,,
2001-02-09,24.44,,
2001-02-12,24.94,,
2001-02-13,22.94,,
2001-02-14,21.75,,
2001-02-15,23.31,,
2001-02-16,21.25,,
2001-02-20,19.8,,
2001-02-21,17.94,,
2001-02-22,17.0,,
2001-02-23,19.19,,
2001-02-26,20.06,,
2001-02-27,17.81,,
2001-02-28,16.94,,
2001-03-01,17.0,,
2001-03-02,14.81,,
2001-03-05,13.25,,
2001-03-06,12.56,,
2001-03-07,12.31,,
2001-03-08,10.94,,
2001-03-09,11.13,,
2001-03-12,10.44,,
2001-03-13,11.44,,
2001-03-14,11.25,,
2001-03-15,9.31,,
2001-03-16,8.22,,
2001-03-19,9.47,,
2001-03-20,8.88,,
2001-03-21,8.34,,
2001-03-22,8.69,,
2001-03-23,8.53,,
2001-03-26,9.41,,
2001-03-27,9.0,,
2001-03-28,8.22,,
2001-03-29,8.25,,
2001-03-30,8.56,,
2001-04-02,7.44,,
2001-04-03,5.81,,
2001-04-04,6.0,,
2001-04-05,7.5,,
2001-04-06,7.22,,
2001-04-09,7.13,,
2001-04-10,8.67,,
2001-04-11,8.35,,
2001-04-12,9.06,,
2001-04-16,8.4,,
2001-04-17,8.55,,
2001-04-18,9.04,,
2001-04-19,12.6,,
2001-04-20,10.21,,
2001-04-23,9.14,,
2001-04-24,9.24,,
2001-04-25,7.97,,
2001-04-26,7.0,,
2001-04-27,7.91,,
2001-04-30,9.45,,
2001-05-01,9.08,,
2001-05-02,11.46,,
2001-05-03,10.14,,
2001-05-04,10.56,,
2001-05-07,9.99,,
2001-05-08,10.33,,
2001-05-09,10.07,,
2001-05-10,9.57,,
2001-05-11,9.34,,
2001-05-14,8.9,,
2001-05-15,9.16,,
2001-05-16,9.96,,
2001-05-17,10.29,,
2001-05-18,10.01,,
2001-05-21,10.9,,
2001-05-22,12.81,,
2001-05-23,11.26,,
2001-05-24,11.93,,
2001-05-25,10.95,,
2001-05-29,11.13,,
2001-05-30,10.05,,
2001-05-31,10.33,,
2001-06-01,10.35,,
2001-06-04,10.15,,
2001-06-05,10.13,,
2001-06-06,10.05,,
2001-06-07,9.64,,
2001-06-08,9.25,,
2001-06-11,9.12,,
2001-06-12,9.15,,
2001-06-13,8.53,,
2001-06-14,7.6,,
2001-06-15,7.51,,
2001-06-18,6.72,,
2001-06-19,6.35,,
2001-06-20,6.98,,
2001-06-21,6.94,,
2001-06-22,6.81,,
2001-06-25,7.31,,
2001-06-26,7.41,,
2001-06-27,7.59,,
2001-06-28,8.14,,
2001-06-29,9.18,,
2001-07-02,8.7,,
2001-07-03,8.23,,
2001-07-05,7.96,,
2001-07-06,7.86,,
2001-07-09,8.29,,
2001-07-10,7.63,,
2001-07-11,7.7,,
2001-07-12,8.2,,
2001-07-13,8.45,,
2001-07-16,7.92,,
2001-07-17,8.64,,
2001-07-18,7.96,,
2001-07-19,8.3,,
2001-07-20,8.1,,
2001-07-23,8.15,,
2001-07-24,8.03,,
2001-07-25,7.89,,
2001-07-26,8.07,,
2001-07-27,8.01,,
2001-07-30,7.6,,
2001-07-31,7.75,,
2001-08-01,8.01,,
2001-08-02,8.13,,
2001-08-03,7.75,,
2001-08-06,7.48,,
2001-08-07,7.4,,
2001-08-08,6.89,,
2001-08-09,6.53,,
2001-08-10,5.97,,
2001-08-13,5.85,,
2001-08-14,5.83,,
2001-08-15,5.1,,
2001-08-16,5.2,,
2001-08-17,4.55,,
2001-08-20,4.31,,
2001-08-21,4.42,,
2001-08-22,4.95,,
2001-08-23,4.45,,
2001-08-24,4.75,,
2001-08-27,4.9,,
2001-08-28,4.45,,
2001-08-29,4.44,,
2001-08-30,4.15,,
2001-08-31,4.21,,
2001-09-04,4.0,,
2001-09-05,3.78,,
2001-09-06,3.6,,
2001-09-07,3.2,,
2001-09-10,2.98,,
2001-09-17,2.82,,
2001-09-18,2.86,,
2001-09-19,2.95,,
2001-09-20,2.91,,
2001-09-21,2.79,,
2001-09-24,3.3,,
2001-09-25,3.35,,
2001-09-26,3.18,,
2001-09-27,3.03,,
2001-09-28,2.91,,
2001-10-01,2.65,,
2001-10-02,2.8,,
2001-10-03,3.19,,
2001-10-04,3.72,,
2001-10-05,3.8,,
2001-10-08,3.6,,
2001-10-09,3.46,,
2001-10-10,4.08,,
2001-10-11,4.13,,
2001-10-12,3.95,,
2001-10-15,3.98,,
2001-10-16,3.99,,
2001-10-17,3.6,,
2001-10-18,3.63,,
2001-10-19,3.5,,
2001-10-22,3.42,,
2001-10-23,3.35,,
2001-10-24,3.35,,
2001-10-25,3.38,,
2001-10-26,3.59,,
2001-10-29,3.4,,
2001-10-30,3.25,,
2001-10-31,3.16,,
2001-11-01,3.17,,
2001-11-02,3.32,,
2001-11-05,3.19,,
2001-11-06,3.5,,
2001-11-07,4.25,,
2001-11-08,4.12,,
2001-11-09,4.0,,
2001-11-12,4.43,,
2001-11-13,5.1,,
2001-11-14,5.73,,
2001-11-15,5.85,,
2001-11-16,5.45,,
2001-11-19,5.85,,
2001-11-20,5.9,,
2001-11-21,5.8,,
2001-11-23,5.9,,
2001-11-26,6.1,,
2001-11-27,6.27,,
2001-11-28,5.95,,
2001-11-29,5.87,,
2001-11-30,5.76,,
2001-12-03,5.54,,
2001-12-04,6.03,,
2001-12-05,6.07,,
2001-12-06,6.21,,
2001-12-07,5.85,,
2001-12-10,5.59,,
2001-12-11,5.49,,
2001-12-12,5.38,,
2001-12-13,4.95,,
2001-12-14,4.95,,
2001-12-17,5.24,,
2001-12-18,5.49,,
2001-12-19,5.31,,
2001-12-20,5.35,,
2001-12-21,5.44,,
2001-12-24,5.5,,
2001-12-26,5.61,,
2001-12-27,5.76,,
2001-12-28,6.0,,
2001-12-31,5.94,,
2002-01-02,5.87,,
2002-01-03,6.1,,
2002-01-04,6.21,,
2002-01-07,5.81,,
2002-01-08,5.65,,
2002-01-09,5.66,,
2002-01-10,5.25,,
2002-01-11,5.25,,
2002-01-14,5.12,,
2002-01-15,4.95,,
2002-01-16,4.41,,
2002-01-17,4.76,,
2002-01-18,4.52,,
2002-01-22,4.12,,
2002-01-23,4.06,,
2002-01-24,4.34,,
2002-01-25,4.5,,
2002-01-28,4.88,,
2002-01-29,4.65,,
2002-01-30,4.65,,
2002-01-31,4.61,,
2002-02-01,4.18,,
2002-02-04,3.94,,
2002-02-05,3.59,,
2002-02-06,3.6,,
2002-02-07,3.68,,
2002-02-08,3.92,,
2002-02-11,3.88,,
2002-02-12,3.95,,
2002-02-13,3.91,,
2002-02-14,3.68,,
2002-02-15,3.5,,
2002-02-19,3.24,,
2002-02-20,3.21,,
2002-02-21,3.27,,
2002-02-22,3.14,,
2002-02-25,3.27,,
2002-02-26,3.21,,
2002-02-27,3.24,,
2002-02-28,3.11,,
2002-03-01,3.19,,
2002-03-04,3.92,,
2002-03-05,4.13,,
2002-03-06,4.32,,
2002-03-07,4.61,,
2002-03-08,4.6,,
2002-03-11,4.6,,
2002-03-12,4.32,,
2002-03-13,4.13,,
2002-03-14,4.16,,
2002-03-15,4.06,,
2002-03-18,4.24,,
2002-03-19,4.23,,
2002-03-20,4.0,,
2002-03-21,4.2,,
2002-03-22,4.22,,
2002-03-25,4.09,,
2002-03-26,4.06,,
2002-03-27,4.04,,
2002-03-28,4.0,,
2002-04-01,4.06,,
2002-04-02,3.91,,
2002-04-03,3.75,,
2002-04-04,3.64,,
2002-04-05,3.59,,
2002-04-08,3.78,,
2002-04-09,3.77,,
2002-04-10,4.17,,
2002-04-11,3.86,,
2002-04-12,3.92,,
2002-04-15,3.95,,
2002-04-16,4.07,,
2002-04-17,4.31,,
2002-04-18,4.15,,
2002-04-19,3.63,,
2002-04-22,3.35,,
2002-04-23,3.17,,
2002-04-24,2.88,,
2002-04-25,2.77,,
2002-04-26,2.67,,
2002-04-29,2.5,,
2002-04-30,2.29,,
2002-05-01,2.02,,
2002-05-02,2.13,,
2002-05-03,2.23,,
2002-05-06,2.0,,
2002-05-07,1.9,,
2002-05-08,2.28,,
2002-05-09,2.12,,
2002-05-10,2.03,,
2002-05-13,2.04,,
2002-05-14,2.13,,
2002-05-15,2.32,,
2002-05-16,2.49,,
2002-05-17,2.62,,
2002-05-20,2.52,,
2002-05-21,2.27,,
2002-05-22,2.18,,
2002-05-23,2.25,,
2002-05-24,2.15,,
2002-05-28,2.16,,
2002-05-29,2.09,,
2002-05-30,2.08,,
2002-05-31,2.0,,
2002-06-03,1.97,,
2002-06-04,1.93,,
2002-06-05,1.89,,
2002-06-06,1.77,,
2002-06-07,1.7,,
2002-06-10,1.7,,
2002-06-11,1.65,,
2002-06-12,1.64,,
2002-06-13,1.56,,
2002-06-14,1.62,,
2002-06-17,1.64,,
2002-06-18,1.51,,
2002-06-19,1.22,,
2002-06-20,1.09,,
2002-06-21,1.05,,
2002-06-24,0.96,,
2002-06-25,0.94,,
2002-06-26,0.94,,
2002-06-27,1.12,,
2002-06-28,1.3,,
2002-07-01,1.4,2.064256260531841,-0.3217896310803485
2002-07-02,1.27,2.094256260531841,-0.39357946592577897
2002-07-03,1.3,2.204256260531841,-0.41023191210701737
2002-07-05,1.41,2.014256260531841,-0.2999897641486263
2002-07-08,1.22,2.0442562605318413,-0.40320593677301486
2002-07-09,1.25,1.964256260531841,-0.3636268214507049
2002-07-10,1.17,2.134256260531841,-0.4517996635940782
2002-07-11,1.34,2.054256260531841,-0.34769579348728485
2002-07-12,1.26,2.074256260531841,-0.392553358051847
2002-07-15,1.28,2.144256260531841,-0.40305642401038344
2002-07-16,1.35,2.2942562605318413,-0.4115740149764042
2002-07-17,1.5,2.214256260531841,-0.32257163421558277
2002-07-18,1.42,1.984256260531841,-0.2843666273128468
2002-07-19,1.19,1.994256260531841,-0.40328631603109866
2002-07-22,1.2,1.974256260531841,-0.39217617084991063
2002-07-23,1.18,1.9342562605318412,-0.3899463974460404
2002-07-24,1.14,1.844256260531841,-0.3818646440862562
2002-07-25,1.05,1.8942562605318412,-0.44569273868721615
2002-07-26,1.1,2.034256260531841,-0.4592618337512633
2002-07-29,1.24,1.9142562605318412,-0.35222883917564485
2002-07-30,1.12,1.8542562605318411,-0.39598424239443597
2002-07-31,1.06,1.8942562605318412,-0.44041362191280864
2002-08-01,1.1,1.804256260531841,-0.39033050677859205
2002-08-02,1.01,1.754256260531841,-0.42425743449033126
2002-08-05,0.96,1.8542562605318411,-0.48227220776665947
2002-08-06,1.06,1.9042562605318412,-0.44335223049026407
2002-08-07,1.11,1.8642562605318411,-0.4045882942705872
2002-08-08,1.07,1.814256260531841,-0.41022664588389823
2002-08-09,1.02,1.754256260531841,-0.41855701304964144
2002-08-12,0.96,1.6842562605318412,-0.4300154777534514
2002-08-13,0.89,1.694256260531841,-0.4746957584086945
2002-08-14,0.9,1.594256260531841,-0.43547344157848145
2002-08-15,0.8,1.6342562605318411,-0.5104806881757616
2002-08-16,0.84,1.6642562605318412,-0.4952700374811486
2002-08-19,0.87,1.6842562605318412,-0.4834515267140653
2002-08-20,0.89,1.714256260531841,-0.48082441319252867
2002-08-21,0.92,1.784256260531841,-0.48437899849331534
2002-08-22,0.99,1.9342562605318412,-0.48817536734879663
2002-08-23,1.14,1.8842562605318411,-0.3949867521319903
2002-08-26,1.09,1.834256260531841,-0.4057536978590137
2002-08-27,1.04,1.744256260531841,-0.40375733570083694
2002-08-28,0.95,1.754256260531841,-0.45845996313447
2002-08-29,0.96,1.744256260531841,-0.44962215603154176
2002-08-30,0.95,1.704256260531841,-0.44257209317597757
2002-09-03,0.91,1.6842562605318412,-0.4597021716204591
2002-09-04,0.89,1.704256260531841,-0.47777806623854735
2002-09-05,0.91,1.754256260531841,-0.4812616488972291
2002-09-06,0.96,1.734256260531841,-0.4464485890305515
2002-09-09,0.94,1.754256260531841,-0.46416038457515985
2002-09-10,0.96,1.794256260531841,-0.46495937000914056
2002-09-11,1.0,1.754256260531841,-0.4299578559310211
2002-09-12,0.96,1.714256260531841,-0.43999037827508714
2002-09-13,0.92,1.704256260531841,-0.46017507970726246
2002-09-16,0.91,1.734256260531841,-0.4752793916852103
2002-09-17,0.94,1.704256260531841,-0.44843975535307257
2002-09-18,0.91,1.694256260531841,-0.46289116871001346
2002-09-19,0.9,1.704256260531841,-0.47191040406145235
2002-09-20,0.91,1.694256260531841,-0.46289116871001346
2002-09-23,0.9,1.6842562605318412,-0.46563951039386065
2002-09-24,0.89,1.714256260531841,-0.48082441319252867
2002-09-25,0.92,1.714256260531841,-0.46332411251362515
2002-09-26,0.92,1.6842562605318412,-0.4537648328470576
2002-09-27,0.89,1.6242562605318411,-0.4520569065200455
2002-09-30,0.83,1.9519756215087538,-0.5747897715246759
2002-10-01,0.85,1.9319756215087538,-0.5600358562825951
2002-10-02,0.83,1.8919756215087538,-0.5613051296410905
2002-10-03,0.79,1.8119756215087537,-0.5640117942965472
2002-10-04,0.71,1.7719756215087539,-0.5993172866591312
2002-10-07,0.67,1.8319756215087537,-0.6342746092613336
2002-10-08,0.73,1.8119756215087537,-0.5971248225778223
2002-10-09,0.71,1.8319756215087537,-0.6124402575754432
2002-10-10,0.73,1.9919756215087538,-0.6335296516093473
2002-10-11,0.89,2.0219756215087537,-0.559836433964569
2002-10-14,0.92,2.1019756215087537,-0.5623165223297673
2002-10-15,1.0,2.091975621508754,-0.521982957297184
2002-10-16,0.99,1.9619756215087538,-0.49540657429846513
2002-10-17,0.86,1.9019756215087538,-0.5478385788573885
2002-10-18,0.8,1.9419756215087538,-0.5880483816895361
2002-10-21,0.84,1.9019756215087538,-0.5583539607444259
2002-10-22,0.8,1.9219756215087538,-0.5837616299357643
2002-10-23,0.82,2.0019756215087536,-0.5904046027383583
2002-10-24,0.9,2.051975621508754,-0.5613982980274113
2002-10-25,0.95,2.051975621508754,-0.5370315368067119
2002-10-28,0.95,1.9619756215087538,-0.5157941874581231
2002-10-29,0.86,2.0219756215087537,-0.5746734081005948
2002-10-30,0.92,2.071975621508754,-0.5559793317789704
2002-10-31,0.97,2.1019756215087537,-0.5385293768042112
2002-11-01,1.0,2.1619756215087538,-0.5374600943454944
2002-11-04,1.06,2.131975621508754,-0.50280857374445
2002-11-05,1.03,2.2319756215087536,-0.5385254256031038
2002-11-06,1.13,2.1619756215087538,-0.47732990661040875
2002-11-07,1.06,2.1019756215087537,-0.4957125148582102
2002-11-08,1.0,2.0619756215087537,-0.5150282139280109
2002-11-11,0.96,2.071975621508754,-0.5366740853345778
2002-11-12,0.97,2.071975621508754,-0.5318477737234797
2002-11-13,0.97,2.111975621508754,-0.5407143955065868
2002-11-14,1.01,2.131975621508754,-0.5262609995112213
2002-11-15,1.03,2.221975621508754,-0.5364485595478248
2002-11-18,1.12,2.321975621508754,-0.5176521279442823
2002-11-19,1.22,2.611975621508754,-0.5329206023388181
2002-11-20,1.51,3.301975621508754,-0.5426980168587545
2002-11-21,2.2,3.301975621508754,-0.3337322099928872
2002-11-22,2.2,3.1719756215087536,-0.30642594316233496
2002-11-25,2.07,3.0619756215087537,-0.32396587828480783
2002-11-26,1.96,3.2119756215087536,-0.38978366246773255
2002-11-27,2.11,3.1619756215087538,-0.33269567745965034
2002-11-29,2.06,3.2319756215087536,-0.362618954706611
2002-12-02,2.13,3.1019756215087537,-0.3133408318135007
2002-12-03,2.0,2.931975621508754,-0.31786608820068296
2002-12-04,1.83,2.801975621508754,-0.3468893926298271
2002-12-05,1.7,2.721975621508754,-0.37545362766411805
2002-12-06,1.62,2.6019756215087537,-0.37739616520286834
2002-12-09,1.5,2.6919756215087536,-0.4427884160558241
2002-12-10,1.59,2.841975621508754,-0.4405300355265196
2002-12-11,1.74,2.881975621508754,-0.39624749528967707
2002-12-12,1.78,2.7519756215087536,-0.353191944693127
2002-12-13,1.65,2.801975621508754,-0.411129780240008
2002-12-16,1.7,2.761975621508754,-0.3844985499649849
2002-12-17,1.66,2.701975621508754,-0.38563472342763994
2002-12-18,1.6,2.7519756215087536,-0.41859950084775466
2002-12-19,1.65,2.8919756215087538,-0.4294557714358639
2002-12-20,1.79,3.1019756215087537,-0.4229483985662752
2002-12-23,2.0,3.151975621508754,-0.36547732591831994
2002-12-24,2.05,3.0619756215087537,-0.33049760892939906
2002-12-26,1.96,2.9819756215087536,-0.34271763127013
2002-12-27,1.88,2.8719756215087537,-0.3453983432448611
2002-12-30,1.77,2.8319756215087537,-0.37499461981349236
2002-12-31,1.73,2.8666626465423977,-0.3965107815924467
2003-01-02,1.88,2.8866626465423977,-0.3487288851532976
2003-01-03,1.9,2.8466626465423976,-0.33255175062356945
2003-01-06,1.86,2.7266626465423975,-0.3178474050104392
2003-01-07,1.74,2.6466626465423975,-0.3425682709229536
2003-01-08,1.66,2.7666626465423976,-0.3999991281645544
2003-01-09,1.78,2.7566626465423973,-0.3542916822874199
2003-01-10,1.77,2.7566626465423973,-0.35791925710603
2003-01-13,1.77,2.7966626465423974,-0.36710278510412864
2003-01-14,1.81,2.7466626465423976,-0.3410184529656395
2003-01-15,1.76,2.6866626465423975,-0.3449121711410127
2003-01-16,1.7,2.5266626465423974,-0.32717571048657446
2003-01-17,1.54,2.4766626465423975,-0.3781954913601363
2003-01-21,1.49,2.4666626465423978,-0.39594496146905944
2003-01-22,1.48,2.4866626465423973,-0.4048247750623192
2003-01-23,1.5,2.3866626465423977,-0.3715073212491603
2003-01-24,1.4,2.2966626465423974,-0.39041983283540316
2003-01-27,1.31,2.3466626465423976,-0.44176040730431765
2003-01-28,1.36,2.4166626465423975,-0.4372404431599922
2003-01-29,1.43,2.3766626465423975,-0.39831595280029153
2003-01-30,1.39,2.3166626465423974,-0.3999989588149293
2003-01-31,1.33,2.2966626465423974,-0.42089884119363297
2003-02-03,1.31,2.2166626465423978,-0.40902148459831333
2003-02-04,1.23,2.2466626465423976,-0.4525212755493292
2003-02-05,1.26,2.2566626465423973,-0.44165336279636624
2003-02-06,1.27,2.4066626465423977,-0.4722982874959303
2003-02-07,1.42,2.3366626465423974,-0.39229567344640015
2003-02-10,1.35,2.2566626465423973,-0.4017714601389638
2003-02-11,1.27,2.2166626465423978,-0.4270666301067617
2003-02-12,1.23,2.2166626465423978,-0.4451117756152102
2003-02-13,1.23,2.3166626465423974,-0.46906382686500936
2003-02-14,1.33,2.4166626465423975,-0.4496542569138159
2003-02-18,1.43,2.4266626465423977,-0.4107133094756624
2003-02-19,1.44,2.3666626465423977,-0.39154826223171935
2003-02-20,1.38,2.4466626465423977,-0.43596637568722285
2003-02-21,1.46,2.3866626465423977,-0.38826712601584934
2003-02-24,1.4,2.5266626465423974,-0.4459094086360025
2003-02-25,1.54,2.5866626465423974,-0.4046382499633169
2003-02-26,1.6,2.5666626465423974,-0.37662240023814886
2003-02-27,1.58,2.5166626465423976,-0.3721844275907473
2003-02-28,1.53,2.4866626465423973,-0.3847175039495597
2003-03-03,1.5,2.3866626465423977,-0.3715073212491603
2003-03-04,1.4,2.3866626465423977,-0.413406833165883
2003-03-05,1.4,2.3166626465423974,-0.39568240456179926
2003-03-06,1.33,2.3466626465423976,-0.4332376654311011
2003-03-07,1.36,2.3066626465423976,-0.4104035967120766
2003-03-10,1.32,2.3166626465423974,-0.4302148385868393
2003-03-11,1.33,2.3066626465423976,-0.42340939972578084
2003-03-12,1.32,2.3766626465423975,-0.44459934104642285
2003-03-13,1.39,2.3466626465423976,-0.40766943981145165
2003-03-14,1.36,2.4666626465423978,-0.44864775006571855
