date,JNPR,dcf,Deviation
2001-06-21,29.86,,
2001-06-22,28.99,,
2001-06-25,30.5,,
2001-06-26,29.49,,
2001-06-27,30.22,,
2001-06-28,30.24,,
2001-06-29,31.1,,
2001-07-02,31.76,,
2001-07-03,31.27,,
2001-07-05,28.5,,
2001-07-06,26.65,,
2001-07-09,28.05,,
2001-07-10,25.17,,
2001-07-11,24.53,,
2001-07-12,28.47,,
2001-07-13,27.44,,
2001-07-16,25.18,,
2001-07-17,25.98,,
2001-07-18,23.97,,
2001-07-19,24.49,,
2001-07-20,24.82,,
2001-07-23,24.6,,
2001-07-24,24.96,,
2001-07-25,23.25,,
2001-07-26,24.99,,
2001-07-27,25.81,,
2001-07-30,25.22,,
2001-07-31,25.69,,
2001-08-01,27.5,,
2001-08-02,27.93,,
2001-08-03,27.7,,
2001-08-06,26.63,,
2001-08-07,25.9,,
2001-08-08,23.47,,
2001-08-09,23.59,,
2001-08-10,22.75,,
2001-08-13,22.85,,
2001-08-14,23.49,,
2001-08-15,22.07,,
2001-08-16,20.02,,
2001-08-17,18.51,,
2001-08-20,17.9,,
2001-08-21,17.15,,
2001-08-22,16.32,,
2001-08-23,16.2,,
2001-08-24,17.28,,
2001-08-27,17.17,,
2001-08-28,16.7,,
2001-08-29,15.54,,
2001-08-30,14.43,,
2001-08-31,14.0,,
2001-09-04,13.49,,
2001-09-05,12.71,,
2001-09-06,12.7,,
2001-09-07,12.79,,
2001-09-10,12.5,,
2001-09-17,11.52,,
2001-09-18,9.95,,
2001-09-19,10.75,,
2001-09-20,10.95,,
2001-09-21,11.1,,
2001-09-24,12.29,,
2001-09-25,10.93,,
2001-09-26,10.23,,
2001-09-27,9.83,,
2001-09-28,9.7,,
2001-10-01,9.29,,
2001-10-02,9.53,,
2001-10-03,12.0,,
2001-10-04,13.27,,
2001-10-05,15.08,,
2001-10-08,15.24,,
2001-10-09,14.85,,
2001-10-10,15.0,,
2001-10-11,16.64,,
2001-10-12,21.06,,
2001-10-15,20.52,,
2001-10-16,22.95,,
2001-10-17,21.13,,
2001-10-18,23.0,,
2001-10-19,23.66,,
2001-10-22,23.25,,
2001-10-23,23.89,,
2001-10-24,27.01,,
2001-10-25,26.38,,
2001-10-26,25.0,,
2001-10-29,24.0,,
2001-10-30,22.99,,
2001-10-31,22.19,,
2001-11-01,21.92,,
2001-11-02,19.48,,
2001-11-05,22.58,,
2001-11-06,22.43,,
2001-11-07,23.02,,
2001-11-08,22.43,,
2001-11-09,23.44,,
2001-11-12,23.99,,
2001-11-13,23.88,,
2001-11-14,25.26,,
2001-11-15,25.12,,
2001-11-16,25.6,,
2001-11-19,26.57,,
2001-11-20,25.02,,
2001-11-21,25.24,,
2001-11-23,25.85,,
2001-11-26,26.39,,
2001-11-27,26.3,,
2001-11-28,24.17,,
2001-11-29,24.74,,
2001-11-30,24.58,,
2001-12-03,23.22,,
2001-12-04,25.24,,
2001-12-05,25.65,,
2001-12-06,26.91,,
2001-12-07,25.57,,
2001-12-10,24.33,,
2001-12-11,24.52,,
2001-12-12,23.93,,
2001-12-13,21.18,,
2001-12-14,20.25,,
2001-12-17,21.09,,
2001-12-18,23.26,,
2001-12-19,22.93,,
2001-12-20,18.85,,
2001-12-21,20.01,,
2001-12-24,19.73,,
2001-12-26,19.22,,
2001-12-27,19.35,,
2001-12-28,19.37,,
2001-12-31,18.95,,
2002-01-02,20.79,,
2002-01-03,21.99,,
2002-01-04,21.53,,
2002-01-07,21.64,,
2002-01-08,21.4,,
2002-01-09,21.12,,
2002-01-10,20.38,,
2002-01-11,19.26,,
2002-01-14,18.1,,
2002-01-15,17.96,,
2002-01-16,16.96,,
2002-01-17,17.52,,
2002-01-18,17.0,,
2002-01-22,16.07,,
2002-01-23,16.91,,
2002-01-24,16.99,,
2002-01-25,16.9,,
2002-01-28,16.92,,
2002-01-29,16.52,,
2002-01-30,16.49,,
2002-01-31,15.32,,
2002-02-01,14.96,,
2002-02-04,13.94,,
2002-02-05,13.51,,
2002-02-06,13.82,,
2002-02-07,13.41,,
2002-02-08,13.89,,
2002-02-11,14.88,,
2002-02-12,13.75,,
2002-02-13,13.01,,
2002-02-14,10.92,,
2002-02-15,10.27,,
2002-02-19,10.15,,
2002-02-20,10.11,,
2002-02-21,9.64,,
2002-02-22,9.46,,
2002-02-25,9.9,,
2002-02-26,10.19,,
2002-02-27,9.51,,
2002-02-28,9.32,,
2002-03-01,9.83,,
2002-03-04,11.73,,
2002-03-05,12.08,,
