date,DLTR,dcf,Deviation
1996-05-02,3.21,,
1996-05-03,3.23,,
1996-05-06,3.33,,
1996-05-07,3.23,,
1996-05-08,3.26,,
1996-05-09,3.31,,
1996-05-10,3.35,,
1996-05-13,3.7,,
1996-05-14,3.56,,
1996-05-15,3.56,,
1996-05-16,3.51,,
1996-05-17,3.56,,
1996-05-20,3.73,,
1996-05-21,3.96,,
1996-05-22,3.75,,
1996-05-23,3.73,,
1996-05-24,3.83,,
1996-05-28,3.83,,
1996-05-29,3.98,,
1996-05-30,4.15,,
1996-05-31,4.2,,
1996-06-03,4.2,,
1996-06-04,3.96,,
1996-06-05,3.88,,
1996-06-06,3.78,,
1996-06-07,3.6,,
1996-06-10,3.64,,
1996-06-11,3.46,,
1996-06-12,3.44,,
1996-06-13,3.22,,
1996-06-14,3.26,,
1996-06-17,3.21,,
1996-06-18,3.14,,
1996-06-19,3.23,,
1996-06-20,3.12,,
1996-06-21,3.16,,
1996-06-24,3.06,,
1996-06-25,2.94,,
1996-06-26,2.96,,
1996-06-27,3.14,,
1996-06-28,3.14,,
1996-07-01,3.16,,
1996-07-02,3.14,,
1996-07-03,3.17,,
1996-07-05,2.96,,
1996-07-08,2.94,,
1996-07-09,2.81,,
1996-07-10,2.72,,
1996-07-11,2.77,,
1996-07-12,2.74,,
1996-07-15,2.57,,
1996-07-16,2.47,,
1996-07-17,2.59,,
1996-07-18,2.64,,
1996-07-19,2.62,,
1996-07-22,2.79,,
1996-07-23,2.79,,
1996-07-24,2.77,,
1996-07-25,2.84,,
1996-07-26,2.79,,
1996-07-29,2.86,,
1996-07-30,2.84,,
1996-07-31,2.86,,
1996-08-01,2.91,,
1996-08-02,2.94,,
1996-08-05,2.86,,
1996-08-06,2.91,,
1996-08-07,2.96,,
1996-08-08,3.21,,
1996-08-09,3.26,,
1996-08-12,3.26,,
1996-08-13,3.19,,
1996-08-14,3.23,,
1996-08-15,3.48,,
1996-08-16,3.41,,
1996-08-19,3.56,,
1996-08-20,3.53,,
1996-08-21,3.38,,
1996-08-22,3.43,,
1996-08-23,3.41,,
1996-08-26,3.31,,
1996-08-27,3.32,,
1996-08-28,3.33,,
1996-08-29,3.16,,
1996-08-30,3.16,,
1996-09-03,3.01,,
1996-09-04,3.04,,
1996-09-05,3.19,,
1996-09-06,3.22,,
1996-09-09,3.19,,
1996-09-10,3.11,,
1996-09-11,3.26,,
1996-09-12,3.36,,
1996-09-13,3.47,,
1996-09-16,3.58,,
1996-09-17,3.57,,
1996-09-18,3.58,,
1996-09-19,3.6,,
1996-09-20,3.75,,
1996-09-23,3.83,,
1996-09-24,3.83,,
1996-09-25,3.93,,
1996-09-26,4.07,,
1996-09-27,4.02,,
1996-09-30,3.8,,
1996-10-01,3.78,,
1996-10-02,3.7,,
1996-10-03,3.88,,
1996-10-04,3.89,,
1996-10-07,3.89,,
1996-10-08,3.88,,
1996-10-09,3.73,,
1996-10-10,3.69,,
1996-10-11,3.7,,
1996-10-14,3.74,,
1996-10-15,3.58,,
1996-10-16,3.51,,
1996-10-17,3.58,,
1996-10-18,3.6,,
1996-10-21,3.58,,
1996-10-22,3.86,,
1996-10-23,3.99,,
1996-10-24,3.95,,
1996-10-25,4.05,,
1996-10-28,3.95,,
1996-10-29,3.73,,
1996-10-30,3.81,,
1996-10-31,3.73,,
1996-11-01,3.67,,
1996-11-04,3.75,,
1996-11-05,3.75,,
1996-11-06,3.88,,
1996-11-07,3.8,,
1996-11-08,3.88,,
1996-11-11,4.0,,
1996-11-12,4.15,,
1996-11-13,4.21,,
1996-11-14,4.07,,
1996-11-15,4.09,,
1996-11-18,4.05,,
1996-11-19,4.14,,
1996-11-20,4.17,,
1996-11-21,3.93,,
1996-11-22,3.65,,
1996-11-25,3.63,,
1996-11-26,3.75,,
1996-11-27,3.8,,
1996-11-29,3.78,,
1996-12-02,3.56,,
1996-12-03,3.65,,
1996-12-04,3.6,,
1996-12-05,3.58,,
1996-12-06,3.51,,
1996-12-09,3.49,,
1996-12-10,3.36,,
1996-12-11,3.21,,
