date,LDOS,dcf,Deviation
2011-04-05,42.74,43.01,-0.006277609858172384
2011-04-06,43.01,42.72,0.0067883895131086724
2011-04-07,42.72,42.59,0.0030523597088516485
2011-04-08,42.59,43.06,-0.010915002322340883
2011-04-11,43.06,42.77,0.006780453588964175
2011-04-12,42.77,41.98,0.01881848499285388
2011-04-13,41.98,41.78,0.00478697941598849
2011-04-14,41.78,41.98,-0.004764173415912287
2011-04-15,41.98,41.93,0.0011924636298592528
2011-04-18,41.93,42.0,-0.0016666666666667052
2011-04-19,42.0,42.54,-0.012693935119887145
2011-04-20,42.54,42.59,-0.001173984503404668
2011-04-21,42.59,42.52,0.0016462841015991714
2011-04-25,42.52,43.01,-0.011392699372238857
2011-04-26,43.01,43.33,-0.00738518347565198
2011-04-27,43.33,43.28,0.001155268022181133
2011-04-28,43.28,42.96,0.007448789571694592
2011-04-29,42.96,46.79390804597701,-0.08193177714949629
2011-05-02,43.11,46.77390804597702,-0.07833230531807456
2011-05-03,43.09,46.72390804597701,-0.07777406038898094
2011-05-04,43.04,46.423908045977015,-0.07289149467179024
2011-05-05,42.74,46.30390804597701,-0.07696775923186139
2011-05-06,42.62,46.72390804597701,-0.08783315047060514
2011-05-09,43.04,46.79390804597701,-0.08022215289837809
2011-05-10,43.11,46.353908045977015,-0.06998132806320201
2011-05-11,42.67,46.893908045977014,-0.09007370513533852
2011-05-12,43.21,46.643908045977014,-0.07361964701997525
2011-05-13,42.96,46.453908045977016,-0.07521235979799534
2011-05-16,42.77,46.423908045977015,-0.07870746345521529
2011-05-17,42.74,46.843908045977,-0.08760814836262254
2011-05-18,43.16,46.963908045977014,-0.0809964120160751
2011-05-19,43.28,46.913908045977,-0.07745907764528304
2011-05-20,43.23,46.423908045977015,-0.068798775898269
2011-05-23,42.74,45.953908045977016,-0.06993764366594224
2011-05-24,42.27,46.27390804597702,-0.08652625669737668
2011-05-25,42.59,46.54390804597701,-0.08495006569004171
2011-05-26,42.86,46.323908045977014,-0.07477581646477338
