date,FDX,dcf,Deviation
2007-11-28,97.12,99.74659919993086,-0.02633271932074721
2007-11-29,96.19,102.02659919993086,-0.057206642637313454
2007-11-30,98.47,99.911459406969,-0.014427368147006181
2007-12-03,97.25,99.871459406969,-0.026248333833660542
2007-12-04,97.21,100.041459406969,-0.028302859871831898
2007-12-05,97.38,101.151459406969,-0.03728526932859222
2007-12-06,98.49,102.881459406969,-0.04268465311711489
2007-12-07,100.22,103.531459406969,-0.03198505484166003
2007-12-10,100.87,100.331459406969,0.005367614467228554
2007-12-11,97.67,100.631459406969,-0.029428763375003886
2007-12-12,97.97,99.85145940696898,-0.01884258295415231
2007-12-13,97.19,98.581459406969,-0.0141148184997415
2007-12-14,95.92,98.561459406969,-0.02680012474310256
2007-12-17,95.9,99.421459406969,-0.035419510314713465
2007-12-18,96.76,97.291459406969,-0.0054625494386500995
2007-12-19,94.63,96.291459406969,-0.01725448359804127
2007-12-20,93.63,96.95145940696901,-0.034258993389946424
2007-12-21,94.29,94.791459406969,-0.0052901327831241796
2007-12-24,92.13,95.571459406969,-0.03600927963561107
2007-12-26,92.91,94.561459406969,-0.017464402699851944
2007-12-27,91.9,93.281459406969,-0.014809581837071817
2007-12-28,90.62,91.831459406969,-0.013192204662676454
2007-12-31,89.17,88.821459406969,0.0039240583903719095
2008-01-02,86.16,89.971459406969,-0.04236298301807673
2008-01-03,87.31,86.761459406969,0.006322399332380879
2008-01-04,84.1,86.151459406969,-0.02381224208028976
2008-01-07,83.49,85.441459406969,-0.022839724654911908
2008-01-08,82.78,85.441459406969,-0.031149507808523214
2008-01-09,82.78,87.681459406969,-0.0559007507416035
2008-01-10,85.02,86.70145940696901,-0.01939366901630102
2008-01-11,84.04,87.301459406969,-0.03735858975467077
2008-01-14,84.64,85.931459406969,-0.015028947673897619
2008-01-15,83.27,87.071459406969,-0.04365907534868696
2008-01-16,84.41,85.441459406969,-0.012072118315021196
2008-01-17,82.78,86.671459406969,-0.04489897174451063
2008-01-18,84.01,86.831459406969,-0.03249351590124894
2008-01-22,84.17,91.651459406969,-0.08162946291720607
2008-01-23,88.99,91.171459406969,-0.02392699887836025
2008-01-24,88.51,92.621459406969,-0.04438992252220586
2008-01-25,89.96,94.61145940696899,-0.049163805696737506
2008-01-28,91.95,95.49145940696899,-0.03708666124659232
2008-01-29,92.83,94.70145940696901,-0.019761674410175845
2008-01-30,92.04,95.98145940696898,-0.04106479971571253
2008-01-31,93.32,96.081459406969,-0.028740814554787164
2008-02-01,93.42,94.411459406969,-0.010501473160108965
2008-02-04,91.75,91.661459406969,0.0009659522508569385
2008-02-05,89.0,92.23145940696898,-0.03503641195473495
2008-02-06,89.57,92.821459406969,-0.03502917781881898
2008-02-07,90.16,90.661459406969,-0.005531119951621477
2008-02-08,88.0,91.11145940696899,-0.03415003367546765
2008-02-11,88.45,90.761459406969,-0.025467411190520317
2008-02-12,88.1,91.84145940696901,-0.04073823990960135
2008-02-13,89.18,90.671459406969,-0.016449050414803046
2008-02-14,88.01,90.581459406969,-0.028388363621034363
2008-02-15,87.92,91.911459406969,-0.043427222597951176
2008-02-19,89.25,92.60145940696898,-0.03619229576328642
2008-02-20,89.94,91.98145940696898,-0.02219424892941313
2008-02-21,89.32,91.75145940696899,-0.02650049844094704
2008-02-22,89.09,92.381459406969,-0.03562900421900783
2008-02-25,89.72,93.631459406969,-0.04177505543268156
2008-02-26,90.97,93.49145940696899,-0.026969943810514874
2008-02-27,90.83,91.85145940696898,-0.01112077492904251
2008-02-28,89.19,90.791459406969,-0.01763887724054003
2008-02-29,88.13,92.45431186313728,-0.04677241954424671
2008-03-03,89.22,93.54431186313728,-0.04622741647257067
2008-03-04,90.31,93.58431186313727,-0.03498782860022309
2008-03-05,90.35,92.08431186313727,-0.018833955839458794
2008-03-06,88.85,89.93431186313728,-0.012056709399048904
2008-03-07,86.7,88.20431186313728,-0.017054856291736087
2008-03-10,84.97,91.39431186313728,-0.07029225049319987
2008-03-11,88.16,90.29431186313728,-0.02363727923827963
2008-03-12,87.06,90.30431186313727,-0.03592643359105885
2008-03-13,87.07,88.03431186313728,-0.0109538183775032
2008-03-14,84.8,85.78431186313728,-0.011474264253674704
2008-03-17,82.55,90.15431186313728,-0.08434773341380875
2008-03-18,86.92,89.46431186313728,-0.02843940572671677
2008-03-19,86.23,90.25431186313727,-0.04458858286172285
2008-03-20,87.02,94.00431186313727,-0.07429778192840641
2008-03-24,90.77,94.68431186313728,-0.041340659145258196
2008-03-25,91.45,94.48431186313728,-0.032114451630155805
2008-03-26,91.25,94.95431186313728,-0.03901151817598869
2008-03-27,91.72,94.50431186313727,-0.029462273289387664
2008-03-28,91.27,95.90431186313728,-0.048322247176443955
2008-03-31,92.67,100.94431186313727,-0.08196907493267958
2008-04-01,97.71,100.56431186313728,-0.0283829502758578
2008-04-02,97.33,100.90431186313728,-0.03542278617374983
2008-04-03,97.67,100.10431186313728,-0.024317752330843434
2008-04-04,96.87,99.71431186313728,-0.028524610058396016
2008-04-07,96.48,99.28431186313728,-0.028245266654040924
2008-04-08,96.05,96.34431186313728,-0.0030547923115105124
2008-04-09,93.11,97.57431186313728,-0.04575294232563132
2008-04-10,94.34,96.13431186313728,-0.018664635220895676
2008-04-11,92.9,96.05431186313727,-0.032838836715957886
2008-04-14,92.82,96.90431186313728,-0.04214788572985029
2008-04-15,93.67,100.26431186313728,-0.06576928261512072
2008-04-16,97.03,98.19431186313727,-0.011857223102292203
2008-04-17,94.96,99.94431186313727,-0.04987089080129692
2008-04-18,96.71,98.68431186313728,-0.020006339669018658
