date,LB,dcf,Deviation
1982-12-02,3.81,,
1982-12-03,3.77,,
1982-12-06,3.81,,
1982-12-07,3.73,,
1982-12-08,3.79,,
1982-12-09,3.75,,
1982-12-10,3.69,,
1982-12-13,3.69,,
1982-12-14,3.77,,
1982-12-15,3.52,,
1982-12-16,3.52,,
1982-12-17,3.66,,
1982-12-20,3.75,,
1982-12-21,3.73,,
1982-12-22,3.81,,
1982-12-23,3.83,,
1982-12-27,3.97,,
1982-12-28,3.93,,
1982-12-29,3.97,,
1982-12-30,3.93,,
1982-12-31,3.93,,
1983-01-03,3.85,,
1983-01-04,3.87,,
1983-01-05,4.09,,
1983-01-06,4.42,,
1983-01-07,4.22,,
1983-01-10,4.32,,
1983-01-11,4.32,,
1983-01-12,4.3,,
1983-01-13,4.3,,
1983-01-14,4.36,,
1983-01-17,4.38,,
1983-01-18,4.24,,
1983-01-19,3.99,,
1983-01-20,3.87,,
1983-01-21,3.85,,
1983-01-24,3.75,,
1983-01-25,3.79,,
1983-01-26,3.73,,
1983-01-27,3.89,,
1983-01-28,3.97,,
1983-01-31,3.97,,
1983-02-01,4.14,,
1983-02-02,4.32,,
1983-02-03,4.5,,
1983-02-04,4.67,,
1983-02-07,4.57,,
1983-02-08,4.44,,
1983-02-09,4.48,,
1983-02-10,4.42,,
1983-02-11,4.59,,
1983-02-14,4.59,,
1983-02-15,4.61,,
1983-02-16,4.63,,
1983-02-17,4.5,,
1983-02-18,4.61,,
1983-02-22,4.65,,
1983-02-23,4.71,,
1983-02-24,4.75,,
1983-02-25,4.71,,
1983-02-28,4.59,,
1983-03-01,4.91,,
1983-03-02,4.87,,
1983-03-03,4.91,,
1983-03-04,4.91,,
1983-03-07,4.95,,
1983-03-08,4.83,,
1983-03-09,4.83,,
1983-03-10,4.83,,
1983-03-11,4.79,,
1983-03-14,4.67,,
1983-03-15,4.59,,
1983-03-16,4.46,,
1983-03-17,4.44,,
1983-03-18,4.38,,
1983-03-21,4.36,,
1983-03-22,4.73,,
1983-03-23,5.12,,
1983-03-24,5.08,,
1983-03-25,5.0,,
1983-03-28,4.97,,
1983-03-29,4.95,,
1983-03-30,5.02,,
1983-03-31,5.0,,
1983-04-04,4.91,,
1983-04-05,4.93,,
1983-04-06,4.83,,
1983-04-07,4.91,,
1983-04-08,5.08,,
1983-04-11,5.18,,
1983-04-12,5.16,,
1983-04-13,5.12,,
1983-04-14,5.08,,
1983-04-15,5.12,,
1983-04-18,5.1,,
1983-04-19,5.18,,
1983-04-20,5.34,,
1983-04-21,5.53,,
1983-04-22,5.43,,
1983-04-25,5.45,,
1983-04-26,5.51,,
1983-04-27,5.53,,
1983-04-28,5.53,,
1983-04-29,5.61,,
1983-05-02,5.77,,
1983-05-03,5.79,,
1983-05-04,5.88,,
1983-05-05,6.02,,
1983-05-06,6.16,,
1983-05-09,5.94,,
1983-05-10,6.43,,
1983-05-11,6.57,,
1983-05-12,6.69,,
1983-05-13,6.76,,
1983-05-16,6.59,,
1983-05-17,6.51,,
1983-05-18,6.55,,
1983-05-19,6.49,,
1983-05-20,6.33,,
1983-05-23,7.25,,
1983-05-24,7.45,,
1983-05-25,7.86,,
1983-05-26,8.19,,
1983-05-27,8.11,,
1983-05-31,7.9,,
1983-06-01,7.7,,
1983-06-02,7.68,,
1983-06-03,7.92,,
1983-06-06,8.07,,
1983-06-07,7.98,,
1983-06-08,8.13,,
1983-06-09,8.17,,
1983-06-10,8.33,,
1983-06-13,8.68,,
1983-06-14,4.69,,
1983-06-15,4.34,,
1983-06-16,4.26,,
1983-06-17,4.32,,
1983-06-20,4.01,,
1983-06-21,4.12,,
1983-06-22,4.2,,
1983-06-23,4.54,,
1983-06-24,4.67,,
1983-06-27,4.59,,
1983-06-28,4.52,,
1983-06-29,4.48,,
1983-06-30,4.77,,
1983-07-01,4.91,,
1983-07-05,4.83,,
1983-07-06,4.79,,
1983-07-07,4.63,,
1983-07-08,4.59,,
1983-07-11,4.67,,
1983-07-12,4.59,,
1983-07-13,4.38,,
1983-07-14,4.57,,
1983-07-15,4.44,,
1983-07-18,4.5,,
1983-07-19,4.59,,
1983-07-20,4.77,,
1983-07-21,4.77,,
1983-07-22,4.75,,
1983-07-25,4.89,,
1983-07-26,4.93,,
1983-07-27,4.83,,
1983-07-28,4.69,,
1983-07-29,4.65,,
1983-08-01,4.69,,
1983-08-02,4.89,,
1983-08-03,4.87,,
1983-08-04,4.65,,
1983-08-05,4.59,,
1983-08-08,4.57,,
1983-08-09,4.59,,
1983-08-10,4.63,,
1983-08-11,4.75,,
1983-08-12,4.79,,
1983-08-15,4.77,,
1983-08-16,4.69,,
1983-08-17,4.73,,
1983-08-18,4.67,,
1983-08-19,4.67,,
1983-08-22,4.59,,
1983-08-23,4.3,,
1983-08-24,4.09,,
1983-08-25,4.07,,
1983-08-26,4.14,,
1983-08-29,4.22,,
1983-08-30,4.38,,
1983-08-31,4.4,,
1983-09-01,4.38,,
1983-09-02,4.42,,
1983-09-06,4.61,,
1983-09-07,4.65,,
1983-09-08,4.67,,
1983-09-09,4.61,,
1983-09-12,4.61,,
1983-09-13,4.42,,
1983-09-14,4.26,,
1983-09-15,4.59,,
1983-09-16,4.75,,
1983-09-19,4.87,,
1983-09-20,4.73,,
1983-09-21,4.65,,
1983-09-22,4.5,,
1983-09-23,4.57,,
1983-09-26,4.5,,
1983-09-27,4.54,,
1983-09-28,4.36,,
1983-09-29,4.36,,
1983-09-30,4.59,,
1983-10-03,4.59,,
1983-10-04,4.67,,
1983-10-05,4.75,,
1983-10-06,4.71,,
1983-10-07,4.73,,
1983-10-10,4.69,,
1983-10-11,4.42,,
1983-10-12,4.42,,
1983-10-13,4.28,,
1983-10-14,4.5,,
1983-10-17,4.48,,
1983-10-18,4.36,,
1983-10-19,4.18,,
1983-10-20,4.24,,
1983-10-21,4.09,,
1983-10-24,4.05,,
1983-10-25,4.07,,
1983-10-26,3.89,,
1983-10-27,3.73,,
1983-10-28,3.81,,
1983-10-31,3.73,,
1983-11-01,3.89,,
1983-11-02,3.91,,
1983-11-03,3.93,,
1983-11-04,4.07,,
1983-11-07,4.18,,
1983-11-08,4.2,,
1983-11-09,4.18,,
1983-11-10,4.2,,
1983-11-11,4.32,,
1983-11-14,4.36,,
1983-11-15,4.32,,
1983-11-16,4.42,,
1983-11-17,4.5,,
1983-11-18,4.5,,
1983-11-21,4.63,,
1983-11-22,4.71,,
1983-11-23,4.69,,
1983-11-25,4.71,,
1983-11-28,4.69,,
1983-11-29,4.79,,
1983-11-30,4.67,,
1983-12-01,4.54,,
1983-12-02,4.5,,
1983-12-05,4.48,,
1983-12-06,4.48,,
1983-12-07,4.34,,
1983-12-08,4.59,,
1983-12-09,4.54,,
1983-12-12,4.63,,
1983-12-13,4.65,,
1983-12-14,4.42,,
1983-12-15,4.4,,
1983-12-16,4.34,,
1983-12-19,4.22,,
1983-12-20,4.24,,
1983-12-21,4.09,,
1983-12-22,4.14,,
1983-12-23,4.09,,
1983-12-27,4.16,,
1983-12-28,4.12,,
1983-12-29,4.05,,
1983-12-30,4.01,,
1984-01-03,4.09,,
1984-01-04,4.2,,
1984-01-05,4.46,,
1984-01-06,4.26,,
1984-01-09,4.22,,
1984-01-10,4.16,,
1984-01-11,3.99,,
1984-01-12,3.89,,
1984-01-13,3.77,,
1984-01-16,3.93,,
1984-01-17,4.07,,
1984-01-18,4.09,,
1984-01-19,3.99,,
1984-01-20,3.95,,
1984-01-23,3.85,,
1984-01-24,3.79,,
1984-01-25,3.64,,
1984-01-26,3.66,,
1984-01-27,3.52,,
1984-01-30,3.46,,
1984-01-31,3.64,,
1984-02-01,3.71,,
1984-02-02,3.89,,
1984-02-03,3.66,,
1984-02-06,3.54,,
1984-02-07,3.5,,
1984-02-08,3.4,,
1984-02-09,3.28,,
1984-02-10,3.23,,
1984-02-13,3.15,,
1984-02-14,3.17,,
1984-02-15,3.23,,
1984-02-16,3.36,,
1984-02-17,3.4,,
1984-02-21,3.52,,
1984-02-22,3.46,,
1984-02-23,3.46,,
1984-02-24,3.64,,
1984-02-27,3.71,,
1984-02-28,3.79,,
1984-02-29,3.83,,
1984-03-01,3.83,,
1984-03-02,3.81,,
1984-03-05,3.75,,
1984-03-06,3.6,,
1984-03-07,3.52,,
1984-03-08,3.54,,
1984-03-09,3.5,,
1984-03-12,3.48,,
1984-03-13,3.56,,
1984-03-14,3.58,,
1984-03-15,3.64,,
1984-03-16,3.77,,
1984-03-19,3.73,,
1984-03-20,3.85,,
1984-03-21,3.87,,
1984-03-22,3.66,,
1984-03-23,3.52,,
1984-03-26,3.58,,
1984-03-27,3.54,,
1984-03-28,3.73,,
1984-03-29,3.77,,
1984-03-30,3.77,,
1984-04-02,3.73,,
1984-04-03,3.44,,
1984-04-04,3.44,,
1984-04-05,3.3,,
1984-04-06,3.38,,
1984-04-09,3.4,,
1984-04-10,3.48,,
1984-04-11,3.4,,
1984-04-12,3.42,,
1984-04-13,3.4,,
1984-04-16,3.44,,
1984-04-17,3.5,,
1984-04-18,3.46,,
1984-04-19,3.4,,
1984-04-23,3.42,,
1984-04-24,3.3,,
1984-04-25,3.17,,
1984-04-26,3.23,,
1984-04-27,3.21,,
1984-04-30,3.19,,
1984-05-01,3.17,,
1984-05-02,3.15,,
1984-05-03,3.11,,
1984-05-04,3.11,,
1984-05-07,3.01,,
1984-05-08,2.95,,
1984-05-09,3.05,,
1984-05-10,3.11,,
1984-05-11,3.01,,
1984-05-14,2.99,,
1984-05-15,2.91,,
1984-05-16,2.91,,
1984-05-17,2.87,,
1984-05-18,2.95,,
1984-05-21,3.03,,
1984-05-22,2.95,,
1984-05-23,2.91,,
1984-05-24,2.85,,
1984-05-25,2.78,,
1984-05-29,2.68,,
1984-05-30,2.72,,
1984-05-31,2.7,,
1984-06-01,2.78,,
1984-06-04,2.72,,
1984-06-05,2.85,,
1984-06-06,2.87,,
1984-06-07,3.01,,
1984-06-08,3.09,,
1984-06-11,3.03,,
1984-06-12,3.03,,
1984-06-13,3.07,,
1984-06-14,2.97,,
1984-06-15,2.91,,
1984-06-18,2.99,,
1984-06-19,3.03,,
1984-06-20,3.15,,
1984-06-21,3.11,,
1984-06-22,3.17,,
1984-06-25,3.15,,
1984-06-26,3.11,,
1984-06-27,3.11,,
1984-06-28,3.11,,
1984-06-29,3.19,,
1984-07-02,3.19,,
1984-07-03,3.17,,
1984-07-05,3.17,,
1984-07-06,3.21,,
1984-07-09,3.28,,
1984-07-10,3.4,,
1984-07-11,3.32,,
1984-07-12,3.32,,
1984-07-13,3.3,,
1984-07-16,3.36,,
1984-07-17,3.36,,
1984-07-18,3.36,,
1984-07-19,3.32,,
1984-07-20,3.28,,
1984-07-23,3.36,,
1984-07-24,3.34,,
1984-07-25,3.3,,
1984-07-26,3.36,,
1984-07-27,3.38,,
1984-07-30,3.4,,
1984-07-31,3.5,,
1984-08-01,3.64,,
1984-08-02,3.75,,
1984-08-03,3.95,,
1984-08-06,4.03,,
1984-08-07,4.16,,
1984-08-08,4.18,,
1984-08-09,3.93,,
1984-08-10,4.09,,
1984-08-13,4.09,,
1984-08-14,4.07,,
1984-08-15,3.93,,
1984-08-16,3.83,,
1984-08-17,3.79,,
1984-08-20,3.69,,
1984-08-21,3.99,,
1984-08-22,4.09,,
1984-08-23,4.07,,
1984-08-24,4.07,,
1984-08-27,4.05,,
1984-08-28,4.05,,
1984-08-29,4.14,,
1984-08-30,4.22,,
1984-08-31,4.28,,
1984-09-04,4.22,,
1984-09-05,4.26,,
1984-09-06,4.42,,
1984-09-07,4.36,,
1984-09-10,4.32,,
1984-09-11,4.34,,
1984-09-12,4.4,,
1984-09-13,4.42,,
1984-09-14,4.44,,
1984-09-17,4.46,,
1984-09-18,4.42,,
1984-09-19,4.3,,
1984-09-20,4.26,,
1984-09-21,4.32,,
1984-09-24,4.38,,
1984-09-25,4.38,,
1984-09-26,4.46,,
1984-09-27,4.44,,
1984-09-28,4.32,,
1984-10-01,4.2,,
1984-10-02,4.07,,
1984-10-03,4.07,,
1984-10-04,4.16,,
1984-10-05,4.14,,
1984-10-08,4.01,,
1984-10-09,3.97,,
1984-10-10,4.07,,
1984-10-11,4.07,,
1984-10-12,4.14,,
1984-10-15,4.2,,
1984-10-16,4.22,,
1984-10-17,4.3,,
1984-10-18,4.48,,
1984-10-19,4.38,,
1984-10-22,4.36,,
1984-10-23,4.4,,
1984-10-24,4.42,,
1984-10-25,4.38,,
1984-10-26,4.4,,
1984-10-29,4.36,,
1984-10-30,4.46,,
1984-10-31,4.48,,
1984-11-01,4.48,,
1984-11-02,4.44,,
1984-11-05,4.48,,
1984-11-06,4.54,,
1984-11-07,4.46,,
1984-11-08,4.42,,
1984-11-09,4.38,,
1984-11-12,4.34,,
1984-11-13,4.26,,
1984-11-14,4.26,,
1984-11-15,4.22,,
1984-11-16,4.24,,
1984-11-19,4.2,,
1984-11-20,4.3,,
1984-11-21,4.36,,
1984-11-23,4.42,,
1984-11-26,4.36,,
1984-11-27,4.4,,
1984-11-28,4.32,,
1984-11-29,4.28,,
1984-11-30,4.18,,
1984-12-03,4.14,,
1984-12-04,4.07,,
1984-12-05,4.09,,
1984-12-06,4.18,,
1984-12-07,4.16,,
1984-12-10,4.26,,
1984-12-11,4.3,,
1984-12-12,4.34,,
1984-12-13,4.32,,
1984-12-14,4.28,,
1984-12-17,4.26,,
1984-12-18,4.34,,
1984-12-19,4.3,,
1984-12-20,4.28,,
1984-12-21,4.18,,
1984-12-24,4.22,,
1984-12-26,4.26,,
1984-12-27,4.3,,
1984-12-28,4.34,,
1984-12-31,4.42,,
1985-01-02,4.32,,
1985-01-03,4.38,,
1985-01-04,4.32,,
1985-01-07,4.36,,
1985-01-08,4.44,,
1985-01-09,4.48,,
1985-01-10,4.69,,
1985-01-11,4.65,,
1985-01-14,4.91,,
1985-01-15,4.91,,
1985-01-16,4.87,,
1985-01-17,4.77,,
1985-01-18,4.91,,
1985-01-21,5.08,,
1985-01-22,5.16,,
1985-01-23,5.36,,
1985-01-24,5.22,,
1985-01-25,5.22,,
1985-01-28,5.24,,
1985-01-29,5.4,,
1985-01-30,5.4,,
1985-01-31,5.32,,
1985-02-01,5.22,,
1985-02-04,5.16,,
1985-02-05,5.18,,
1985-02-06,5.63,,
1985-02-07,5.73,,
1985-02-08,5.94,,
1985-02-11,5.92,,
1985-02-12,5.88,,
1985-02-13,6.1,,
1985-02-14,5.98,,
1985-02-15,6.06,,
1985-02-19,5.98,,
1985-02-20,5.94,,
1985-02-21,6.02,,
1985-02-22,5.9,,
1985-02-25,5.9,,
1985-02-26,6.1,,
1985-02-27,6.18,,
1985-02-28,6.26,,
1985-03-01,6.43,,
1985-03-04,6.43,,
1985-03-05,6.55,,
1985-03-06,6.29,,
1985-03-07,6.29,,
1985-03-08,6.14,,
1985-03-11,5.96,,
1985-03-12,6.02,,
1985-03-13,5.96,,
1985-03-14,6.0,,
1985-03-15,5.86,,
1985-03-18,5.86,,
1985-03-19,6.0,,
1985-03-20,6.06,,
1985-03-21,6.16,,
1985-03-22,6.14,,
1985-03-25,6.14,,
1985-03-26,6.14,,
1985-03-27,6.22,,
1985-03-28,6.26,,
1985-03-29,6.24,,
1985-04-01,6.22,,
1985-04-02,6.08,,
1985-04-03,6.12,,
1985-04-04,6.12,,
1985-04-08,5.96,,
1985-04-09,6.02,,
1985-04-10,6.22,,
1985-04-11,6.2,,
1985-04-12,6.31,,
1985-04-15,6.31,,
1985-04-16,6.37,,
1985-04-17,6.08,,
1985-04-18,6.14,,
1985-04-19,6.24,,
1985-04-22,6.2,,
1985-04-23,6.35,,
1985-04-24,6.59,,
1985-04-25,6.82,,
1985-04-26,6.76,,
1985-04-29,6.72,,
1985-04-30,6.72,,
1985-05-01,6.69,,
1985-05-02,6.59,,
1985-05-03,6.76,,
1985-05-06,6.8,,
1985-05-07,6.78,,
1985-05-08,6.78,,
1985-05-09,7.02,,
1985-05-10,7.23,,
1985-05-13,7.66,,
1985-05-14,7.66,,
1985-05-15,7.51,,
1985-05-16,7.41,,
1985-05-17,7.7,,
1985-05-20,8.19,,
1985-05-21,8.25,,
1985-05-22,8.07,,
1985-05-23,8.0,,
1985-05-24,8.17,,
1985-05-28,8.15,,
1985-05-29,8.11,,
1985-05-30,8.03,,
1985-05-31,8.21,,
1985-06-03,8.27,,
1985-06-04,8.25,,
1985-06-05,8.13,,
1985-06-06,8.13,,
1985-06-07,8.03,,
1985-06-10,7.92,,
1985-06-11,7.84,,
1985-06-12,7.88,,
1985-06-13,7.8,,
1985-06-14,7.86,,
1985-06-17,7.86,,
1985-06-18,8.09,,
1985-06-19,7.94,,
1985-06-20,7.82,,
1985-06-21,8.15,,
1985-06-24,8.15,,
1985-06-25,8.17,,
1985-06-26,4.05,,
1985-06-27,4.07,,
1985-06-28,4.09,,
1985-07-01,4.07,,
1985-07-02,4.09,,
1985-07-03,4.16,,
1985-07-05,4.38,,
1985-07-08,4.52,,
1985-07-09,4.22,,
1985-07-10,4.22,,
1985-07-11,4.36,,
1985-07-12,4.44,,
1985-07-15,4.34,,
1985-07-16,4.4,,
1985-07-17,4.42,,
1985-07-18,4.36,,
1985-07-19,4.36,,
1985-07-22,4.32,,
1985-07-23,4.22,,
1985-07-24,4.2,,
1985-07-25,4.12,,
1985-07-26,4.09,,
1985-07-29,3.97,,
1985-07-30,3.99,,
1985-07-31,4.05,,
1985-08-01,4.09,,
1985-08-02,4.03,,
1985-08-05,3.99,,
1985-08-06,3.97,,
1985-08-07,3.91,,
1985-08-08,3.95,,
1985-08-09,4.01,,
1985-08-12,3.97,,
1985-08-13,4.05,,
1985-08-14,4.16,,
1985-08-15,4.12,,
1985-08-16,4.09,,
1985-08-19,4.07,,
1985-08-20,4.01,,
1985-08-21,4.12,,
1985-08-22,4.09,,
1985-08-23,4.07,,
1985-08-26,4.07,,
1985-08-27,4.05,,
1985-08-28,4.07,,
1985-08-29,4.05,,
1985-08-30,4.01,,
1985-09-03,3.97,,
1985-09-04,4.01,,
1985-09-05,4.01,,
1985-09-06,4.14,,
1985-09-09,4.18,,
1985-09-10,4.07,,
1985-09-11,3.91,,
1985-09-12,3.77,,
1985-09-13,3.77,,
1985-09-16,3.75,,
1985-09-17,3.75,,
1985-09-18,3.85,,
1985-09-19,4.01,,
1985-09-20,4.03,,
1985-09-23,4.09,,
1985-09-24,4.03,,
1985-09-25,3.83,,
1985-09-26,3.85,,
1985-09-30,3.87,,
1985-10-01,3.99,,
1985-10-02,3.95,,
1985-10-03,3.93,,
1985-10-04,3.79,,
1985-10-07,3.75,,
1985-10-08,3.73,,
1985-10-09,3.79,,
1985-10-10,3.89,,
1985-10-11,3.99,,
1985-10-14,4.03,,
1985-10-15,4.05,,
1985-10-16,4.07,,
1985-10-17,4.09,,
1985-10-18,4.12,,
1985-10-21,4.22,,
1985-10-22,4.24,,
1985-10-23,4.16,,
1985-10-24,4.14,,
1985-10-25,4.16,,
1985-10-28,4.18,,
1985-10-29,4.34,,
1985-10-30,4.36,,
1985-10-31,4.44,,
1985-11-01,4.48,,
1985-11-04,4.48,,
1985-11-05,4.57,,
1985-11-06,4.59,,
1985-11-07,4.73,,
1985-11-08,4.93,,
1985-11-11,5.2,,
1985-11-12,5.08,,
1985-11-13,5.06,,
1985-11-14,5.02,,
1985-11-15,4.87,,
1985-11-18,4.87,,
1985-11-19,4.93,,
1985-11-20,4.93,,
1985-11-21,4.95,,
1985-11-22,4.95,,
1985-11-25,4.87,,
1985-11-26,4.79,,
1985-11-27,4.75,,
1985-11-29,4.71,,
1985-12-02,4.54,,
1985-12-03,4.63,,
1985-12-04,4.87,,
1985-12-05,4.81,,
1985-12-06,4.79,,
1985-12-09,4.79,,
1985-12-10,4.85,,
1985-12-11,4.93,,
1985-12-12,4.93,,
1985-12-13,4.89,,
1985-12-16,5.02,,
1985-12-17,5.08,,
1985-12-18,5.08,,
1985-12-19,5.08,,
1985-12-20,5.08,,
1985-12-23,5.04,,
1985-12-24,4.97,,
1985-12-26,4.97,,
1985-12-27,4.97,,
1985-12-30,5.02,,
1985-12-31,5.12,,
1986-01-02,5.12,,
1986-01-03,5.1,,
1986-01-06,5.08,,
1986-01-07,5.4,,
1986-01-08,5.24,,
1986-01-09,5.12,,
1986-01-10,5.04,,
1986-01-13,5.06,,
1986-01-14,5.08,,
1986-01-15,5.18,,
1986-01-16,5.18,,
1986-01-17,5.34,,
1986-01-20,5.3,,
1986-01-21,5.28,,
1986-01-22,5.24,,
1986-01-23,5.24,,
1986-01-24,5.28,,
1986-01-27,5.4,,
1986-01-28,5.49,,
1986-01-29,5.53,,
1986-01-30,5.4,,
1986-01-31,5.69,,
1986-02-03,5.9,,
1986-02-04,5.92,,
1986-02-05,5.98,,
1986-02-06,6.04,,
1986-02-07,6.08,,
1986-02-10,6.06,,
1986-02-11,5.94,,
1986-02-12,5.83,,
1986-02-13,5.81,,
1986-02-14,5.77,,
1986-02-18,6.04,,
1986-02-19,5.88,,
1986-02-20,5.9,,
1986-02-21,5.79,,
1986-02-24,5.88,,
1986-02-25,5.88,,
1986-02-26,5.86,,
1986-02-27,5.96,,
1986-02-28,6.0,,
1986-03-03,5.9,,
1986-03-04,5.73,,
1986-03-05,5.86,,
1986-03-06,5.94,,
1986-03-07,6.08,,
1986-03-10,6.55,,
1986-03-11,6.55,,
1986-03-12,6.53,,
1986-03-13,6.57,,
1986-03-14,6.65,,
1986-03-17,6.59,,
1986-03-18,6.65,,
1986-03-19,6.55,,
1986-03-20,6.57,,
1986-03-21,6.06,,
1986-03-24,6.57,,
1986-03-25,6.59,,
1986-03-26,6.74,,
1986-03-27,6.8,,
1986-03-31,6.88,,
1986-04-01,6.82,,
1986-04-02,6.9,,
1986-04-03,6.78,,
1986-04-04,6.53,,
1986-04-07,6.41,,
1986-04-08,6.63,,
1986-04-09,6.65,,
1986-04-10,6.84,,
1986-04-11,7.06,,
1986-04-14,7.06,,
1986-04-15,7.15,,
1986-04-16,7.25,,
1986-04-17,7.21,,
1986-04-18,7.21,,
1986-04-21,7.37,,
1986-04-22,7.25,,
1986-04-23,7.25,,
1986-04-24,7.19,,
1986-04-25,7.02,,
1986-04-28,7.25,,
1986-04-29,7.19,,
1986-04-30,7.0,,
1986-05-01,6.84,,
1986-05-02,6.76,,
1986-05-05,6.65,,
1986-05-06,6.67,,
1986-05-07,6.96,,
1986-05-08,7.08,,
1986-05-09,7.17,,
1986-05-12,7.17,,
1986-05-13,7.08,,
1986-05-14,7.29,,
1986-05-15,7.31,,
1986-05-16,7.37,,
1986-05-19,7.43,,
1986-05-20,7.53,,
1986-05-21,7.62,,
1986-05-22,7.72,,
1986-05-23,7.92,,
1986-05-27,8.05,,
1986-05-28,7.96,,
1986-05-29,8.03,,
1986-05-30,7.86,,
1986-06-02,7.92,,
1986-06-03,7.98,,
1986-06-04,7.92,,
1986-06-05,7.9,,
1986-06-06,7.92,,
1986-06-09,7.78,,
1986-06-10,7.86,,
1986-06-11,7.9,,
1986-06-12,7.76,,
1986-06-13,7.98,,
1986-06-16,7.9,,
1986-06-17,7.96,,
1986-06-18,7.94,,
1986-06-19,7.92,,
1986-06-20,7.9,,
1986-06-23,7.92,,
1986-06-24,7.86,,
1986-06-25,8.02,,
1986-06-26,8.29,,
1986-06-27,8.23,,
1986-06-30,8.29,,
