date,AIG,dcf,Deviation
2007-06-08,1430.6,1433.0679975786934,-0.0017221775818477836
2007-06-11,1433.0,1430.8679975786933,0.0014900063632106164
2007-06-12,1430.8,1450.2679975786932,-0.013423724174563723
2007-06-13,1450.2,1446.8679975786933,0.002302906987287523
2007-06-14,1446.8,1450.8679975786933,-0.0028038371412715257
2007-06-15,1450.8,1450.0679975786934,0.0005048055832752585
2007-06-18,1450.0,1452.2679975786932,-0.0015616935596423076
2007-06-19,1452.2,1440.4679975786933,0.0081445769298778
2007-06-20,1440.4,1441.0679975786934,-0.0004635434135069616
2007-06-21,1441.0,1425.0679975786934,0.011179819102229871
2007-06-22,1425.0,1422.2679975786932,0.00192087737751101
2007-06-25,1422.2,1418.8679975786933,0.002348352649431007
2007-06-26,1418.8,1412.0679975786934,0.004767477510183804
2007-06-27,1412.0,1409.0679975786934,0.002080809745409695
2007-06-28,1409.0,1400.667997578693,0.005948591983046869
2007-06-29,1400.6,1404.0709854882846,-0.002472086898852588
2007-07-02,1404.0,1408.8709854882845,-0.0034573680191137823
2007-07-03,1408.8,1405.4709854882847,0.002368611338183335
2007-07-05,1405.4,1401.6709854882845,0.0026604064365480795
2007-07-06,1401.6,1404.6709854882845,-0.002186266762829958
2007-07-09,1404.6,1378.6709854882845,0.018807253350974218
2007-07-10,1378.6,1372.8709854882845,0.0041730174009597665
2007-07-11,1372.8,1386.2709854882846,-0.009717425834704141
2007-07-12,1386.2,1391.0709854882846,-0.003501608141567858
2007-07-13,1391.0,1395.8709854882845,-0.0034895671153882812
2007-07-16,1395.8,1393.2709854882846,0.0018151634090255442
2007-07-17,1393.2,1390.0709854882846,0.0022509746224337324
2007-07-18,1390.0,1393.2709854882846,-0.002347702293634013
2007-07-19,1393.2,1380.8709854882845,0.008928433315843698
2007-07-20,1380.8,1377.0709854882846,0.0027079319446943195
2007-07-23,1377.0,1354.2709854882846,0.01678321012210149
2007-07-24,1354.2,1363.2709854882846,-0.0066538388807824145
2007-07-25,1363.2,1332.4709854882847,0.023061676273915088
2007-07-26,1332.4,1307.2709854882846,0.019222498464868343
2007-07-27,1307.2,1304.2709854882846,0.0022457100896244864
2007-07-30,1304.2,1283.6709854882845,0.01599242698775094
2007-07-31,1283.6,1291.4709854882847,-0.006094589484957669
2007-08-01,1291.4,1276.2709854882846,0.011854076981878015
2007-08-02,1276.2,1232.8709854882845,0.035144808355235035
2007-08-03,1232.8,1291.2709854882846,-0.04528173105831401
2007-08-06,1291.2,1311.0709854882846,-0.015156300237156084
2007-08-07,1311.0,1329.6709854882845,-0.01404180860683224
2007-08-08,1329.6,1286.0709854882846,0.03384651003162831
2007-08-09,1286.0,1293.4709854882847,-0.005775920428137349
2007-08-10,1293.4,1295.6709854882845,-0.0017527485864233805
2007-08-13,1295.6,1268.6709854882845,0.021226160935138738
2007-08-14,1268.6,1264.4709854882847,0.0032654086642571745
2007-08-15,1264.4,1279.0709854882846,-0.011470032277124842
2007-08-16,1279.0,1319.2709854882846,-0.030525180900101145
2007-08-17,1319.2,1315.0709854882846,0.003139765501086078
2007-08-20,1315.0,1316.2709854882846,-0.0009655956123755249
2007-08-21,1316.2,1333.8709854882845,-0.01324789704591689
2007-08-22,1333.8,1341.6709854882845,-0.005866554150323222
2007-08-23,1341.6,1352.0709854882846,-0.0077444051389825574
2007-08-24,1352.0,1341.0709854882846,0.00814946757478019
2007-08-27,1341.0,1304.6709854882845,0.027845345620312933
