date,UA,dcf,Deviation
2016-06-28,33.9,36.26419618282723,-0.065193673972754
2016-06-29,35.91,36.754196182827236,-0.02296870209398505
2016-06-30,36.4,37.387094957190506,-0.0264020234340423
2016-07-01,36.84,36.05709495719051,0.02171292622822274
2016-07-05,35.51,36.80709495719051,-0.03524035131539538
2016-07-06,36.26,37.427094957190505,-0.03118315644122105
2016-07-07,36.88,37.3270949571905,-0.011977759257806198
2016-07-08,36.78,37.1170949571905,-0.009081932666855974
2016-07-11,36.57,38.41709495719051,-0.048080026853899005
2016-07-12,37.87,37.76709495719051,0.0027247275154769213
2016-07-13,37.22,37.567094957190506,-0.009239334518307496
2016-07-14,37.02,37.777094957190506,-0.020041111103128895
2016-07-15,37.23,37.747094957190505,-0.013698933859067952
2016-07-18,37.2,37.497094957190505,-0.007923145980500257
2016-07-19,36.95,37.33709495719051,-0.010367570311357599
2016-07-20,36.79,37.817094957190506,-0.02715954142837229
2016-07-21,37.27,38.027094957190506,-0.019909355632945713
2016-07-22,37.48,39.3270949571905,-0.046967490459215444
2016-07-25,38.78,38.0470949571905,0.019263101260007964
2016-07-26,37.5,36.4770949571905,0.028042393288445266
2016-07-27,35.93,36.2970949571905,-0.010113618118019141
2016-07-28,35.75,36.247094957190505,-0.013714063369149931
2016-07-29,35.7,36.0470949571905,-0.009628930087229204
2016-08-01,35.5,34.9370949571905,0.0161119590366412
2016-08-02,34.39,35.817094957190506,-0.03984396163050641
2016-08-03,35.27,35.6870949571905,-0.011687557020005124
2016-08-04,35.14,36.717094957190504,-0.042952607199161164
2016-08-05,36.17,36.4770949571905,-0.0084188435935183
2016-08-08,35.93,36.1170949571905,-0.005180232723929423
2016-08-09,35.57,35.9770949571905,-0.011315392687344716
2016-08-10,35.43,37.567094957190506,-0.05688741595872204
2016-08-11,37.02,37.647094957190504,-0.01665719381279185
2016-08-12,37.1,38.58709495719051,-0.038538660628386956
2016-08-15,38.04,39.19709495719051,-0.02951991616864058
2016-08-16,38.65,38.467094957190504,0.004754844185999696
2016-08-17,37.92,38.497094957190505,-0.014990610533918036
2016-08-18,37.95,39.30709495719051,-0.034525445308754565
2016-08-19,38.76,39.34709495719051,-0.014920922569487405
2016-08-22,38.8,39.8270949571905,-0.025788849482858645
2016-08-23,39.28,39.427094957190505,-0.003730808910730521
2016-08-24,38.88,38.80709495719051,0.001878652418840332
2016-08-25,38.26,38.5470949571905,-0.0074479012623219765
2016-08-26,38.0,38.44709495719051,-0.011628835876633437
2016-08-29,37.9,37.90709495719051,-0.00018716699864562703
2016-08-30,37.36,36.19709495719051,0.03212702688392066
2016-08-31,35.65,36.247094957190505,-0.0164729051499356
2016-09-01,35.7,35.12709495719051,0.01630949110672808
2016-09-02,34.58,35.30709495719051,-0.020593451771438676
2016-09-06,34.76,36.12709495719051,-0.03784126453595216
2016-09-07,35.58,35.59709495719051,-0.0004802346149613834
2016-09-08,35.05,34.55709495719051,0.014263497652800439
2016-09-09,34.01,35.3470949571905,-0.0378275770274723
2016-09-12,34.8,34.4370949571905,0.010538201415091208
2016-09-13,33.89,34.33709495719051,-0.013020756640825915
2016-09-14,33.79,34.40709495719051,-0.0179351078014085
2016-09-15,33.86,34.7570949571905,-0.0258104124724875
