date,NEE,dcf,Deviation
1974-06-03,4.88,,
1974-06-04,5.0,,
1974-06-05,5.16,,
1974-06-06,5.25,,
1974-06-07,5.25,,
1974-06-10,5.34,,
1974-06-11,5.25,,
1974-06-12,5.13,,
1974-06-13,5.06,,
1974-06-14,4.81,,
1974-06-17,4.69,,
1974-06-18,4.69,,
1974-06-19,4.5,,
1974-06-20,4.53,,
1974-06-21,4.5,,
1974-06-24,4.38,,
1974-06-25,4.44,,
1974-06-26,4.38,,
1974-06-27,4.28,,
1974-06-28,4.41,,
1974-07-01,4.31,,
1974-07-02,4.22,,
1974-07-03,4.19,,
1974-07-05,4.19,,
1974-07-08,4.25,,
1974-07-09,4.41,,
1974-07-10,4.31,,
1974-07-11,4.31,,
1974-07-12,4.38,,
1974-07-15,4.34,,
1974-07-16,4.34,,
1974-07-17,4.44,,
1974-07-18,4.38,,
1974-07-19,4.41,,
1974-07-22,4.38,,
1974-07-23,4.56,,
1974-07-24,4.75,,
1974-07-25,5.0,,
1974-07-26,4.88,,
1974-07-29,4.75,,
1974-07-30,4.66,,
1974-07-31,4.5,,
1974-08-01,4.44,,
1974-08-02,4.47,,
1974-08-05,4.34,,
1974-08-06,4.47,,
1974-08-07,4.5,,
1974-08-08,4.47,,
1974-08-09,4.5,,
1974-08-12,4.34,,
1974-08-13,4.31,,
1974-08-14,4.34,,
1974-08-15,4.25,,
1974-08-16,4.25,,
1974-08-19,4.25,,
1974-08-20,4.19,,
1974-08-21,4.19,,
1974-08-22,4.09,,
1974-08-23,3.91,,
1974-08-26,3.94,,
1974-08-27,3.75,,
1974-08-28,3.56,,
1974-08-29,3.66,,
1974-08-30,3.72,,
1974-09-03,3.81,,
1974-09-04,3.72,,
1974-09-05,3.75,,
1974-09-06,3.75,,
1974-09-09,3.75,,
1974-09-10,3.69,,
1974-09-11,3.69,,
1974-09-12,3.59,,
1974-09-13,3.5,,
1974-09-16,3.59,,
1974-09-17,3.66,,
1974-09-18,3.75,,
1974-09-19,4.0,,
1974-09-20,4.13,,
1974-09-23,4.16,,
1974-09-24,4.22,,
1974-09-25,4.06,,
1974-09-26,4.0,,
1974-09-27,4.09,,
1974-09-30,4.06,,
1974-10-01,4.03,,
1974-10-02,4.06,,
1974-10-03,4.06,,
1974-10-04,4.06,,
1974-10-07,4.19,,
1974-10-08,4.16,,
1974-10-09,4.53,,
1974-10-10,4.84,,
1974-10-11,4.69,,
1974-10-14,4.88,,
1974-10-15,4.75,,
1974-10-16,4.66,,
1974-10-17,4.59,,
1974-10-18,4.34,,
1974-10-21,4.13,,
1974-10-22,4.13,,
1974-10-23,4.06,,
1974-10-24,4.06,,
1974-10-25,4.06,,
1974-10-28,4.03,,
1974-10-29,4.19,,
1974-10-30,4.28,,
1974-10-31,4.38,,
1974-11-01,4.34,,
1974-11-04,4.31,,
1974-11-05,4.41,,
1974-11-06,4.47,,
1974-11-07,4.56,,
1974-11-08,4.59,,
1974-11-11,4.5,,
1974-11-12,4.34,,
1974-11-13,4.31,,
1974-11-14,4.31,,
1974-11-15,4.41,,
1974-11-18,4.34,,
1974-11-19,4.31,,
1974-11-20,4.13,,
1974-11-21,4.22,,
1974-11-22,4.19,,
1974-11-25,4.22,,
1974-11-26,4.09,,
1974-11-27,4.16,,
1974-11-29,4.16,,
1974-12-02,4.03,,
1974-12-03,3.81,,
1974-12-04,3.78,,
1974-12-05,3.75,,
1974-12-06,3.78,,
1974-12-09,3.78,,
1974-12-10,3.88,,
1974-12-11,3.94,,
1974-12-12,3.94,,
1974-12-13,3.94,,
1974-12-16,3.94,,
1974-12-17,3.94,,
1974-12-18,3.97,,
1974-12-19,4.0,,
1974-12-20,4.03,,
1974-12-23,3.88,,
1974-12-24,3.91,,
1974-12-26,3.84,,
1974-12-27,3.84,,
1974-12-30,3.81,,
1974-12-31,3.88,,
1975-01-02,4.03,,
1975-01-03,4.34,,
1975-01-06,4.81,,
1975-01-07,4.72,,
1975-01-08,4.69,,
1975-01-09,4.88,,
1975-01-10,4.91,,
1975-01-13,4.91,,
1975-01-14,4.81,,
1975-01-15,4.78,,
1975-01-16,4.72,,
1975-01-17,4.69,,
1975-01-20,4.66,,
1975-01-21,4.69,,
1975-01-22,4.66,,
1975-01-23,4.63,,
1975-01-24,4.63,,
1975-01-27,4.72,,
1975-01-28,4.75,,
1975-01-29,4.88,,
1975-01-30,4.91,,
1975-01-31,4.94,,
1975-02-03,4.91,,
1975-02-04,4.88,,
1975-02-05,4.88,,
1975-02-06,5.19,,
1975-02-07,5.13,,
1975-02-10,5.28,,
1975-02-11,5.38,,
1975-02-12,5.44,,
1975-02-13,5.53,,
1975-02-14,5.69,,
1975-02-18,5.78,,
1975-02-19,5.78,,
1975-02-20,5.75,,
1975-02-21,5.69,,
1975-02-24,5.63,,
1975-02-25,5.47,,
1975-02-26,5.5,,
1975-02-27,5.47,,
1975-02-28,5.44,,
1975-03-03,5.38,,
1975-03-04,5.53,,
1975-03-05,5.63,,
1975-03-06,5.66,,
1975-03-07,5.59,,
1975-03-10,5.69,,
1975-03-11,5.56,,
1975-03-12,5.59,,
1975-03-13,5.53,,
1975-03-14,5.56,,
1975-03-17,5.56,,
1975-03-18,5.53,,
1975-03-19,5.5,,
1975-03-20,5.44,,
1975-03-21,5.28,,
1975-03-24,5.09,,
1975-03-25,5.09,,
1975-03-26,5.22,,
1975-03-27,5.22,,
1975-03-31,5.22,,
1975-04-01,5.28,,
1975-04-02,5.41,,
1975-04-03,5.47,,
1975-04-04,5.44,,
1975-04-07,5.28,,
1975-04-08,5.19,,
1975-04-09,5.25,,
1975-04-10,5.13,,
1975-04-11,5.13,,
1975-04-14,5.06,,
1975-04-15,5.16,,
1975-04-16,5.22,,
1975-04-17,5.25,,
1975-04-18,5.31,,
1975-04-21,5.28,,
1975-04-22,5.19,,
1975-04-23,5.16,,
1975-04-24,5.13,,
1975-04-25,5.09,,
1975-04-28,5.03,,
1975-04-29,5.06,,
1975-04-30,5.13,,
1975-05-01,5.09,,
1975-05-02,5.06,,
1975-05-05,5.0,,
1975-05-06,5.03,,
1975-05-07,5.06,,
1975-05-08,5.13,,
1975-05-09,5.5,,
1975-05-12,5.47,,
1975-05-13,5.47,,
1975-05-14,5.47,,
1975-05-15,5.47,,
1975-05-16,5.44,,
1975-05-19,5.31,,
1975-05-20,5.41,,
1975-05-21,5.41,,
1975-05-22,5.25,,
1975-05-23,5.34,,
1975-05-27,5.38,,
1975-05-28,5.31,,
1975-05-29,5.5,,
1975-05-30,5.59,,
1975-06-02,5.75,,
1975-06-03,6.0,,
1975-06-04,6.0,,
1975-06-05,6.0,,
1975-06-06,5.94,,
1975-06-09,5.94,,
1975-06-10,5.91,,
1975-06-11,5.94,,
1975-06-12,5.97,,
1975-06-13,5.94,,
1975-06-16,6.06,,
1975-06-17,6.16,,
1975-06-18,6.25,,
1975-06-19,6.53,,
1975-06-20,6.47,,
1975-06-23,6.63,,
1975-06-24,6.59,,
1975-06-25,6.59,,
1975-06-26,6.56,,
1975-06-27,6.56,,
1975-06-30,6.5,,
1975-07-01,6.34,,
1975-07-02,6.19,,
1975-07-03,6.28,,
1975-07-07,6.09,,
1975-07-08,6.03,,
1975-07-09,6.09,,
1975-07-10,6.13,,
1975-07-11,6.16,,
1975-07-14,6.28,,
1975-07-15,6.22,,
1975-07-16,6.06,,
1975-07-17,5.97,,
1975-07-18,5.97,,
1975-07-21,6.19,,
1975-07-22,6.06,,
1975-07-23,6.06,,
1975-07-24,5.94,,
1975-07-25,5.97,,
1975-07-28,5.88,,
1975-07-29,5.94,,
1975-07-30,5.88,,
1975-07-31,5.81,,
1975-08-01,5.78,,
1975-08-04,5.59,,
1975-08-05,5.56,,
1975-08-06,5.53,,
1975-08-07,5.5,,
