date,INTU,dcf,Deviation
1995-01-17,5.81,,
1995-01-18,5.77,,
1995-01-19,5.71,,
1995-01-20,5.56,,
1995-01-23,5.56,,
1995-01-24,5.54,,
1995-01-25,5.54,,
1995-01-26,5.52,,
1995-01-27,5.52,,
1995-01-30,5.48,,
1995-01-31,5.5,,
1995-02-01,5.5,,
1995-02-02,5.46,,
1995-02-03,5.49,,
1995-02-06,5.52,,
1995-02-07,5.5,,
1995-02-08,5.52,,
1995-02-09,5.56,,
1995-02-10,5.73,,
1995-02-13,5.67,,
1995-02-14,5.71,,
1995-02-15,5.46,,
1995-02-16,5.4,,
1995-02-17,5.35,,
1995-02-21,5.23,,
1995-02-22,5.35,,
1995-02-23,5.38,,
1995-02-24,5.48,,
1995-02-27,5.5,,
1995-02-28,5.52,,
1995-03-01,5.52,,
1995-03-02,5.51,,
1995-03-03,5.58,,
1995-03-06,5.6,,
1995-03-07,5.75,,
1995-03-08,5.79,,
1995-03-09,5.85,,
1995-03-10,5.92,,
1995-03-13,5.98,,
1995-03-14,6.29,,
1995-03-15,6.13,,
1995-03-16,6.17,,
1995-03-17,6.17,,
1995-03-20,6.25,,
1995-03-21,6.29,,
1995-03-22,6.29,,
1995-03-23,6.46,,
1995-03-24,6.5,,
1995-03-27,6.5,,
1995-03-28,6.5,,
1995-03-29,6.5,,
1995-03-30,6.46,,
1995-03-31,6.5,,
1995-04-03,6.4,,
1995-04-04,6.25,,
1995-04-05,6.17,,
1995-04-06,6.13,,
1995-04-07,6.1,,
1995-04-10,6.19,,
1995-04-11,6.21,,
1995-04-12,6.13,,
1995-04-13,6.15,,
1995-04-17,6.48,,
1995-04-18,6.42,,
1995-04-19,6.46,,
1995-04-20,6.35,,
1995-04-21,6.31,,
1995-04-24,6.96,,
1995-04-25,6.98,,
1995-04-26,6.92,,
1995-04-27,6.06,,
1995-04-28,5.65,,
1995-05-01,5.84,,
1995-05-02,5.73,,
1995-05-03,5.85,,
1995-05-04,5.9,,
1995-05-05,5.97,,
1995-05-08,5.94,,
1995-05-09,5.97,,
1995-05-10,6.17,,
1995-05-11,6.17,,
1995-05-12,6.18,,
1995-05-15,6.29,,
1995-05-16,6.33,,
1995-05-17,6.42,,
1995-05-18,6.21,,
1995-05-19,6.21,,
1995-05-22,5.17,,
1995-05-23,5.35,,
1995-05-24,5.36,,
1995-05-25,5.35,,
1995-05-26,5.25,,
1995-05-30,5.24,,
1995-05-31,5.27,,
1995-06-01,5.31,,
1995-06-02,5.33,,
1995-06-05,5.48,,
1995-06-06,5.42,,
1995-06-07,5.43,,
