date,EW,dcf,Deviation
2000-10-16,5.52,,
2000-10-17,5.69,,
2000-10-18,5.73,,
2000-10-19,5.86,,
2000-10-20,5.81,,
2000-10-23,5.92,,
2000-10-24,6.05,,
2000-10-25,5.97,,
2000-10-26,5.83,,
2000-10-27,5.75,,
2000-10-30,5.73,,
2000-10-31,3.36,,
2000-11-01,3.25,,
2000-11-02,3.55,,
2000-11-03,3.8,,
2000-11-06,3.75,,
2000-11-07,3.81,,
2000-11-08,3.86,,
2000-11-09,3.8,,
2000-11-10,3.67,,
2000-11-13,3.58,,
2000-11-14,3.48,,
2000-11-15,3.55,,
2000-11-16,3.56,,
2000-11-17,3.55,,
2000-11-20,3.44,,
2000-11-21,3.73,,
2000-11-22,3.91,,
2000-11-24,4.0,,
2000-11-27,3.98,,
2000-11-28,4.02,,
2000-11-29,4.03,,
2000-11-30,4.02,,
2000-12-01,4.11,,
2000-12-04,3.97,,
2000-12-05,4.08,,
2000-12-06,3.97,,
2000-12-07,4.02,,
2000-12-08,4.22,,
2000-12-11,4.14,,
2000-12-12,4.0,,
2000-12-13,3.95,,
2000-12-14,3.77,,
2000-12-15,3.95,,
2000-12-18,3.94,,
2000-12-19,4.2,,
2000-12-20,4.13,,
2000-12-21,4.14,,
2000-12-22,4.19,,
2000-12-26,4.16,,
2000-12-27,4.2,,
2000-12-28,4.34,,
2000-12-29,4.44,,
2001-01-02,4.34,,
2001-01-03,4.58,,
2001-01-04,4.56,,
2001-01-05,4.22,,
2001-01-08,4.25,,
2001-01-09,4.36,,
2001-01-10,4.5,,
2001-01-11,4.45,,
2001-01-12,4.48,,
2001-01-16,4.5,,
2001-01-17,4.48,,
2001-01-18,4.56,,
2001-01-19,4.39,,
2001-01-22,4.47,,
2001-01-23,4.44,,
2001-01-24,4.5,,
2001-01-25,4.47,,
2001-01-26,4.34,,
2001-01-29,4.57,,
2001-01-30,4.6,,
2001-01-31,4.56,,
2001-02-01,4.61,,
2001-02-02,4.63,,
2001-02-05,4.49,,
2001-02-06,4.32,,
2001-02-07,4.63,,
2001-02-08,4.74,,
2001-02-09,4.86,,
2001-02-12,5.38,,
2001-02-13,5.04,,
2001-02-14,5.05,,
2001-02-15,5.25,,
2001-02-16,5.16,,
2001-02-20,5.19,,
2001-02-21,5.2,,
2001-02-22,5.32,,
2001-02-23,5.15,,
2001-02-26,5.25,,
2001-02-27,5.44,,
2001-02-28,5.24,,
2001-03-01,5.31,,
2001-03-02,5.06,,
2001-03-05,5.0,,
2001-03-06,5.0,,
2001-03-07,4.78,,
2001-03-08,4.84,,
2001-03-09,4.79,,
2001-03-12,4.79,,
2001-03-13,4.96,,
2001-03-14,4.97,,
2001-03-15,4.88,,
2001-03-16,4.85,,
2001-03-19,4.8,,
2001-03-20,4.66,,
2001-03-21,4.62,,
2001-03-22,4.5,,
2001-03-23,4.45,,
2001-03-26,4.48,,
2001-03-27,4.62,,
2001-03-28,4.49,,
2001-03-29,4.88,,
2001-03-30,4.9,,
2001-04-02,4.85,,
2001-04-03,4.6,,
2001-04-04,4.71,,
2001-04-05,4.78,,
2001-04-06,4.88,,
2001-04-09,4.84,,
2001-04-10,4.78,,
2001-04-11,4.6,,
2001-04-12,4.62,,
2001-04-16,4.66,,
2001-04-17,4.78,,
2001-04-18,4.75,,
2001-04-19,5.0,,
2001-04-20,5.0,,
2001-04-23,5.0,,
2001-04-24,4.99,,
2001-04-25,4.94,,
2001-04-26,4.91,,
2001-04-27,5.53,,
2001-04-30,5.41,,
2001-05-01,5.6,,
2001-05-02,5.53,,
2001-05-03,5.55,,
2001-05-04,5.76,,
2001-05-07,5.62,,
2001-05-08,5.7,,
2001-05-09,5.63,,
2001-05-10,5.62,,
2001-05-11,5.58,,
2001-05-14,5.74,,
2001-05-15,5.84,,
2001-05-16,5.94,,
2001-05-17,6.0,,
2001-05-18,5.96,,
2001-05-21,6.0,,
2001-05-22,5.76,,
2001-05-23,5.88,,
2001-05-24,5.75,,
2001-05-25,5.65,,
2001-05-29,5.6,,
2001-05-30,5.5,,
2001-05-31,5.79,,
2001-06-01,5.97,,
2001-06-04,6.02,,
2001-06-05,6.16,,
2001-06-06,6.25,,
2001-06-07,6.29,,
2001-06-08,6.26,,
2001-06-11,6.2,,
2001-06-12,6.12,,
2001-06-13,6.1,,
2001-06-14,6.0,,
2001-06-15,5.97,,
2001-06-18,6.01,,
2001-06-19,6.03,,
2001-06-20,6.14,,
2001-06-21,6.17,,
2001-06-22,6.18,,
2001-06-25,6.17,,
2001-06-26,6.27,,
2001-06-27,6.37,,
2001-06-28,6.38,,
2001-06-29,6.59,,
2001-07-02,6.58,,
2001-07-03,6.56,,
2001-07-05,6.54,,
2001-07-06,6.37,,
2001-07-09,6.61,,
2001-07-10,6.66,,
2001-07-11,6.66,,
2001-07-12,6.74,,
2001-07-13,6.95,,
2001-07-16,6.54,,
2001-07-17,6.57,,
2001-07-18,6.47,,
2001-07-19,6.01,,
2001-07-20,5.79,,
2001-07-23,5.76,,
2001-07-24,5.97,,
2001-07-25,5.86,,
2001-07-26,6.03,,
2001-07-27,6.25,,
2001-07-30,6.21,,
2001-07-31,6.2,,
2001-08-01,6.23,,
2001-08-02,6.02,,
2001-08-03,5.99,,
2001-08-06,6.07,,
2001-08-07,6.1,,
2001-08-08,6.09,,
2001-08-09,6.0,,
2001-08-10,5.96,,
2001-08-13,6.04,,
2001-08-14,6.27,,
2001-08-15,6.31,,
2001-08-16,6.25,,
2001-08-17,6.36,,
2001-08-20,6.51,,
2001-08-21,6.32,,
2001-08-22,6.39,,
2001-08-23,6.5,,
2001-08-24,6.44,,
2001-08-27,6.41,,
2001-08-28,6.29,,
2001-08-29,6.53,,
2001-08-30,6.57,,
2001-08-31,6.57,,
2001-09-04,6.5,,
2001-09-05,6.51,,
2001-09-06,6.5,,
2001-09-07,6.52,,
2001-09-10,6.41,,
2001-09-17,6.21,,
2001-09-18,5.94,,
2001-09-19,5.82,,
2001-09-20,5.51,,
2001-09-21,5.41,,
2001-09-24,5.25,,
2001-09-25,5.28,,
2001-09-26,5.51,,
2001-09-27,5.58,,
2001-09-28,5.6,,
2001-10-01,5.82,,
2001-10-02,5.97,,
2001-10-03,5.81,,
2001-10-04,6.03,,
2001-10-05,6.06,,
2001-10-08,6.1,,
2001-10-09,6.04,,
2001-10-10,6.08,,
2001-10-11,6.18,,
2001-10-12,6.12,,
2001-10-15,6.02,,
2001-10-16,6.18,,
2001-10-17,6.16,,
2001-10-18,6.27,,
2001-10-19,6.57,,
2001-10-22,6.51,,
2001-10-23,6.59,,
2001-10-24,6.58,,
2001-10-25,6.73,,
2001-10-26,6.49,,
2001-10-29,6.16,,
2001-10-30,6.28,,
2001-10-31,6.35,,
2001-11-01,6.49,,
2001-11-02,6.56,,
2001-11-05,6.47,,
2001-11-06,6.43,,
2001-11-07,6.26,,
2001-11-08,6.26,,
2001-11-09,6.32,,
2001-11-12,6.35,,
2001-11-13,6.23,,
2001-11-14,6.07,,
2001-11-15,5.92,,
2001-11-16,5.85,,
2001-11-19,5.84,,
2001-11-20,6.1,,
2001-11-21,6.25,,
2001-11-23,6.3,,
2001-11-26,6.43,,
2001-11-27,6.23,,
2001-11-28,6.24,,
2001-11-29,6.43,,
2001-11-30,6.31,,
2001-12-03,6.12,,
2001-12-04,6.39,,
2001-12-05,6.36,,
2001-12-06,6.41,,
2001-12-07,6.46,,
2001-12-10,6.17,,
2001-12-11,6.51,,
2001-12-12,6.62,,
2001-12-13,6.73,,
2001-12-14,6.67,,
2001-12-17,7.1,,
2001-12-18,7.12,,
2001-12-19,6.92,,
2001-12-20,6.89,,
2001-12-21,6.86,,
2001-12-24,7.16,,
2001-12-26,7.14,,
2001-12-27,6.9,,
2001-12-28,7.19,,
2001-12-31,6.91,,
2002-01-02,6.85,,
2002-01-03,6.76,,
2002-01-04,6.84,,
2002-01-07,6.83,,
2002-01-08,6.83,,
2002-01-09,6.75,,
2002-01-10,6.7,,
2002-01-11,6.46,,
2002-01-14,6.51,,
2002-01-15,6.63,,
2002-01-16,6.51,,
2002-01-17,6.51,,
2002-01-18,6.5,,
2002-01-22,6.54,,
2002-01-23,6.69,,
2002-01-24,6.66,,
2002-01-25,6.75,,
2002-01-28,6.84,,
2002-01-29,6.74,,
2002-01-30,6.84,,
2002-01-31,6.73,,
2002-02-01,6.89,,
2002-02-04,6.41,,
2002-02-05,6.37,,
2002-02-06,7.0,,
2002-02-07,7.1,,
2002-02-08,7.25,,
2002-02-11,7.38,,
2002-02-12,7.0,,
2002-02-13,7.08,,
2002-02-14,7.1,,
2002-02-15,6.91,,
2002-02-19,6.75,,
2002-02-20,7.21,,
2002-02-21,6.85,,
2002-02-22,7.25,,
2002-02-25,6.89,,
2002-02-26,6.91,,
2002-02-27,7.02,,
2002-02-28,7.13,,
2002-03-01,6.94,,
2002-03-04,6.86,,
2002-03-05,6.93,,
2002-03-06,7.03,,
2002-03-07,6.96,,
2002-03-08,6.96,,
2002-03-11,6.77,,
2002-03-12,7.03,,
2002-03-13,6.93,,
2002-03-14,6.94,,
2002-03-15,6.94,,
2002-03-18,6.98,,
2002-03-19,7.0,,
2002-03-20,6.9,,
2002-03-21,7.0,,
2002-03-22,6.91,,
2002-03-25,6.8,,
2002-03-26,7.03,,
2002-03-27,6.81,,
2002-03-28,6.99,,
2002-04-01,6.9,,
2002-04-02,6.72,,
2002-04-03,6.74,,
2002-04-04,6.81,,
2002-04-05,6.68,,
2002-04-08,6.66,,
2002-04-09,6.85,,
2002-04-10,6.77,,
2002-04-11,6.76,,
2002-04-12,6.97,,
2002-04-15,6.75,,
2002-04-16,7.0,,
2002-04-17,6.73,,
2002-04-18,6.84,,
2002-04-19,6.7,,
2002-04-22,6.76,,
2002-04-23,6.7,,
2002-04-24,6.1,,
2002-04-25,6.25,,
2002-04-26,6.29,,
2002-04-29,6.2,,
2002-04-30,6.28,,
2002-05-01,6.44,,
2002-05-02,6.55,,
2002-05-03,6.58,,
2002-05-06,6.38,,
2002-05-07,6.5,,
2002-05-08,6.44,,
2002-05-09,6.28,,
2002-05-10,6.2,,
2002-05-13,6.12,,
2002-05-14,6.1,,
2002-05-15,6.37,,
2002-05-16,6.08,,
2002-05-17,6.25,,
2002-05-20,5.95,,
2002-05-21,6.06,,
2002-05-22,5.94,,
2002-05-23,6.05,,
2002-05-24,5.95,,
2002-05-28,6.07,,
2002-05-29,5.9,,
2002-05-30,6.13,,
2002-05-31,5.96,,
2002-06-03,5.79,,
2002-06-04,5.81,,
2002-06-05,5.85,,
2002-06-06,5.69,,
2002-06-07,5.63,,
2002-06-10,5.95,,
2002-06-11,5.71,,
2002-06-12,5.83,,
2002-06-13,5.87,,
2002-06-14,6.04,,
2002-06-17,6.13,,
2002-06-18,6.21,,
2002-06-19,5.99,,
2002-06-20,6.01,,
2002-06-21,6.0,,
2002-06-24,5.79,,
2002-06-25,5.8,,
2002-06-26,5.69,,
2002-06-27,5.72,,
2002-06-28,5.8,,
2002-07-01,5.45,,
2002-07-02,5.21,,
2002-07-03,5.49,,
2002-07-05,5.45,,
2002-07-08,5.39,,
2002-07-09,5.34,,
2002-07-10,5.01,,
2002-07-11,4.91,,
2002-07-12,5.19,,
2002-07-15,5.04,,
2002-07-16,5.26,,
2002-07-17,5.43,,
2002-07-18,5.25,,
2002-07-19,5.06,,
2002-07-22,4.95,,
2002-07-23,4.64,,
2002-07-24,5.48,,
2002-07-25,5.89,,
2002-07-26,5.88,,
2002-07-29,5.98,,
2002-07-30,6.01,,
2002-07-31,6.09,,
2002-08-01,6.13,,
2002-08-02,5.99,,
2002-08-05,5.75,,
2002-08-06,6.01,,
2002-08-07,6.1,,
2002-08-08,6.27,,
2002-08-09,6.33,,
2002-08-12,6.2,,
2002-08-13,6.13,,
2002-08-14,6.33,,
2002-08-15,6.25,,
2002-08-16,6.26,,
2002-08-19,6.31,,
2002-08-20,6.34,,
2002-08-21,6.37,,
2002-08-22,6.32,,
2002-08-23,6.28,,
2002-08-26,6.26,,
2002-08-27,6.22,,
2002-08-28,6.2,,
2002-08-29,6.24,,
2002-08-30,6.16,,
2002-09-03,5.98,,
2002-09-04,6.08,,
2002-09-05,6.03,,
2002-09-06,6.11,,
2002-09-09,6.21,,
2002-09-10,6.2,,
2002-09-11,6.23,,
2002-09-12,6.19,,
2002-09-13,6.19,,
2002-09-16,6.18,,
2002-09-17,6.09,,
2002-09-18,6.16,,
2002-09-19,6.15,,
2002-09-20,6.24,,
2002-09-23,6.21,,
2002-09-24,6.18,,
2002-09-25,6.25,,
2002-09-26,6.3,,
2002-09-27,6.3,,
2002-09-30,6.4,,
2002-10-01,6.38,,
2002-10-02,6.33,,
2002-10-03,6.4,,
2002-10-04,6.46,,
2002-10-07,6.44,,
2002-10-08,6.43,,
2002-10-09,6.25,,
2002-10-10,6.19,,
2002-10-11,6.23,,
2002-10-14,6.24,,
2002-10-15,6.17,,
2002-10-16,6.19,,
2002-10-17,6.2,,
2002-10-18,6.18,,
2002-10-21,6.09,,
2002-10-22,5.97,,
2002-10-23,6.35,,
2002-10-24,6.51,,
2002-10-25,6.51,,
2002-10-28,6.53,,
2002-10-29,6.43,,
2002-10-30,6.38,,
2002-10-31,6.42,,
2002-11-01,6.41,,
2002-11-04,6.5,,
2002-11-05,6.49,,
2002-11-06,6.49,,
2002-11-07,6.42,,
2002-11-08,6.32,,
2002-11-11,6.33,,
2002-11-12,6.41,,
2002-11-13,6.61,,
2002-11-14,6.64,,
2002-11-15,6.83,,
2002-11-18,6.77,,
2002-11-19,6.76,,
2002-11-20,6.78,,
2002-11-21,6.85,,
2002-11-22,6.83,,
2002-11-25,6.75,,
2002-11-26,6.71,,
2002-11-27,6.59,,
2002-11-29,6.58,,
2002-12-02,6.4,,
2002-12-03,6.38,,
2002-12-04,6.44,,
2002-12-05,6.48,,
2002-12-06,6.51,,
2002-12-09,6.5,,
2002-12-10,6.45,,
2002-12-11,6.56,,
2002-12-12,6.51,,
2002-12-13,6.41,,
2002-12-16,6.55,,
2002-12-17,6.44,,
2002-12-18,6.48,,
2002-12-19,6.55,,
2002-12-20,6.54,,
2002-12-23,6.53,,
2002-12-24,6.56,,
2002-12-26,6.52,,
2002-12-27,6.48,,
2002-12-30,6.36,,
2002-12-31,6.37,,
2003-01-02,6.4,,
2003-01-03,6.4,,
2003-01-06,6.35,,
2003-01-07,6.3,,
2003-01-08,6.39,,
2003-01-09,6.34,,
2003-01-10,6.37,,
2003-01-13,6.39,,
2003-01-14,6.39,,
2003-01-15,6.5,,
2003-01-16,6.5,,
2003-01-17,6.43,,
2003-01-21,6.39,,
2003-01-22,6.55,,
2003-01-23,6.57,,
2003-01-24,6.42,,
2003-01-27,6.23,,
2003-01-28,6.3,,
2003-01-29,6.28,,
2003-01-30,6.11,,
2003-01-31,6.38,,
2003-02-03,6.13,,
2003-02-04,6.48,,
2003-02-05,6.39,,
2003-02-06,6.37,,
2003-02-07,6.39,,
2003-02-10,6.36,,
2003-02-11,6.43,,
2003-02-12,6.34,,
2003-02-13,6.19,,
2003-02-14,6.3,,
2003-02-18,6.44,,
2003-02-19,6.39,,
2003-02-20,6.47,,
2003-02-21,6.51,,
2003-02-24,6.39,,
2003-02-25,6.51,,
2003-02-26,6.53,,
2003-02-27,6.62,,
2003-02-28,6.65,,
2003-03-03,6.63,,
2003-03-04,6.63,,
2003-03-05,6.64,,
2003-03-06,6.54,,
2003-03-07,6.61,,
2003-03-10,6.51,,
2003-03-11,6.48,,
2003-03-12,6.37,,
2003-03-13,6.54,,
2003-03-14,6.55,,
2003-03-17,6.68,,
2003-03-18,6.55,,
2003-03-19,6.63,,
2003-03-20,6.67,,
2003-03-21,6.87,,
2003-03-24,6.71,,
2003-03-25,6.85,,
2003-03-26,6.76,,
2003-03-27,6.74,,
2003-03-28,6.78,,
2003-03-31,6.85,,
2003-04-01,6.94,,
2003-04-02,6.97,,
2003-04-03,6.91,,
2003-04-04,6.81,,
2003-04-07,6.78,,
2003-04-08,6.84,,
2003-04-09,6.77,,
2003-04-10,6.85,,
2003-04-11,6.83,,
2003-04-14,6.95,,
2003-04-15,6.95,,
2003-04-16,6.81,,
2003-04-17,6.82,,
2003-04-21,6.83,,
2003-04-22,6.75,,
2003-04-23,7.21,,
2003-04-24,7.21,,
2003-04-25,7.19,,
2003-04-28,7.21,,
2003-04-29,7.18,,
2003-04-30,7.22,,
2003-05-01,7.14,,
2003-05-02,7.18,,
2003-05-05,7.19,,
2003-05-06,7.3,,
2003-05-07,7.42,,
2003-05-08,7.43,,
2003-05-09,7.4,,
2003-05-12,7.65,,
2003-05-13,7.61,,
2003-05-14,7.6,,
2003-05-15,7.66,,
2003-05-16,7.68,,
2003-05-19,7.61,,
2003-05-20,7.55,,
2003-05-21,7.64,,
2003-05-22,7.68,,
2003-05-23,7.6,,
2003-05-27,7.56,,
2003-05-28,7.31,,
2003-05-29,7.47,,
2003-05-30,7.58,,
2003-06-02,7.53,,
2003-06-03,7.5,,
2003-06-04,7.55,,
2003-06-05,7.66,,
2003-06-06,7.6,,
2003-06-09,7.48,,
2003-06-10,7.6,,
2003-06-11,7.78,,
2003-06-12,7.93,,
2003-06-13,7.82,,
2003-06-16,8.02,,
2003-06-17,8.03,,
2003-06-18,8.11,,
2003-06-19,8.12,,
2003-06-20,7.94,,
2003-06-23,7.7,,
2003-06-24,7.78,,
2003-06-25,7.78,,
2003-06-26,7.84,,
2003-06-27,8.01,,
2003-06-30,8.04,,
2003-07-01,7.99,,
2003-07-02,8.13,,
2003-07-03,8.02,,
2003-07-07,8.03,,
2003-07-08,7.97,,
2003-07-09,8.09,,
2003-07-10,8.02,,
2003-07-11,8.11,,
2003-07-14,8.08,,
2003-07-15,8.09,,
2003-07-16,8.04,,
2003-07-17,7.98,,
2003-07-18,8.04,,
2003-07-21,7.85,,
2003-07-22,8.0,,
2003-07-23,6.88,,
2003-07-24,6.79,,
2003-07-25,6.81,,
2003-07-28,6.73,,
2003-07-29,6.84,,
2003-07-30,6.9,,
2003-07-31,7.06,,
2003-08-01,6.84,,
2003-08-04,6.75,,
2003-08-05,6.62,,
2003-08-06,6.54,,
2003-08-07,6.63,,
2003-08-08,6.73,,
2003-08-11,6.84,,
2003-08-12,7.06,,
2003-08-13,7.17,,
2003-08-14,7.19,,
2003-08-15,7.26,,
2003-08-18,7.28,,
2003-08-19,7.28,,
2003-08-20,7.23,,
2003-08-21,7.22,,
2003-08-22,7.09,,
2003-08-25,7.05,,
2003-08-26,7.0,,
2003-08-27,6.96,,
2003-08-28,7.01,,
2003-08-29,7.11,,
2003-09-02,7.11,,
2003-09-03,7.03,,
2003-09-04,7.17,,
2003-09-05,7.12,,
2003-09-08,7.1,,
2003-09-09,7.1,,
2003-09-10,7.0,,
2003-09-11,7.05,,
2003-09-12,6.94,,
2003-09-15,6.88,,
2003-09-16,6.83,,
2003-09-17,6.84,,
2003-09-18,6.87,,
2003-09-19,6.85,,
2003-09-22,6.82,,
2003-09-23,6.9,,
2003-09-24,6.76,,
2003-09-25,6.79,,
2003-09-26,6.74,,
2003-09-29,6.79,,
2003-09-30,6.77,,
2003-10-01,6.9,,
2003-10-02,6.97,,
2003-10-03,6.96,,
2003-10-06,6.98,,
2003-10-07,7.01,,
2003-10-08,7.36,,
2003-10-09,7.37,,
2003-10-10,7.33,,
2003-10-13,7.27,,
2003-10-14,7.25,,
2003-10-15,7.36,,
2003-10-16,7.44,,
2003-10-17,7.36,,
2003-10-20,7.31,,
2003-10-21,6.88,,
2003-10-22,6.91,,
2003-10-23,6.94,,
2003-10-24,7.15,,
2003-10-27,7.21,,
2003-10-28,7.25,,
2003-10-29,7.34,,
2003-10-30,7.25,,
2003-10-31,7.25,,
2003-11-03,7.27,,
2003-11-04,7.16,,
2003-11-05,7.19,,
2003-11-06,7.26,,
2003-11-07,7.16,,
2003-11-10,7.09,,
2003-11-11,7.15,,
2003-11-12,7.17,,
2003-11-13,7.3,,
2003-11-14,7.12,,
2003-11-17,7.14,,
2003-11-18,7.25,,
2003-11-19,7.35,,
2003-11-20,7.41,,
2003-11-21,7.43,,
2003-11-24,7.52,,
2003-11-25,7.47,,
2003-11-26,7.48,,
2003-11-28,7.53,,
2003-12-01,7.77,,
2003-12-02,7.67,,
2003-12-03,7.65,,
2003-12-04,7.61,,
2003-12-05,7.46,,
2003-12-08,7.49,,
2003-12-09,7.34,,
2003-12-10,7.35,,
2003-12-11,7.51,,
2003-12-12,7.5,,
2003-12-15,7.48,,
2003-12-16,7.31,,
2003-12-17,7.37,,
2003-12-18,7.46,,
2003-12-19,7.41,,
2003-12-22,7.36,,
2003-12-23,7.4,,
2003-12-24,7.42,,
2003-12-26,7.47,,
2003-12-29,7.5,,
2003-12-30,7.59,,
2003-12-31,7.52,,
2004-01-02,7.49,,
2004-01-05,7.43,,
2004-01-06,7.4,,
2004-01-07,7.52,,
2004-01-08,7.53,,
2004-01-09,7.52,,
2004-01-12,7.54,,
2004-01-13,7.59,,
2004-01-14,7.92,,
2004-01-15,7.95,,
2004-01-16,8.27,,
2004-01-20,8.25,,
2004-01-21,8.49,,
2004-01-22,8.43,,
2004-01-23,8.39,,
2004-01-26,8.42,,
2004-01-27,8.32,,
2004-01-28,8.43,,
2004-01-29,8.44,,
2004-01-30,8.71,,
2004-02-02,8.88,,
2004-02-03,8.47,,
2004-02-04,8.39,,
2004-02-05,8.25,,
2004-02-06,8.32,,
2004-02-09,8.51,,
2004-02-10,8.54,,
2004-02-11,8.24,,
2004-02-12,8.4,,
2004-02-13,8.32,,
2004-02-17,8.3,,
2004-02-18,8.26,,
2004-02-19,8.23,,
2004-02-20,8.1,,
2004-02-23,8.0,,
2004-02-24,7.94,,
2004-02-25,8.06,,
2004-02-26,8.09,,
2004-02-27,8.05,,
2004-03-01,8.2,,
2004-03-02,8.2,,
2004-03-03,8.2,,
2004-03-04,8.18,,
2004-03-05,8.07,,
2004-03-08,7.98,,
2004-03-09,7.85,,
2004-03-10,7.78,,
2004-03-11,7.6,,
2004-03-12,7.65,,
2004-03-15,7.68,,
2004-03-16,7.71,,
2004-03-17,7.88,,
2004-03-18,7.79,,
2004-03-19,7.69,,
2004-03-22,7.59,,
2004-03-23,7.64,,
2004-03-24,7.52,,
2004-03-25,7.56,,
2004-03-26,7.71,,
2004-03-29,7.75,,
2004-03-30,7.86,,
2004-03-31,7.99,,
2004-04-01,7.97,,
2004-04-02,8.04,,
2004-04-05,8.14,,
2004-04-06,8.27,,
2004-04-07,8.25,,
2004-04-08,8.1,,
2004-04-12,8.31,,
2004-04-13,8.17,,
2004-04-14,8.36,,
2004-04-15,8.35,,
2004-04-16,8.41,,
2004-04-19,8.36,,
2004-04-20,8.25,,
2004-04-21,8.28,,
2004-04-22,8.33,,
2004-04-23,8.8,,
2004-04-26,8.73,,
2004-04-27,8.66,,
2004-04-28,8.52,,
2004-04-29,8.78,,
2004-04-30,8.62,,
2004-05-03,8.65,,
2004-05-04,8.66,,
2004-05-05,8.76,,
2004-05-06,8.81,,
2004-05-07,8.7,,
2004-05-10,8.45,,
2004-05-11,8.54,,
2004-05-12,8.59,,
2004-05-13,8.71,,
2004-05-14,8.76,,
2004-05-17,8.71,,
2004-05-18,8.67,,
2004-05-19,8.83,,
2004-05-20,8.84,,
2004-05-21,8.88,,
2004-05-24,8.83,,
2004-05-25,8.83,,
2004-05-26,8.93,,
2004-05-27,9.1,,
2004-05-28,9.06,,
2004-06-01,9.08,,
2004-06-02,9.15,,
2004-06-03,9.01,,
2004-06-04,9.0,,
2004-06-07,9.03,,
2004-06-08,9.09,,
2004-06-09,8.98,,
2004-06-10,9.0,,
2004-06-14,8.97,,
2004-06-15,8.99,,
2004-06-16,8.89,,
2004-06-17,8.93,,
2004-06-18,8.92,,
2004-06-21,8.89,,
2004-06-22,8.98,,
2004-06-23,9.01,,
2004-06-24,8.75,,
2004-06-25,8.77,,
2004-06-28,8.64,,
2004-06-29,8.78,,
2004-06-30,8.71,,
2004-07-01,8.54,,
2004-07-02,8.46,,
2004-07-06,8.41,,
2004-07-07,8.5,,
