date,IR,dcf,Deviation
1990-09-10,5.66,,
1990-09-11,5.57,,
1990-09-12,5.64,,
1990-09-13,5.72,,
1990-09-14,5.67,,
1990-09-17,5.57,,
1990-09-18,5.59,,
1990-09-19,5.61,,
1990-09-20,5.49,,
1990-09-21,5.47,,
1990-09-24,5.36,,
1990-09-25,5.46,,
1990-09-26,5.44,,
1990-09-27,5.42,,
1990-09-28,5.39,,
1990-10-01,5.42,,
1990-10-02,5.36,,
1990-10-03,5.21,,
1990-10-04,4.43,,
1990-10-05,4.43,,
1990-10-08,4.44,,
1990-10-09,4.38,,
1990-10-10,4.38,,
1990-10-11,4.36,,
1990-10-12,4.34,,
1990-10-15,4.18,,
1990-10-16,3.99,,
1990-10-17,3.91,,
1990-10-18,4.04,,
1990-10-19,4.28,,
1990-10-22,4.29,,
1990-10-23,4.49,,
1990-10-24,4.36,,
1990-10-25,4.31,,
1990-10-26,4.01,,
1990-10-29,3.91,,
1990-10-30,3.88,,
1990-10-31,3.91,,
1990-11-01,3.94,,
1990-11-02,4.18,,
1990-11-05,4.24,,
1990-11-06,4.29,,
1990-11-07,4.14,,
1990-11-08,4.14,,
1990-11-09,4.26,,
1990-11-12,4.34,,
1990-11-13,4.64,,
1990-11-14,4.66,,
1990-11-15,4.53,,
1990-11-16,4.53,,
1990-11-19,4.46,,
1990-11-20,4.33,,
1990-11-21,4.33,,
1990-11-23,4.33,,
1990-11-26,4.36,,
1990-11-27,4.33,,
1990-11-28,4.36,,
1990-11-29,4.43,,
1990-11-30,4.49,,
1990-12-03,4.59,,
1990-12-04,4.61,,
1990-12-05,4.76,,
1990-12-06,4.89,,
1990-12-07,4.96,,
1990-12-10,4.98,,
1990-12-11,4.86,,
1990-12-12,4.96,,
1990-12-13,5.06,,
1990-12-14,5.06,,
1990-12-17,4.81,,
1990-12-18,4.83,,
1990-12-19,4.79,,
1990-12-20,4.86,,
1990-12-21,4.94,,
1990-12-24,4.91,,
1990-12-26,4.93,,
1990-12-27,4.93,,
1990-12-28,4.93,,
1990-12-31,4.96,,
1991-01-02,4.89,,
1991-01-03,4.93,,
1991-01-04,5.01,,
1991-01-07,4.89,,
1991-01-08,4.81,,
1991-01-09,4.74,,
1991-01-10,4.79,,
1991-01-11,4.79,,
1991-01-14,4.81,,
1991-01-15,4.76,,
1991-01-16,4.73,,
1991-01-17,5.06,,
1991-01-18,5.14,,
1991-01-21,5.06,,
1991-01-22,5.08,,
1991-01-23,5.14,,
1991-01-24,5.32,,
1991-01-25,5.41,,
1991-01-28,5.59,,
1991-01-29,5.81,,
1991-01-30,5.81,,
1991-01-31,5.76,,
1991-02-01,5.64,,
1991-02-04,5.72,,
1991-02-05,5.82,,
1991-02-06,5.81,,
1991-02-07,5.91,,
1991-02-08,5.92,,
1991-02-11,6.22,,
1991-02-12,5.99,,
1991-02-13,5.97,,
1991-02-14,5.94,,
1991-02-15,6.19,,
1991-02-19,6.34,,
1991-02-20,6.19,,
1991-02-21,6.32,,
1991-02-22,6.36,,
1991-02-25,6.41,,
1991-02-26,6.37,,
1991-02-27,6.89,,
1991-02-28,6.92,,
1991-03-01,6.89,,
1991-03-04,6.84,,
1991-03-05,6.97,,
1991-03-06,6.87,,
1991-03-07,6.91,,
1991-03-08,6.89,,
1991-03-11,6.82,,
1991-03-12,6.57,,
1991-03-13,6.42,,
1991-03-14,6.66,,
1991-03-15,6.51,,
1991-03-18,6.46,,
1991-03-19,6.32,,
1991-03-20,6.16,,
1991-03-21,5.89,,
1991-03-22,5.84,,
1991-03-25,6.01,,
1991-03-26,6.26,,
1991-03-27,6.31,,
1991-03-28,6.17,,
1991-04-01,6.17,,
1991-04-02,6.09,,
1991-04-03,6.12,,
1991-04-04,6.06,,
1991-04-05,5.92,,
1991-04-08,6.02,,
1991-04-09,5.92,,
1991-04-10,6.02,,
1991-04-11,6.17,,
1991-04-12,6.07,,
1991-04-15,6.16,,
1991-04-16,6.32,,
1991-04-17,6.52,,
1991-04-18,6.64,,
1991-04-19,6.52,,
1991-04-22,6.49,,
1991-04-23,6.56,,
1991-04-24,6.37,,
1991-04-25,6.22,,
1991-04-26,6.16,,
1991-04-29,5.91,,
1991-04-30,5.99,,
1991-05-01,6.02,,
1991-05-02,6.14,,
1991-05-03,6.26,,
1991-05-06,6.27,,
1991-05-07,6.29,,
1991-05-08,6.22,,
1991-05-09,6.27,,
1991-05-10,6.19,,
1991-05-13,6.09,,
1991-05-14,6.09,,
1991-05-15,6.11,,
1991-05-16,6.14,,
1991-05-17,6.24,,
1991-05-20,6.12,,
1991-05-21,6.16,,
1991-05-22,6.14,,
1991-05-23,6.12,,
1991-05-24,6.17,,
1991-05-28,6.46,,
1991-05-29,6.51,,
1991-05-30,6.76,,
1991-05-31,6.92,,
1991-06-03,7.16,,
1991-06-04,7.06,,
1991-06-05,6.87,,
1991-06-06,6.74,,
1991-06-07,6.81,,
1991-06-10,6.64,,
1991-06-11,6.66,,
1991-06-12,6.66,,
1991-06-13,6.77,,
1991-06-14,6.92,,
1991-06-17,6.97,,
1991-06-18,6.99,,
1991-06-19,6.87,,
1991-06-20,6.87,,
1991-06-21,7.02,,
1991-06-24,6.91,,
1991-06-25,6.81,,
1991-06-26,6.67,,
1991-06-27,6.71,,
1991-06-28,6.72,,
1991-07-01,6.91,,
1991-07-02,6.84,,
1991-07-03,6.77,,
1991-07-05,6.79,,
1991-07-08,6.77,,
1991-07-09,6.74,,
1991-07-10,6.79,,
1991-07-11,6.72,,
1991-07-12,6.82,,
1991-07-15,6.82,,
1991-07-16,6.91,,
1991-07-17,6.92,,
1991-07-18,6.91,,
1991-07-19,6.91,,
1991-07-22,6.82,,
1991-07-23,6.72,,
1991-07-24,6.76,,
1991-07-25,6.81,,
1991-07-26,6.76,,
1991-07-29,6.74,,
1991-07-30,6.82,,
1991-07-31,6.72,,
1991-08-01,6.74,,
1991-08-02,6.77,,
1991-08-05,6.74,,
1991-08-06,6.82,,
1991-08-07,6.77,,
1991-08-08,6.79,,
1991-08-09,6.71,,
1991-08-12,6.67,,
1991-08-13,6.69,,
1991-08-14,6.67,,
1991-08-15,6.31,,
1991-08-16,6.24,,
1991-08-19,6.04,,
1991-08-20,5.96,,
1991-08-21,6.11,,
1991-08-22,6.32,,
1991-08-23,6.51,,
1991-08-26,6.52,,
1991-08-27,6.52,,
1991-08-28,6.51,,
1991-08-29,6.51,,
1991-08-30,6.39,,
1991-09-03,6.32,,
1991-09-04,6.46,,
1991-09-05,6.61,,
1991-09-06,6.62,,
1991-09-09,6.57,,
1991-09-10,6.49,,
1991-09-11,6.44,,
1991-09-12,6.51,,
1991-09-13,6.44,,
1991-09-16,6.51,,
1991-09-17,6.39,,
1991-09-18,6.42,,
1991-09-19,6.41,,
1991-09-20,6.54,,
1991-09-23,6.56,,
1991-09-24,6.71,,
1991-09-25,6.77,,
1991-09-26,6.72,,
1991-09-27,6.61,,
1991-09-30,6.61,,
1991-10-01,6.42,,
1991-10-02,6.24,,
1991-10-03,6.31,,
1991-10-04,6.39,,
1991-10-07,6.41,,
1991-10-08,6.46,,
1991-10-09,6.37,,
1991-10-10,6.39,,
1991-10-11,6.36,,
1991-10-14,6.44,,
1991-10-15,6.42,,
1991-10-16,6.52,,
1991-10-17,6.69,,
1991-10-18,6.69,,
1991-10-21,6.62,,
1991-10-22,6.56,,
1991-10-23,6.62,,
1991-10-24,6.56,,
1991-10-25,6.54,,
1991-10-28,6.64,,
1991-10-29,6.82,,
1991-10-30,6.96,,
1991-10-31,6.77,,
1991-11-01,6.87,,
1991-11-04,6.96,,
1991-11-05,7.02,,
1991-11-06,6.96,,
1991-11-07,6.96,,
1991-11-08,6.99,,
1991-11-11,6.97,,
1991-11-12,7.04,,
1991-11-13,6.91,,
1991-11-14,6.89,,
1991-11-15,6.47,,
1991-11-18,6.47,,
1991-11-19,6.31,,
1991-11-20,6.31,,
1991-11-21,6.44,,
1991-11-22,6.39,,
1991-11-25,6.07,,
1991-11-26,6.01,,
1991-11-27,5.82,,
1991-11-29,5.99,,
1991-12-02,5.89,,
1991-12-03,5.87,,
1991-12-04,5.81,,
1991-12-05,5.74,,
1991-12-06,5.82,,
1991-12-09,5.74,,
1991-12-10,5.72,,
1991-12-11,5.64,,
1991-12-12,5.82,,
1991-12-13,5.89,,
1991-12-16,6.07,,
1991-12-17,5.86,,
1991-12-18,5.91,,
1991-12-19,6.01,,
1991-12-20,6.19,,
1991-12-23,6.52,,
1991-12-24,6.81,,
1991-12-26,6.79,,
1991-12-27,6.86,,
1991-12-30,7.16,,
1991-12-31,7.32,,
1992-01-02,7.27,,
1992-01-03,7.19,,
1992-01-06,7.22,,
1992-01-07,7.17,,
1992-01-08,7.21,,
1992-01-09,7.39,,
1992-01-10,7.22,,
1992-01-13,7.14,,
1992-01-14,7.09,,
1992-01-15,7.34,,
1992-01-16,7.77,,
1992-01-17,7.89,,
1992-01-20,7.79,,
1992-01-21,7.69,,
1992-01-22,7.8,,
1992-01-23,7.89,,
1992-01-24,7.92,,
1992-01-27,7.9,,
1992-01-28,7.75,,
1992-01-29,7.72,,
1992-01-30,7.92,,
1992-01-31,7.89,,
1992-02-03,7.7,,
1992-02-04,7.6,,
1992-02-05,7.64,,
1992-02-06,7.75,,
1992-02-07,7.72,,
1992-02-10,7.75,,
1992-02-11,7.99,,
1992-02-12,8.12,,
1992-02-13,8.05,,
1992-02-14,8.29,,
1992-02-18,8.62,,
1992-02-19,8.5,,
1992-02-20,8.6,,
1992-02-21,8.67,,
1992-02-24,8.64,,
1992-02-25,8.47,,
1992-02-26,8.64,,
1992-02-27,8.32,,
1992-02-28,8.2,,
1992-03-02,8.24,,
1992-03-03,8.44,,
1992-03-04,8.39,,
1992-03-05,8.3,,
1992-03-06,8.17,,
1992-03-09,8.2,,
1992-03-10,8.17,,
1992-03-11,7.97,,
1992-03-12,7.89,,
1992-03-13,8.09,,
1992-03-16,8.05,,
1992-03-17,8.25,,
1992-03-18,8.59,,
1992-03-19,8.64,,
1992-03-20,8.65,,
1992-03-23,8.6,,
1992-03-24,8.5,,
1992-03-25,8.39,,
1992-03-26,8.37,,
1992-03-27,8.3,,
1992-03-30,8.37,,
1992-03-31,8.29,,
1992-04-01,8.12,,
1992-04-02,8.02,,
1992-04-03,7.72,,
1992-04-06,7.8,,
1992-04-07,7.57,,
1992-04-08,7.49,,
1992-04-09,7.85,,
1992-04-10,8.05,,
1992-04-13,8.0,,
1992-04-14,8.05,,
1992-04-15,8.17,,
1992-04-16,8.25,,
1992-04-20,8.24,,
1992-04-21,8.27,,
1992-04-22,8.02,,
1992-04-23,8.25,,
1992-04-24,8.24,,
1992-04-27,8.1,,
1992-04-28,7.94,,
1992-04-29,8.09,,
1992-04-30,8.12,,
1992-05-01,8.07,,
1992-05-04,8.1,,
1992-05-05,8.2,,
1992-05-06,8.25,,
1992-05-07,8.29,,
1992-05-08,8.44,,
1992-05-11,8.57,,
1992-05-12,8.37,,
1992-05-13,8.15,,
1992-05-14,8.22,,
1992-05-15,8.19,,
1992-05-18,8.22,,
1992-05-19,8.34,,
1992-05-20,8.27,,
1992-05-21,8.14,,
1992-05-22,8.14,,
1992-05-26,7.99,,
1992-05-27,7.92,,
1992-05-28,8.04,,
1992-05-29,8.1,,
1992-06-01,8.07,,
1992-06-02,8.19,,
1992-06-03,8.15,,
1992-06-04,8.09,,
1992-06-05,8.19,,
1992-06-08,8.25,,
1992-06-09,8.12,,
1992-06-10,7.99,,
1992-06-11,7.99,,
1992-06-12,7.99,,
1992-06-15,8.12,,
1992-06-16,7.89,,
1992-06-17,7.26,,
1992-06-18,7.19,,
1992-06-19,7.16,,
1992-06-22,6.92,,
1992-06-23,7.02,,
1992-06-24,7.39,,
1992-06-25,7.16,,
1992-06-26,6.99,,
1992-06-29,7.26,,
1992-06-30,7.32,,
1992-07-01,7.52,,
1992-07-02,7.19,,
1992-07-06,6.92,,
1992-07-07,6.79,,
1992-07-08,6.89,,
1992-07-09,7.09,,
1992-07-10,7.19,,
1992-07-13,7.22,,
1992-07-14,7.09,,
1992-07-15,7.32,,
1992-07-16,7.55,,
1992-07-17,7.19,,
1992-07-20,7.12,,
1992-07-21,7.19,,
1992-07-22,7.16,,
1992-07-23,7.12,,
1992-07-24,6.86,,
1992-07-27,7.16,,
1992-07-28,7.29,,
1992-07-29,7.42,,
1992-07-30,7.32,,
1992-07-31,7.39,,
1992-08-03,7.42,,
1992-08-04,7.32,,
1992-08-05,7.49,,
1992-08-06,7.69,,
1992-08-07,7.42,,
1992-08-10,7.35,,
1992-08-11,7.19,,
1992-08-12,6.96,,
1992-08-13,6.82,,
1992-08-14,7.09,,
1992-08-17,6.99,,
1992-08-18,7.06,,
1992-08-19,7.06,,
1992-08-20,6.96,,
1992-08-21,6.79,,
1992-08-24,6.72,,
1992-08-25,6.76,,
1992-08-26,6.89,,
1992-08-27,6.82,,
1992-08-28,6.86,,
1992-08-31,6.79,,
1992-09-01,6.99,,
1992-09-02,7.12,,
1992-09-03,7.16,,
1992-09-04,7.02,,
1992-09-08,6.86,,
1992-09-09,7.12,,
1992-09-10,7.22,,
1992-09-11,7.55,,
1992-09-14,8.02,,
1992-09-15,7.72,,
1992-09-16,7.59,,
1992-09-17,7.75,,
1992-09-18,7.99,,
1992-09-21,7.82,,
1992-09-22,7.62,,
1992-09-23,7.59,,
1992-09-24,7.82,,
1992-09-25,7.69,,
1992-09-28,7.85,,
1992-09-29,7.92,,
1992-09-30,7.75,,
1992-10-01,7.62,,
1992-10-02,7.39,,
1992-10-05,7.59,,
1992-10-06,7.52,,
1992-10-07,7.55,,
1992-10-08,7.39,,
1992-10-09,7.12,,
1992-10-12,7.39,,
1992-10-13,7.69,,
1992-10-14,7.69,,
1992-10-15,7.55,,
1992-10-16,7.55,,
1992-10-19,7.92,,
1992-10-20,7.92,,
1992-10-21,8.32,,
1992-10-22,8.59,,
1992-10-23,8.35,,
1992-10-26,8.22,,
1992-10-27,8.29,,
1992-10-28,8.25,,
1992-10-29,8.19,,
1992-10-30,8.09,,
1992-11-02,8.19,,
1992-11-03,8.52,,
1992-11-04,8.39,,
1992-11-05,8.25,,
1992-11-06,8.39,,
1992-11-09,8.42,,
1992-11-10,8.45,,
1992-11-11,8.29,,
1992-11-12,8.35,,
1992-11-13,8.09,,
1992-11-16,7.99,,
1992-11-17,7.79,,
1992-11-18,7.89,,
1992-11-19,8.12,,
1992-11-20,7.95,,
1992-11-23,7.82,,
1992-11-24,8.12,,
1992-11-25,8.29,,
1992-11-27,8.32,,
1992-11-30,8.45,,
1992-12-01,8.45,,
1992-12-02,8.52,,
1992-12-03,8.29,,
1992-12-04,8.29,,
1992-12-07,8.39,,
1992-12-08,8.12,,
1992-12-09,8.05,,
1992-12-10,7.89,,
1992-12-11,8.19,,
1992-12-14,8.12,,
1992-12-15,7.99,,
1992-12-16,8.15,,
1992-12-17,8.25,,
1992-12-18,8.32,,
1992-12-21,8.02,,
1992-12-22,7.95,,
1992-12-23,7.92,,
1992-12-24,7.95,,
1992-12-28,7.85,,
1992-12-29,7.99,,
1992-12-30,7.92,,
1992-12-31,7.75,,
1993-01-04,8.05,,
1993-01-05,8.02,,
1993-01-06,8.02,,
1993-01-07,8.25,,
1993-01-08,8.42,,
1993-01-11,8.45,,
1993-01-12,8.22,,
1993-01-13,8.35,,
1993-01-14,8.42,,
1993-01-15,8.62,,
1993-01-18,8.65,,
1993-01-19,8.69,,
1993-01-20,8.52,,
1993-01-21,8.65,,
1993-01-22,8.59,,
1993-01-25,8.62,,
1993-01-26,8.85,,
1993-01-27,8.79,,
1993-01-28,9.05,,
1993-01-29,8.92,,
1993-02-01,8.99,,
1993-02-02,8.95,,
1993-02-03,9.19,,
1993-02-04,9.68,,
1993-02-05,9.62,,
1993-02-08,9.32,,
1993-02-09,9.25,,
1993-02-10,9.09,,
1993-02-11,9.42,,
1993-02-12,9.25,,
1993-02-16,8.52,,
1993-02-17,8.59,,
1993-02-18,8.49,,
1993-02-19,8.42,,
1993-02-22,8.65,,
1993-02-23,8.65,,
1993-02-24,8.82,,
1993-02-25,8.89,,
1993-02-26,9.19,,
1993-03-01,9.19,,
1993-03-02,9.05,,
1993-03-03,9.15,,
1993-03-04,8.82,,
1993-03-05,8.99,,
1993-03-08,9.02,,
1993-03-09,9.09,,
1993-03-10,8.99,,
1993-03-11,8.82,,
1993-03-12,8.75,,
1993-03-15,8.72,,
1993-03-16,8.52,,
1993-03-17,8.29,,
1993-03-18,8.39,,
1993-03-19,8.55,,
1993-03-22,8.39,,
1993-03-23,8.59,,
1993-03-24,8.65,,
1993-03-25,8.42,,
1993-03-26,8.29,,
1993-03-29,8.25,,
1993-03-30,8.45,,
1993-03-31,8.29,,
1993-04-01,8.12,,
1993-04-02,7.99,,
1993-04-05,8.02,,
1993-04-06,8.19,,
1993-04-07,8.22,,
1993-04-08,8.12,,
1993-04-12,8.15,,
1993-04-13,8.09,,
1993-04-14,8.15,,
1993-04-15,8.29,,
1993-04-16,8.39,,
1993-04-19,8.52,,
1993-04-20,8.22,,
1993-04-21,8.22,,
1993-04-22,8.79,,
1993-04-23,8.69,,
1993-04-26,8.69,,
1993-04-27,8.69,,
1993-04-28,8.85,,
1993-04-29,8.89,,
1993-04-30,8.69,,
1993-05-03,8.79,,
1993-05-04,8.62,,
1993-05-05,8.62,,
1993-05-06,8.75,,
1993-05-07,8.75,,
1993-05-10,8.95,,
1993-05-11,8.89,,
1993-05-12,8.99,,
1993-05-13,8.95,,
1993-05-14,9.02,,
1993-05-17,8.89,,
1993-05-18,8.92,,
1993-05-19,9.09,,
1993-05-20,9.02,,
1993-05-21,8.95,,
1993-05-24,8.85,,
1993-05-25,8.95,,
1993-05-26,9.12,,
1993-05-27,9.19,,
1993-05-28,8.99,,
1993-06-01,9.25,,
1993-06-02,9.32,,
1993-06-03,9.25,,
1993-06-04,9.25,,
1993-06-07,9.32,,
1993-06-08,9.22,,
1993-06-09,9.15,,
1993-06-10,9.02,,
1993-06-11,8.89,,
1993-06-14,9.15,,
1993-06-15,9.12,,
1993-06-16,9.19,,
1993-06-17,9.22,,
1993-06-18,9.32,,
1993-06-21,9.25,,
1993-06-22,9.22,,
1993-06-23,9.29,,
1993-06-24,9.29,,
1993-06-25,9.02,,
1993-06-28,9.19,,
1993-06-29,9.05,,
1993-06-30,9.02,,
1993-07-01,9.05,,
1993-07-02,8.99,,
1993-07-06,8.82,,
1993-07-07,8.59,,
1993-07-08,8.72,,
1993-07-09,8.59,,
1993-07-12,8.62,,
1993-07-13,8.55,,
1993-07-14,8.52,,
1993-07-15,8.55,,
1993-07-16,8.59,,
1993-07-19,8.52,,
1993-07-20,8.52,,
1993-07-21,8.72,,
1993-07-22,8.72,,
1993-07-23,8.85,,
1993-07-26,8.99,,
1993-07-27,9.02,,
1993-07-28,8.92,,
1993-07-29,8.85,,
1993-07-30,8.79,,
1993-08-02,8.62,,
1993-08-03,8.99,,
1993-08-04,9.12,,
1993-08-05,9.15,,
1993-08-06,9.19,,
1993-08-09,9.29,,
1993-08-10,9.38,,
1993-08-11,9.52,,
1993-08-12,9.38,,
1993-08-13,9.48,,
1993-08-16,9.52,,
1993-08-17,9.48,,
1993-08-18,9.68,,
1993-08-19,9.75,,
1993-08-20,9.72,,
1993-08-23,9.55,,
1993-08-24,10.25,,
1993-08-25,10.15,,
1993-08-26,10.12,,
1993-08-27,10.12,,
1993-08-30,9.98,,
1993-08-31,10.05,,
1993-09-01,10.05,,
1993-09-02,10.18,,
1993-09-03,10.18,,
1993-09-07,10.05,,
1993-09-08,10.15,,
1993-09-09,10.28,,
1993-09-10,10.35,,
1993-09-13,10.48,,
1993-09-14,10.38,,
1993-09-15,10.42,,
1993-09-16,10.28,,
1993-09-17,10.15,,
1993-09-20,9.95,,
1993-09-21,9.72,,
1993-09-22,10.08,,
1993-09-23,10.12,,
1993-09-24,10.18,,
1993-09-27,10.42,,
1993-09-28,10.18,,
1993-09-29,9.98,,
1993-09-30,10.08,,
1993-10-01,9.98,,
1993-10-04,10.05,,
1993-10-05,9.98,,
1993-10-06,9.85,,
1993-10-07,9.78,,
1993-10-08,9.82,,
1993-10-11,9.52,,
1993-10-12,9.65,,
1993-10-13,9.62,,
1993-10-14,9.55,,
1993-10-15,9.58,,
1993-10-18,9.75,,
1993-10-19,9.82,,
1993-10-20,9.85,,
1993-10-21,9.78,,
1993-10-22,9.68,,
1993-10-25,9.82,,
1993-10-26,9.78,,
1993-10-27,9.78,,
1993-10-28,9.62,,
1993-10-29,9.72,,
1993-11-01,9.75,,
1993-11-02,9.72,,
1993-11-03,9.72,,
1993-11-04,9.72,,
1993-11-05,9.92,,
1993-11-08,9.85,,
1993-11-09,10.08,,
1993-11-10,10.12,,
1993-11-11,9.88,,
1993-11-12,10.05,,
1993-11-15,9.98,,
1993-11-16,10.08,,
1993-11-17,10.18,,
1993-11-18,9.82,,
1993-11-19,9.82,,
1993-11-22,9.72,,
1993-11-23,9.95,,
1993-11-24,9.92,,
1993-11-26,9.92,,
1993-11-29,9.82,,
1993-11-30,10.18,,
1993-12-01,10.28,,
1993-12-02,10.12,,
1993-12-03,10.15,,
1993-12-06,10.55,,
1993-12-07,10.38,,
1993-12-08,10.45,,
1993-12-09,10.12,,
1993-12-10,9.72,,
1993-12-13,9.82,,
1993-12-14,9.72,,
1993-12-15,9.92,,
