DFS,dcf,Deviation
16.74,17.258353035658047,-0.030034907420601664
16.44,17.06835303565805,-0.036813923074202615
16.25,17.49835303565805,-0.07134117325865819
16.68,17.11835303565805,-0.025607196834003143
16.3,17.56835303565805,-0.0721953294701958
16.75,18.468353035658048,-0.09304311176748203
17.65,18.098353035658047,-0.024773140118036552
17.28,18.188353035658047,-0.0499414671508317
17.37,17.163078080593596,0.012056224322627429
16.39,16.983078080593597,-0.03492170722993382
16.21,17.223078080593595,-0.05882096544258819
16.45,18.093078080593596,-0.09081252362227632
17.32,17.533078080593597,-0.012152919163089915
16.76,18.043078080593595,-0.07111192862229088
17.27,17.093078080593596,0.01035050086194067
16.32,17.283078080593597,-0.05572375916504102
16.51,17.193078080593597,-0.03972983065578051
16.42,16.413078080593596,0.0004217319489017157
15.64,16.383078080593595,-0.04535643893889518
15.61,16.663078080593596,-0.06319829238632979
15.89,16.663078080593596,-0.04639467431254185
15.89,16.233078080593597,-0.021134505661236314
15.46,16.273078080593596,-0.0499646149650832
15.5,16.403078080593595,-0.05505540339175863
15.63,16.483078080593597,-0.05175478004912015
15.71,15.973078080593597,-0.01647009294427859
15.2,15.713078080593597,-0.03265293266933322
14.94,15.853078080593596,-0.05759626464663237
15.08,15.673078080593596,-0.03784056185670037
14.9,15.603078080593596,-0.04506021677018024
14.83,14.713078080593597,0.00794680207404208
13.94,15.153078080593597,-0.08005489539100141
14.38,14.373078080593595,0.0004815892161436075
13.6,14.953078080593595,-0.09048826424237344
14.18,15.033078080593596,-0.05674673383722029
14.26,14.503078080593596,-0.016760447626552932
13.73,14.333078080593596,-0.04207596422781923
13.56,13.973078080593597,-0.02956242555942612
13.2,13.843078080593596,-0.046454847458754056
13.07,13.323078080593596,-0.018995466292600183
12.55,13.403078080593597,-0.06364792292218102
12.63,13.483078080593597,-0.06327027667528262
12.71,15.373078080593595,-0.17322998469352513
14.6,16.473078080593595,-0.1137054089970112
15.7,16.333078080593598,-0.038760488223331335
15.56,16.773078080593596,-0.072322925748323
16.0,17.123078080593597,-0.06558856271679536
16.35,17.073078080593596,-0.042351945980701244
16.3,18.263078080593598,-0.10748889491304148
17.49,18.733078080593597,-0.06635738532907498
17.96,17.113078080593596,0.04948974786522031
16.34,16.573078080593596,-0.014063656700351923
15.8,16.543078080593595,-0.04491776421374005
15.77,16.983078080593597,-0.07142863471727012
