date,IQV,dcf,Deviation
2014-02-05,48.37,49.0,-0.0128571428571429
2014-02-06,49.0,48.23,0.0159651669085632
2014-02-07,48.23,48.61,-0.007817321538778121
2014-02-10,48.61,49.15,-0.010986775178026487
2014-02-11,49.15,49.44,-0.00586569579288021
2014-02-12,49.44,52.2,-0.05287356321839087
2014-02-13,52.2,53.15,-0.017873941674506066
2014-02-14,53.15,53.77,-0.011530593267621403
2014-02-18,53.77,54.94,-0.021295959228248895
2014-02-19,54.94,54.54,0.00733406674000725
2014-02-20,54.54,53.93,0.011310958650101899
2014-02-21,53.93,53.63,0.00559388402013794
2014-02-24,53.63,53.26,0.00694705219677072
2014-02-25,53.26,53.62,-0.006713912719134685
2014-02-26,53.62,53.5,0.0022429906542056344
2014-02-27,53.5,54.15,-0.012003693444136654
2014-02-28,54.15,52.87,0.024210327217703886
2014-03-03,52.87,54.06,-0.022012578616352307
2014-03-04,54.06,54.12,-0.0011086474501107446
2014-03-05,54.12,54.48,-0.0066079295154184425
2014-03-06,54.48,54.11,0.006837922749953762
2014-03-07,54.11,54.3,-0.003499079189686838
2014-03-10,54.3,52.81,0.02821435334216993
2014-03-11,52.81,52.82,-0.0001893222264293115
2014-03-12,52.82,51.24,0.030835284933645513
2014-03-13,51.24,52.17,-0.017826336975273138
2014-03-14,52.17,52.45,-0.005338417540514784
2014-03-17,52.45,52.96,-0.009629909365558853
2014-03-18,52.96,52.72,0.004552352048558417
2014-03-19,52.72,52.92,-0.0037792894935753107
2014-03-20,52.92,51.02,0.03724029792238337
2014-03-21,51.02,50.44,0.011498810467882814
2014-03-24,50.44,49.8,0.012851405622489986
2014-03-25,49.8,50.01,-0.004199160167966398
2014-03-26,50.01,50.06,-0.0009988014382741328
2014-03-27,50.06,49.97,0.0018010806483890196
2014-03-28,49.97,50.77,-0.015757337010045336
2014-03-31,50.77,51.11,-0.006652318528663548
2014-04-01,51.11,51.07,0.0007832386919912615
2014-04-02,51.07,50.94,0.002552021986651054
2014-04-03,50.94,50.11,0.016563560167631275
2014-04-04,50.11,49.71,0.008046670690001978
2014-04-07,49.71,51.05,-0.0262487757100881
2014-04-08,51.05,51.34,-0.005648617062719241
2014-04-09,51.34,51.4,-0.001167315175097161
2014-04-10,51.4,50.28,0.022275258552108212
2014-04-11,50.28,50.55,-0.005341246290801127
2014-04-14,50.55,50.67,-0.002368265245707657
2014-04-15,50.67,50.6,0.001383399209486269
2014-04-16,50.6,50.22,0.007566706491437758
2014-04-17,50.22,50.68,-0.00907655880031577
2014-04-21,50.68,49.95,0.01461461461461444
2014-04-22,49.95,49.47,0.009702850212250036
2014-04-23,49.47,49.94,-0.009411293552262667
2014-04-24,49.94,49.39,0.011135857461024523
2014-04-25,49.39,47.52,0.03935185185185186
2014-04-28,47.52,47.58,-0.0012610340479192184
