date,WST,dcf,Deviation
2000-11-30,5.69,,
2000-12-01,5.67,,
2000-12-04,5.64,,
2000-12-05,5.83,,
2000-12-06,5.8,,
2000-12-07,5.86,,
2000-12-08,6.13,,
2000-12-11,6.13,,
2000-12-12,6.06,,
2000-12-13,6.03,,
2000-12-14,6.03,,
2000-12-15,6.03,,
2000-12-18,6.11,,
2000-12-19,6.11,,
2000-12-20,5.94,,
2000-12-21,5.92,,
2000-12-22,6.13,,
2000-12-26,6.16,,
2000-12-27,6.11,,
2000-12-28,6.25,,
2000-12-29,6.14,,
2001-01-02,6.13,,
2001-01-03,6.38,,
2001-01-04,6.36,,
2001-01-05,6.31,,
2001-01-08,6.25,,
2001-01-09,6.28,,
2001-01-10,6.33,,
2001-01-11,6.33,,
2001-01-12,6.28,,
2001-01-16,6.28,,
2001-01-17,6.28,,
2001-01-18,6.25,,
2001-01-19,6.16,,
2001-01-22,6.22,,
2001-01-23,6.28,,
2001-01-24,6.17,,
2001-01-25,6.13,,
2001-01-26,6.13,,
2001-01-29,6.16,,
2001-01-30,5.99,,
2001-01-31,6.04,,
2001-02-01,6.02,,
2001-02-02,6.0,,
2001-02-05,6.02,,
2001-02-06,6.09,,
2001-02-07,6.44,,
2001-02-08,6.54,,
2001-02-09,6.3,,
2001-02-12,6.31,,
2001-02-13,6.37,,
2001-02-14,6.39,,
2001-02-15,6.43,,
2001-02-16,6.39,,
2001-02-20,6.37,,
2001-02-21,6.27,,
2001-02-22,6.18,,
2001-02-23,6.16,,
2001-02-26,6.38,,
2001-02-27,6.34,,
2001-02-28,6.28,,
2001-03-01,6.23,,
2001-03-02,6.28,,
2001-03-05,6.2,,
2001-03-06,6.35,,
2001-03-07,6.31,,
2001-03-08,6.23,,
2001-03-09,6.17,,
2001-03-12,6.06,,
2001-03-13,6.08,,
2001-03-14,6.05,,
2001-03-15,5.98,,
2001-03-16,5.95,,
2001-03-19,6.15,,
2001-03-20,6.01,,
2001-03-21,5.85,,
2001-03-22,5.78,,
2001-03-23,5.78,,
2001-03-26,5.73,,
2001-03-27,5.77,,
2001-03-28,5.78,,
2001-03-29,5.78,,
2001-03-30,5.84,,
2001-04-02,5.74,,
2001-04-03,5.73,,
2001-04-04,5.73,,
2001-04-05,5.93,,
2001-04-06,5.8,,
2001-04-09,5.85,,
2001-04-10,5.86,,
2001-04-11,5.98,,
2001-04-12,6.19,,
2001-04-16,6.15,,
2001-04-17,6.25,,
2001-04-18,6.25,,
2001-04-19,6.45,,
2001-04-20,6.48,,
2001-04-23,6.5,,
2001-04-24,6.6,,
2001-04-25,6.78,,
2001-04-26,6.73,,
2001-04-27,6.75,,
2001-04-30,6.89,,
2001-05-01,6.86,,
2001-05-02,6.69,,
2001-05-03,6.58,,
2001-05-04,6.73,,
2001-05-07,6.46,,
2001-05-08,6.56,,
2001-05-09,6.61,,
2001-05-10,6.64,,
2001-05-11,6.63,,
2001-05-14,6.63,,
2001-05-15,6.65,,
2001-05-16,6.75,,
2001-05-17,6.75,,
2001-05-18,6.68,,
2001-05-21,6.68,,
2001-05-22,6.73,,
2001-05-23,6.63,,
2001-05-24,6.7,,
2001-05-25,6.74,,
2001-05-29,6.73,,
2001-05-30,6.72,,
2001-05-31,6.73,,
2001-06-01,6.81,,
2001-06-04,6.83,,
2001-06-05,6.81,,
2001-06-06,6.76,,
2001-06-07,6.79,,
2001-06-08,6.71,,
2001-06-11,6.7,,
2001-06-12,6.81,,
2001-06-13,6.7,,
2001-06-14,6.63,,
2001-06-15,6.6,,
2001-06-18,6.56,,
2001-06-19,6.5,,
2001-06-20,6.63,,
2001-06-21,6.65,,
2001-06-22,6.54,,
2001-06-25,6.53,,
2001-06-26,6.55,,
2001-06-27,6.56,,
2001-06-28,6.68,,
2001-06-29,6.75,,
2001-07-02,6.73,,
2001-07-03,6.68,,
2001-07-05,6.58,,
2001-07-06,6.44,,
2001-07-09,6.48,,
2001-07-10,6.43,,
2001-07-11,6.36,,
2001-07-12,6.4,,
2001-07-13,6.28,,
2001-07-16,6.28,,
2001-07-17,6.34,,
2001-07-18,6.6,,
2001-07-19,6.92,,
2001-07-20,6.91,,
2001-07-23,6.81,,
2001-07-24,6.78,,
2001-07-25,6.79,,
2001-07-26,6.81,,
2001-07-27,6.8,,
2001-07-30,6.74,,
2001-07-31,6.7,,
2001-08-01,6.73,,
2001-08-02,6.71,,
2001-08-03,6.7,,
2001-08-06,6.73,,
2001-08-07,6.75,,
2001-08-08,6.71,,
2001-08-09,6.72,,
2001-08-10,6.74,,
2001-08-13,6.69,,
2001-08-14,6.78,,
2001-08-15,6.64,,
2001-08-16,6.66,,
2001-08-17,6.64,,
2001-08-20,6.66,,
2001-08-21,6.65,,
2001-08-22,6.61,,
2001-08-23,6.55,,
2001-08-24,6.55,,
2001-08-27,6.46,,
2001-08-28,6.5,,
2001-08-29,6.48,,
2001-08-30,6.48,,
2001-08-31,6.43,,
2001-09-04,6.45,,
2001-09-05,6.48,,
2001-09-06,6.46,,
2001-09-07,6.41,,
2001-09-10,6.42,,
2001-09-17,5.95,,
2001-09-18,5.93,,
2001-09-19,5.94,,
2001-09-20,5.86,,
2001-09-21,5.83,,
2001-09-24,6.0,,
2001-09-25,6.0,,
2001-09-26,5.9,,
2001-09-27,5.91,,
2001-09-28,6.15,,
2001-10-01,6.08,,
2001-10-02,6.05,,
2001-10-03,6.0,,
2001-10-04,6.02,,
2001-10-05,6.0,,
2001-10-08,6.01,,
2001-10-09,5.99,,
2001-10-10,6.09,,
2001-10-11,5.99,,
2001-10-12,5.99,,
2001-10-15,5.97,,
2001-10-16,5.86,,
2001-10-17,6.34,,
2001-10-18,6.0,,
2001-10-19,5.94,,
2001-10-22,5.93,,
2001-10-23,6.04,,
2001-10-24,6.03,,
2001-10-25,6.05,,
2001-10-26,6.12,,
2001-10-29,6.09,,
2001-10-30,6.1,,
2001-10-31,6.1,,
2001-11-01,6.1,,
2001-11-02,6.05,,
2001-11-05,6.11,,
2001-11-06,6.16,,
2001-11-07,6.04,,
2001-11-08,6.1,,
2001-11-09,6.09,,
2001-11-12,6.12,,
2001-11-13,6.12,,
2001-11-14,6.14,,
2001-11-15,6.25,,
2001-11-16,6.28,,
2001-11-19,6.32,,
2001-11-20,6.29,,
2001-11-21,6.29,,
2001-11-23,6.3,,
2001-11-26,6.41,,
2001-11-27,6.49,,
2001-11-28,6.5,,
2001-11-29,7.01,,
2001-11-30,6.8,,
2001-12-03,6.68,,
2001-12-04,6.84,,
2001-12-05,6.8,,
2001-12-06,6.78,,
2001-12-07,6.81,,
2001-12-10,6.74,,
2001-12-11,6.73,,
2001-12-12,6.73,,
2001-12-13,6.64,,
2001-12-14,6.76,,
2001-12-17,6.91,,
2001-12-18,6.88,,
2001-12-19,6.78,,
2001-12-20,6.77,,
2001-12-21,6.77,,
2001-12-24,6.76,,
2001-12-26,6.75,,
2001-12-27,6.68,,
2001-12-28,6.66,,
2001-12-31,6.65,,
2002-01-02,6.66,,
2002-01-03,6.8,,
2002-01-04,6.69,,
2002-01-07,6.69,,
2002-01-08,6.7,,
2002-01-09,6.79,,
2002-01-10,6.71,,
2002-01-11,6.63,,
2002-01-14,6.58,,
2002-01-15,6.54,,
2002-01-16,6.44,,
2002-01-17,6.5,,
2002-01-18,6.41,,
2002-01-22,6.41,,
2002-01-23,6.48,,
2002-01-24,6.35,,
2002-01-25,6.35,,
2002-01-28,6.44,,
2002-01-29,6.4,,
2002-01-30,6.43,,
2002-01-31,6.44,,
2002-02-01,6.35,,
2002-02-04,6.3,,
2002-02-05,6.3,,
2002-02-06,6.3,,
2002-02-07,6.33,,
2002-02-08,6.38,,
2002-02-11,6.38,,
2002-02-12,6.38,,
2002-02-13,6.38,,
2002-02-14,6.59,,
2002-02-15,6.97,,
2002-02-19,6.88,,
2002-02-20,7.16,,
2002-02-21,7.13,,
2002-02-22,7.21,,
2002-02-25,7.29,,
2002-02-26,7.21,,
2002-02-27,7.23,,
2002-02-28,7.24,,
2002-03-01,7.25,,
2002-03-04,7.25,,
2002-03-05,7.24,,
2002-03-06,7.22,,
2002-03-07,7.19,,
2002-03-08,7.24,,
2002-03-11,7.26,,
2002-03-12,7.21,,
2002-03-13,7.2,,
2002-03-14,7.17,,
2002-03-15,7.18,,
2002-03-18,7.21,,
2002-03-19,7.24,,
2002-03-20,7.2,,
2002-03-21,7.25,,
2002-03-22,7.2,,
2002-03-25,7.33,,
2002-03-26,7.5,,
2002-03-27,7.56,,
2002-03-28,7.59,,
2002-04-01,7.5,,
2002-04-02,7.52,,
2002-04-03,7.48,,
2002-04-04,7.5,,
2002-04-05,7.47,,
2002-04-08,7.5,,
2002-04-09,7.38,,
2002-04-10,7.52,,
2002-04-11,7.43,,
2002-04-12,7.5,,
2002-04-15,7.49,,
2002-04-16,7.48,,
2002-04-17,7.48,,
2002-04-18,7.49,,
2002-04-19,7.39,,
2002-04-22,7.29,,
2002-04-23,7.23,,
2002-04-24,7.1,,
2002-04-25,7.05,,
2002-04-26,6.98,,
2002-04-29,7.0,,
2002-04-30,7.0,,
2002-05-01,7.1,,
2002-05-02,7.22,,
2002-05-03,7.25,,
2002-05-06,7.33,,
2002-05-07,7.38,,
2002-05-08,7.35,,
2002-05-09,7.28,,
2002-05-10,7.25,,
2002-05-13,7.33,,
2002-05-14,7.28,,
2002-05-15,7.37,,
2002-05-16,7.28,,
2002-05-17,7.25,,
2002-05-20,7.22,,
2002-05-21,7.21,,
2002-05-22,7.28,,
2002-05-23,7.38,,
2002-05-24,7.3,,
2002-05-28,7.37,,
2002-05-29,7.28,,
2002-05-30,7.29,,
2002-05-31,7.15,,
2002-06-03,7.07,,
2002-06-04,7.14,,
2002-06-05,7.13,,
2002-06-06,7.08,,
2002-06-07,7.1,,
2002-06-10,7.21,,
2002-06-11,7.16,,
2002-06-12,7.14,,
2002-06-13,7.09,,
2002-06-14,7.13,,
2002-06-17,7.16,,
2002-06-18,7.25,,
2002-06-19,7.3,,
2002-06-20,7.36,,
2002-06-21,7.4,,
2002-06-24,7.37,,
2002-06-25,7.36,,
2002-06-26,7.38,,
2002-06-27,7.56,,
2002-06-28,8.02,,
2002-07-01,7.69,,
2002-07-02,7.55,,
2002-07-03,7.6,,
2002-07-05,7.64,,
2002-07-08,7.56,,
2002-07-09,7.42,,
2002-07-10,7.23,,
2002-07-11,7.13,,
2002-07-12,7.11,,
2002-07-15,7.06,,
2002-07-16,6.98,,
2002-07-17,7.16,,
2002-07-18,6.64,,
2002-07-19,6.36,,
2002-07-22,6.45,,
2002-07-23,6.22,,
2002-07-24,6.34,,
2002-07-25,6.28,,
2002-07-26,6.23,,
2002-07-29,6.39,,
2002-07-30,6.52,,
2002-07-31,6.53,,
2002-08-01,6.5,,
2002-08-02,6.44,,
2002-08-05,6.38,,
2002-08-06,6.36,,
2002-08-07,6.38,,
2002-08-08,6.39,,
2002-08-09,6.41,,
2002-08-12,6.43,,
2002-08-13,6.35,,
2002-08-14,6.32,,
2002-08-15,6.25,,
2002-08-16,6.24,,
2002-08-19,6.18,,
2002-08-20,6.16,,
2002-08-21,6.2,,
2002-08-22,6.13,,
2002-08-23,6.08,,
2002-08-26,6.13,,
2002-08-27,6.08,,
2002-08-28,6.03,,
2002-08-29,5.99,,
2002-08-30,5.99,,
2002-09-03,6.0,,
2002-09-04,5.99,,
2002-09-05,5.91,,
2002-09-06,5.88,,
2002-09-09,5.8,,
2002-09-10,5.82,,
2002-09-11,5.88,,
2002-09-12,5.86,,
2002-09-13,5.91,,
2002-09-16,5.9,,
2002-09-17,5.83,,
2002-09-18,5.65,,
2002-09-19,5.43,,
2002-09-20,5.41,,
2002-09-23,5.43,,
2002-09-24,5.32,,
2002-09-25,5.39,,
2002-09-26,5.51,,
2002-09-27,5.4,,
2002-09-30,5.36,,
2002-10-01,5.3,,
2002-10-02,5.16,,
2002-10-03,5.13,,
2002-10-04,5.0,,
2002-10-07,4.67,,
2002-10-08,4.66,,
2002-10-09,4.62,,
2002-10-10,4.47,,
2002-10-11,4.47,,
2002-10-14,4.37,,
2002-10-15,4.5,,
2002-10-16,4.36,,
2002-10-17,4.41,,
2002-10-18,4.26,,
2002-10-21,4.18,,
2002-10-22,4.14,,
2002-10-23,4.3,,
2002-10-24,4.37,,
2002-10-25,4.63,,
2002-10-28,4.54,,
2002-10-29,4.56,,
2002-10-30,4.61,,
2002-10-31,4.8,,
2002-11-01,5.0,,
2002-11-04,5.01,,
2002-11-05,5.01,,
2002-11-06,4.93,,
2002-11-07,4.89,,
2002-11-08,5.01,,
2002-11-11,4.93,,
2002-11-12,4.93,,
2002-11-13,4.94,,
2002-11-14,4.99,,
2002-11-15,5.08,,
2002-11-18,5.2,,
2002-11-19,5.07,,
2002-11-20,5.36,,
2002-11-21,5.33,,
2002-11-22,5.35,,
2002-11-25,5.35,,
2002-11-26,5.15,,
2002-11-27,5.2,,
2002-11-29,5.18,,
2002-12-02,5.36,,
2002-12-03,5.35,,
2002-12-04,5.4,,
2002-12-05,5.41,,
2002-12-06,5.58,,
2002-12-09,5.58,,
2002-12-10,5.57,,
2002-12-11,5.66,,
2002-12-12,5.74,,
2002-12-13,5.66,,
2002-12-16,5.79,,
2002-12-17,5.75,,
2002-12-18,5.75,,
2002-12-19,5.75,,
2002-12-20,6.08,,
2002-12-23,6.17,,
2002-12-24,6.16,,
2002-12-26,6.12,,
2002-12-27,6.16,,
2002-12-30,5.98,,
2002-12-31,6.1,,
2003-01-02,6.16,,
2003-01-03,6.04,,
2003-01-06,5.99,,
2003-01-07,6.1,,
2003-01-08,5.95,,
2003-01-09,5.94,,
2003-01-10,5.93,,
2003-01-13,5.84,,
2003-01-14,5.88,,
2003-01-15,5.92,,
2003-01-16,5.8,,
2003-01-17,5.63,,
2003-01-21,5.53,,
2003-01-22,5.46,,
2003-01-23,5.46,,
2003-01-24,5.29,,
2003-01-27,5.22,,
2003-01-28,5.29,,
2003-01-29,5.01,,
2003-01-30,4.6,,
2003-01-31,4.75,,
2003-02-03,4.49,,
2003-02-04,4.25,,
2003-02-05,4.47,,
2003-02-06,4.52,,
2003-02-07,4.48,,
2003-02-10,4.52,,
2003-02-11,4.39,,
2003-02-12,4.37,,
2003-02-13,4.45,,
2003-02-14,4.5,,
2003-02-18,4.69,,
2003-02-19,4.63,,
2003-02-20,4.75,,
2003-02-21,4.85,,
2003-02-24,4.81,,
2003-02-25,4.85,,
2003-02-26,4.8,,
2003-02-27,4.85,,
2003-02-28,4.79,,
2003-03-03,4.86,,
2003-03-04,4.88,,
2003-03-05,4.88,,
2003-03-06,4.79,,
2003-03-07,4.88,,
2003-03-10,4.94,,
2003-03-11,5.02,,
2003-03-12,5.09,,
2003-03-13,5.1,,
2003-03-14,5.06,,
2003-03-17,5.15,,
2003-03-18,5.15,,
2003-03-19,5.15,,
2003-03-20,5.26,,
2003-03-21,5.37,,
2003-03-24,5.23,,
2003-03-25,5.25,,
2003-03-26,5.12,,
2003-03-27,5.05,,
2003-03-28,5.03,,
2003-03-31,4.9,,
2003-04-01,5.04,,
2003-04-02,5.08,,
2003-04-03,5.13,,
2003-04-04,5.09,,
2003-04-07,5.23,,
2003-04-08,5.16,,
2003-04-09,5.09,,
2003-04-10,5.06,,
2003-04-11,5.01,,
2003-04-14,5.06,,
2003-04-15,5.03,,
2003-04-16,5.0,,
2003-04-17,5.25,,
2003-04-21,5.28,,
2003-04-22,5.42,,
2003-04-23,5.56,,
2003-04-24,5.54,,
2003-04-25,5.58,,
2003-04-28,5.72,,
2003-04-29,5.76,,
2003-04-30,5.96,,
2003-05-01,6.0,,
2003-05-02,6.08,,
2003-05-05,6.08,,
2003-05-06,6.2,,
2003-05-07,6.17,,
2003-05-08,6.22,,
2003-05-09,6.39,,
2003-05-12,6.41,,
2003-05-13,6.49,,
2003-05-14,6.49,,
2003-05-15,6.42,,
2003-05-16,6.23,,
2003-05-19,6.13,,
2003-05-20,6.2,,
2003-05-21,6.17,,
2003-05-22,6.18,,
2003-05-23,6.2,,
2003-05-27,6.25,,
2003-05-28,6.25,,
2003-05-29,6.23,,
2003-05-30,6.29,,
2003-06-02,6.14,,
2003-06-03,6.08,,
2003-06-04,6.05,,
2003-06-05,6.14,,
2003-06-06,6.15,,
2003-06-09,6.23,,
2003-06-10,6.26,,
2003-06-11,6.23,,
2003-06-12,6.13,,
2003-06-13,6.16,,
2003-06-16,6.09,,
2003-06-17,6.08,,
2003-06-18,6.07,,
2003-06-19,5.99,,
2003-06-20,5.91,,
2003-06-23,5.85,,
2003-06-24,5.81,,
2003-06-25,5.77,,
2003-06-26,5.76,,
2003-06-27,5.92,,
2003-06-30,6.13,,
2003-07-01,6.33,,
2003-07-02,6.49,,
2003-07-03,6.35,,
2003-07-07,6.09,,
2003-07-08,6.34,,
2003-07-09,6.25,,
2003-07-10,6.25,,
2003-07-11,6.42,,
2003-07-14,6.4,,
2003-07-15,6.21,,
2003-07-16,6.08,,
2003-07-17,6.23,,
2003-07-18,6.26,,
2003-07-21,5.8,,
2003-07-22,6.17,,
2003-07-23,6.48,,
2003-07-24,6.34,,
2003-07-25,6.16,,
2003-07-28,6.25,,
2003-07-29,6.27,,
2003-07-30,6.36,,
2003-07-31,6.56,,
2003-08-01,6.8,,
2003-08-04,6.83,,
2003-08-05,6.65,,
2003-08-06,6.72,,
2003-08-07,6.61,,
2003-08-08,6.58,,
2003-08-11,6.48,,
2003-08-12,6.57,,
2003-08-13,6.55,,
2003-08-14,6.7,,
2003-08-15,6.66,,
2003-08-18,6.86,,
2003-08-19,7.05,,
2003-08-20,7.05,,
2003-08-21,7.08,,
2003-08-22,7.0,,
2003-08-25,7.08,,
2003-08-26,7.15,,
2003-08-27,7.09,,
2003-08-28,6.98,,
2003-08-29,7.25,,
2003-09-02,7.54,,
2003-09-03,7.52,,
2003-09-04,7.84,,
2003-09-05,7.83,,
2003-09-08,7.9,,
2003-09-09,7.95,,
2003-09-10,7.86,,
2003-09-11,7.97,,
2003-09-12,8.05,,
2003-09-15,8.13,,
2003-09-16,8.38,,
2003-09-17,8.4,,
2003-09-18,8.46,,
2003-09-19,8.36,,
2003-09-22,8.45,,
2003-09-23,8.69,,
2003-09-24,8.58,,
2003-09-25,8.19,,
2003-09-26,8.0,,
2003-09-29,7.87,,
2003-09-30,7.83,,
2003-10-01,8.21,,
2003-10-02,8.21,,
2003-10-03,8.3,,
2003-10-06,8.19,,
2003-10-07,8.23,,
2003-10-08,8.19,,
2003-10-09,8.26,,
2003-10-10,8.2,,
2003-10-13,8.3,,
2003-10-14,8.27,,
2003-10-15,8.26,,
2003-10-16,8.24,,
2003-10-17,8.26,,
2003-10-20,8.31,,
2003-10-21,8.02,,
2003-10-22,7.98,,
2003-10-23,7.92,,
2003-10-24,7.88,,
2003-10-27,7.94,,
2003-10-28,8.01,,
2003-10-29,8.05,,
2003-10-30,8.16,,
2003-10-31,8.26,,
2003-11-03,8.57,,
2003-11-04,8.66,,
2003-11-05,8.74,,
2003-11-06,8.73,,
2003-11-07,8.74,,
2003-11-10,8.11,,
2003-11-11,8.21,,
2003-11-12,8.25,,
2003-11-13,8.3,,
2003-11-14,8.19,,
2003-11-17,8.18,,
2003-11-18,8.17,,
2003-11-19,8.17,,
2003-11-20,8.11,,
2003-11-21,8.16,,
2003-11-24,8.45,,
2003-11-25,8.5,,
2003-11-26,8.65,,
2003-11-28,8.5,,
2003-12-01,8.59,,
2003-12-02,8.58,,
2003-12-03,8.42,,
2003-12-04,8.74,,
2003-12-05,8.48,,
2003-12-08,8.76,,
2003-12-09,8.55,,
2003-12-10,8.45,,
2003-12-11,8.68,,
2003-12-12,8.9,,
2003-12-15,8.54,,
2003-12-16,8.48,,
2003-12-17,8.53,,
2003-12-18,8.8,,
2003-12-19,8.75,,
2003-12-22,8.86,,
2003-12-23,8.88,,
2003-12-24,8.74,,
2003-12-26,8.69,,
2003-12-29,8.75,,
2003-12-30,8.55,,
2003-12-31,8.48,,
2004-01-02,8.52,,
2004-01-05,8.49,,
2004-01-06,8.39,,
2004-01-07,8.42,,
2004-01-08,8.42,,
2004-01-09,8.27,,
2004-01-12,9.03,,
2004-01-13,8.88,,
2004-01-14,9.0,,
2004-01-15,9.0,,
2004-01-16,8.85,,
2004-01-20,9.0,,
2004-01-21,8.83,,
2004-01-22,8.86,,
2004-01-23,8.87,,
2004-01-26,8.89,,
2004-01-27,8.9,,
2004-01-28,8.86,,
2004-01-29,8.84,,
2004-01-30,8.9,,
2004-02-02,8.9,,
2004-02-03,8.97,,
2004-02-04,8.9,,
2004-02-05,8.92,,
2004-02-06,8.91,,
2004-02-09,8.9,,
2004-02-10,9.33,,
2004-02-11,9.31,,
2004-02-12,9.23,,
2004-02-13,9.04,,
2004-02-17,9.06,,
2004-02-18,9.13,,
2004-02-19,9.11,,
2004-02-20,9.08,,
2004-02-23,9.13,,
2004-02-24,9.15,,
2004-02-25,9.16,,
2004-02-26,9.16,,
2004-02-27,9.22,,
2004-03-01,9.18,,
2004-03-02,9.13,,
2004-03-03,9.21,,
2004-03-04,9.32,,
2004-03-05,9.48,,
2004-03-08,9.23,,
2004-03-09,9.29,,
2004-03-10,9.19,,
2004-03-11,9.1,,
2004-03-12,9.09,,
2004-03-15,9.01,,
2004-03-16,8.64,,
2004-03-17,8.98,,
2004-03-18,8.93,,
2004-03-19,8.99,,
2004-03-22,8.94,,
2004-03-23,9.04,,
2004-03-24,9.0,,
2004-03-25,9.08,,
2004-03-26,9.03,,
2004-03-29,9.21,,
2004-03-30,9.4,,
2004-03-31,9.35,,
2004-04-01,9.36,,
2004-04-02,9.55,,
2004-04-05,9.56,,
2004-04-06,9.53,,
2004-04-07,9.63,,
2004-04-08,9.7,,
2004-04-12,9.68,,
2004-04-13,9.77,,
2004-04-14,9.77,,
2004-04-15,9.78,,
2004-04-16,9.75,,
2004-04-19,9.75,,
2004-04-20,9.8,,
2004-04-21,9.85,,
2004-04-22,9.84,,
2004-04-23,9.79,,
2004-04-26,9.79,,
2004-04-27,9.81,,
2004-04-28,9.76,,
2004-04-29,9.69,,
2004-04-30,9.7,,
2004-05-03,9.69,,
2004-05-04,9.71,,
2004-05-05,9.69,,
2004-05-06,9.7,,
2004-05-07,9.63,,
2004-05-10,9.45,,
2004-05-11,9.43,,
2004-05-12,9.64,,
2004-05-13,9.5,,
2004-05-14,9.39,,
2004-05-17,9.3,,
2004-05-18,9.26,,
2004-05-19,9.35,,
2004-05-20,9.35,,
2004-05-21,9.39,,
2004-05-24,9.38,,
2004-05-25,9.58,,
2004-05-26,9.54,,
2004-05-27,9.48,,
2004-05-28,9.5,,
2004-06-01,9.45,,
2004-06-02,9.5,,
2004-06-03,9.44,,
2004-06-04,9.37,,
2004-06-07,9.38,,
2004-06-08,9.33,,
2004-06-09,9.38,,
2004-06-10,9.42,,
2004-06-14,9.48,,
2004-06-15,9.69,,
2004-06-16,9.77,,
2004-06-17,9.95,,
2004-06-18,10.03,,
2004-06-21,9.99,,
2004-06-22,10.11,,
2004-06-23,10.25,,
2004-06-24,10.59,,
2004-06-25,9.94,,
2004-06-28,10.17,,
2004-06-29,10.35,,
2004-06-30,10.58,,
2004-07-01,10.77,,
2004-07-02,10.67,,
2004-07-06,10.54,,
2004-07-07,10.46,,
2004-07-08,10.18,,
2004-07-09,10.37,,
2004-07-12,10.14,,
2004-07-13,10.15,,
2004-07-14,10.09,,
2004-07-15,10.13,,
2004-07-16,10.05,,
2004-07-19,9.9,,
2004-07-20,10.35,,
2004-07-21,9.93,,
2004-07-22,9.74,,
2004-07-23,9.71,,
2004-07-26,9.43,,
2004-07-27,9.53,,
2004-07-28,9.52,,
2004-07-29,9.59,,
2004-07-30,9.52,,
2004-08-02,9.57,,
2004-08-03,9.58,,
2004-08-04,9.67,,
2004-08-05,9.43,,
2004-08-06,9.24,,
2004-08-09,9.21,,
2004-08-10,9.33,,
2004-08-11,9.37,,
2004-08-12,9.15,,
2004-08-13,9.24,,
2004-08-16,9.34,,
2004-08-17,9.29,,
2004-08-18,9.37,,
2004-08-19,9.55,,
2004-08-20,9.79,,
2004-08-23,9.63,,
2004-08-24,9.81,,
2004-08-25,9.85,,
2004-08-26,9.78,,
2004-08-27,9.97,,
2004-08-30,9.91,,
2004-08-31,10.0,,
2004-09-01,10.06,,
2004-09-02,10.0,,
