date,GS,dcf,Deviation
1999-12-14,78.75,,
1999-12-15,79.44,,
1999-12-16,78.56,,
1999-12-17,80.19,,
1999-12-20,81.88,,
1999-12-21,80.94,,
1999-12-22,79.69,,
1999-12-23,81.0,,
1999-12-27,82.06,,
1999-12-28,85.0,,
1999-12-29,88.0,,
1999-12-30,92.19,,
1999-12-31,94.19,,
2000-01-03,88.31,,
2000-01-04,82.75,,
2000-01-05,78.88,,
2000-01-06,82.25,,
2000-01-07,82.56,,
2000-01-10,84.38,,
2000-01-11,84.81,,
2000-01-12,84.38,,
2000-01-13,84.5,,
2000-01-14,85.63,,
2000-01-18,86.88,,
2000-01-19,87.56,,
2000-01-20,85.94,,
2000-01-21,85.69,,
2000-01-24,81.75,,
2000-01-25,83.88,,
2000-01-26,88.25,,
2000-01-27,89.0,,
2000-01-28,87.0,,
2000-01-31,91.63,,
2000-02-01,91.25,,
2000-02-02,91.13,,
2000-02-03,85.38,,
2000-02-04,84.69,,
2000-02-07,85.75,,
2000-02-08,89.44,,
2000-02-09,86.75,,
2000-02-10,86.63,,
2000-02-11,85.13,,
2000-02-14,86.5,,
2000-02-15,86.5,,
2000-02-16,82.94,,
2000-02-17,82.13,,
2000-02-18,80.81,,
2000-02-22,81.56,,
2000-02-23,85.75,,
2000-02-24,89.63,,
2000-02-25,89.25,,
2000-02-28,88.0,,
2000-02-29,92.5,,
2000-03-01,94.75,,
2000-03-02,96.25,,
2000-03-03,102.5,,
2000-03-06,103.69,,
2000-03-07,104.88,,
2000-03-08,101.75,,
2000-03-09,107.19,,
2000-03-10,112.25,,
2000-03-13,110.38,,
2000-03-14,104.75,,
2000-03-15,103.56,,
2000-03-16,103.31,,
2000-03-17,116.5,,
2000-03-20,113.44,,
2000-03-21,118.25,,
2000-03-22,117.16,,
2000-03-23,119.0,,
2000-03-24,121.31,,
2000-03-27,112.0,,
2000-03-28,113.25,,
2000-03-29,114.19,,
2000-03-30,106.88,,
2000-03-31,105.25,,
2000-04-03,105.5,,
2000-04-04,98.25,,
2000-04-05,97.44,,
2000-04-06,106.0,,
2000-04-07,102.5,,
2000-04-10,107.06,,
2000-04-11,104.81,,
2000-04-12,96.56,,
2000-04-13,95.25,,
2000-04-14,82.75,,
2000-04-17,87.5,,
2000-04-18,93.75,,
2000-04-19,92.06,,
2000-04-20,88.81,,
2000-04-24,86.88,,
2000-04-25,97.06,,
2000-04-26,94.5,,
2000-04-27,95.19,,
2000-04-28,93.25,,
2000-05-01,97.0,,
2000-05-02,93.0,,
2000-05-03,91.13,,
2000-05-04,90.19,,
2000-05-05,89.88,,
2000-05-08,87.31,,
2000-05-09,85.63,,
2000-05-10,81.44,,
2000-05-11,80.88,,
2000-05-12,83.78,,
2000-05-15,87.06,,
2000-05-16,85.5,,
2000-05-17,84.69,,
2000-05-18,85.25,,
2000-05-19,84.56,,
2000-05-22,82.0,,
2000-05-23,82.81,,
2000-05-24,80.0,,
2000-05-25,73.0,,
2000-05-26,69.81,,
2000-05-30,72.0,,
2000-05-31,73.56,,
2000-06-01,76.38,,
2000-06-02,86.88,,
2000-06-05,84.5,,
2000-06-06,83.13,,
2000-06-07,86.69,,
2000-06-08,85.06,,
2000-06-09,83.25,,
2000-06-12,83.31,,
2000-06-13,85.13,,
2000-06-14,89.94,,
2000-06-15,90.25,,
2000-06-16,89.94,,
2000-06-19,91.63,,
2000-06-20,89.0,,
2000-06-21,86.63,,
2000-06-22,84.25,,
2000-06-23,86.0,,
2000-06-26,87.75,,
2000-06-27,88.31,,
2000-06-28,89.88,,
2000-06-29,92.63,,
2000-06-30,94.78,,
2000-07-03,94.94,,
2000-07-05,95.94,,
2000-07-06,93.19,,
2000-07-07,94.94,,
2000-07-10,97.69,,
2000-07-11,98.5,,
2000-07-12,101.94,,
2000-07-13,104.25,,
2000-07-14,104.19,,
2000-07-17,100.0,,
2000-07-18,103.88,,
2000-07-19,100.75,,
2000-07-20,103.69,,
2000-07-21,104.25,,
2000-07-24,105.38,,
2000-07-25,106.0,,
2000-07-26,105.94,,
2000-07-27,100.0,,
2000-07-28,98.5,,
2000-07-31,98.69,,
2000-08-01,100.63,,
2000-08-02,102.13,,
2000-08-03,105.63,,
2000-08-04,111.25,,
2000-08-07,114.06,,
2000-08-08,113.0,,
2000-08-09,114.94,,
2000-08-10,112.0,,
2000-08-11,119.88,,
2000-08-14,120.75,,
2000-08-15,118.19,,
2000-08-16,113.0,,
2000-08-17,118.63,,
2000-08-18,117.0,,
2000-08-21,117.81,,
2000-08-22,119.88,,
2000-08-23,119.0,,
2000-08-24,118.25,,
2000-08-25,119.38,,
2000-08-28,122.44,,
2000-08-29,127.44,,
2000-08-30,123.69,,
2000-08-31,129.5,,
2000-09-01,129.63,,
2000-09-05,128.81,,
2000-09-06,128.13,,
2000-09-07,128.69,,
2000-09-08,124.25,,
2000-09-11,132.0,,
2000-09-12,131.31,,
2000-09-13,128.5,,
2000-09-14,129.0,,
2000-09-15,124.88,,
2000-09-18,118.56,,
2000-09-19,119.94,,
2000-09-20,118.0,,
2000-09-21,113.25,,
2000-09-22,114.88,,
2000-09-25,116.5,,
2000-09-26,110.88,,
2000-09-27,107.06,,
2000-09-28,113.0,,
2000-09-29,114.06,,
2000-10-02,115.38,,
2000-10-03,113.88,,
2000-10-04,109.44,,
2000-10-05,114.88,,
2000-10-06,108.88,,
2000-10-09,105.25,,
2000-10-10,102.69,,
2000-10-11,104.0,,
2000-10-12,94.31,,
2000-10-13,101.5,,
2000-10-16,103.63,,
2000-10-17,99.25,,
2000-10-18,98.0,,
2000-10-19,100.56,,
2000-10-20,104.94,,
2000-10-23,102.44,,
2000-10-24,101.13,,
2000-10-25,96.19,,
2000-10-26,92.94,,
2000-10-27,93.0,,
2000-10-30,96.5,,
2000-10-31,99.81,,
2000-11-01,96.69,,
2000-11-02,99.25,,
2000-11-03,100.44,,
2000-11-06,96.06,,
2000-11-07,93.75,,
2000-11-08,92.44,,
2000-11-09,91.88,,
2000-11-10,89.19,,
2000-11-13,86.38,,
2000-11-14,88.88,,
2000-11-15,90.06,,
2000-11-16,91.44,,
2000-11-17,88.06,,
2000-11-20,83.0,,
2000-11-21,84.19,,
2000-11-22,79.94,,
2000-11-24,81.5,,
2000-11-27,82.5,,
2000-11-28,80.5,,
2000-11-29,82.88,,
2000-11-30,82.13,,
2000-12-01,82.0,,
2000-12-04,81.75,,
2000-12-05,88.75,,
2000-12-06,87.75,,
2000-12-07,85.88,,
2000-12-08,91.88,,
2000-12-11,96.0,,
2000-12-12,92.44,,
2000-12-13,94.06,,
2000-12-14,87.44,,
2000-12-15,86.69,,
2000-12-18,85.94,,
2000-12-19,89.38,,
2000-12-20,90.0,,
2000-12-21,93.81,,
2000-12-22,98.81,,
2000-12-26,101.81,,
2000-12-27,101.88,,
2000-12-28,107.13,,
2000-12-29,106.94,,
2001-01-02,100.25,,
2001-01-03,115.5,,
2001-01-04,112.75,,
2001-01-05,107.88,,
2001-01-08,106.38,,
2001-01-09,104.75,,
2001-01-10,108.5,,
2001-01-11,110.5,,
2001-01-12,108.75,,
2001-01-16,110.0,,
2001-01-17,110.0,,
2001-01-18,107.5,,
2001-01-19,110.94,,
2001-01-22,113.13,,
2001-01-23,116.0,,
2001-01-24,117.88,,
2001-01-25,113.56,,
2001-01-26,114.69,,
2001-01-29,115.91,,
2001-01-30,118.62,,
2001-01-31,113.75,,
2001-02-01,118.2,,
2001-02-02,113.96,,
2001-02-05,112.1,,
2001-02-06,108.95,,
2001-02-07,105.2,,
2001-02-08,105.95,,
2001-02-09,107.75,,
2001-02-12,109.5,,
2001-02-13,105.9,,
2001-02-14,104.25,,
2001-02-15,107.2,,
2001-02-16,101.5,,
2001-02-20,96.0,,
2001-02-21,94.4,,
2001-02-22,97.2,,
2001-02-23,96.04,,
2001-02-26,98.3,,
2001-02-27,98.34,,
2001-02-28,91.75,,
2001-03-01,91.61,,
2001-03-02,91.4,,
2001-03-05,92.15,,
2001-03-06,95.35,,
2001-03-07,94.95,,
2001-03-08,91.75,,
2001-03-09,87.0,,
2001-03-12,82.49,,
2001-03-13,87.51,,
2001-03-14,83.91,,
2001-03-15,87.95,,
2001-03-16,87.55,,
2001-03-19,90.94,,
2001-03-20,87.06,,
2001-03-21,85.0,,
2001-03-22,85.91,,
2001-03-23,89.81,,
2001-03-26,89.24,,
2001-03-27,93.5,,
2001-03-28,87.25,,
2001-03-29,88.1,,
2001-03-30,85.1,,
2001-04-02,84.16,,
2001-04-03,81.31,,
2001-04-04,77.53,,
2001-04-05,86.0,,
2001-04-06,84.2,,
2001-04-09,84.0,,
2001-04-10,87.81,,
2001-04-11,91.3,,
2001-04-12,94.0,,
2001-04-16,91.78,,
2001-04-17,93.1,,
2001-04-18,99.65,,
2001-04-19,97.69,,
2001-04-20,95.66,,
2001-04-23,92.96,,
2001-04-24,91.4,,
2001-04-25,92.82,,
2001-04-26,92.49,,
2001-04-27,92.94,,
2001-04-30,91.1,,
2001-05-01,92.65,,
2001-05-02,98.0,,
2001-05-03,96.0,,
2001-05-04,97.2,,
2001-05-07,96.01,,
2001-05-08,95.25,,
2001-05-09,94.66,,
2001-05-10,94.51,,
2001-05-11,92.85,,
2001-05-14,94.1,,
2001-05-15,94.85,,
2001-05-16,99.95,,
2001-05-17,97.95,,
2001-05-18,97.25,,
2001-05-21,101.9,,
2001-05-22,103.29,,
2001-05-23,99.3,,
2001-05-24,99.85,,
2001-05-25,97.96,,
2001-05-29,96.88,,
2001-05-30,94.76,,
2001-05-31,95.1,,
2001-06-01,96.7,,
2001-06-04,96.51,,
2001-06-05,97.35,,
2001-06-06,95.54,,
2001-06-07,96.9,,
2001-06-08,95.36,,
2001-06-11,92.01,,
2001-06-12,91.86,,
2001-06-13,89.16,,
2001-06-14,87.01,,
2001-06-15,89.29,,
2001-06-18,88.65,,
2001-06-19,88.18,,
2001-06-20,88.4,,
2001-06-21,93.0,,
2001-06-22,92.1,,
2001-06-25,90.95,,
2001-06-26,90.3,,
2001-06-27,87.5,,
2001-06-28,86.6,,
2001-06-29,85.8,,
2001-07-02,84.6,,
2001-07-03,84.0,,
2001-07-05,84.0,,
2001-07-06,83.1,,
2001-07-09,81.91,,
2001-07-10,81.6,,
2001-07-11,81.6,,
2001-07-12,86.55,,
2001-07-13,86.15,,
2001-07-16,83.4,,
2001-07-17,85.85,,
2001-07-18,84.0,,
2001-07-19,83.0,,
2001-07-20,82.95,,
2001-07-23,81.74,,
2001-07-24,81.85,,
2001-07-25,83.2,,
2001-07-26,84.64,,
2001-07-27,84.82,,
2001-07-30,82.69,,
2001-07-31,83.16,,
2001-08-01,85.35,,
2001-08-02,86.3,,
2001-08-03,85.5,,
2001-08-06,83.95,,
2001-08-07,83.54,,
2001-08-08,81.8,,
2001-08-09,80.05,,
2001-08-10,80.8,,
2001-08-13,82.2,,
2001-08-14,81.3,,
2001-08-15,81.85,,
2001-08-16,81.1,,
2001-08-17,77.25,,
2001-08-20,77.84,,
2001-08-21,75.4,,
2001-08-22,77.5,,
2001-08-23,77.7,,
2001-08-24,81.3,,
2001-08-27,81.9,,
2001-08-28,81.05,,
2001-08-29,80.8,,
2001-08-30,79.61,,
2001-08-31,80.1,,
2001-09-04,79.62,,
2001-09-05,78.55,,
2001-09-06,77.1,,
2001-09-07,74.48,,
2001-09-10,76.2,,
2001-09-17,69.4,,
2001-09-18,67.5,,
2001-09-19,67.51,,
2001-09-20,65.75,,
2001-09-21,67.69,,
2001-09-24,70.51,,
2001-09-25,70.03,,
2001-09-26,69.85,,
2001-09-27,68.9,,
2001-09-28,71.35,,
2001-10-01,73.5,,
2001-10-02,73.6,,
2001-10-03,76.69,,
2001-10-04,79.0,,
2001-10-05,76.25,,
2001-10-08,75.3,,
2001-10-09,77.93,,
2001-10-10,80.71,,
2001-10-11,83.85,,
2001-10-12,82.8,,
2001-10-15,84.4,,
2001-10-16,84.25,,
2001-10-17,82.07,,
2001-10-18,81.41,,
2001-10-19,79.75,,
2001-10-22,81.6,,
2001-10-23,81.6,,
2001-10-24,80.5,,
2001-10-25,81.4,,
2001-10-26,83.12,,
2001-10-29,80.85,,
2001-10-30,80.05,,
2001-10-31,78.16,,
2001-11-01,80.7,,
2001-11-02,82.25,,
2001-11-05,84.71,,
2001-11-06,86.5,,
2001-11-07,87.5,,
2001-11-08,86.7,,
2001-11-09,86.86,,
2001-11-12,88.1,,
2001-11-13,91.05,,
2001-11-14,91.5,,
2001-11-15,88.7,,
2001-11-16,87.75,,
2001-11-19,90.55,,
2001-11-20,89.75,,
2001-11-21,88.15,,
2001-11-23,90.15,,
2001-11-26,91.44,,
2001-11-27,90.0,,
2001-11-28,86.81,,
2001-11-29,89.35,,
2001-11-30,89.0,,
2001-12-03,86.01,,
2001-12-04,87.17,,
2001-12-05,92.4,,
2001-12-06,93.9,,
2001-12-07,91.61,,
2001-12-10,91.35,,
2001-12-11,91.82,,
2001-12-12,92.73,,
2001-12-13,91.0,,
2001-12-14,89.66,,
2001-12-17,89.14,,
2001-12-18,90.8,,
2001-12-19,94.41,,
2001-12-20,92.31,,
2001-12-21,92.31,,
2001-12-24,92.47,,
2001-12-26,92.8,,
2001-12-27,92.12,,
2001-12-28,93.27,,
2001-12-31,92.75,,
2002-01-02,91.07,,
2002-01-03,92.45,,
2002-01-04,96.75,,
2002-01-07,95.75,,
2002-01-08,92.5,,
2002-01-09,93.75,,
2002-01-10,93.0,,
2002-01-11,91.15,,
2002-01-14,89.97,,
2002-01-15,89.9,,
2002-01-16,88.63,,
2002-01-17,89.86,,
2002-01-18,89.21,,
2002-01-22,86.98,,
2002-01-23,87.25,,
2002-01-24,85.5,,
2002-01-25,87.3,,
2002-01-28,87.85,,
2002-01-29,84.48,,
2002-01-30,86.0,,
2002-01-31,86.98,,
2002-02-01,85.4,,
2002-02-04,82.5,,
2002-02-05,81.04,,
2002-02-06,81.9,,
2002-02-07,81.11,,
2002-02-08,83.8,,
2002-02-11,84.85,,
2002-02-12,83.5,,
2002-02-13,84.58,,
2002-02-14,85.11,,
2002-02-15,82.76,,
2002-02-19,78.52,,
2002-02-20,80.6,,
2002-02-21,79.47,,
2002-02-22,79.0,,
2002-02-25,81.96,,
2002-02-26,81.4,,
2002-02-27,80.89,,
2002-02-28,80.94,,
2002-03-01,83.47,,
2002-03-04,89.1,,
2002-03-05,89.52,,
2002-03-06,90.87,,
2002-03-07,89.96,,
2002-03-08,90.29,,
2002-03-11,90.7,,
2002-03-12,89.8,,
2002-03-13,88.0,,
2002-03-14,88.4,,
2002-03-15,90.0,,
2002-03-18,89.2,,
2002-03-19,91.05,,
2002-03-20,89.85,,
2002-03-21,90.35,,
2002-03-22,89.73,,
2002-03-25,88.03,,
2002-03-26,88.85,,
2002-03-27,89.3,,
2002-03-28,90.25,,
2002-04-01,88.47,,
2002-04-02,87.53,,
2002-04-03,86.46,,
2002-04-04,86.55,,
2002-04-05,86.15,,
2002-04-08,86.06,,
2002-04-09,84.6,,
2002-04-10,84.49,,
2002-04-11,81.24,,
2002-04-12,83.0,,
2002-04-15,81.6,,
2002-04-16,84.59,,
2002-04-17,85.05,,
2002-04-18,84.52,,
2002-04-19,86.31,,
2002-04-22,84.1,,
2002-04-23,81.6,,
2002-04-24,79.49,,
2002-04-25,77.21,,
2002-04-26,79.15,,
2002-04-29,78.5,,
2002-04-30,78.75,,
2002-05-01,79.21,,
2002-05-02,80.71,,
2002-05-03,78.55,,
2002-05-06,75.16,,
2002-05-07,74.85,,
2002-05-08,79.5,,
2002-05-09,78.64,,
2002-05-10,76.75,,
2002-05-13,78.11,,
2002-05-14,79.3,,
2002-05-15,79.46,,
2002-05-16,80.05,,
2002-05-17,80.5,,
2002-05-20,80.24,,
2002-05-21,79.2,,
2002-05-22,78.2,,
2002-05-23,79.17,,
2002-05-24,78.19,,
2002-05-28,76.9,,
2002-05-29,76.15,,
2002-05-30,75.08,,
2002-05-31,75.45,,
2002-06-03,73.79,,
2002-06-04,73.8,,
2002-06-05,75.75,,
2002-06-06,73.95,,
2002-06-07,73.95,,
2002-06-10,74.74,,
2002-06-11,72.1,,
2002-06-12,72.5,,
2002-06-13,71.3,,
2002-06-14,72.85,,
2002-06-17,75.34,,
2002-06-18,75.78,,
2002-06-19,74.45,,
2002-06-20,72.7,,
2002-06-21,70.55,,
2002-06-24,71.45,,
2002-06-25,71.35,,
2002-06-26,70.8,,
2002-06-27,73.0,,
2002-06-28,73.35,,
2002-07-01,71.14,,
2002-07-02,70.7,,
2002-07-03,70.2,,
2002-07-05,73.95,,
2002-07-08,73.6,,
2002-07-09,70.91,,
2002-07-10,71.55,,
2002-07-11,73.25,,
2002-07-12,73.15,,
2002-07-15,72.95,,
2002-07-16,72.65,,
2002-07-17,74.48,,
2002-07-18,75.6,,
2002-07-19,77.0,,
2002-07-22,72.0,,
2002-07-23,67.73,,
2002-07-24,70.85,,
2002-07-25,69.31,,
2002-07-26,69.58,,
2002-07-29,72.7,,
2002-07-30,73.9,,
2002-07-31,73.15,,
2002-08-01,71.99,,
2002-08-02,70.49,,
2002-08-05,68.05,,
2002-08-06,69.9,,
2002-08-07,70.95,,
2002-08-08,74.3,,
2002-08-09,75.45,,
2002-08-12,75.35,,
2002-08-13,74.79,,
2002-08-14,78.5,,
2002-08-15,79.55,,
2002-08-16,79.53,,
2002-08-19,81.5,,
2002-08-20,80.51,,
2002-08-21,79.88,,
2002-08-22,79.91,,
2002-08-23,78.3,,
2002-08-26,79.75,,
2002-08-27,79.1,,
2002-08-28,77.08,,
2002-08-29,77.38,,
2002-08-30,77.3,,
2002-09-03,73.75,,
2002-09-04,75.5,,
2002-09-05,72.89,,
2002-09-06,72.34,,
2002-09-09,74.3,,
2002-09-10,73.41,,
2002-09-11,73.69,,
2002-09-12,72.2,,
2002-09-13,73.0,,
2002-09-16,72.6,,
2002-09-17,70.87,,
2002-09-18,70.41,,
2002-09-19,67.15,,
2002-09-20,67.36,,
2002-09-23,65.67,,
2002-09-24,66.31,,
2002-09-25,67.45,,
2002-09-26,68.04,,
2002-09-27,66.13,,
2002-09-30,66.03,,
2002-10-01,68.45,,
2002-10-02,65.55,,
2002-10-03,62.9,,
2002-10-04,62.05,,
2002-10-07,59.53,,
2002-10-08,61.6,,
2002-10-09,59.28,,
2002-10-10,61.08,,
2002-10-11,64.2,,
2002-10-14,65.3,,
2002-10-15,70.0,,
2002-10-16,68.0,,
2002-10-17,72.48,,
2002-10-18,70.55,,
2002-10-21,74.7,,
2002-10-22,72.5,,
2002-10-23,74.27,,
2002-10-24,72.5,,
2002-10-25,73.99,,
2002-10-28,73.58,,
2002-10-29,72.37,,
2002-10-30,72.36,,
2002-10-31,71.6,,
2002-11-01,73.45,,
2002-11-04,75.96,,
2002-11-05,76.74,,
2002-11-06,76.55,,
2002-11-07,74.05,,
2002-11-08,73.08,,
2002-11-11,71.78,,
2002-11-12,72.07,,
2002-11-13,72.49,,
2002-11-14,74.99,,
2002-11-15,75.25,,
2002-11-18,75.42,,
2002-11-19,75.08,,
2002-11-20,77.41,,
2002-11-21,79.95,,
2002-11-22,79.11,,
2002-11-25,79.0,,
2002-11-26,76.83,,
2002-11-27,79.64,,
2002-11-29,78.87,,
2002-12-02,78.78,,
2002-12-03,78.5,,
2002-12-04,76.35,,
2002-12-05,74.45,,
2002-12-06,74.5,,
2002-12-09,73.45,,
2002-12-10,74.0,,
2002-12-11,73.47,,
2002-12-12,74.23,,
2002-12-13,73.1,,
2002-12-16,74.53,,
2002-12-17,74.69,,
2002-12-18,73.7,,
2002-12-19,70.3,,
2002-12-20,71.86,,
2002-12-23,70.65,,
2002-12-24,69.37,,
2002-12-26,69.55,,
2002-12-27,67.92,,
2002-12-30,68.14,,
2002-12-31,68.1,,
2003-01-02,69.65,,
2003-01-03,70.38,,
2003-01-06,73.0,,
2003-01-07,72.7,,
2003-01-08,70.92,,
2003-01-09,73.72,,
2003-01-10,74.92,,
2003-01-13,74.42,,
2003-01-14,74.7,,
2003-01-15,73.51,,
2003-01-16,73.62,,
2003-01-17,72.58,,
2003-01-21,71.0,,
2003-01-22,70.25,,
2003-01-23,71.92,,
2003-01-24,69.15,,
2003-01-27,68.4,,
2003-01-28,69.05,,
2003-01-29,69.51,,
2003-01-30,67.4,,
2003-01-31,68.1,,
2003-02-03,69.25,,
2003-02-04,67.52,,
2003-02-05,67.41,,
2003-02-06,66.65,,
2003-02-07,65.7,,
2003-02-10,65.74,,
2003-02-11,65.05,,
2003-02-12,64.3,,
2003-02-13,64.92,,
2003-02-14,66.7,,
2003-02-18,68.0,,
2003-02-19,68.23,,
2003-02-20,67.74,,
2003-02-21,68.5,,
2003-02-24,66.2,,
2003-02-25,66.59,,
2003-02-26,66.48,,
2003-02-27,67.69,,
2003-02-28,69.45,,
2003-03-03,68.02,,
2003-03-04,65.69,,
2003-03-05,66.3,,
2003-03-06,65.6,,
2003-03-07,66.68,,
2003-03-10,64.34,,
2003-03-11,62.95,,
2003-03-12,62.85,,
2003-03-13,66.78,,
2003-03-14,66.62,,
2003-03-17,68.9,,
2003-03-18,69.58,,
2003-03-19,70.27,,
2003-03-20,70.08,,
2003-03-21,72.1,,
2003-03-24,69.92,,
2003-03-25,70.69,,
2003-03-26,71.05,,
2003-03-27,70.58,,
2003-03-28,70.11,,
2003-03-31,68.08,,
2003-04-01,69.62,,
2003-04-02,72.4,,
2003-04-03,72.35,,
2003-04-04,72.06,,
2003-04-07,72.31,,
2003-04-08,72.7,,
2003-04-09,71.91,,
2003-04-10,72.35,,
2003-04-11,72.42,,
2003-04-14,74.49,,
2003-04-15,76.54,,
2003-04-16,75.2,,
2003-04-17,76.1,,
2003-04-21,76.35,,
2003-04-22,78.33,,
2003-04-23,78.43,,
2003-04-24,77.35,,
2003-04-25,75.87,,
2003-04-28,76.51,,
2003-04-29,76.45,,
2003-04-30,75.9,,
2003-05-01,75.33,,
2003-05-02,76.6,,
2003-05-05,76.49,,
2003-05-06,77.2,,
2003-05-07,77.2,,
2003-05-08,74.06,,
2003-05-09,75.0,,
2003-05-12,75.49,,
2003-05-13,74.95,,
2003-05-14,74.95,,
2003-05-15,76.1,,
2003-05-16,76.7,,
2003-05-19,74.35,,
2003-05-20,74.45,,
2003-05-21,75.1,,
2003-05-22,76.03,,
2003-05-23,76.15,,
2003-05-27,78.48,,
2003-05-28,79.9,,
2003-05-29,79.59,,
2003-05-30,81.5,,
2003-06-02,83.54,,
2003-06-03,83.0,,
2003-06-04,85.25,,
2003-06-05,87.3,,
2003-06-06,88.7,,
2003-06-09,87.54,,
2003-06-10,88.7,,
2003-06-11,89.74,,
2003-06-12,90.35,,
2003-06-13,89.17,,
2003-06-16,91.5,,
2003-06-17,91.5,,
2003-06-18,88.9,,
2003-06-19,85.92,,
2003-06-20,86.25,,
2003-06-23,85.28,,
2003-06-24,86.6,,
2003-06-25,84.78,,
2003-06-26,84.15,,
2003-06-27,82.38,,
2003-06-30,83.75,,
2003-07-01,85.85,,
2003-07-02,85.4,,
2003-07-03,84.7,,
2003-07-07,87.74,,
2003-07-08,88.06,,
2003-07-09,88.23,,
2003-07-10,86.55,,
2003-07-11,87.32,,
2003-07-14,89.44,,
2003-07-15,88.02,,
2003-07-16,87.26,,
2003-07-17,86.44,,
2003-07-18,87.69,,
2003-07-21,85.7,,
2003-07-22,86.16,,
2003-07-23,86.1,,
2003-07-24,85.4,,
2003-07-25,86.42,,
2003-07-28,86.5,,
2003-07-29,86.83,,
2003-07-30,86.95,,
2003-07-31,87.14,,
2003-08-01,85.1,,
2003-08-04,84.65,,
2003-08-05,82.9,,
2003-08-06,84.05,,
2003-08-07,84.75,,
2003-08-08,85.82,,
2003-08-11,85.76,,
