DE,dcf,Deviation
3.36,,
3.36,,
3.33,,
3.35,,
3.31,,
3.31,,
3.34,,
3.36,,
3.33,,
3.18,,
3.09,,
3.21,,
3.25,,
3.28,,
3.22,,
3.2,,
3.23,,
3.13,,
3.17,,
3.06,,
2.96,,
2.93,,
3.02,,
3.14,,
3.21,,
3.23,,
3.22,,
3.38,,
3.46,,
3.47,,
3.42,,
3.27,,
3.34,,
3.33,,
3.31,,
3.34,,
3.33,,
3.24,,
3.25,,
3.23,,
3.25,,
3.24,,
3.21,,
3.25,,
3.36,,
3.5,,
3.52,,
3.48,,
3.45,,
3.4,,
3.31,,
3.36,,
3.39,,
3.39,,
3.38,,
3.3,,
3.21,,
3.21,,
3.21,,
3.24,,
3.23,,
3.29,,
3.31,,
3.27,,
3.35,,
3.4,,
3.38,,
3.44,,
3.39,,
3.53,,
3.57,,
3.43,,
3.46,,
3.48,,
3.46,,
3.42,,
3.5,,
3.54,,
3.65,,
3.79,,
3.77,,
3.83,,
3.9,,
3.92,,
3.91,,
3.86,,
3.8,,
3.63,,
3.73,,
3.72,,
3.71,,
3.69,,
3.76,,
3.74,,
3.73,,
3.61,,
3.55,,
3.53,,
3.64,,
3.64,,
3.63,,
3.6,,
3.6,,
3.42,,
3.49,,
3.42,,
3.38,,
3.42,,
3.44,,
3.29,,
3.27,,
3.32,,
3.42,,
3.41,,
3.45,,
3.5,,
3.48,,
3.51,,
3.51,,
3.5,,
3.49,,
3.46,,
3.35,,
3.3,,
3.35,,
3.42,,
3.46,,
3.5,,
3.49,,
3.46,,
3.38,,
3.41,,
3.39,,
3.38,,
3.31,,
3.35,,
3.3,,
3.34,,
3.28,,
3.38,,
3.36,,
3.3,,
3.33,,
3.35,,
3.34,,
3.35,,
3.35,,
3.39,,
3.42,,
3.33,,
3.32,,
3.33,,
3.33,,
3.25,,
3.24,,
3.29,,
3.35,,
3.33,,
3.3,,
3.33,,
3.42,,
3.45,,
3.39,,
3.5,,
3.61,,
3.59,,
3.64,,
3.58,,
3.6,,
3.64,,
3.67,,
3.7,,
3.63,,
3.65,,
3.75,,
3.9,,
3.86,,
3.91,,
3.96,,
3.98,,
3.96,,
3.88,,
3.8,,
3.79,,
3.85,,
3.96,,
3.96,,
3.98,,
4.0,,
4.0,,
4.0,,
4.04,,
4.01,,
3.99,,
